locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand	region	group	gene_length	gc_content	gc3	gc3_deviation	nc	rare_codon_freq	dist_oriC	region_calc	baseMean	has_gene_name	has_old_locus_tag	has_named_product	is_hypothetical	has_protein_id	is_constitutive	LFC_T2vsT1	LFC_T3vsT1	composite_conservation
SC_RS12005		SCO1995	tetratricopeptide repeat protein	TetR	2130961	2131341	-	0	Shielded	381	0.7322834645669292	0.889763779527559	0.02456497085113951	36.84925174312912	0.05555555555555555	2141542.0	core	137.9462370358439	False	True	True	False	True	False	2.342123461012669	1.2989160018273038	-0.46274002959770627
SC_RS12095		SCO2013	ANTAR domain-containing response regulator	Response regulator	2155123	2155779	-	0	Shielded	657	0.684931506849315	0.9634703196347032	0.04914156925600466	30.620132404314084	0.01834862385321101	2117242.0	core	1191.0138419514972	False	True	True	False	True	False	-0.3758406132605544	-2.064527153271847	0.1233654735502266
SC_RS12270		SCO2047	ArsR/SmtB family transcription factor	ArsR	2196122	2196709	-	0	Shielded	588	0.7227891156462585	0.9387755102040817	0.024446759825383135	29.750515671655204	0.020512820512820513	2076277.5	core	58.18495994895389	False	True	True	False	True	False	-0.504119817838419	-0.5290190949146476	0.07779504814490797
SC_RS12415		SCO2075	TraR/DksA family transcriptional regulator	Other regulatory	2225964	2226683	-	0	Shielded	720	0.7111111111111111	0.9291666666666667	0.014837916287968156	30.48094589514542	0.02092050209205021	2046369.5	core	108.88813034571126	False	True	True	False	True	False	0.1501744106888396	1.1522341581476945	0.13277740444396297
SC_RS12540		SCO2100	TetR/AcrR family transcriptional regulator	TetR	2257287	2257916	+	0	Shielded	630	0.7238095238095238	0.9619047619047619	0.04757601152606339	26.794086112360034	0.014354066985645933	2015091.5	core	486.86943797906446	False	True	True	False	True	False	-1.5903492218499955	-1.778556236490734	0.19349527997181468
SC_RS12550		SCO2102	SCO2102 family sporulation regulator	Other regulatory	2259944	2260936	-	0	Shielded	993	0.7351460221550856	0.9637462235649547	0.04941747318625611	28.837718397555346	0.015151515151515152	2012253.0	core	930.1118779626828	False	True	True	False	True	False	0.7157076226672633	0.0884008348292049	0.2651721455271635
SC_RS12555	metF	SCO2103	methylenetetrahydrofolate reductase [NAD(P)H]	TetR	2260993	2261916	-	0	Shielded	924	0.6915584415584416	0.9448051948051948	0.03047644442649622	31.838662559385355	0.029315960912052116	2011238.5	core	919.7039173477606	True	True	True	False	True	False	1.1709623200672856	-0.3529700856662118	0.6608948447235955
SC_RS12565		SCO2105	Rv2175c family DNA-binding protein	Other regulatory	2262881	2263246	-	0	Shielded	366	0.6857923497267759	0.9016393442622951	0.012689406116403457	32.66930359493085	0.04132231404958678	2009629.5	core	675.3664912415974	False	True	True	False	True	False	-0.319994432494782	-1.7026448212157888	-0.10067504700865183
SC_RS12645		SCO2120	response regulator	Response regulator	2280718	2281440	-	0	Shielded	723	0.7330567081604425	0.946058091286307	0.03172934090760848	29.277532081725415	0.0125	1991614.0	core	212.55128734081856	False	True	True	False	True	False	-0.4512524135328378	-1.0955450386919083	0.17636177463701164
SC_RS12650	macS	SCO2121	MacS family sensor histidine kinase	Sensor kinase	2281433	2282674	-	0	Shielded	1242	0.7407407407407407	0.9396135265700483	0.025284776191349723	30.141694872928973	0.029055690072639227	1990639.5	core	500.0771425764299	True	True	True	False	True	False	-1.082981617867327	-1.945238606456243	0.7769024113446475
SC_RS12675		SCO2126	ROK family glucokinase	ROK	2285983	2286936	-	0	Shielded	954	0.720125786163522	0.9654088050314465	0.05108005465274801	27.25259984181437	0.015772870662460567	1986233.5	core	2519.6748364361833	False	True	True	False	True	False	-1.259521699072848	-2.109012277289124	0.5049251511812963
SC_RS12745		SCO2140	Lrp/AsnC family transcriptional regulator	Lrp	2301552	2301833	+	0	Shielded	282	0.6666666666666666	0.9680851063829787	0.05375635600428019	25.833761992138108	0.010752688172043012	1971000.5	core	383.90994593054296	False	True	True	False	True	False	0.4956689769917444	-0.7500513306067362	0.11754385580815198
SC_RS12755		SCO2142	sensor histidine kinase	Sensor kinase	2302365	2303729	+	0	Shielded	1365	0.7333333333333333	0.9516483516483516	0.03731960126965306	29.578067686568364	0.015418502202643172	1969646.0	core	84.54739205247957	False	True	True	False	True	True	-0.281185503180341	0.0983881000899589	0.28077106152556947
SC_RS12760		SCO2143	response regulator transcription factor	Response regulator	2303726	2304391	+	0	Shielded	666	0.7192192192192193	0.9684684684684685	0.05413971808976992	28.227747068558287	0.004524886877828055	1968634.5	core	42.26054101815341	False	True	True	False	True	True	0.0859218504176399	-0.0180552510036599	0.13607482678857494
SC_RS12805		SCO2152	response regulator	Response regulator	2314453	2314854	+	0	Shielded	402	0.7338308457711443	0.9776119402985075	0.06328318991980897	27.51844138937943	0.0	1958039.5	core	724.263250691306	False	True	True	False	True	False	2.1935946969463735	0.8813495465199951	0.16996995312226987
SC_RS12865		SCO2165	response regulator	Response regulator	2329632	2330315	-	0	Shielded	684	0.7280701754385965	0.9649122807017544	0.05058353032305585	30.090274758377404	0.00881057268722467	1942719.5	core	150.6684792439119	False	True	True	False	True	False	-0.1917678736915759	-0.8205573843554519	0.0748577822688316
SC_RS12870		SCO2166	sensor histidine kinase	Sensor kinase	2330312	2331562	-	0	Shielded	1251	0.7490007993605116	0.9544364508393285	0.04010770046062995	27.83764723820519	0.019230769230769232	1941756.0	core	244.22573572396024	False	True	True	False	True	True	0.3624581058940449	-0.1112134579366537	0.29296057603932
SC_RS12950		SCO2182	GntR family transcriptional regulator	GntR	2347778	2348401	+	0	Shielded	624	0.7291666666666666	0.9663461538461539	0.052017403467455314	28.672846075113235	0.00966183574879227	1924603.5	core	653.0853907130269	False	True	True	False	True	False	0.1300448292815365	-1.2898013310861227	0.16134298981471296
SC_RS12960		SCO2184	helix-turn-helix transcriptional regulator	HTH (other)	2351510	2352493	+	0	Shielded	984	0.766260162601626	0.9603658536585366	0.04603710327983801	30.628318271641568	0.009174311926605505	1920691.5	core	120.94147635144049	False	True	True	False	True	False	-0.8803507852391097	-0.7922177040933814	0.15094963310533768
SC_RS13040		SCO2201	winged helix-turn-helix transcriptional regulator	HTH (other)	2367728	2368099	+	0	Shielded	372	0.6881720430107527	0.9435483870967742	0.029219636718075703	31.88540649051629	0.04878048780487805	1904779.5	core	131.2293933228634	False	True	True	False	True	False	1.1184701124315022	0.5398959356228737	-0.2642807312774314
SC_RS13055		SCO2204	winged helix DNA-binding domain-containing protein	HTH (other)	2369767	2370954	+	0	Shielded	1188	0.7584175084175084	0.9570707070707071	0.04274195669200853	29.684022523992585	0.017721518987341773	1902332.5	core	409.2471312043717	False	True	True	False	True	False	-1.0196349081247655	-0.9047491597651256	0.2316546817500304
SC_RS13080		SCO2209	MarR family transcriptional regulator	MarR	2373706	2374182	+	0	Shielded	477	0.750524109014675	0.9245283018867925	0.01019955150809393	30.8810990913856	0.012658227848101266	1898749.0	core	34.70173270391689	False	True	True	False	True	False	-1.176980209290797	-0.2375145863869087	0.11995842992664783
SC_RS13095		SCO2213	winged helix-turn-helix domain-containing protein	HTH (other)	2376676	2377257	+	0	Shielded	582	0.7577319587628866	0.9484536082474226	0.0341248578687241	29.327270684736305	0.015544041450777202	1895726.5	core	262.7688439011004	False	True	True	False	True	False	3.2391391537497167	0.3073580305168484	0.11114399368488881
SC_RS13105		SCO2215	sensor histidine kinase	Sensor kinase	2378415	2379692	+	0	Shielded	1278	0.7300469483568075	0.9413145539906104	0.02698580361191183	30.981957595863932	0.023529411764705882	1893639.5	core	83.33975979442278	False	True	True	False	True	True	0.1740463422357375	0.1184888722834224	0.1947838647409897
SC_RS13110		SCO2216	response regulator transcription factor	Response regulator	2379677	2380330	+	0	Shielded	654	0.7186544342507645	0.926605504587156	0.012276754208457419	33.37219924792978	0.027649769585253458	1892689.5	core	92.81867285880524	False	True	True	False	True	False	0.7026718820417603	-0.6501962037044502	-0.024957065252458072
SC_RS13125		SCO2219	tetratricopeptide repeat protein	TetR	2382653	2383162	+	0	Shielded	510	0.7313725490196078	0.9588235294117647	0.0444947790330662	32.78114181398711	0.005917159763313609	1889785.5	core	324.65892635758723	False	True	True	False	True	False	1.0679047821279013	0.0140532438799603	0.0013752349983358375
SC_RS13145		SCO2223	TetR/AcrR family transcriptional regulator	TetR	2387313	2388005	+	0	Exposed	693	0.7171717171717171	0.935064935064935	0.020736184686236503	30.069585465709306	0.0391304347826087	1885034.0	core	90.32774609798872	False	True	True	False	True	False	-2.60408418536578	-1.9735548451329563	-0.01467025238525583
SC_RS13190		SCO2232	LacI family DNA-binding transcriptional regulator	LacI	2400651	2401685	+	0	Shielded	1035	0.7285024154589372	0.9710144927536232	0.05668574237492463	30.11277719978138	0.01744186046511628	1871525.0	core	692.3324377178212	False	True	True	False	True	False	-2.6587528765760107	-3.014788749218442	0.15423064121642804
SC_RS13245		SCO2243	TetR/AcrR family transcriptional regulator	TetR	2412355	2412933	+	0	Shielded	579	0.7305699481865285	0.9326424870466321	0.018313736667933567	31.5816824776092	0.010416666666666666	1860049.0	core	378.37154695198143	False	True	True	False	True	False	-2.2129166190388716	-2.231593541293908	0.14904722423366737
SC_RS13260			helix-turn-helix domain-containing protein	HTH (other)	2415233	2416084	-	0	Shielded	852	0.6936619718309859	0.8838028169014085	0.030525933477290046	36.2653370014321	0.0425531914893617	1857034.5	core	185.5758012846246	False	False	True	False	False	False	3.3663418540859613	2.6302577201069055	-1.2021679514714942
SC_RS13290		SCO2253	helix-turn-helix domain-containing protein	HTH (other)	2419629	2420483	-	0	Shielded	855	0.6736842105263158	0.8631578947368421	0.051170855641856416	37.73905452532077	0.056338028169014086	1852637.0	core	183.16468417916815	False	True	True	False	True	False	0.0608048760213377	-0.8337400916306739	-0.4768028403900803
SC_RS13320		SCO2259	BTAD domain-containing putative transcriptional regulator	Other regulatory	2426233	2430201	-	0	Shielded	3969	0.780549256739733	0.9327286470143613	0.01839989663566277	30.631834303140426	0.02798789712556732	1844476.0	core	551.1218648595018	False	True	True	False	True	False	-0.3773673343662351	-0.5392140257905679	1.0093360990426627
SC_RS13425		SCO2280	TetR/AcrR family transcriptional regulator	TetR	2449644	2450291	-	0	Shielded	648	0.7191358024691358	0.9351851851851852	0.02085643480648669	30.33924051253603	0.03255813953488372	1822725.5	core	105.05171467225016	False	True	True	False	True	False	-1.0387231218797262	-0.9867905897256142	0.010809281463174907
SC_RS13430		SCO2281	response regulator transcription factor	Response regulator	2450354	2451016	-	0	Shielded	663	0.7330316742081447	0.9502262443438914	0.03589749396519282	29.204133513084916	0.031818181818181815	1822008.0	core	120.60792635893034	False	True	True	False	True	False	-0.9623696723215917	-1.5733353252401	-0.001888128349229301
SC_RS13500		SCO2294	AraC family transcriptional regulator	AraC	2464222	2465058	-	0	Shielded	837	0.7634408602150538	0.9283154121863799	0.013986661807681378	31.147622861346008	0.025179856115107913	1808053.0	core	65.61806147225494	False	True	True	False	True	False	0.6234817397491822	1.8131433983272829	0.10966295387884487
SC_RS13505		SCO2295	MerR family transcriptional regulator	MerR	2465169	2465930	+	0	Shielded	762	0.7519685039370079	0.937007874015748	0.022679123637049492	32.17830509180854	0.02766798418972332	1807143.5	core	45.630660550657886	False	True	True	False	True	False	0.9337403745589276	0.746515597932877	-0.0038872172955390755
SC_RS13565		SCO2307	sensor histidine kinase	Sensor kinase	2475740	2476969	+	0	Shielded	1230	0.751219512195122	0.9414634146341463	0.02713466425544775	29.95273676683446	0.02444987775061125	1796338.5	core	71.57758056853949	False	True	True	False	True	False	0.4613973102298433	1.3771564574380442	0.20920533475580827
SC_RS13570		SCO2308	response regulator transcription factor	Response regulator	2477055	2477687	+	0	Shielded	633	0.7614533965244866	0.9620853080568721	0.04775655767817355	31.11559315385688	0.014285714285714285	1795322.0	core	93.5231459420066	False	True	True	False	True	True	-0.2386412437147756	-0.2343959113500175	-0.008711068916598912
SC_RS13625		SCO2319	TetR family transcriptional regulator	TetR	2490268	2490921	+	0	Shielded	654	0.7385321100917431	0.9587155963302753	0.044386845951576714	30.48239217174922	0.018433179723502304	1782098.5	core	379.7325519264314	False	True	True	False	True	False	-3.676026147414828	-3.638515644971294	0.04174750619026525
SC_RS13675		SCO2329	GlxA family transcriptional regulator	Other regulatory	2499573	2500565	-	0	Shielded	993	0.7321248741188319	0.9516616314199395	0.037332881041240995	29.604056998489597	0.01818181818181818	1772624.0	core	82.9406133493294	False	True	True	False	True	False	-0.5369601164110699	-0.4514581650295772	0.1585326761201967
SC_RS13685		SCO2331	MarR family winged helix-turn-helix transcriptional regulator	MarR	2501284	2501697	-	0	Shielded	414	0.7270531400966184	0.8840579710144928	0.030270779364205747	34.06077621853629	0.029197080291970802	1771202.5	core	120.31799399816698	False	True	True	False	True	False	-0.3417068151357726	-0.9691408901320198	-0.1983926848984506
SC_RS13825		SCO2358	response regulator transcription factor	Response regulator	2526064	2526708	-	0	Shielded	645	0.7085271317829457	0.9209302325581395	0.0066014821794410095	34.68576207143857	0.0514018691588785	1746307.0	core	194.2473101056032	False	True	True	False	True	False	0.2954205177531505	-0.5861368956282188	-0.2020304146837513
SC_RS13830		SCO2359	sensor histidine kinase	Sensor kinase	2526699	2527841	-	0	Shielded	1143	0.7427821522309711	0.926509186351706	0.012180435973007442	31.713592277650775	0.042105263157894736	1745423.0	core	241.20367661266437	False	True	True	False	True	False	0.1551476631430388	-0.6773139459439409	0.08585320331506287
SC_RS13905		SCO2374	TetR family transcriptional regulator	TetR	2544733	2545416	+	0	Shielded	684	0.7280701754385965	0.9385964912280702	0.024267740849371666	33.557824383735884	0.01762114537444934	1727618.5	core	173.37771126700756	False	True	True	False	True	False	-0.003092793300663	-1.0368606895309411	0.006269336350185054
SC_RS13925		SCO2378	MerR family transcriptional regulator	MerR	2548784	2549293	-	0	Shielded	510	0.7019607843137254	0.9352941176470588	0.02096536726836029	30.699680806943952	0.023668639053254437	1723654.5	core	138.70047425999994	False	True	True	False	True	False	2.0981626733944214	-0.3680801179068169	0.026327861155416427
SC_RS13940		SCO2381	helix-turn-helix domain-containing protein	HTH (other)	2550901	2551737	+	0	Shielded	837	0.6642771804062126	0.8817204301075269	0.032608320271171665	39.48293875069344	0.03597122302158273	1721374.0	core	214.37112605530012	False	True	True	False	True	False	1.9329857117297928	1.7450394251371244	-0.3180129182943173
SC_RS13965	fasR	SCO2386	fatty acid biosynthesis transcriptional regulator FasR	Other regulatory	2558045	2559250	+	0	Exposed	1206	0.7222222222222222	0.900497512437811	0.013831237940887586	35.256553609805344	0.0399002493765586	1714045.5	core	658.4212932136244	True	True	True	False	True	False	-1.3457214719384083	-2.008260763804589	0.5809537514759546
SC_RS14025		SCO2398	MarR family winged helix-turn-helix transcriptional regulator	MarR	2570030	2570485	+	0	Shielded	456	0.7368421052631579	0.9013157894736842	0.013012960905014359	32.682721153575415	0.026490066225165563	1702435.5	core	51.239061482067086	False	True	True	False	True	True	0.2031974271377919	0.1443779231901676	-0.05534880678671149
SC_RS14165		SCO2426	helix-turn-helix domain-containing protein	HTH (other)	2600318	2601529	+	0	Shielded	1212	0.7277227722772277	0.9306930693069307	0.016364318928232202	31.914476393056148	0.03722084367245657	1671769.5	core	155.95433362134705	False	True	True	False	True	False	3.9154492499711857	2.8643966373854615	0.10294783597023464
SC_RS14235		SCO2440	IclR family transcriptional regulator	IclR	2618647	2619420	-	0	Shielded	774	0.7325581395348837	0.9496124031007752	0.035283652722076675	30.29060575891627	0.019455252918287938	1653659.5	core	262.2713762970686	False	True	True	False	True	False	-0.8787910467248727	-1.3880668703730774	0.09758056985296666
SC_RS14245		SCO2442	FadR/GntR family transcriptional regulator	GntR	2620174	2620881	-	0	Shielded	708	0.748587570621469	0.9533898305084746	0.03906108012977605	30.403835186623496	0.01276595744680851	1652165.5	core	292.09979106832964	False	True	True	False	True	False	-0.9839733105279588	-2.610870559579532	0.11006073653992485
SC_RS14295		SCO2452	GAF domain-containing sensor histidine kinase	Sensor kinase	2638132	2639559	+	0	Shielded	1428	0.7780112044817927	0.9663865546218487	0.05205780424315021	29.047683985621298	0.008421052631578947	1633847.5	core	31.09430885986994	False	True	True	False	True	False	0.1926478495523862	3.00003986454776	0.2959733425749281
SC_RS14375		SCO2465	RNA polymerase sigma factor	Sigma factor	2653137	2654327	-	0	Shielded	1191	0.7388748950461796	0.9445843828715366	0.030255632492838025	29.136150790449577	0.022727272727272728	1618961.0	core	180.01092765029	False	True	True	False	True	False	-0.7841611672419613	-1.0229109840304074	0.24004205003552312
SC_RS14425		SCO2475	LysR family transcriptional regulator	LysR	2666940	2667869	+	0	Shielded	930	0.7623655913978494	0.9612903225806452	0.04696157220194663	29.212617063651244	0.019417475728155338	1605288.5	core	273.36539618885405	False	True	True	False	True	False	-0.3237729340935993	-0.9734052968109216	0.13025037956691915
SC_RS14455		SCO2481	winged helix-turn-helix transcriptional regulator	HTH (other)	2671552	2671941	-	0	Shielded	390	0.7307692307692307	0.9076923076923077	0.006636442686390853	36.23788497903832	0.031007751937984496	1600946.5	core	113.43425810753926	False	True	True	False	True	False	3.990337584269753	2.3947031682953623	-0.19461727907552057
SC_RS14495		SCO2489	TetR/AcrR family transcriptional regulator	TetR	2680340	2680924	+	0	Shielded	585	0.7538461538461538	0.9692307692307692	0.05490201885207069	28.58888165247848	0.010309278350515464	1592061.0	core	128.2703299012433	False	True	True	False	True	True	0.2172356621312726	-0.2858178620353691	0.06879273108709429
SC_RS14555		SCO2501	helix-turn-helix transcriptional regulator	HTH (other)	2698679	2699575	-	0	Shielded	897	0.7346711259754738	0.959866220735786	0.04553747035708744	30.552643371285782	0.020134228187919462	1573566.0	core	260.5901637232051	False	True	True	False	True	False	1.2367478968388692	0.2286381429775764	0.07356096163880278
SC_RS14590		SCO2508	Fur family transcriptional regulator	Other regulatory	2706801	2707220	+	0	Shielded	420	0.7261904761904762	0.9357142857142857	0.02138553533558718	30.30810528545058	0.02158273381294964	1565682.5	core	409.5827175584503	False	True	True	False	True	False	0.2684753890373882	-1.2530436141881485	0.06335600416600419
SC_RS14615		SCO2513	helix-turn-helix domain-containing protein	HTH (other)	2709485	2710318	+	0	Shielded	834	0.6534772182254197	0.8201438848920863	0.0941848654866122	39.856631908732034	0.10469314079422383	1562791.5	core	422.1794863938492	False	True	True	False	True	False	6.092668182947945	5.878463823536852	-1.0458512833316975
SC_RS14635		SCO2517	response regulator	Response regulator	2712740	2713435	-	0	Shielded	696	0.7198275862068966	0.9310344827586207	0.016705732379922122	30.92414464806723	0.03463203463203463	1559605.5	core	567.4292319832372	False	True	True	False	True	False	3.933775298413101	4.70711739702578	0.06652129100582845
SC_RS14640		SCO2518	sensor histidine kinase	Sensor kinase	2713432	2714709	-	0	Shielded	1278	0.7527386541471048	0.9460093896713615	0.03168063929266296	29.285481118043272	0.023529411764705882	1558622.5	core	1177.8693054626249	False	True	True	False	True	False	3.270367719518872	4.157825422496734	0.3763785802553746
SC_RS14725		SCO2535	MmcQ/YjbR family DNA-binding protein	Other regulatory	2733319	2733693	+	0	Shielded	375	0.6986666666666667	0.936	0.021671249621301514	31.61348751389932	0.03225806451612903	1539187.0	core	111.68991164181936	False	True	True	False	True	False	-0.7616220063997272	-1.4607530409999792	-0.10912394452638985
SC_RS14735		SCO2537	helix-turn-helix transcriptional regulator	HTH (other)	2735252	2736145	+	0	Shielded	894	0.7371364653243848	0.9865771812080537	0.07224843082935517	28.568794420134285	0.006734006734006734	1536994.5	core	193.96551896699512	False	True	True	False	True	False	0.8666976645231068	0.3154344215116983	0.11389043779565253
SC_RS14770		SCO2544	IclR family transcriptional regulator	IclR	2742662	2743459	+	0	Shielded	798	0.7330827067669173	0.9398496240601504	0.02552087368145184	31.05811876926282	0.03773584905660377	1529632.5	core	101.82492231043584	False	True	True	False	True	True	-0.1518813967867011	-0.0603560343986214	-0.02973202146559816
SC_RS14825	hrcA	SCO2555	heat-inducible transcriptional repressor HrcA	Repressor	2755007	2756023	-	0	Shielded	1017	0.6981317600786627	0.9174041297935103	0.0030753794148117297	32.418891037539616	0.05029585798816568	1517178.0	core	1822.4534551655368	True	True	True	False	True	False	-1.044164842858697	-1.900747543476363	0.7529527825488268
SC_RS14890		SCO2568	ComEA family DNA-binding protein	Other regulatory	2772442	2773509	-	0	Shielded	1068	0.7771535580524345	0.901685393258427	0.012643357120271537	33.71938584120623	0.059154929577464786	1499717.5	core	59.205795352220065	False	True	True	False	True	False	-2.0105519076520997	-0.6418952656362666	-0.14962391933674812
SC_RS15140	folC	SCO2614	bifunctional tetrahydrofolate synthase/dihydrofolate synthase	TetR	2837148	2838671	-	0	Shielded	1524	0.729002624671916	0.9803149606299213	0.06598621025122275	27.515959267478912	0.007889546351084813	1434783.5	core	1801.0098727810744	True	True	True	False	True	False	-1.063467177593841	-1.8826759215594064	1.0899268199472727
SC_RS15270		SCO2639	RNA polymerase sigma factor	Sigma factor	2870032	2870568	-	0	Exposed	537	0.7541899441340782	0.9329608938547486	0.018632143476050023	32.89443472827023	0.02247191011235955	1402393.0	core	57.65600978674502	False	True	True	False	True	False	-1.718484135527773	-1.28534328878955	-0.03559809206519558
SC_RS15295		SCO2644	LysR family transcriptional regulator	LysR	2876450	2877352	-	0	Shielded	903	0.7729789590254706	0.9568106312292359	0.04248188085053739	32.12332105709265	0.013333333333333334	1395792.0	core	215.8927181022056	False	True	True	False	True	False	-1.919461075886158	-1.982010456473929	0.0746837181325312
SC_RS15310		SCO2647	MarR family winged helix-turn-helix transcriptional regulator	MarR	2879447	2879965	+	0	Shielded	519	0.7321772639691715	0.930635838150289	0.01630708777159051	30.665837753263403	0.029069767441860465	1392987.0	core	99.63292564152847	False	True	True	False	True	False	-1.77383748861616	-1.2710693903917574	0.0069937470211441565
SC_RS15335		SCO2652	Rrf2 family transcriptional regulator	Other regulatory	2884084	2884518	+	0	Shielded	435	0.696551724137931	0.903448275862069	0.010880474516629546	34.83130627495486	0.034722222222222224	1388392.0	core	230.36682014612765	False	True	True	False	True	False	-1.5646365908289377	-2.243959053623726	-0.16168647955665896
SC_RS15360		SCO2657	ROK family transcriptional regulator	ROK	2888309	2889526	+	0	Shielded	1218	0.7717569786535303	0.9556650246305419	0.041336274251843386	28.335141510938804	0.024691358024691357	1383775.5	core	132.913041570395	False	True	True	False	True	False	-1.5708917691090083	-0.8926308285467408	0.20871205671259543
SC_RS15485	fxsT	SCO2681	FxSxx-COOH system tetratricopeptide repeat protein	TetR	2920569	2922815	+	0	Exposed	2247	0.715175789942145	0.910547396528705	0.003781353849993563	29.82669654535851	0.034759358288770054	1351001.0	core	170.0691728781177	True	True	True	False	True	False	-1.633740595502153	-0.8112210531302011	1.071590998849246
SC_RS15495		SCO2683	single-stranded DNA-binding protein	Other regulatory	2924515	2924985	-	0	Shielded	471	0.7282377919320594	0.9363057324840764	0.021976982105377907	34.09857872853232	0.038461538461538464	1347943.0	core	24.55170085076515	False	True	True	False	True	False	-0.3940206184391142	0.9795753000822814	-0.22599106226066304
SC_RS15515		SCO2686	helix-turn-helix domain-containing protein	HTH (other)	2929823	2930719	-	0	Shielded	897	0.725752508361204	0.9297658862876255	0.015437135908926924	32.262245315260344	0.026845637583892617	1342422.0	core	125.4531595522996	False	True	True	False	True	False	-1.5827249334929254	-1.3767405170624916	0.0769277818545308
SC_RS15725			helix-turn-helix transcriptional regulator	HTH (other)	2975426	2975617	+	0	Shielded	192	0.6979166666666666	0.953125	0.03879624962130146	39.675324675324674	0.015873015873015872	1297171.5	core	6.830690689528868	False	False	True	False	True	False	0.0320726027281723	2.6047541995235464	-1.3745802935011215
SC_RS15755		SCO2734	LysR family transcriptional regulator	LysR	2980555	2981592	+	0	Shielded	1038	0.7418111753371869	0.8988439306358381	0.015484819742860423	32.907330159931604	0.02608695652173913	1291619.5	core	106.96026275672617	False	True	True	False	True	True	0.4154366638885007	0.448276174577196	0.09555058272561166
SC_RS15795		SCO2742	RNA polymerase sigma-70 factor	Sigma factor	2988198	2989145	-	0	Shielded	948	0.7141350210970464	0.9493670886075949	0.03503833822889635	30.68397336576709	0.015873015873015872	1284021.5	core	51.18329125846741	False	True	True	False	True	False	0.3350555672221927	1.040034848378357	0.13003566861532406
SC_RS15810		SCO2745	LacI family DNA-binding transcriptional regulator	LacI	2990408	2991451	+	0	Shielded	1044	0.75	0.9454022988505747	0.031073548471876156	31.513207392219215	0.008645533141210375	1281763.5	core	57.81529233338171	False	True	True	False	True	False	-1.3714511419142328	0.7850321083004397	0.195306054817362
SC_RS15850		SCO2753	LacI family DNA-binding transcriptional regulator	LacI	2999879	3000925	+	0	Shielded	1047	0.7564469914040115	0.9656160458452722	0.051287295466573624	29.388072178743293	0.02586206896551724	1272291.0	core	185.9979143141286	False	True	True	False	True	False	-0.8557136270428685	-1.226961921224731	0.08144364601024463
SC_RS15870		SCO2757	LysR family transcriptional regulator	LysR	3003658	3004599	+	0	Shielded	942	0.7738853503184714	0.9554140127388535	0.04108526236015497	30.11519472538096	0.019169329073482427	1268564.5	core	112.50948375935133	False	True	True	False	True	False	-0.8118953385157253	-0.6874407708364342	0.1076531956914754
SC_RS15920		SCO2767	tetratricopeptide repeat protein	TetR	3017260	3019491	-	0	Shielded	2232	0.7558243727598566	0.9193548387096774	0.0050260883309788396	31.833931070931918	0.024226110363391656	1254317.5	core	431.07625851026467	False	True	True	False	True	False	1.7200093967983034	1.594174545525192	0.5593242576816089
SC_RS15960		SCO2775	SACE_7040 family transcriptional regulator	Other regulatory	3026790	3027416	-	0	Shielded	627	0.759170653907496	0.9904306220095693	0.07610187163087079	29.680153128345356	0.009615384615384616	1245590.0	core	106.38690518601938	False	True	True	False	True	False	-1.4558761315398885	-0.9678360718244836	-0.045997286113107876
SC_RS16045		SCO2792	helix-turn-helix domain-containing protein	HTH (other)	3047135	3048331	+	0	Shielded	1197	0.7577276524644946	0.9523809523809523	0.03805220200225379	29.02078201798617	0.022613065326633167	1224960.0	core	3179.369312161971	False	True	True	False	True	False	0.2855693917650436	-0.9746473527845678	0.6024548275185826
SC_RS16060		SCO2794	LacI family DNA-binding transcriptional regulator	LacI	3049837	3050892	-	0	Shielded	1056	0.7433712121212122	0.9403409090909091	0.02601215871221052	28.761382124642964	0.02564102564102564	1222328.5	core	548.8928678157217	False	True	True	False	True	False	-0.6934597498605036	-1.6364304760804471	0.2617848895533482
SC_RS16090		SCO2800	sensor histidine kinase	Sensor kinase	3057814	3059226	-	0	Shielded	1413	0.7572540693559802	0.9341825902335457	0.019853839854847122	29.44670977008601	0.023404255319148935	1214173.0	core	162.40548075896493	False	True	True	False	True	False	1.111192488293643	0.7507773718523268	0.3270161807464955
SC_RS16095		SCO2801	response regulator transcription factor	Response regulator	3059223	3059927	-	0	Shielded	705	0.7191489361702128	0.9106382978723404	0.003690452506358133	31.854537679151825	0.021367521367521368	1213118.0	core	74.66291734363038	False	True	True	False	True	False	1.2286063475604352	0.8671293521525472	0.12020029789632503
SC_RS16145		SCO2811	ArsR/SmtB family transcription factor	ArsR	3070230	3070556	-	0	Shielded	327	0.7125382262996942	0.8807339449541285	0.03359480542457005	29.965437106330583	0.046296296296296294	1202300.0	core	111.0455956627134	False	True	True	False	True	False	-0.4866504761710769	-0.8824422814679996	-0.21303769647325346
SC_RS16165		SCO2815	TetR/AcrR family transcriptional regulator	TetR	3073685	3074278	+	0	Shielded	594	0.7474747474747475	0.9343434343434344	0.020014683964735824	30.15100705248829	0.01015228426395939	1198711.5	core	77.2092678793532	False	True	True	False	True	False	-1.4534602602806237	-1.1859246198780466	0.1589457089556732
SC_RS16255		SCO2832	IclR family transcriptional regulator	IclR	3090979	3091737	+	0	Shielded	759	0.7444005270092227	0.9841897233201581	0.06986097294145954	27.66143207925802	0.011904761904761904	1181335.0	core	881.1748139589308	False	True	True	False	True	False	2.6017573397032967	2.2364630798813243	0.171992843186636
