SCO_ID	gene_id	gene_name	contig	start	end	strand	pfam_TF_flag	tf_related_domains	all_domains	ZorroAranda_regulator_type	CastroMelchor_regulator_flag	sigma_flag	sigma_group	TF_family	source_flags	product
SCO0857	SC_RS06215		chromosome	904019	904747	+	yes	TetR_N	TetR_C_16;TetR_N	NA	1	no	NA	TetR	pfam;CastroMelchor	TetR/AcrR family transcriptional regulator
SCO0858	SC_RS06220		chromosome	905000	905377	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0859	SC_RS06225		chromosome	905546	906055	-	no		LpqE-like	NA	0	no	NA	NA	NA	copper chaperone PCu(A)C
SCO0860	SC_RS06230		chromosome	906052	908340	-	no		E1-E2_ATPase;HMA;Hydrolase;Hydrolase_3	NA	0	no	NA	NA	NA	heavy metal translocating P-type ATPase
SCO0861	SC_RS06235		chromosome	908340	908609	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0862	SC_RS06240		chromosome	908813	909472	-	no		DUF5134	NA	0	no	NA	NA	NA	DUF5134 domain-containing protein
SCO0863	SC_RS06245		chromosome	909469	910926	-	no		PepSY_TM	NA	0	no	NA	NA	NA	PepSY-associated TM helix domain-containing protein
SCO0864	SC_RS06250		chromosome	911343	911939	-	yes	Sigma70_r2;Sigma70_r4;Sigma70_r4_2	Sigma70_r2;Sigma70_r4;Sigma70_r4_2	NA	1	yes	sigma70_unclassified	Sigma	pfam;CastroMelchor;SigmaReview	sigma-70 family RNA polymerase sigma factor
SCO0865	SC_RS06255		chromosome	912092	912862	-	no			NA	1	no	NA	NA	CastroMelchor	hypothetical protein
SCO0866	SC_RS06260		chromosome	912931	913572	-	yes	Sigma70_ECF;Sigma70_r2;Sigma70_r4;Sigma70_r4_2	Sigma70_ECF;Sigma70_r2;Sigma70_r4;Sigma70_r4_2	NA	1	yes	sigma70_unclassified	Sigma	pfam;CastroMelchor;SigmaReview	sigma-70 family RNA polymerase sigma factor
SCO0867	SC_RS06265		chromosome	913768	914472	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0868	SC_RS06270		chromosome	914827	915270	-	no		HATPase_c;HATPase_c_2	NA	1	no	NA	NA	CastroMelchor	ATP-binding protein
SCO0869	SC_RS06275		chromosome	915341	915715	-	no		STAS;STAS_2	NA	1	no	NA	NA	CastroMelchor	STAS domain-containing protein
SCO0870	SC_RS06280		chromosome	916336	916785	-	yes	Response_reg	Response_reg	NA	1	no	NA	TCS_response_regulator	pfam;CastroMelchor	response regulator
SCO0871	SC_RS06285		chromosome	916782	918377	-	no		CHASE3;HAMP;HATPase_c;HisKA	NA	1	no	NA	NA	CastroMelchor	sensor histidine kinase
SCO0872	SC_RS06290		chromosome	918438	919640	-	yes	Response_reg	Response_reg;SpoIIE	NA	1	no	NA	TCS_response_regulator	pfam;CastroMelchor	PP2C family protein-serine/threonine phosphatase
SCO0874	SC_RS06295		chromosome	920727	921419	-	no		Cation_efflux	NA	0	no	NA	NA	NA	cation transporter
SCO0875	SC_RS06300		chromosome	921420	921755	-	yes	HTH_20;HTH_5;MarR_2	HTH_20;HTH_5;HVO_A0261_N;MarR_2	NA	0	no	NA	MarR	pfam	ArsR/SmtB family transcription factor
SCO0876	SC_RS06305		chromosome	921927	922175	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0877	SC_RS06310		chromosome	922247	924913	+	yes	GerE	AAA_16;GerE	global	1	no	NA	LuxR	pfam;ZorroAranda;CastroMelchor	helix-turn-helix transcriptional regulator
SCO0878	SC_RS06315		chromosome	924992	925795	+	no		Abhydrolase_1;Abhydrolase_6;Hydrolase_4	NA	0	no	NA	NA	NA	alpha/beta fold hydrolase
	SC_RS06325		chromosome	926261	926569	+	no			NA	0	no	NA	NA	NA	ATP-binding cassette domain-containing protein
	SC_RS06330		chromosome	926566	926889	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0880	SC_RS06335		chromosome	926859	927332	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0881	SC_RS06340		chromosome	927534	928499	-	no		Pirin;Pirin_C	NA	0	no	NA	NA	NA	pirin family protein
SCO0882	SC_RS06345		chromosome	928670	929017	+	no		TPR_14;TPR_16;TPR_19	NA	0	no	NA	NA	NA	tetratricopeptide repeat protein
SCO0883	SC_RS06350		chromosome	929061	929717	+	no		Pep_deformylase	NA	0	no	NA	NA	NA	peptide deformylase
SCO0884	SC_RS06355		chromosome	929779	931212	-	no		Pyr_redox;Pyr_redox_2;Pyr_redox_3;Pyr_redox_dim	NA	0	no	NA	NA	NA	dihydrolipoyl dehydrogenase family protein
SCO0885	SC_RS06360	trxA	chromosome	931333	931737	+	no		Thioredoxin;Thioredoxin_2;Thioredoxin_8;Thioredoxin_9	NA	0	no	NA	NA	NA	thioredoxin
SCO0886	SC_RS06365		chromosome	931757	932791	-	yes	LacI;Peripla_BP_3	LacI;Peripla_BP_3	NA	1	no	NA	LacI	pfam;CastroMelchor	LacI family DNA-binding transcriptional regulator
SCO0887	SC_RS06370		chromosome	932864	933568	-	yes	TetR_N	TetR_N	NA	1	no	NA	TetR	pfam;CastroMelchor	TetR/AcrR family transcriptional regulator
SCO0888	SC_RS06375		chromosome	933708	934271	+	no		FMN_red;Flavodoxin_2	NA	0	no	NA	NA	NA	NAD(P)H-dependent oxidoreductase
SCO0889	SC_RS06380		chromosome	934332	935237	-	yes	HTH_1;LysR_substrate	HTH_1;LysR_substrate	NA	1	no	NA	LysR	pfam;CastroMelchor	LysR family transcriptional regulator
	SC_RS06385		chromosome	935379	935582	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0890	SC_RS06390		chromosome	935622	936329	-	no		ADH_zinc_N;Epimerase;NAD_binding_10;adh_short;adh_short_C2	NA	0	no	NA	NA	NA	SDR family NAD(P)-dependent oxidoreductase
SCO0891	SC_RS06395		chromosome	936431	937270	+	yes	HTH_3;HTH_31	HTH_3;HTH_31;MLTR_LBD	NA	1	no	NA	HTH_other	pfam;CastroMelchor	helix-turn-helix transcriptional regulator
SCO0892	SC_RS06400		chromosome	937290	938240	-	no		TerC	NA	0	no	NA	NA	NA	TerC family protein
SCO0893	SC_RS06405		chromosome	938389	939612	+	no		PS_pyruv_trans	NA	0	no	NA	NA	NA	polysaccharide pyruvyl transferase family protein
SCO0894	SC_RS06410		chromosome	939627	941063	+	no		DAO;FAD_binding_2;FAD_oxidored	NA	0	no	NA	NA	NA	FAD-dependent oxidoreductase
SCO0895	SC_RS06415		chromosome	941071	942090	-	yes	Sigma70_r1_2;Sigma70_r2;Sigma70_r3;Sigma70_r4	Sigma70_r1_2;Sigma70_r2;Sigma70_r3;Sigma70_r4	NA	1	yes	sigma70_group2	Sigma	pfam;CastroMelchor;SigmaReview	sigma-70 family RNA polymerase sigma factor
	SC_RS06420		chromosome	942116	942370	-	no		DUF6343	NA	0	no	NA	NA	NA	DUF6343 family protein
SCO0896	SC_RS06425		chromosome	942453	942878	-	no		CBS	NA	0	no	NA	NA	NA	CBS domain-containing protein
SCO0897	SC_RS06430		chromosome	942974	943408	-	no		PCC	NA	0	no	NA	NA	NA	PPC domain-containing DNA-binding protein
SCO0898	SC_RS06435		chromosome	943851	945833	-	yes	BTAD;Trans_reg_C	BTAD;Trans_reg_C	NA	1	no	NA	SARP	pfam;CastroMelchor	AfsR/SARP family transcriptional regulator
SCO0899	SC_RS06440		chromosome	946063	946941	+	no		Abhydrolase_1;Abhydrolase_6;Hydrolase_4	NA	0	no	NA	NA	NA	alpha/beta fold hydrolase
SCO0900	SC_RS06445		chromosome	947027	948310	+	no		MFS_1;MFS_3	NA	0	no	NA	NA	NA	MFS transporter
SCO0901	SC_RS06450		chromosome	948674	949705	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0902	SC_RS06455		chromosome	949864	950292	-	no		Glyoxalase	NA	0	no	NA	NA	NA	VOC family protein
SCO0903	SC_RS06465		chromosome	950560	950811	+	no			NA	0	no	NA	NA	NA	ArsR/SmtB family transcription factor
SCO0904	SC_RS06470		chromosome	950808	951122	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0906	SC_RS06480		chromosome	951452	951874	-	no		PNPOx_N	NA	0	no	NA	NA	NA	PPOX class F420-dependent oxidoreductase
SCO0907	SC_RS06485		chromosome	951968	952858	-	no		ApbA;F420_oxidored;KARI_N;NAD_binding_11;NAD_binding_2	NA	0	no	NA	NA	NA	NAD(P)-dependent oxidoreductase
SCO0908	SC_RS06490		chromosome	952991	953455	+	no		PemK_toxin	NA	0	no	NA	NA	NA	type II toxin-antitoxin system PemK/MazF family toxin
SCO0909	SC_RS06495		chromosome	953440	954279	-	no		PARG_cat_microb	NA	0	no	NA	NA	NA	TIGR02452 family protein
SCO0910	SC_RS06500	egtA	chromosome	954566	955867	+	no		GCS2	NA	0	no	NA	NA	NA	ergothioneine biosynthesis glutamate--cysteine ligase EgtA
SCO0911	SC_RS06505	egtB	chromosome	955864	957204	+	no		DinB_2;FGE-sulfatase	NA	0	no	NA	NA	NA	ergothioneine biosynthesis protein EgtB
SCO0912	SC_RS06510	egtC	chromosome	957204	958019	+	no		GATase_4	NA	0	no	NA	NA	NA	ergothioneine biosynthesis protein EgtC
SCO0913	SC_RS06515	egtD	chromosome	958016	958987	+	no		Methyltransf_33	NA	0	no	NA	NA	NA	L-histidine N(alpha)-methyltransferase
SCO0914	SC_RS06520		chromosome	959024	960292	-	no		SBP_bac_1;SBP_bac_8	NA	0	no	NA	NA	NA	extracellular solute-binding protein
SCO0915	SC_RS06525		chromosome	960543	960758	+	no		Dodecin	NA	0	no	NA	NA	NA	dodecin
SCO0916	SC_RS06530		chromosome	960792	961283	-	no		HAD_PNKP;LNS2_PITM1-3	NA	0	no	NA	NA	NA	phosphatase domain-containing protein
SCO0917	SC_RS06535		chromosome	961534	962553	+	no		Bac_luciferase	NA	0	no	NA	NA	NA	LLM class flavin-dependent oxidoreductase
SCO0918	SC_RS06540		chromosome	962596	964941	+	no		AAA_21;AAA_29;ABC_tran;DnaJ_CXXCXGXG;UvrA_DNA-bind	NA	0	no	NA	NA	NA	ATP-binding cassette domain-containing protein
SCO0919	SC_RS06545		chromosome	964984	965943	-	no		DUF2382;PRC	NA	0	no	NA	NA	NA	DUF2382 domain-containing protein
SCO0920	SC_RS06550		chromosome	966016	966843	-	no		Acyltransferase	NA	0	no	NA	NA	NA	lysophospholipid acyltransferase family protein
SCO0921	SC_RS06555		chromosome	966843	967613	-	no		Acetyltransf_5	NA	0	no	NA	NA	NA	GNAT family N-acetyltransferase
SCO0922	SC_RS06560		chromosome	967895	968641	-	no		Fer2_3;Fer4;Fer4_10;Fer4_17;Fer4_7;Fer4_8;Fer4_9	NA	0	no	NA	NA	NA	succinate dehydrogenase/fumarate reductase iron-sulfur subunit
SCO0923	SC_RS06565		chromosome	968638	970587	-	no		DAO;FAD_binding_2;Pyr_redox_2;Succ_DH_flav_C	NA	0	no	NA	NA	NA	fumarate reductase/succinate dehydrogenase flavoprotein subunit
SCO0924	SC_RS06570		chromosome	970589	971260	-	no			NA	0	no	NA	NA	NA	succinate dehydrogenase cytochrome b subunit
SCO0925	SC_RS06575		chromosome	971392	972276	+	yes	HTH_1;LysR_substrate	HTH_1;LysR_substrate	NA	1	no	NA	LysR	pfam;CastroMelchor	LysR family transcriptional regulator
SCO0926	SC_RS06580		chromosome	972311	973210	-	no		NAD_binding_10;NmrA	NA	0	no	NA	NA	NA	NAD(P)H-binding protein
SCO0927	SC_RS06585		chromosome	973388	974224	+	yes	HTH_1;LysR_substrate	HTH_1;LysR_substrate	NA	1	no	NA	LysR	pfam;CastroMelchor	LysR family transcriptional regulator
SCO0928	SC_RS06590	rmdA	chromosome	974312	976456	-	no		EAL;GGDEF;PAS;PAS_3;PAS_4;PAS_8;PAS_9	NA	0	no	NA	NA	NA	cyclic Di-GMP phosphodiesterase RmdA
SCO0929	SC_RS06595		chromosome	976453	977265	-	no		Methyltransf_19	NA	0	no	NA	NA	NA	SAM-dependent methyltransferase
SCO0930	SC_RS06600		chromosome	977491	978444	-	no		Lipoprotein_15	NA	0	no	NA	NA	NA	SCO0930 family lipoprotein
SCO0931	SC_RS06605		chromosome	978767	979324	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0932	SC_RS06610		chromosome	979340	980104	+	no		Bestrophin-like	NA	0	no	NA	NA	NA	bestrophin-like domain
SCO0933	SC_RS06615		chromosome	980316	980834	+	no			NA	0	no	NA	NA	NA	lipoprotein
SCO0934	SC_RS06620		chromosome	980917	981411	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0935	SC_RS06625		chromosome	981742	982407	+	no		Sortase	NA	0	no	NA	NA	NA	class F sortase
SCO0936	SC_RS06630		chromosome	982439	983278	-	no		Polysacc_deac_1	NA	0	no	NA	NA	NA	polysaccharide deacetylase family protein
SCO0937	SC_RS06635		chromosome	983389	983850	+	no		Usp	NA	0	no	NA	NA	NA	universal stress protein
SCO0938	SC_RS06640		chromosome	983971	985377	+	no		AA_permease;AA_permease_2;AA_permease_C;Spore_permease	NA	0	no	NA	NA	NA	amino acid permease
SCO0939	SC_RS06645		chromosome	985374	986189	-	no		Abhydrolase_1;Abhydrolase_6;Hydrolase_4	NA	0	no	NA	NA	NA	alpha/beta fold hydrolase
SCO0940	SC_RS06650		chromosome	986247	986720	+	yes	MarR_2	MarR_2	NA	0	no	NA	MarR	pfam	MarR family winged helix-turn-helix transcriptional regulator
SCO0941	SC_RS06655		chromosome	986722	987876	-	no		PGA_cap	NA	0	no	NA	NA	NA	CapA family protein
SCO0942	SC_RS06660		chromosome	988130	988684	+	yes	Sigma70_ECF;Sigma70_r2;Sigma70_r4;Sigma70_r4_2	Sigma70_ECF;Sigma70_r2;Sigma70_r4;Sigma70_r4_2	NA	0	yes	sigma70_unclassified	Sigma	pfam;SigmaReview	sigma-70 family RNA polymerase sigma factor
SCO0943	SC_RS06665		chromosome	988826	989341	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0944	SC_RS06670		chromosome	989560	990210	+	no		zf-HC2	NA	0	no	NA	NA	NA	zf-HC2 domain-containing protein
SCO0945	SC_RS06675		chromosome	990249	991112	-	no		Fapy_DNA_glyco;H2TH;zf-FPG_IleRS	NA	0	no	NA	NA	NA	Fpg/Nei family DNA glycosylase
SCO0946	SC_RS06680		chromosome	991153	993243	-	no		GAF_2;HATPase_c_2;PAS;PAS_3;SpoIIE	NA	1	no	NA	NA	CastroMelchor	SpoIIE family protein phosphatase
SCO0947	SC_RS06685		chromosome	993366	994778	+	no		LMF1;LMF1_C	NA	0	no	NA	NA	NA	lipase maturation factor family protein
SCO0948	SC_RS06690		chromosome	994798	997821	-	no		Alpha-mann_mid;Ams1-like_1st;Glyco_hydro38C2;Glyco_hydro_38C;Glyco_hydro_38N	NA	0	no	NA	NA	NA	alpha-mannosidase
SCO0949	SC_RS06695		chromosome	997963	999210	-	no			NA	0	no	NA	NA	NA	glycoside hydrolase 5 family protein
SCO0950	SC_RS06700		chromosome	999242	1000162	-	no		BPD_transp_1	NA	0	no	NA	NA	NA	carbohydrate ABC transporter permease
SCO0951	SC_RS06705		chromosome	1000159	1001091	-	no		BPD_transp_1	NA	0	no	NA	NA	NA	carbohydrate ABC transporter permease
SCO0952	SC_RS06710		chromosome	1001098	1002390	-	no		SBP_bac_1;SBP_bac_8	NA	0	no	NA	NA	NA	ABC transporter substrate-binding protein
SCO0953	SC_RS06715		chromosome	1002624	1003673	+	yes	LacI;Peripla_BP_1;Peripla_BP_3	LacI;Peripla_BP_1;Peripla_BP_3	NA	1	no	NA	LacI	pfam;CastroMelchor	LacI family DNA-binding transcriptional regulator
SCO0954	SC_RS06725		chromosome	1003996	1004478	-	no		Acetyltransf_1;Acetyltransf_7	NA	0	no	NA	NA	NA	GNAT family N-acetyltransferase
SCO0955	SC_RS06730		chromosome	1004534	1004710	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0956	SC_RS06735		chromosome	1005186	1005641	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0957	SC_RS06740		chromosome	1005700	1007202	-	no		adh_short;adh_short_C2	NA	0	no	NA	NA	NA	SDR family NAD(P)-dependent oxidoreductase
SCO0958	SC_RS06745		chromosome	1007306	1008646	-	no		WS_DGAT_C;WS_DGAT_cat	NA	0	no	NA	NA	NA	wax ester/triacylglycerol synthase family O-acyltransferase
SCO0959	SC_RS06750		chromosome	1008835	1011153	-	no		Glyco_hydro_92;Glyco_hydro_92N	NA	0	no	NA	NA	NA	GH92 family glycosyl hydrolase
SCO0960	SC_RS06755		chromosome	1011212	1013830	-	no		Glyco_hydro_2;Glyco_hydro_2_C;Glyco_hydro_2_N;Glyco_hydro_2_N2;PA14	NA	0	no	NA	NA	NA	glycoside hydrolase family 2
SCO0961	SC_RS06760	glgC	chromosome	1014030	1015250	-	no		Hexapep_GlmU;LbH_EIF2B;NTP_transferase	NA	0	no	NA	NA	NA	glucose-1-phosphate adenylyltransferase
SCO0962	SC_RS06765	glgA	chromosome	1015300	1016463	-	no		GT4-conflict;Glyco_trans_1_2;Glyco_trans_1_4;Glyco_trans_4_4;Glyco_transf_4;Glycos_transf_1	NA	0	no	NA	NA	NA	glycogen synthase
SCO0963	SC_RS06770		chromosome	1016501	1017394	-	no		FhuF_C	NA	0	no	NA	NA	NA	(2Fe-2S)-binding protein
SCO0964	SC_RS06775		chromosome	1017707	1018138	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0965	SC_RS06780		chromosome	1018179	1018838	-	no		F420_oxidored	NA	0	no	NA	NA	NA	NADPH-dependent F420 reductase
SCO0966	SC_RS06785		chromosome	1018944	1019903	-	no		3Beta_HSD;Epimerase;GDP_Man_Dehyd;NAD_binding_10;NmrA	NA	0	no	NA	NA	NA	SDR family oxidoreductase
SCO0967	SC_RS06790		chromosome	1019971	1020594	-	no		F420_oxidored;NAD_binding_2	NA	0	no	NA	NA	NA	NADPH-dependent F420 reductase
SCO0968	SC_RS06795		chromosome	1020695	1021237	-	no		Bac_luciferase	NA	0	no	NA	NA	NA	LLM class flavin-dependent oxidoreductase
SCO0969	SC_RS06800		chromosome	1021386	1022009	-	no		F420_oxidored;Shikimate_DH	NA	0	no	NA	NA	NA	NADPH-dependent F420 reductase
SCO0970	SC_RS06805		chromosome	1022079	1022813	-	no		KR;adh_short;adh_short_C2	NA	0	no	NA	NA	NA	SDR family NAD(P)-dependent oxidoreductase
SCO0971	SC_RS06810		chromosome	1023053	1023964	+	yes	HTH_1;LysR_substrate	HTH_1;LysR_substrate	NA	1	no	NA	LysR	pfam;CastroMelchor	LysR family transcriptional regulator
SCO0972	SC_RS06815		chromosome	1024039	1024383	+	no			NA	0	no	NA	NA	NA	transposase
SCO0973	SC_RS06820		chromosome	1024508	1025767	+	no		Mg_trans_NIPA	NA	0	no	NA	NA	NA	DMT family transporter
SCO0974	SC_RS06825	rpfD	chromosome	1025757	1027076	-	no		LysM;Peptidase_M23;Transglycosylas	NA	0	no	NA	NA	NA	resuscitation-promoting factor protein RpfD
SCO0975	SC_RS06830	gndA	chromosome	1027393	1028832	+	no		6PGD;NAD_binding_2	NA	0	no	NA	NA	NA	NADP-dependent phosphogluconate dehydrogenase
SCO0977	SC_RS06840		chromosome	1029991	1030335	-	no		Acetyltransf_CG	NA	0	no	NA	NA	NA	GNAT family N-acetyltransferase
SCO0978	SC_RS06845	panD	chromosome	1030387	1030806	-	no		Asp_decarbox	NA	0	no	NA	NA	NA	aspartate 1-decarboxylase
	SC_RS06850		chromosome	1030849	1030986	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0979	SC_RS06855		chromosome	1031136	1031402	-	no		SpoIIE	NA	0	no	NA	NA	NA	SpoIIE family protein phosphatase
SCO0981	SC_RS06865		chromosome	1031976	1033445	-	yes	HTH_19;HTH_3;HTH_31	HTH_19;HTH_3;HTH_31;Peptidase_M78;ScfRs	NA	0	no	NA	HTH_other	pfam	short-chain fatty acyl-CoA regulator family protein
SCO0982	SC_RS06870	aceA	chromosome	1033827	1035107	+	no		ICL;PEP_mutase	NA	0	no	NA	NA	NA	isocitrate lyase
SCO0983	SC_RS06875	aceB	chromosome	1035208	1036800	+	no		MS_C;MS_N;MS_TIM-barrel	NA	0	no	NA	NA	NA	malate synthase A
SCO0984	SC_RS06880		chromosome	1036797	1037666	+	no		3HCDH;3HCDH_N	NA	0	no	NA	NA	NA	3-hydroxybutyryl-CoA dehydrogenase
SCO0985	SC_RS06885	metE	chromosome	1038243	1040561	+	no		Meth_synt_1;Meth_synt_2	NA	0	no	NA	NA	NA	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
SCO0986	SC_RS06890		chromosome	1040764	1041465	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0987	SC_RS06895		chromosome	1041692	1043245	+	no		PepSY;PepSY_TM	NA	0	no	NA	NA	NA	PepSY-associated TM helix domain-containing protein
SCO0988	SC_RS06900		chromosome	1043385	1043969	+	no		Acetyltransf_1;Acetyltransf_7	NA	0	no	NA	NA	NA	GNAT family N-acetyltransferase
SCO0989	SC_RS06905		chromosome	1043990	1044382	-	no			NA	0	no	NA	NA	NA	(2Fe-2S) ferredoxin domain-containing protein
SCO0990	SC_RS06910		chromosome	1044679	1045668	-	no		Ferric_reduct	NA	0	no	NA	NA	NA	ferric reductase-like transmembrane domain-containing protein
SCO0991	SC_RS06915		chromosome	1046251	1047114	+	no		GHMP_kinases_N	NA	0	no	NA	NA	NA	GHMP family kinase ATP-binding protein
SCO0992	SC_RS06920		chromosome	1047111	1048133	+	no		PALP	NA	0	no	NA	NA	NA	cysteine synthase family protein
SCO0993	SC_RS06925		chromosome	1048130	1049368	+	no		ATP-grasp_3;ATP-grasp_4;ATPgrasp_N;LAL_C2	NA	0	no	NA	NA	NA	ATP-grasp domain-containing protein
SCO0994	SC_RS06930		chromosome	1049361	1050626	+	no		LacY_symp;MFS_1	NA	0	no	NA	NA	NA	MDR family MFS transporter
SCO0995	SC_RS06935		chromosome	1050595	1051344	+	no		FtsJ;MTS;Methyltransf_11;Methyltransf_12;Methyltransf_23;Methyltransf_25;Methyltransf_31;Ubie_methyltran	NA	0	no	NA	NA	NA	class I SAM-dependent methyltransferase
SCO0996	SC_RS06940		chromosome	1051613	1052656	+	no		Peripla_BP_2	NA	0	no	NA	NA	NA	ABC transporter substrate-binding protein
SCO0997	SC_RS06945		chromosome	1052653	1053768	+	no		FecCD	NA	0	no	NA	NA	NA	FecCD family ABC transporter permease
SCO0998	SC_RS06950		chromosome	1053765	1054583	+	no		AAA_16;AAA_21;ABC_tran;SMC_N	NA	0	no	NA	NA	NA	ABC transporter ATP-binding protein
SCO0999	SC_RS06955		chromosome	1054754	1055401	-	no		Sod_Fe_C;Sod_Fe_N	NA	0	no	NA	NA	NA	superoxide dismutase
SCO1000	SC_RS06960		chromosome	1055883	1056995	-	no		Phage_integrase	NA	0	no	NA	NA	NA	tyrosine-type recombinase/integrase
SCO1001	SC_RS06965		chromosome	1057387	1057749	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO1002	SC_RS06970		chromosome	1057892	1058278	-	no		SnoaL_2	NA	0	no	NA	NA	NA	nuclear transport factor 2 family protein
SCO1003	SC_RS06975		chromosome	1058377	1058961	+	yes	TetR_C_11;TetR_N	TetR_C_11;TetR_N	NA	0	no	NA	TetR	pfam	TetR/AcrR family transcriptional regulator
	SC_RS06980		chromosome	1059073	1059516	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO1005	SC_RS06985		chromosome	1060181	1061398	+	no			NA	0	no	NA	NA	NA	IS110-like element IS110 family transposase
SCO1007	SC_RS06995		chromosome	1061871	1063013	-	no		DAO;FAD_binding_3	NA	0	no	NA	NA	NA	FAD-dependent monooxygenase
SCO1008	SC_RS07000		chromosome	1063185	1063520	+	no			NA	0	no	NA	NA	NA	ArsR/SmtB family transcription factor
SCO1010	SC_RS07010		chromosome	1064906	1066294	+	no		MFS_1;Sugar_tr	NA	0	no	NA	NA	NA	MFS transporter
SCO1011	SC_RS07015		chromosome	1066337	1068241	-	yes	HTH_30	GAF;GAF_2;GAF_3;GGDEF_2;HTH_30	NA	0	no	NA	HTH_other	pfam	helix-turn-helix domain-containing protein
SCO1012	SC_RS07020		chromosome	1068298	1069098	-	no		Epimerase;NAD_binding_10;adh_short;adh_short_C2	NA	0	no	NA	NA	NA	3-hydroxybutyrate dehydrogenase
SCO1013	SC_RS07025		chromosome	1069154	1069633	-	no		NUDIX	NA	0	no	NA	NA	NA	NUDIX hydrolase
SCO1014	SC_RS07030	lnt	chromosome	1069702	1071315	-	no		CN_hydrolase;LNT_N	NA	0	no	NA	NA	NA	apolipoprotein N-acyltransferase
	SC_RS07035		chromosome	1071616	1072620	+	no		Wzy_C	NA	0	no	NA	NA	NA	O-antigen ligase family protein
SCO1017	SC_RS07040		chromosome	1072677	1073219	-	no			NA	0	no	NA	NA	NA	lipoprotein
SCO1018	SC_RS07045		chromosome	1073299	1074084	-	no		Asp_Glu_race	NA	0	no	NA	NA	NA	glutamate racemase
SCO1019	SC_RS07050		chromosome	1074124	1075377	+	no		Glyco_tranf_2_3;Glyco_transf_21;Glycos_transf_2	NA	0	no	NA	NA	NA	glycosyltransferase
SCO1020	SC_RS07055		chromosome	1075397	1076719	-	no		TerD	NA	0	no	NA	NA	NA	TerD family protein
SCO1021	SC_RS07060		chromosome	1077015	1077458	+	no		DUF6643	NA	0	no	NA	NA	NA	DUF6643 family protein
SCO1022	SC_RS07065		chromosome	1077501	1078328	+	no		MOSC;MOSC_N	NA	0	no	NA	NA	NA	MOSC domain-containing protein
SCO1023	SC_RS07070		chromosome	1078574	1079182	+	no		Rv1733c	NA	0	no	NA	NA	NA	Rv1733c family protein
SCO1024	SC_RS07075		chromosome	1079291	1081729	+	no		AAA;AAA_22;AAA_lid_6;Beta_helix;Mg_chelatase;NosD;Pel9A-like_beta_helix	NA	0	no	NA	NA	NA	right-handed parallel beta-helix repeat-containing protein
SCO1025	SC_RS07080		chromosome	1081780	1084137	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO1026	SC_RS07085		chromosome	1084395	1085219	+	yes	DeoRC;HTH_11;HTH_DeoR	DeoRC;HTH_11;HTH_DeoR	NA	1	no	NA	DeoR	pfam;CastroMelchor	DeoR/GlpR family DNA-binding transcription regulator
SCO1027	SC_RS07090		chromosome	1085351	1085824	+	no		Polyketide_cyc;Polyketide_cyc2	NA	0	no	NA	NA	NA	SRPBCC family protein
SCO1028	SC_RS07095	cds1	chromosome	1085859	1086983	-	no		PALP	NA	0	no	NA	NA	NA	L-cysteine desulfhydrase Cds1
SCO1030	SC_RS07105		chromosome	1087773	1088321	+	no		HATPase_c_2	NA	0	no	NA	NA	NA	ATP-binding protein
SCO1031	SC_RS07110		chromosome	1088547	1091114	-	no		FtsX;MacB_PCD	NA	0	no	NA	NA	NA	ABC transporter permease
SCO1032	SC_RS07115		chromosome	1091111	1091860	-	no		ABC_tran	NA	0	no	NA	NA	NA	ABC transporter ATP-binding protein
SCO1033	SC_RS07120		chromosome	1091857	1092141	-	no		SHOCT	NA	0	no	NA	NA	NA	SHOCT domain-containing protein
SCO1034	SC_RS07125		chromosome	1092334	1092897	+	yes	TetR_C_13;TetR_N	TetR_C_13;TetR_C_13_2;TetR_N	NA	1	no	NA	TetR	pfam;CastroMelchor	TetR/AcrR family transcriptional regulator
SCO1035	SC_RS07130		chromosome	1092908	1093495	+	no		DUF4865	NA	1	no	NA	NA	CastroMelchor	DUF4865 family protein
SCO1036	SC_RS07135		chromosome	1093492	1094400	+	no		PTE	NA	1	no	NA	NA	CastroMelchor	phosphotriesterase family protein
