sample	timepoint	chrom	position	strand	mod_type	group	coverage	mod_freq	n_modified	n_canonical	n_other_mod	n_delete	n_fail	n_diff
1-3	T1	NC_003888.3	6719331	-	6mA	6mA	33	42.42	14	19	0	0	12	0
1-3	T1	NC_003888.3	6721869	+	5mC	CCGG_pos_5mC	14	0.0	0	1	13	0	41	2
1-3	T1	NC_003888.3	6721869	+	4mC	CCGG_4mC	14	92.86	13	1	0	0	41	2
1-3	T1	NC_003888.3	6722686	+	6mA	6mA	42	59.52	25	17	0	0	12	0
1-3	T1	NC_003888.3	6723064	-	6mA	6mA	27	74.07	20	7	0	0	13	0
1-3	T1	NC_003888.3	6725221	-	6mA	6mA	27	48.15	13	14	0	0	6	4
1-3	T1	NC_003888.3	6727860	+	6mA	6mA	46	47.83	22	24	0	0	15	0
1-3	T1	NC_003888.3	6728751	+	6mA	6mA	37	24.32	9	28	0	1	17	0
1-3	T1	NC_003888.3	6729794	-	5mC	CCGG_pos_5mC	10	0.0	0	2	8	0	31	0
1-3	T1	NC_003888.3	6729794	-	4mC	CCGG_4mC	10	80.0	8	2	0	0	31	0
1-3	T1	NC_003888.3	6730736	-	6mA	6mA	36	83.33	30	6	0	0	6	0
1-3	T1	NC_003888.3	6733949	-	5mC	CCGG_pos_5mC	19	0.0	0	1	18	0	19	2
1-3	T1	NC_003888.3	6733949	-	4mC	CCGG_4mC	19	94.74	18	1	0	0	19	2
1-3	T1	NC_003888.3	6733964	-	5mC	CCGG_pos_5mC	26	0.0	0	1	25	0	15	0
1-3	T1	NC_003888.3	6733964	-	4mC	CCGG_4mC	26	96.15	25	1	0	0	15	0
1-3	T1	NC_003888.3	6737341	+	6mA	6mA	38	60.53	23	15	0	1	17	0
1-3	T1	NC_003888.3	6739956	-	6mA	6mA	31	48.39	15	16	0	0	14	0
1-3	T1	NC_003888.3	6742756	-	5mC	CCGG_pos_5mC	17	0.0	0	3	14	0	37	5
1-3	T1	NC_003888.3	6742756	-	4mC	CCGG_4mC	17	82.35	14	3	0	0	37	5
1-3	T1	NC_003888.3	6742941	+	6mA	6mA	33	45.45	15	18	0	0	18	0
1-3	T1	NC_003888.3	6744548	-	5mC	CCGG_pos_5mC	15	0.0	0	3	12	1	35	0
1-3	T1	NC_003888.3	6744548	-	4mC	CCGG_4mC	15	80.0	12	3	0	1	35	0
1-3	T1	NC_003888.3	6744587	-	5mC	CCGG_pos_5mC	21	0.0	0	0	21	1	27	2
1-3	T1	NC_003888.3	6744587	-	4mC	CCGG_4mC	21	100.0	21	0	0	1	27	2
1-3	T1	NC_003888.3	6745205	+	5mC	CCGG_pos_5mC	13	0.0	0	2	11	0	33	0
1-3	T1	NC_003888.3	6745205	+	4mC	CCGG_4mC	13	84.62	11	2	0	0	33	0
1-3	T1	NC_003888.3	6745357	+	6mA	6mA	31	45.16	14	17	0	0	14	0
1-3	T1	NC_003888.3	6746285	+	5mC	CCGG_pos_5mC	11	0.0	0	2	9	0	33	1
1-3	T1	NC_003888.3	6746285	+	4mC	CCGG_4mC	11	81.82	9	2	0	0	33	1
1-3	T1	NC_003888.3	6750383	+	6mA	6mA	33	48.48	16	17	0	0	8	0
1-3	T1	NC_003888.3	6751519	-	6mA	6mA	27	44.44	12	15	0	1	10	0
1-3	T1	NC_003888.3	6751520	-	6mA	6mA	25	56.0	14	11	0	0	12	1
1-3	T1	NC_003888.3	6751528	-	6mA	6mA	31	51.61	16	15	0	0	7	0
1-3	T1	NC_003888.3	6753262	-	5mC	CCGG_pos_5mC	11	0.0	0	3	8	0	32	6
1-3	T1	NC_003888.3	6753262	-	4mC	CCGG_4mC	11	72.73	8	3	0	0	32	6
1-3	T1	NC_003888.3	6753712	-	5mC	CCGG_pos_5mC	28	0.0	0	4	24	0	22	0
1-3	T1	NC_003888.3	6753712	-	4mC	CCGG_4mC	28	85.71	24	4	0	0	22	0
1-3	T1	NC_003888.3	6756335	+	6mA	6mA	26	46.15	12	14	0	0	10	0
1-3	T1	NC_003888.3	6757099	+	6mA	6mA	29	68.97	20	9	0	0	10	2
1-3	T1	NC_003888.3	6759018	-	6mA	6mA	32	50.0	16	16	0	1	9	0
1-3	T1	NC_003888.3	6762214	+	5mC	CCGG_pos_5mC	16	0.0	0	6	10	0	36	1
1-3	T1	NC_003888.3	6762214	+	4mC	CCGG_4mC	16	62.5	10	6	0	0	36	1
1-3	T1	NC_003888.3	6762219	+	6mA	6mA	38	57.89	22	16	0	1	14	0
1-3	T1	NC_003888.3	6762223	+	6mA	6mA	39	38.46	15	24	0	1	13	0
1-3	T1	NC_003888.3	6762519	-	6mA	6mA	29	44.83	13	16	0	0	10	0
1-3	T1	NC_003888.3	6762520	-	6mA	6mA	22	36.36	8	14	0	0	17	0
1-3	T1	NC_003888.3	6762536	-	6mA	6mA	30	46.67	14	16	0	0	10	0
1-3	T1	NC_003888.3	6762563	-	6mA	6mA	28	71.43	20	8	0	0	12	0
1-3	T1	NC_003888.3	6764648	-	6mA	6mA	33	57.58	19	14	0	0	10	0
1-3	T1	NC_003888.3	6765558	-	6mA	6mA	38	65.79	25	13	0	1	5	1
1-3	T1	NC_003888.3	6767950	+	6mA	6mA	31	54.84	17	14	0	0	11	0
1-3	T1	NC_003888.3	6769607	+	6mA	6mA	33	45.45	15	18	0	0	9	1
1-3	T1	NC_003888.3	6769725	+	6mA	6mA	34	26.47	9	25	0	0	8	1
1-3	T1	NC_003888.3	6770835	+	6mA	6mA	26	38.46	10	16	0	0	13	0
1-3	T1	NC_003888.3	6772065	+	5mC	CCGG_pos_5mC	13	0.0	0	0	13	0	18	3
1-3	T1	NC_003888.3	6772065	+	4mC	CCGG_4mC	13	100.0	13	0	0	0	18	3
1-3	T1	NC_003888.3	6774868	-	5mC	CCGG_pos_5mC	17	0.0	0	2	15	0	26	1
1-3	T1	NC_003888.3	6774868	-	4mC	CCGG_4mC	17	88.24	15	2	0	0	26	1
1-3	T1	NC_003888.3	6777664	+	6mA	6mA	28	35.71	10	18	0	1	17	0
1-3	T1	NC_003888.3	6778258	-	5mC	CCGG_pos_5mC	11	0.0	0	0	11	0	30	2
1-3	T1	NC_003888.3	6778258	-	4mC	CCGG_4mC	11	100.0	11	0	0	0	30	2
1-3	T1	NC_003888.3	6781327	+	5mC	CCGG_pos_5mC	10	0.0	0	1	9	0	35	6
1-3	T1	NC_003888.3	6781327	+	4mC	CCGG_4mC	10	90.0	9	1	0	0	35	6
1-3	T1	NC_003888.3	6782529	-	6mA	6mA	33	51.52	17	16	0	0	17	1
1-3	T1	NC_003888.3	6782532	-	6mA	6mA	36	52.78	19	17	0	0	12	3
1-3	T1	NC_003888.3	6783683	-	6mA	6mA	43	67.44	29	14	0	0	12	0
1-3	T1	NC_003888.3	6785565	+	5mC	CCGG_pos_5mC	19	0.0	0	5	14	1	30	2
1-3	T1	NC_003888.3	6785565	+	4mC	CCGG_4mC	19	73.68	14	5	0	1	30	2
1-3	T1	NC_003888.3	6785946	+	5mC	CCGG_pos_5mC	23	0.0	0	1	22	0	32	0
1-3	T1	NC_003888.3	6785946	+	4mC	CCGG_4mC	23	95.65	22	1	0	0	32	0
1-3	T1	NC_003888.3	6787550	+	5mC	CCGG_pos_5mC	14	0.0	0	3	11	0	38	4
1-3	T1	NC_003888.3	6787550	+	4mC	CCGG_4mC	14	78.57	11	3	0	0	38	4
1-3	T1	NC_003888.3	6788507	+	6mA	6mA	44	75.0	33	11	0	0	7	1
1-3	T1	NC_003888.3	6788519	+	6mA	6mA	35	54.29	19	16	0	0	17	0
1-3	T1	NC_003888.3	6788725	-	6mA	6mA	34	38.24	13	21	0	0	18	0
1-3	T1	NC_003888.3	6789172	+	6mA	6mA	35	40.0	14	21	0	0	16	0
1-3	T1	NC_003888.3	6789327	+	5mC	CCGG_pos_5mC	14	0.0	0	0	14	1	37	1
1-3	T1	NC_003888.3	6789327	+	4mC	CCGG_4mC	14	100.0	14	0	0	1	37	1
1-3	T1	NC_003888.3	6789358	+	6mA	6mA	29	62.07	18	11	0	0	23	0
1-3	T1	NC_003888.3	6791898	+	6mA	6mA	32	34.38	11	21	0	0	17	0
1-3	T1	NC_003888.3	6791918	-	6mA	6mA	27	22.22	6	21	0	0	20	1
1-3	T1	NC_003888.3	6793385	+	6mA	6mA	27	59.26	16	11	0	0	17	0
1-3	T1	NC_003888.3	6794413	-	6mA	6mA	32	56.25	18	14	0	0	17	0
1-3	T1	NC_003888.3	6794674	-	5mC	CCGG_pos_5mC	10	0.0	0	6	4	1	31	2
1-3	T1	NC_003888.3	6794674	-	4mC	CCGG_4mC	10	40.0	4	6	0	1	31	2
1-3	T1	NC_003888.3	6794677	-	6mA	6mA	34	64.71	22	12	0	3	7	0
1-3	T1	NC_003888.3	6794678	-	6mA	6mA	23	47.83	11	12	0	2	19	0
1-3	T1	NC_003888.3	6794758	+	6mA	6mA	30	46.67	14	16	0	0	18	0
1-3	T1	NC_003888.3	6796217	-	6mA	6mA	31	41.94	13	18	0	1	17	1
1-3	T1	NC_003888.3	6796623	+	6mA	6mA	27	62.96	17	10	0	0	16	0
1-3	T1	NC_003888.3	6797460	+	6mA	6mA	29	62.07	18	11	0	0	16	0
1-3	T1	NC_003888.3	6797651	+	6mA	6mA	25	44.0	11	14	0	0	20	0
1-3	T1	NC_003888.3	6800457	+	6mA	6mA	31	54.84	17	14	0	0	16	0
1-3	T1	NC_003888.3	6800883	+	6mA	6mA	35	57.14	20	15	0	0	14	0
1-3	T1	NC_003888.3	6801474	-	6mA	6mA	42	35.71	15	27	0	0	15	0
1-3	T1	NC_003888.3	6803433	+	6mA	6mA	25	32.0	8	17	0	0	19	4
1-3	T1	NC_003888.3	6805448	+	5mC	CCGG_pos_5mC	8	0.0	0	1	7	0	40	0
1-3	T1	NC_003888.3	6805448	+	4mC	CCGG_4mC	8	87.5	7	1	0	0	40	0
1-3	T1	NC_003888.3	6809842	+	6mA	6mA	32	43.75	14	18	0	0	19	1
1-3	T1	NC_003888.3	6812698	+	6mA	6mA	30	80.0	24	6	0	2	17	0
1-3	T1	NC_003888.3	6813688	-	6mA	6mA	35	62.86	22	13	0	0	11	0
1-3	T1	NC_003888.3	6813878	+	6mA	6mA	33	63.64	21	12	0	0	20	0
1-3	T1	NC_003888.3	6816125	+	5mC	CCGG_pos_5mC	18	0.0	0	1	17	0	33	0
1-3	T1	NC_003888.3	6816125	+	4mC	CCGG_4mC	18	94.44	17	1	0	0	33	0
1-3	T1	NC_003888.3	6818985	-	5mC	CCGG_pos_5mC	21	0.0	0	2	19	0	29	1
1-3	T1	NC_003888.3	6818985	-	4mC	CCGG_4mC	21	90.48	19	2	0	0	29	1
1-3	T1	NC_003888.3	6821833	-	6mA	6mA	35	54.29	19	16	0	0	9	14
1-3	T1	NC_003888.3	6823198	+	6mA	6mA	35	62.86	22	13	0	0	12	0
1-3	T1	NC_003888.3	6827025	+	6mA	6mA	22	63.64	14	8	0	0	19	1
1-3	T1	NC_003888.3	6830806	+	6mA	6mA	28	50.0	14	14	0	0	17	0
1-3	T1	NC_003888.3	6832902	-	5mC	CCGG_pos_5mC	26	0.0	0	3	23	1	22	3
1-3	T1	NC_003888.3	6832902	-	4mC	CCGG_4mC	26	88.46	23	3	0	1	22	3
1-3	T1	NC_003888.3	6832923	-	5mC	CCGG_pos_5mC	33	0.0	0	0	33	0	19	0
1-3	T1	NC_003888.3	6832923	-	4mC	CCGG_4mC	33	100.0	33	0	0	0	19	0
1-3	T1	NC_003888.3	6833700	+	6mA	6mA	33	45.45	15	18	0	2	10	0
1-3	T1	NC_003888.3	6835175	-	5mC	CCGG_pos_5mC	13	0.0	0	6	7	0	35	2
1-3	T1	NC_003888.3	6835175	-	4mC	CCGG_4mC	13	53.85	7	6	0	0	35	2
1-3	T1	NC_003888.3	6835561	+	6mA	6mA	39	51.28	20	19	0	0	6	0
1-3	T1	NC_003888.3	6836270	+	6mA	6mA	33	54.55	18	15	0	0	14	0
1-3	T1	NC_003888.3	6838567	+	6mA	6mA	31	45.16	14	17	0	0	14	0
1-3	T1	NC_003888.3	6838587	+	5mC	CCGG_pos_5mC	9	0.0	0	0	9	0	36	0
1-3	T1	NC_003888.3	6838587	+	4mC	CCGG_4mC	9	100.0	9	0	0	0	36	0
1-3	T1	NC_003888.3	6840447	+	5mC	CCGG_pos_5mC	19	0.0	0	4	15	0	39	0
1-3	T1	NC_003888.3	6840447	+	4mC	CCGG_4mC	19	78.95	15	4	0	0	39	0
1-3	T1	NC_003888.3	6840767	+	6mA	6mA	37	48.65	18	19	0	0	24	0
1-3	T1	NC_003888.3	6841170	-	5mC	CCGG_pos_5mC	16	0.0	0	3	13	0	29	1
1-3	T1	NC_003888.3	6841170	-	4mC	CCGG_4mC	16	81.25	13	3	0	0	29	1
1-3	T1	NC_003888.3	6842192	+	6mA	6mA	48	43.75	21	27	0	1	13	0
1-3	T1	NC_003888.3	6845005	-	6mA	6mA	42	45.24	19	23	0	1	16	0
1-3	T1	NC_003888.3	6847181	+	6mA	6mA	43	37.21	16	27	0	0	15	0
1-3	T1	NC_003888.3	6848334	+	6mA	6mA	42	61.9	26	16	0	0	19	0
1-3	T1	NC_003888.3	6854894	-	5mC	CCGG_pos_5mC	15	0.0	0	5	10	0	32	2
1-3	T1	NC_003888.3	6854894	-	4mC	CCGG_4mC	15	66.67	10	5	0	0	32	2
1-3	T1	NC_003888.3	6855266	+	5mC	CCGG_pos_5mC	9	0.0	0	2	7	1	32	0
1-3	T1	NC_003888.3	6855266	+	4mC	CCGG_4mC	9	77.78	7	2	0	1	32	0
1-3	T1	NC_003888.3	6857841	-	6mA	6mA	37	35.14	13	24	0	1	9	1
1-3	T1	NC_003888.3	6870740	-	5mC	CCGG_pos_5mC	14	0.0	0	1	13	0	30	5
1-3	T1	NC_003888.3	6870740	-	4mC	CCGG_4mC	14	92.86	13	1	0	0	30	5
1-3	T1	NC_003888.3	6873051	-	5mC	CCGG_pos_5mC	17	0.0	0	2	15	0	31	3
1-3	T1	NC_003888.3	6873051	-	4mC	CCGG_4mC	17	88.24	15	2	0	0	31	3
1-3	T1	NC_003888.3	6873495	+	5mC	CCGG_pos_5mC	16	0.0	0	0	16	0	23	0
1-3	T1	NC_003888.3	6873495	+	4mC	CCGG_4mC	16	100.0	16	0	0	0	23	0
1-3	T1	NC_003888.3	6874067	-	5mC	CCGG_pos_5mC	16	0.0	0	5	11	0	37	0
1-3	T1	NC_003888.3	6874067	-	4mC	CCGG_4mC	16	68.75	11	5	0	0	37	0
1-3	T1	NC_003888.3	6879358	+	5mC	CCGG_pos_5mC	7	0.0	0	2	5	0	29	3
1-3	T1	NC_003888.3	6879358	+	4mC	CCGG_4mC	7	71.43	5	2	0	0	29	3
1-3	T1	NC_003888.3	6879641	+	6mA	6mA	30	70.0	21	9	0	0	7	1
1-3	T1	NC_003888.3	6883567	+	6mA	6mA	29	44.83	13	16	0	0	12	0
1-3	T1	NC_003888.3	6886810	-	5mC	CCGG_pos_5mC	23	0.0	0	1	22	1	22	2
1-3	T1	NC_003888.3	6886810	-	4mC	CCGG_4mC	23	95.65	22	1	0	1	22	2
1-3	T1	NC_003888.3	6887133	+	6mA	6mA	31	38.71	12	19	0	0	18	1
1-3	T1	NC_003888.3	6887897	-	6mA	6mA	38	57.89	22	16	0	0	12	0
1-3	T1	NC_003888.3	6888880	-	6mA	6mA	39	41.03	16	23	0	0	11	1
1-3	T1	NC_003888.3	6895937	+	6mA	6mA	40	37.5	15	25	0	0	7	0
1-3	T1	NC_003888.3	6897752	-	6mA	6mA	39	51.28	20	19	0	0	8	0
1-3	T1	NC_003888.3	6899442	-	5mC	CCGG_pos_5mC	21	0.0	0	2	19	2	20	4
1-3	T1	NC_003888.3	6899442	-	4mC	CCGG_4mC	21	90.48	19	2	0	2	20	4
1-3	T1	NC_003888.3	6899899	+	6mA	6mA	31	45.16	14	17	0	0	11	0
1-3	T1	NC_003888.3	6903213	+	6mA	6mA	28	46.43	13	15	0	0	22	0
1-3	T1	NC_003888.3	6904461	+	5mC	CCGG_pos_5mC	13	0.0	0	0	13	1	44	0
1-3	T1	NC_003888.3	6904461	+	4mC	CCGG_4mC	13	100.0	13	0	0	1	44	0
1-3	T1	NC_003888.3	6907093	-	5mC	CCGG_pos_5mC	9	0.0	0	2	7	0	34	1
1-3	T1	NC_003888.3	6907093	-	4mC	CCGG_4mC	9	77.78	7	2	0	0	34	1
1-3	T1	NC_003888.3	6907097	-	6mA	6mA	29	51.72	15	14	0	0	10	3
1-3	T1	NC_003888.3	6909315	+	6mA	6mA	37	45.95	17	20	0	0	14	0
1-3	T1	NC_003888.3	6910043	-	5mC	CCGG_pos_5mC	9	0.0	0	0	9	0	24	1
1-3	T1	NC_003888.3	6910043	-	4mC	CCGG_4mC	9	100.0	9	0	0	0	24	1
1-3	T1	NC_003888.3	6913255	+	6mA	6mA	30	20.0	6	24	0	0	20	0
1-3	T1	NC_003888.3	6913459	+	5mC	CCGG_pos_5mC	14	0.0	0	0	14	0	37	1
1-3	T1	NC_003888.3	6913459	+	4mC	CCGG_4mC	14	100.0	14	0	0	0	37	1
1-3	T1	NC_003888.3	6914530	-	6mA	6mA	30	43.33	13	17	0	0	8	1
1-3	T1	NC_003888.3	6915212	-	5mC	CCGG_pos_5mC	11	0.0	0	0	11	0	29	1
1-3	T1	NC_003888.3	6915212	-	4mC	CCGG_4mC	11	100.0	11	0	0	0	29	1
1-3	T1	NC_003888.3	6918241	-	6mA	6mA	21	52.38	11	10	0	1	16	4
1-3	T1	NC_003888.3	6919169	+	5mC	CCGG_pos_5mC	12	0.0	0	0	12	0	30	1
1-3	T1	NC_003888.3	6919169	+	4mC	CCGG_4mC	12	100.0	12	0	0	0	30	1
1-3	T1	NC_003888.3	6920240	-	6mA	6mA	38	44.74	17	21	0	0	8	1
1-3	T1	NC_003888.3	6924937	-	6mA	6mA	35	57.14	20	15	0	2	10	1
1-3	T1	NC_003888.3	6927603	+	5mC	CCGG_pos_5mC	19	0.0	0	0	19	0	26	0
1-3	T1	NC_003888.3	6927603	+	4mC	CCGG_4mC	19	100.0	19	0	0	0	26	0
1-3	T1	NC_003888.3	6930690	-	5mC	CCGG_pos_5mC	23	0.0	0	4	19	1	27	1
1-3	T1	NC_003888.3	6930690	-	4mC	CCGG_4mC	23	82.61	19	4	0	1	27	1
1-3	T1	NC_003888.3	6934865	+	5mC	CCGG_pos_5mC	16	0.0	0	8	8	0	34	1
1-3	T1	NC_003888.3	6934865	+	4mC	CCGG_4mC	16	50.0	8	8	0	0	34	1
1-3	T1	NC_003888.3	6936446	+	6mA	6mA	40	40.0	16	24	0	0	11	0
1-3	T1	NC_003888.3	6936536	+	6mA	6mA	38	39.47	15	23	0	0	16	0
1-3	T1	NC_003888.3	6937702	-	6mA	6mA	32	46.88	15	17	0	1	8	0
1-3	T1	NC_003888.3	6938980	+	6mA	6mA	33	27.27	9	24	0	0	14	0
1-3	T1	NC_003888.3	6938981	+	6mA	6mA	32	34.38	11	21	0	0	15	0
1-3	T1	NC_003888.3	6940097	+	5mC	CCGG_pos_5mC	20	0.0	0	1	19	0	27	0
1-3	T1	NC_003888.3	6940097	+	4mC	CCGG_4mC	20	95.0	19	1	0	0	27	0
1-3	T1	NC_003888.3	6941575	+	6mA	6mA	32	65.62	21	11	0	0	5	0
1-3	T1	NC_003888.3	6941576	+	6mA	6mA	23	78.26	18	5	0	0	13	1
1-3	T1	NC_003888.3	6943529	-	6mA	6mA	38	52.63	20	18	0	0	11	2
1-3	T1	NC_003888.3	6949620	+	6mA	6mA	27	70.37	19	8	0	0	11	0
1-3	T1	NC_003888.3	6949653	+	6mA	6mA	24	45.83	11	13	0	0	12	1
1-3	T1	NC_003888.3	6957138	-	5mC	CCGG_pos_5mC	22	0.0	0	4	18	1	22	0
1-3	T1	NC_003888.3	6957138	-	4mC	CCGG_4mC	22	81.82	18	4	0	1	22	0
1-3	T1	NC_003888.3	6957194	+	6mA	6mA	30	43.33	13	17	0	1	6	1
1-3	T1	NC_003888.3	6958557	-	6mA	6mA	29	55.17	16	13	0	0	13	1
1-3	T1	NC_003888.3	6959809	-	6mA	6mA	33	57.58	19	14	0	0	15	0
1-3	T1	NC_003888.3	6960053	+	6mA	6mA	28	42.86	12	16	0	0	12	1
1-3	T1	NC_003888.3	6965962	-	6mA	6mA	34	55.88	19	15	0	0	6	1
1-3	T1	NC_003888.3	6968874	-	5mC	CCGG_pos_5mC	14	0.0	0	4	10	0	25	3
1-3	T1	NC_003888.3	6968874	-	4mC	CCGG_4mC	14	71.43	10	4	0	0	25	3
1-3	T1	NC_003888.3	6971205	+	6mA	6mA	30	50.0	15	15	0	0	15	0
1-3	T1	NC_003888.3	6971541	+	6mA	6mA	32	53.12	17	15	0	1	8	6
1-3	T1	NC_003888.3	6979673	+	6mA	6mA	37	40.54	15	22	0	0	8	0
1-3	T1	NC_003888.3	6989039	+	6mA	6mA	32	62.5	20	12	0	0	9	0
1-3	T1	NC_003888.3	6989789	+	6mA	6mA	27	37.04	10	17	0	0	12	0
1-3	T1	NC_003888.3	6990121	+	5mC	CCGG_pos_5mC	9	0.0	0	1	8	1	31	1
1-3	T1	NC_003888.3	6990121	+	4mC	CCGG_4mC	9	88.89	8	1	0	1	31	1
1-3	T1	NC_003888.3	6990122	-	5mC	CCGG_pos_5mC	25	0.0	0	5	20	0	24	3
1-3	T1	NC_003888.3	6990122	-	4mC	CCGG_4mC	25	80.0	20	5	0	0	24	3
1-3	T1	NC_003888.3	6991375	-	6mA	6mA	34	47.06	16	18	0	0	16	0
1-3	T1	NC_003888.3	6993083	-	5mC	CCGG_pos_5mC	10	0.0	0	2	8	0	34	0
1-3	T1	NC_003888.3	6993083	-	4mC	CCGG_4mC	10	80.0	8	2	0	0	34	0
1-3	T1	NC_003888.3	6993087	-	6mA	6mA	35	48.57	17	18	0	0	8	1
1-3	T1	NC_003888.3	6994093	-	6mA	6mA	32	50.0	16	16	0	1	15	2
1-3	T1	NC_003888.3	6994403	-	6mA	6mA	37	40.54	15	22	0	0	14	0
1-3	T1	NC_003888.3	6998123	+	6mA	6mA	45	44.44	20	25	0	0	5	0
1-3	T1	NC_003888.3	7004904	+	5mC	CCGG_pos_5mC	15	0.0	0	4	11	0	39	0
1-3	T1	NC_003888.3	7004904	+	4mC	CCGG_4mC	15	73.33	11	4	0	0	39	0
1-3	T1	NC_003888.3	7006053	-	6mA	6mA	37	64.86	24	13	0	0	7	0
1-3	T1	NC_003888.3	7008122	-	6mA	6mA	25	44.0	11	14	0	0	19	1
1-3	T1	NC_003888.3	7011225	+	5mC	CCGG_pos_5mC	17	0.0	0	2	15	0	42	4
1-3	T1	NC_003888.3	7011225	+	4mC	CCGG_4mC	17	88.24	15	2	0	0	42	4
1-3	T1	NC_003888.3	7011226	-	5mC	CCGG_pos_5mC	12	0.0	0	1	11	0	41	1
1-3	T1	NC_003888.3	7011226	-	4mC	CCGG_4mC	12	91.67	11	1	0	0	41	1
1-3	T1	NC_003888.3	7012168	-	6mA	6mA	35	42.86	15	20	0	0	18	1
1-3	T1	NC_003888.3	7013682	-	6mA	6mA	35	40.0	14	21	0	1	14	1
1-3	T1	NC_003888.3	7014680	-	5mC	CCGG_pos_5mC	23	0.0	0	0	23	1	24	3
1-3	T1	NC_003888.3	7014680	-	4mC	CCGG_4mC	23	100.0	23	0	0	1	24	3
1-3	T1	NC_003888.3	7024849	-	5mC	CCGG_pos_5mC	19	0.0	0	2	17	0	20	2
1-3	T1	NC_003888.3	7024849	-	4mC	CCGG_4mC	19	89.47	17	2	0	0	20	2
1-3	T1	NC_003888.3	7025921	-	5mC	CCGG_pos_5mC	12	0.0	0	3	9	0	30	6
1-3	T1	NC_003888.3	7025921	-	4mC	CCGG_4mC	12	75.0	9	3	0	0	30	6
1-3	T1	NC_003888.3	7026075	-	6mA	6mA	37	45.95	17	20	0	0	12	0
1-3	T1	NC_003888.3	7026751	-	6mA	6mA	31	45.16	14	17	0	0	17	0
1-3	T1	NC_003888.3	7027114	+	6mA	6mA	29	34.48	10	19	0	0	15	0
1-3	T1	NC_003888.3	7027248	-	6mA	6mA	40	45.0	18	22	0	0	9	0
1-3	T1	NC_003888.3	7030090	+	6mA	6mA	35	28.57	10	25	0	0	9	0
1-3	T1	NC_003888.3	7030902	+	6mA	6mA	28	75.0	21	7	0	0	12	1
1-3	T1	NC_003888.3	7031065	-	5mC	CCGG_pos_5mC	14	0.0	0	2	12	0	31	0
1-3	T1	NC_003888.3	7031065	-	4mC	CCGG_4mC	14	85.71	12	2	0	0	31	0
1-3	T1	NC_003888.3	7035262	-	5mC	CCGG_pos_5mC	17	0.0	0	6	11	0	36	4
1-3	T1	NC_003888.3	7035262	-	4mC	CCGG_4mC	17	64.71	11	6	0	0	36	4
1-3	T1	NC_003888.3	7036618	-	5mC	CCGG_pos_5mC	26	0.0	0	3	23	0	21	0
1-3	T1	NC_003888.3	7036618	-	4mC	CCGG_4mC	26	88.46	23	3	0	0	21	0
1-3	T1	NC_003888.3	7039489	-	5mC	CCGG_pos_5mC	7	0.0	0	2	5	0	23	1
1-3	T1	NC_003888.3	7039489	-	4mC	CCGG_4mC	7	71.43	5	2	0	0	23	1
1-3	T1	NC_003888.3	7039493	-	6mA	6mA	19	52.63	10	9	0	0	9	3
1-3	T1	NC_003888.3	7039604	-	5mC	CCGG_pos_5mC	9	0.0	0	3	6	0	17	3
1-3	T1	NC_003888.3	7039604	-	4mC	CCGG_4mC	9	66.67	6	3	0	0	17	3
1-3	T1	NC_003888.3	7043492	+	5mC	CCGG_pos_5mC	17	0.0	0	0	17	0	21	0
1-3	T1	NC_003888.3	7043492	+	4mC	CCGG_4mC	17	100.0	17	0	0	0	21	0
1-3	T1	NC_003888.3	7044741	-	6mA	6mA	30	63.33	19	11	0	0	11	0
1-3	T1	NC_003888.3	7046215	+	5mC	CCGG_pos_5mC	11	0.0	0	2	9	1	22	6
1-3	T1	NC_003888.3	7046215	+	4mC	CCGG_4mC	11	81.82	9	2	0	1	22	6
1-3	T1	NC_003888.3	7047425	-	6mA	6mA	40	42.5	17	23	0	0	4	0
1-3	T1	NC_003888.3	7048059	+	6mA	6mA	27	74.07	20	7	0	3	5	2
1-3	T1	NC_003888.3	7048060	+	6mA	6mA	16	43.75	7	9	0	0	16	5
1-3	T1	NC_003888.3	7048730	-	5mC	CCGG_pos_5mC	16	0.0	0	3	13	0	30	0
1-3	T1	NC_003888.3	7048730	-	4mC	CCGG_4mC	16	81.25	13	3	0	0	30	0
1-3	T1	NC_003888.3	7050203	-	5mC	CCGG_pos_5mC	11	0.0	0	2	9	1	37	0
1-3	T1	NC_003888.3	7050203	-	4mC	CCGG_4mC	11	81.82	9	2	0	1	37	0
1-3	T1	NC_003888.3	7055990	+	6mA	6mA	31	32.26	10	21	0	0	8	2
1-3	T1	NC_003888.3	7058660	+	6mA	6mA	23	56.52	13	10	0	0	16	0
1-3	T1	NC_003888.3	7061219	+	5mC	CCGG_pos_5mC	26	0.0	0	0	26	0	35	0
1-3	T1	NC_003888.3	7061219	+	4mC	CCGG_4mC	26	100.0	26	0	0	0	35	0
1-3	T1	NC_003888.3	7061637	+	5mC	CCGG_pos_5mC	13	0.0	0	8	5	0	51	1
1-3	T1	NC_003888.3	7061637	+	4mC	CCGG_4mC	13	38.46	5	8	0	0	51	1
1-3	T1	NC_003888.3	7061646	+	6mA	6mA	45	40.0	18	27	0	0	20	0
1-3	T1	NC_003888.3	7064924	-	5mC	CCGG_pos_5mC	18	0.0	0	2	16	0	23	0
1-3	T1	NC_003888.3	7064924	-	4mC	CCGG_4mC	18	88.89	16	2	0	0	23	0
1-3	T1	NC_003888.3	7066058	+	6mA	6mA	34	58.82	20	14	0	1	12	0
