# Program:featureCounts v2.1.1; Command:"/Users/okaban/miniconda3/envs/rna-seq/bin/featureCounts" "-T" "6" "-p" "--countReadPairs" "-B" "-C" "-s" "2" "-t" "gene" "-g" "gene_id" "-a" "/Users/okaban/SFC-CNS Dropbox/Takeda Tomoki/my_projects/2026/M145_RNA-seq/data/RH250715199/02_M145-ref/ncbi_dataset/data/GCF_000203835.1/genomic.gtf" "-o" "/Users/okaban/bioinfo/rna-seq/03_quantification/data/featureCounts_s2/featureCounts_M145_s2.txt" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_1.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_2.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_3.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_1.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_3.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_4.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_2.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_3.Aligned.sortedByCoord.out.bam" "/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_4.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_1.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_2.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_1_3.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_1.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_3.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_2_4.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_2.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_3.Aligned.sortedByCoord.out.bam	/Users/okaban/bioinfo/rna-seq/02_alignment/analysis/02_alignment_260127_v1/bam/M145_3_4.Aligned.sortedByCoord.out.bam
SC_RS14430	NC_003888.3	2667818	2668561	-	744	13	12	23	42	44	104	213	208	173
SC_RS14435	NC_003888.3	2668624	2669391	-	768	14	18	30	70	80	126	508	532	450
SC_RS14440	NC_003888.3	2669524	2670156	-	633	6	9	7	11	9	8	1360	1359	975
SC_RS14445	NC_003888.3	2670321	2670863	+	543	4	2	0	1	3	3	40	8	41
SC_RS14450	NC_003888.3	2670982	2671614	+	633	4	4	4	37	26	27	69	25	66
SC_RS14455	NC_003888.3	2671552	2671941	-	390	14	16	16	290	186	197	122	108	104
SC_RS14460	NC_003888.3	2672049	2672984	+	936	3	1	6	53	41	97	63	15	52
SC_RS14465	NC_003888.3	2673003	2673713	+	711	58	65	99	78	92	125	77	30	47
SC_RS14470	NC_003888.3	2673716	2675029	+	1314	116	116	137	142	124	163	149	61	109
SC_RS14475	NC_003888.3	2675087	2675869	-	783	156	128	168	14	19	7	52	18	69
SC_RS14480	NC_003888.3	2676046	2677278	+	1233	18	18	23	8	18	8	77	18	59
SC_RS14485	NC_003888.3	2677278	2679893	+	2616	6	11	8	16	19	6	155	28	99
SC_RS14490	NC_003888.3	2679890	2680291	+	402	1	0	0	1	1	4	21	4	17
SC_RS14495	NC_003888.3	2680340	2680924	+	585	98	98	129	134	84	109	112	112	110
SC_RS14500	NC_003888.3	2681005	2681772	+	768	43	40	49	62	65	48	79	44	68
SC_RS14505	NC_003888.3	2681817	2682749	-	933	475	444	633	153	94	98	497	389	521
SC_RS14510	NC_003888.3	2682933	2683406	+	474	8	2	5	133	145	116	536	647	494
SC_RS14515	NC_003888.3	2683469	2684677	-	1209	65	65	96	51	54	38	157	65	113
SC_RS14520	NC_003888.3	2684904	2687633	-	2730	48	41	48	150	141	132	291	157	234
SC_RS14525	NC_003888.3	2688116	2689894	+	1779	22	18	27	31	19	32	201	127	172
SC_RS14530	NC_003888.3	2690016	2690456	+	441	55	43	46	59	49	48	74	55	71
SC_RS14535	NC_003888.3	2690476	2691696	-	1221	324	282	411	183	161	205	177	105	138
SC_RS14540	NC_003888.3	2691805	2693250	+	1446	557	507	793	80	73	93	152	93	148
SC_RS14545	NC_003888.3	2693290	2697708	-	4419	128	116	151	109	82	125	284	121	263
SC_RS14550	NC_003888.3	2697718	2698566	-	849	38	36	51	42	38	52	67	35	72
SC_RS14555	NC_003888.3	2698679	2699575	-	897	107	128	164	287	263	301	253	206	171
SC_RS14560	NC_003888.3	2699686	2701119	+	1434	0	8	10	2	3	4	97	16	86
SC_RS14565	NC_003888.3	2701242	2702318	+	1077	13	12	15	7	1	5	87	20	54
SC_RS14570	NC_003888.3	2702461	2703843	-	1383	3839	3794	4805	1324	1155	1361	1081	903	773
SC_RS14575	NC_003888.3	2704004	2704990	+	987	345	289	437	31	31	39	221	87	100
SC_RS14580	NC_003888.3	2705052	2705822	+	771	259	226	322	48	65	74	150	82	122
SC_RS14585	NC_003888.3	2705836	2706738	+	903	148	129	192	51	36	41	133	63	87
SC_RS14590	NC_003888.3	2706801	2707220	+	420	361	307	480	411	413	439	243	203	212
SC_RS14595	NC_003888.3	2707331	2708164	-	834	656	614	890	399	403	454	369	346	283
SC_RS14600	NC_003888.3	2708177	2708923	-	747	276	281	345	188	202	249	185	195	176
SC_RS14605	NC_003888.3	2708946	2709167	-	222	1	1	1	0	5	0	23	6	13
SC_RS14610	NC_003888.3	2709164	2709370	-	207	0	0	2	1	7	4	27	14	22
SC_RS14615	NC_003888.3	2709485	2710318	+	834	4	1	11	457	598	235	742	556	542
SC_RS14620	NC_003888.3	2710300	2710590	+	291	103	98	138	211	240	164	194	190	172
SC_RS14625	NC_003888.3	2710619	2711158	+	540	103	92	112	88	79	67	102	71	84
SC_RS14630	NC_003888.3	2711253	2712752	+	1500	18	12	21	87	61	41	211	102	193
SC_RS14635	NC_003888.3	2712740	2713435	-	696	55	42	56	586	537	522	1522	1564	1339
SC_RS14640	NC_003888.3	2713432	2714709	-	1278	89	61	82	915	768	819	2534	2567	2245
SC_RS14645	NC_003888.3	2714777	2716855	-	2079	41	35	50	4958	4259	3964	17226	16688	15025
SC_RS14650	NC_003888.3	2717003	2718136	-	1134	25	16	13	445	419	473	1195	1265	1030
SC_RS14655	NC_003888.3	2718235	2719215	-	981	9	8	10	81	52	104	303	249	251
SC_RS14660	NC_003888.3	2719217	2720182	-	966	17	17	17	98	84	124	325	261	246
SC_RS14665	NC_003888.3	2720179	2721096	-	918	18	14	34	116	117	172	363	299	299
SC_RS14670	NC_003888.3	2721099	2722943	-	1845	64	69	84	506	399	530	1498	1320	1223
SC_RS14675	NC_003888.3	2723027	2723800	-	774	74	65	114	322	352	422	932	752	799
SC_RS14680	NC_003888.3	2724049	2724603	+	555	1	4	2	312	329	298	1048	983	850
SC_RS14685	NC_003888.3	2724600	2725295	-	696	17	18	14	140	81	84	330	165	285
SC_RS14690	NC_003888.3	2725480	2727201	-	1722	417	397	479	6667	2708	3051	534	350	334
SC_RS14695	NC_003888.3	2727564	2728634	+	1071	1	3	2	629	631	694	594	544	459
SC_RS14700	NC_003888.3	2728656	2728922	+	267	7	9	9	233	244	176	211	161	136
SC_RS14705	NC_003888.3	2728980	2730326	+	1347	23	24	35	246	205	204	268	179	246
SC_RS14710	NC_003888.3	2730432	2731511	+	1080	2200	2073	2718	1394	1218	1608	1328	1307	1110
SC_RS14715	NC_003888.3	2731524	2732021	+	498	1266	1178	1524	533	511	618	451	486	428
SC_RS14720	NC_003888.3	2732018	2733322	+	1305	1338	1287	1592	765	694	828	569	580	498
SC_RS14725	NC_003888.3	2733319	2733693	+	375	211	183	227	116	91	83	100	78	87
SC_RS14730	NC_003888.3	2733655	2735148	-	1494	51	38	55	19	12	15	108	23	104
SC_RS14735	NC_003888.3	2735252	2736145	+	894	113	83	171	200	138	190	177	176	184
SC_RS14740	NC_003888.3	2736184	2736540	+	357	193	200	302	184	198	235	175	167	151
SC_RS14745	NC_003888.3	2736606	2737559	+	954	1732	1567	2166	387	437	524	429	305	302
SC_RS14750	NC_003888.3	2737582	2738718	-	1137	193	140	192	111	80	102	127	86	131
SC_RS14755	NC_003888.3	2738852	2740222	-	1371	5	4	6	3	2	1	92	23	62
SC_RS14760	NC_003888.3	2740287	2741582	-	1296	4	2	5	0	4	1	92	13	74
SC_RS14765	NC_003888.3	2741579	2742547	-	969	1	5	5	1	2	3	70	13	49
SC_RS14770	NC_003888.3	2742662	2743459	+	798	74	79	89	65	60	76	111	67	102
SC_RS14775	NC_003888.3	2743633	2744982	+	1350	72	58	86	29	22	13	116	46	94
SC_RS14780	NC_003888.3	2745002	2746000	-	999	412	372	502	35	38	54	78	55	57
SC_RS14785	NC_003888.3	2746021	2746926	-	906	245	237	301	141	162	181	107	55	87
SC_RS14790	NC_003888.3	2746955	2747308	-	354	675	593	796	474	420	514	302	194	209
SC_RS14795	NC_003888.3	2747664	2750867	-	3204	551	572	748	3351	2843	3872	1580	1525	1308
SC_RS14800	NC_003888.3	2750935	2751423	-	489	19	19	40	522	412	461	999	960	954
SC_RS14805	NC_003888.3	2751523	2751900	+	378	35	23	30	29	17	23	67	23	64
SC_RS14810	NC_003888.3	2751941	2752690	-	750	410	393	553	104	110	132	131	100	103
SC_RS14815	NC_003888.3	2752687	2753781	-	1095	1095	1016	1331	221	175	256	225	170	177
SC_RS14820	NC_003888.3	2753870	2755006	-	1137	1987	1836	2469	867	764	1054	551	638	479
SC_RS14825	NC_003888.3	2755007	2756023	-	1017	2662	2287	3276	1108	901	1199	953	1037	792
SC_RS14830	NC_003888.3	2756208	2756951	+	744	60	74	97	45	30	35	75	32	67
SC_RS14835	NC_003888.3	2756986	2757810	+	825	290	239	334	103	94	103	128	98	126
SC_RS14840	NC_003888.3	2757788	2758378	-	591	141	123	170	164	160	177	208	179	165
SC_RS14845	NC_003888.3	2758482	2759714	-	1233	263	246	310	189	156	197	246	161	207
SC_RS14850	NC_003888.3	2759799	2762177	-	2379	31	34	33	2011	1650	1806	2023	1846	1620
SC_RS14855	NC_003888.3	2762403	2764280	-	1878	240	239	265	123	108	137	246	104	209
SC_RS14860	NC_003888.3	2764588	2766456	-	1869	2748	2540	3491	920	881	1168	886	755	631
SC_RS14865	NC_003888.3	2766694	2766960	+	267	5957	5882	7596	1304	1441	1497	2249	1909	1549
SC_RS14870	NC_003888.3	2767268	2768257	-	990	1459	1351	1953	381	293	355	319	326	324
SC_RS14875	NC_003888.3	2768323	2768568	-	246	67	61	69	35	20	30	32	19	27
SC_RS14880	NC_003888.3	2768600	2769481	-	882	236	229	329	31	31	34	81	11	71
SC_RS14885	NC_003888.3	2769878	2772445	-	2568	21	4	12	6	10	16	138	37	111
SC_RS14890	NC_003888.3	2772442	2773509	-	1068	71	61	97	23	9	14	65	22	54
SC_RS14895	NC_003888.3	2773654	2774499	-	846	129	145	160	83	76	86	155	112	108
SC_RS14900	NC_003888.3	2774591	2775367	-	777	235	218	258	253	230	315	312	326	297
SC_RS14905	NC_003888.3	2775536	2778436	-	2901	2462	2325	2996	1765	840	1753	758	527	513
SC_RS14910	NC_003888.3	2778973	2780259	+	1287	34	30	45	566	472	658	469	439	447
SC_RS14915	NC_003888.3	2780256	2781866	+	1611	94	49	79	1047	903	1049	902	916	835
SC_RS14920	NC_003888.3	2781922	2781994	-	73	2	7	2	1	0	1	5	2	12
SC_RS14925	NC_003888.3	2782151	2782384	-	234	389	330	433	305	218	326	286	307	216
SC_RS14930	NC_003888.3	2782763	2782835	-	73	23	18	18	3	2	7	13	8	16
SC_RS14935	NC_003888.3	2782944	2783615	-	672	1520	1437	1899	330	383	438	253	257	252
SC_RS14940	NC_003888.3	2783612	2784058	-	447	1084	1086	1386	280	300	421	301	307	225
SC_RS14945	NC_003888.3	2784151	2785929	-	1779	895	900	1158	483	449	605	473	370	371
SC_RS14950	NC_003888.3	2785946	2786662	-	717	574	480	695	179	136	206	178	116	116
SC_RS14955	NC_003888.3	2786722	2786889	-	168	168	189	239	100	74	99	101	66	71
SC_RS14960	NC_003888.3	2786987	2787148	-	162	121	109	130	91	77	65	104	66	90
SC_RS14965	NC_003888.3	2787290	2788498	+	1209	1554	1439	1723	1273	1096	1175	1528	1502	1455
SC_RS14970	NC_003888.3	2788512	2789582	-	1071	105	80	110	131	92	94	471	462	425
SC_RS14975	NC_003888.3	2789669	2790238	-	570	299	267	344	1090	1003	1102	1619	1744	1554
SC_RS14980	NC_003888.3	2790362	2791648	-	1287	222	218	321	328	354	403	283	150	189
SC_RS14985	NC_003888.3	2791720	2792250	-	531	27	39	44	366	342	435	468	423	431
SC_RS14990	NC_003888.3	2792386	2793510	-	1125	415	359	457	244	230	257	256	191	180
SC_RS14995	NC_003888.3	2794753	2796912	+	2160	15	9	16	10	6	7	175	57	166
SC_RS15000	NC_003888.3	2797141	2799372	+	2232	164	147	221	177	146	217	288	137	218
SC_RS15005	NC_003888.3	2799396	2802989	+	3594	624	557	734	671	604	756	555	411	456
SC_RS15010	NC_003888.3	2803160	2804890	+	1731	3831	3704	4739	554	596	760	1011	898	915
SC_RS15015	NC_003888.3	2804967	2807795	-	2829	6914	6518	8566	455	468	567	1058	1053	989
SC_RS15020	NC_003888.3	2807802	2808791	-	990	2351	1954	2740	109	136	143	346	321	337
SC_RS15025	NC_003888.3	2808791	2810599	-	1809	2349	2288	2894	146	191	205	529	526	530
SC_RS15030	NC_003888.3	2810811	2812247	-	1437	1371	1304	1651	337	345	506	315	281	279
SC_RS15035	NC_003888.3	2812358	2812612	-	255	3755	3850	4783	1184	1536	1799	1707	1871	1126
SC_RS15040	NC_003888.3	2812627	2812947	-	321	10279	9922	12856	2675	2806	3249	3343	3337	2378
SC_RS15045	NC_003888.3	2813146	2814207	-	1062	209	208	255	40	34	58	165	117	139
SC_RS15050	NC_003888.3	2814360	2816684	-	2325	5885	5280	7244	1229	1350	1752	2026	2026	1791
SC_RS15055	NC_003888.3	2818657	2819433	-	777	3477	3146	4140	887	894	1161	1078	1122	1009
SC_RS15060	NC_003888.3	2819482	2820558	-	1077	291	277	340	68	71	41	220	164	210
SC_RS15065	NC_003888.3	2820608	2822731	-	2124	389	391	462	312	272	295	344	275	271
SC_RS15070	NC_003888.3	2822937	2823083	+	147	0	0	2	0	0	3	33	3	18
SC_RS15075	NC_003888.3	2823266	2823451	-	186	7	9	5	1	2	1	27	6	23
SC_RS15080	NC_003888.3	2823656	2825212	+	1557	53	41	63	66	50	62	144	59	138
SC_RS15085	NC_003888.3	2825348	2826283	-	936	251	244	313	130	111	126	208	118	141
SC_RS15090	NC_003888.3	2826447	2827148	+	702	69	71	95	22	21	23	91	24	74
SC_RS15095	NC_003888.3	2827188	2827373	-	186	133	112	182	53	56	33	58	42	51
SC_RS15100	NC_003888.3	2827396	2829345	-	1950	1092	1002	1327	366	349	465	398	298	314
SC_RS15105	NC_003888.3	2829460	2830656	-	1197	194	209	213	175	179	193	212	152	202
SC_RS15110	NC_003888.3	2830653	2832962	-	2310	676	613	744	567	468	594	691	455	494
SC_RS15115	NC_003888.3	2833015	2833686	-	672	101	84	101	53	48	72	92	46	58
SC_RS15120	NC_003888.3	2833700	2834725	-	1026	496	443	542	203	216	225	237	175	175
SC_RS15125	NC_003888.3	2834908	2835927	-	1020	2525	2405	3103	1020	984	1119	995	918	767
SC_RS15130	NC_003888.3	2836247	2836660	-	414	721	714	900	166	180	149	158	154	109
SC_RS15135	NC_003888.3	2836785	2837141	-	357	449	484	585	168	161	129	209	136	144
SC_RS15140	NC_003888.3	2837148	2838671	-	1524	2381	2334	3056	1047	844	1153	892	975	818
SC_RS15145	NC_003888.3	2838957	2841581	-	2625	5975	5869	7443	2264	1867	2406	1594	1477	1350
SC_RS15150	NC_003888.3	2841719	2842726	+	1008	3955	3711	4988	929	867	896	791	1067	866
SC_RS15155	NC_003888.3	2842798	2844084	-	1287	3184	3123	3883	2208	2031	2786	2283	2504	2181
SC_RS15160	NC_003888.3	2844276	2844986	-	711	2874	3047	3312	3513	3271	4391	3559	3520	2612
SC_RS15165	NC_003888.3	2845037	2845642	-	606	4425	4525	5600	5212	4214	6495	4700	5192	3870
SC_RS15170	NC_003888.3	2846000	2847406	-	1407	20214	18323	25478	7363	7284	7957	4352	4393	3163
SC_RS15175	NC_003888.3	2847576	2847652	-	77	59	39	57	23	22	16	36	22	26
SC_RS15180	NC_003888.3	2847816	2847886	+	71	82	83	103	25	16	27	58	63	57
SC_RS15185	NC_003888.3	2847983	2848177	-	195	440	391	529	635	538	573	1978	1919	1680
SC_RS15190	NC_003888.3	2848812	2849981	+	1170	104	56	118	75	86	88	134	38	97
SC_RS15195	NC_003888.3	2849992	2850486	-	495	113	82	136	57	74	55	99	64	91
SC_RS15200	NC_003888.3	2850510	2851697	-	1188	324	317	394	490	419	540	561	456	421
SC_RS15205	NC_003888.3	2851911	2853152	+	1242	171	135	212	162	143	136	159	104	158
SC_RS15210	NC_003888.3	2853163	2854005	-	843	132	142	158	80	88	107	95	56	101
SC_RS15215	NC_003888.3	2854112	2854597	-	486	938	943	1186	1159	1333	1455	527	527	378
SC_RS15220	NC_003888.3	2854806	2856250	+	1445	164	194	190	102	79	85	112	26	88
SC_RS15225	NC_003888.3	2856329	2856910	-	582	529	604	694	184	169	191	143	83	101
SC_RS15230	NC_003888.3	2857300	2858685	+	1386	138	142	161	16	13	8	113	16	92
SC_RS15235	NC_003888.3	2858981	2859937	+	957	1	10	8	3	0	2	40	4	32
SC_RS15240	NC_003888.3	2860089	2860730	+	642	9061	9354	11770	25554	26303	28631	10854	10820	8690
SC_RS15245	NC_003888.3	2860846	2861484	-	639	218	235	243	1819	1688	2487	965	905	642
SC_RS15250	NC_003888.3	2861630	2864203	+	2574	2408	2320	2937	1257	1086	1499	791	648	635
SC_RS15255	NC_003888.3	2864527	2865597	+	1071	126	112	130	49	42	42	992	1264	1344
SC_RS15260	NC_003888.3	2865913	2869209	+	3297	1181	1174	1373	2175	1758	3010	832	845	926
SC_RS15265	NC_003888.3	2869281	2870030	-	750	61	41	67	19	15	10	67	14	38
SC_RS15270	NC_003888.3	2870032	2870568	-	537	72	59	81	11	22	16	45	29	30
SC_RS15275	NC_003888.3	2870836	2871858	+	1023	1258	1254	1588	917	920	969	621	547	395
SC_RS15280	NC_003888.3	2871981	2873168	+	1188	154	142	215	1629	1409	1705	578	517	554
SC_RS15285	NC_003888.3	2873181	2873657	-	477	10	5	6	25	22	13	37	17	50
SC_RS15290	NC_003888.3	2873770	2876343	+	2574	6090	5851	7411	4076	3796	4688	2671	2774	2251
SC_RS15295	NC_003888.3	2876450	2877352	-	903	116	92	102	39	24	24	81	50	90
SC_RS15300	NC_003888.3	2877382	2878338	-	957	17	18	23	26	29	22	96	14	57
SC_RS15305	NC_003888.3	2878372	2879334	-	963	22	25	24	7	2	7	63	27	74
SC_RS15310	NC_003888.3	2879447	2879965	+	519	144	118	156	34	37	27	98	51	85
SC_RS15315	NC_003888.3	2880082	2880369	-	288	1040	1023	1329	978	875	1037	858	1016	655
SC_RS15320	NC_003888.3	2880455	2882590	-	2136	169	164	213	76	62	94	313	186	248
SC_RS15325	NC_003888.3	2882600	2882911	-	312	91	76	112	30	19	44	130	86	82
SC_RS15330	NC_003888.3	2883219	2883956	-	738	39	49	52	152	93	107	113	34	79
SC_RS15335	NC_003888.3	2884084	2884518	+	435	328	334	427	108	108	100	116	89	88
SC_RS15340	NC_003888.3	2884761	2885426	+	666	4	12	9	6	3	6	37	10	41
SC_RS15345	NC_003888.3	2885483	2886067	+	585	39	35	42	61	44	38	114	49	80
SC_RS15350	NC_003888.3	2886105	2886641	-	537	208	230	222	1989	1706	1947	2303	2494	2058
SC_RS15355	NC_003888.3	2886898	2888085	+	1188	270	249	350	472	453	490	325	227	237
SC_RS15360	NC_003888.3	2888309	2889526	+	1218	158	169	191	39	37	56	119	68	104
SC_RS15365	NC_003888.3	2889601	2890938	+	1338	21	19	15	1	4	3	77	13	69
SC_RS15370	NC_003888.3	2890945	2891889	+	945	10	8	14	1	2	2	64	11	71
SC_RS15375	NC_003888.3	2891886	2892797	+	912	5	5	16	7	11	16	38	11	56
SC_RS15380	NC_003888.3	2892805	2894070	+	1266	117	88	147	79	57	89	135	66	102
SC_RS15385	NC_003888.3	2894061	2895032	+	972	79	65	99	58	49	66	97	51	78
SC_RS15390	NC_003888.3	2895187	2896551	+	1365	992	903	1080	694	596	681	906	879	819
SC_RS15395	NC_003888.3	2896634	2897692	+	1059	399	320	452	614	490	641	643	662	569
SC_RS15400	NC_003888.3	2897763	2899097	+	1335	459	397	503	407	276	391	459	449	469
SC_RS15405	NC_003888.3	2899220	2899537	-	318	23	21	19	21	11	14	50	20	51
SC_RS15410	NC_003888.3	2899581	2901884	+	2304	827	679	903	872	726	909	1088	1055	1026
SC_RS15415	NC_003888.3	2901888	2903336	+	1449	850	720	946	568	469	544	690	629	569
SC_RS15420	NC_003888.3	2903451	2904797	+	1347	271	258	307	245	253	312	626	621	586
SC_RS15425	NC_003888.3	2904844	2906658	+	1815	3379	3284	4234	2082	1633	1965	1981	1881	1684
SC_RS15430	NC_003888.3	2906677	2907651	-	975	187	151	195	206	143	183	336	316	345
SC_RS15435	NC_003888.3	2907738	2908151	+	414	247	223	310	372	377	376	505	507	376
SC_RS15440	NC_003888.3	2908387	2911707	+	3321	828	714	964	235	162	207	437	321	373
SC_RS15445	NC_003888.3	2911847	2914579	+	2733	313	297	356	120	75	113	287	214	281
SC_RS15450	NC_003888.3	2914632	2915591	+	960	105	70	123	38	20	27	91	48	79
SC_RS15455	NC_003888.3	2915616	2916338	-	723	1052	937	1212	348	301	361	292	253	286
SC_RS15460	NC_003888.3	2916335	2916745	-	411	973	916	1092	835	706	818	450	477	367
SC_RS15465	NC_003888.3	2916748	2918412	-	1665	4537	4360	5750	3948	3626	4295	2336	2379	1833
SC_RS15470	NC_003888.3	2918653	2919168	+	516	12	11	10	13	17	13	57	20	49
SC_RS15475	NC_003888.3	2919307	2919672	-	366	64	51	68	39	33	32	78	29	62
SC_RS15480	NC_003888.3	2920040	2920627	+	588	9	15	8	110	95	95	176	132	141
SC_RS15485	NC_003888.3	2920569	2922815	+	2247	35	29	62	41	30	42	183	41	139
SC_RS15490	NC_003888.3	2922880	2924292	-	1413	1212	1046	1328	269	224	280	214	108	162
SC_RS15495	NC_003888.3	2924515	2924985	-	471	13	12	15	8	8	6	46	15	34
SC_RS15500	NC_003888.3	2925258	2927738	-	2481	17	14	14	15	7	18	181	63	141
SC_RS15505	NC_003888.3	2927742	2929349	-	1608	6	4	6	3	1	5	116	23	80
SC_RS15510	NC_003888.3	2929681	2929753	+	73	187	190	222	56	40	37	66	58	49
SC_RS15515	NC_003888.3	2929823	2930719	-	897	58	58	76	43	21	35	97	36	85
SC_RS15520	NC_003888.3	2930984	2931145	+	162	0	1	0	1	0	1	6	1	12
SC_RS15525	NC_003888.3	2931148	2931792	+	645	2	1	0	6	3	2	21	10	18
SC_RS15530	NC_003888.3	2931848	2932993	+	1146	9	11	4	5	5	8	80	23	70
SC_RS15535	NC_003888.3	2932990	2934117	+	1128	3	3	7	1	1	3	73	21	50
SC_RS15540	NC_003888.3	2934114	2935478	+	1365	9	4	14	5	5	5	94	21	75
SC_RS15545	NC_003888.3	2935475	2936632	+	1158	11	5	15	2	1	2	65	27	50
SC_RS15550	NC_003888.3	2936812	2938692	+	1881	12	7	7	11	1	11	113	34	129
SC_RS15555	NC_003888.3	2938689	2939690	+	1002	2	2	4	2	7	4	75	10	63
SC_RS15560	NC_003888.3	2939719	2940261	+	543	4	6	4	1	0	2	45	6	25
SC_RS15565	NC_003888.3	2940382	2941152	+	771	143	171	206	82	50	65	1405	1231	1031
SC_RS15570	NC_003888.3	2941209	2942201	+	993	131	142	158	61	53	55	295	230	211
SC_RS15575	NC_003888.3	2942208	2942786	-	579	124	113	126	79	84	58	114	106	89
SC_RS15580	NC_003888.3	2943092	2943364	+	273	3	6	1	299	320	299	443	494	370
SC_RS15585	NC_003888.3	2943456	2944322	-	867	1	3	1	59	50	71	91	45	56
SC_RS15590	NC_003888.3	2944306	2944875	-	570	2	0	1	71	41	56	73	37	56
SC_RS15595	NC_003888.3	2944995	2945510	-	516	1	2	0	19	19	10	28	24	26
SC_RS15600	NC_003888.3	2945615	2945917	-	303	0	2	0	15	27	30	35	14	38
SC_RS15605	NC_003888.3	2946094	2946828	-	735	1	1	4	9	11	12	57	14	52
SC_RS15610	NC_003888.3	2947104	2947343	-	240	5	6	7	376	384	475	162	155	130
SC_RS15615	NC_003888.3	2947584	2948894	+	1311	4	2	5	7	1	0	83	11	73
SC_RS15620	NC_003888.3	2948891	2950345	+	1455	2	1	5	2	2	1	90	14	91
SC_RS15625	NC_003888.3	2950351	2951667	+	1317	6	2	5	2	1	6	91	24	73
SC_RS15630	NC_003888.3	2951811	2953604	+	1794	3	7	6	2	8	2	102	27	57
SC_RS15635	NC_003888.3	2953648	2954337	+	690	0	0	0	0	3	1	41	8	21
SC_RS15640	NC_003888.3	2954348	2955550	+	1203	5	0	0	3	4	3	71	14	56
SC_RS15645	NC_003888.3	2955547	2956266	+	720	0	0	2	2	1	2	34	3	39
SC_RS15650	NC_003888.3	2956263	2957411	+	1149	3	6	6	7	6	2	49	17	55
SC_RS15655	NC_003888.3	2957449	2958636	-	1188	26	11	34	68	52	64	138	71	114
SC_RS15660	NC_003888.3	2958781	2960079	+	1299	6	9	6	24	24	18	107	25	62
SC_RS15665	NC_003888.3	2960170	2960952	-	783	5	0	6	30	31	34	53	18	60
SC_RS15670	NC_003888.3	2961104	2961331	-	228	3	6	5	167	132	110	206	208	141
SC_RS15675	NC_003888.3	2961619	2962014	-	396	3	1	5	89	77	118	125	110	81
SC_RS15680	NC_003888.3	2962277	2962678	+	402	20	21	33	135	117	106	81	45	46
SC_RS15685	NC_003888.3	2962767	2964695	-	1929	4	12	11	4	1	3	122	25	74
SC_RS15690	NC_003888.3	2964860	2966458	-	1599	94	82	118	41	38	40	213	123	192
SC_RS15695	NC_003888.3	2966690	2967589	-	900	117	128	161	122	129	148	589	426	462
SC_RS15700	NC_003888.3	2967586	2970237	-	2652	533	497	587	335	332	462	1650	1563	1395
SC_RS15705	NC_003888.3	2970454	2971884	-	1431	84	71	71	9	6	5	131	25	103
SC_RS15710	NC_003888.3	2972229	2973086	+	858	1176	1104	1470	716	753	781	737	703	679
SC_RS15715	NC_003888.3	2973144	2974646	-	1503	114	135	149	474	419	420	648	543	584
SC_RS15720	NC_003888.3	2974661	2974783	-	123	15	12	10	24	33	25	42	6	26
SC_RS15725	NC_003888.3	2975426	2975617	+	192	3	1	2	0	3	2	17	12	15
