position	strand	4mC	4mC_cov	5mC	5mC_cov
6940097	+	93.94030303030303	33	0.0	33
1407732	+	100.0	61	0.0	61
3550050	+	75.554	45	0.0	45
4640305	-	81.66766666666666	60	0.0	60
2039688	-	94.80584415584416	77	0.0	77
6387209	+	76.00040000000001	25	0.0	25
5929643	-	87.5	32	0.0	32
4146883	-	88.37116279069767	86	0.0	86
7204493	-	96.54896551724138	29	0.0	29
4100128	+	85.24360655737706	61	0.0	61
4163455	+	89.55328358208955	67	0.0	67
7308229	-	95.34744186046511	43	0.0	43
4459814	+	92.22444444444446	90	0.0	90
6117485	-	85.36658536585367	41	0.0	41
372882	-	93.334	30	0.0	30
961344	+	88.88888888888889	36	0.0	36
3708230	+	68.29268292682927	41	0.0	41
3969689	+	92.18625	64	0.0	64
5390120	-	97.91562499999999	48	0.0	48
4630506	-	95.0839344262295	61	0.0	61
4893485	+	93.3288888888889	45	0.0	45
5097700	+	91.66444444444444	36	0.0	36
2255844	+	94.44555555555556	36	0.0	36
4866618	+	61.22571428571428	49	0.0	49
8191210	-	90.0	20	0.0	20
2971440	-	86.90333333333334	84	0.0	84
5712337	-	63.159473684210525	38	0.0	38
6177180	+	95.34744186046512	43	0.0	43
1760730	-	96.0002	50	0.0	50
6711562	+	60.6069696969697	33	0.0	33
4873336	+	74.35538461538462	39	0.0	39
6280046	+	66.66878787878787	33	0.0	33
242078	-	87.4996875	32	0.0	32
7980591	-	90.003	30	0.0	30
2469372	-	88.13728813559322	59	0.0	59
5342430	+	94.44296296296297	54	0.0	54
7430881	-	81.47925925925925	27	0.0	27
7234307	+	100.0	13	0.0	13
4058157	+	86.48567567567567	74	0.0	74
6281333	+	74.99749999999999	24	0.0	24
6211240	+	91.114	45	0.0	45
6597313	+	86.20689655172414	29	0.0	29
6787550	+	76.00040000000001	25	0.0	25
1904510	+	98.0775	52	0.0	52
5176700	-	91.66812499999999	48	0.0	48
3518688	-	66.66833333333334	48	0.0	48
683994	-	90.62406250000001	32	0.0	32
6017039	-	76.18714285714286	42	0.0	42
5421583	-	81.2475	48	0.0	48
4993793	+	91.07142857142857	56	0.0	56
3864041	-	89.09	55	0.0	55
3601358	+	92.1578431372549	51	0.0	51
3423184	+	90.90787878787879	66	0.0	66
4989492	+	91.25200000000001	80	0.0	80
1439599	-	95.91836734693878	49	0.0	49
3401573	+	76.47117647058823	51	0.0	51
992016	+	96.22547169811322	53	0.0	53
3794027	-	93.846	65	0.0	65
2946180	-	68.29317073170732	41	0.0	41
4898690	+	80.48707317073172	41	0.0	41
2945348	-	82.76	58	0.0	58
2639916	+	71.69716981132075	53	0.0	53
6910043	-	94.73684210526316	19	0.0	19
4138944	-	65.22	92	0.0	92
4445154	-	71.1525	52	0.0	52
6321532	+	62.5021875	32	0.0	32
6873495	+	100.0	24	0.0	24
5521386	-	57.1425	28	0.0	28
4546147	+	82.854	35	0.0	35
4297746	+	88.88841269841271	63	0.0	63
4378392	+	87.93155172413793	58	0.0	58
6899442	-	94.288	35	0.0	35
3795607	+	96.97272727272727	66	0.0	66
5141946	-	94.93949367088607	79	0.0	79
6913459	+	92.0008	25	0.0	25
3817306	+	93.75203125	64	0.0	64
3084783	+	92.15784313725489	51	0.0	51
2218444	+	91.89148648648647	74	0.0	74
6577646	+	86.95869565217392	23	0.0	23
6930690	-	87.09774193548387	31	0.0	31
5839044	+	89.19054054054054	37	0.0	37
1256056	+	87.17871794871795	39	0.0	39
3671380	-	92.45283018867924	53	0.0	53
6464441	+	89.65310344827586	29	0.0	29
1468250	-	80.55583333333334	36	0.0	36
6668266	+	87.88	33	0.0	33
4521480	-	91.52406779661017	59	0.0	59
7586424	-	96.00040000000001	25	0.0	25
8135264	-	96.42892857142859	28	0.0	28
3943209	-	89.063125	64	0.0	64
2300507	-	89.55164179104477	67	0.0	67
2495262	+	92.30749999999999	52	0.0	52
8365342	-	90.002	20	0.0	20
594828	-	78.37837837837837	37	0.0	37
2334011	+	93.61893617021276	47	0.0	47
2644744	+	72.97405405405405	37	0.0	37
5324913	+	80.43521739130435	46	0.0	46
5774135	+	83.33333333333333	36	0.0	36
2788618	+	72.5	40	0.0	40
4935662	+	89.60948051948053	77	0.0	77
4258398	-	48.57	35	0.0	35
3789808	-	91.48702127659573	47	0.0	47
6816125	+	94.87076923076923	39	0.0	39
3706514	-	80.77230769230769	52	1.9249999999999998	52
6746285	+	83.33666666666666	24	0.0	24
5797696	-	90.47214285714286	42	0.0	42
7484367	+	83.33375	24	0.0	24
4230694	+	86.53999999999999	52	0.0	52
2316074	+	97.61785714285713	42	0.0	42
3472992	+	89.58375000000001	48	0.0	48
7645243	+	93.10620689655173	29	0.0	29
721152	-	83.33333333333333	36	0.0	36
241148	-	90.90757575757576	33	0.0	33
3386051	-	84.48068965517241	58	0.0	58
5929800	+	76.92461538461538	26	0.0	26
1090733	-	77.41870967741936	31	0.0	31
1126539	+	60.60666666666667	33	0.0	33
4694747	-	90.0	30	0.0	30
5031426	+	90.9090909090909	66	0.0	66
2079588	-	58.00019999999999	50	0.0	50
2227901	+	93.87632653061226	49	0.0	49
5924583	+	87.22999999999999	47	0.0	47
1520671	+	75.67621621621622	37	0.0	37
3725142	-	91.52593220338984	59	0.0	59
5025468	-	80.77230769230769	26	0.0	26
3281296	+	94.00059999999999	50	0.0	50
6044372	+	63.63454545454545	33	0.0	33
4643825	-	76.36563636363636	55	0.0	55
6453273	+	76.66633333333333	30	0.0	30
2164041	-	83.05152542372882	59	0.0	59
6709357	+	56.52391304347827	23	0.0	23
7559931	+	78.57142857142857	28	0.0	28
4615255	-	76.19142857142857	21	0.0	21
5322431	+	75.00142857142858	56	0.0	56
4654798	+	85.48596774193547	62	0.0	62
7195860	+	85.18555555555557	27	0.0	27
5839628	+	85.415	48	0.0	48
2344597	+	92.45377358490566	53	0.0	53
1020345	-	91.17588235294117	34	0.0	34
3607978	+	71.05236842105262	38	0.0	38
2212029	-	78.57452380952381	42	0.0	42
5208752	+	87.75612244897958	49	0.0	49
4995850	+	76.78857142857143	56	0.0	56
2770892	-	76.00039999999998	50	0.0	50
3226415	-	79.48820512820512	39	0.0	39
5535359	-	67.85571428571428	28	0.0	28
6266448	+	100.0	45	0.0	45
6481428	+	98.1133962264151	53	0.0	53
1549039	+	82.92634146341463	41	0.0	41
746027	+	85.36463414634146	41	0.0	41
476881	-	97.825	46	0.0	46
6160410	-	96.876875	32	0.0	32
1891961	-	82.22377777777777	45	0.0	45
4664373	-	86.48594594594594	74	0.0	74
1640520	+	92.64691176470588	68	0.0	68
613984	+	90.62593749999999	32	0.0	32
5791864	+	78.26304347826088	46	0.0	46
1717865	-	73.52882352941177	34	0.0	34
3348495	-	68.750625	32	0.0	32
3622804	+	93.54903225806453	62	0.0	62
3604228	+	78.72446808510638	47	0.0	47
6490220	-	72.72818181818182	22	0.0	22
441709	-	84.8469696969697	33	0.0	33
3886525	+	87.88121212121212	66	0.0	66
4079406	-	95.651884057971	69	0.0	69
6276452	+	76.66666666666667	30	0.0	30
2919098	-	78.43176470588236	51	0.0	51
4505755	+	67.64882352941176	34	0.0	34
4872346	-	91.66666666666667	72	0.0	72
1582778	-	82.97872340425532	47	0.0	47
4150242	-	89.851884057971	69	0.0	69
4335965	-	93.44377049180328	61	0.0	61
4078753	+	61.111111111111114	18	0.0	18
6452232	+	92.8552380952381	42	0.0	42
3507160	-	97.62047619047618	84	0.0	84
2140077	+	97.67209302325581	43	0.0	43
3583855	+	88.23294117647059	51	0.0	51
2727797	-	90.0	30	0.0	30
5080972	+	90.91	66	0.0	66
6744548	-	84.3775	32	0.0	32
7330927	-	94.9955	40	0.0	40
203228	-	96.667	30	0.0	30
3919615	-	90.245	82	0.0	82
5452717	-	89.8563768115942	69	0.0	69
4782777	+	74.4695744680851	47	0.0	47
4419710	+	58.537317073170726	41	0.0	41
5856410	+	85.0015	20	0.0	20
5213907	+	90.9109090909091	55	0.0	55
3377667	-	92.19109375	64	0.0	64
7323537	+	84.21157894736842	19	0.0	19
2248740	-	86.48675675675676	37	0.0	37
5290851	+	82.92609756097562	41	0.0	41
5003996	-	89.18783783783783	37	0.0	37
3091544	-	63.154736842105265	19	0.0	19
3058257	-	75.55533333333332	45	0.0	45
2547347	+	80.85255319148935	47	0.0	47
7257899	-	78.12187499999999	32	0.0	32
4730940	-	75.99860000000001	50	0.0	50
3928586	-	92.53537313432837	67	0.0	67
2580460	+	91.48638297872341	47	0.0	47
2737842	-	80.9504761904762	42	0.0	42
2436275	+	71.79512820512821	39	0.0	39
2581243	+	69.38653061224488	49	0.0	49
4003232	+	78.37486486486486	74	0.0	74
5144880	+	88.37255813953489	43	0.0	43
982073	+	97.14371428571428	35	0.0	35
4921519	+	71.874375	32	0.0	32
2668477	-	95.40206896551723	87	0.0	87
3646715	-	90.626875	64	0.0	64
4227618	+	44.12	34	0.0	34
3783905	+	76.78607142857143	56	0.0	56
7066430	+	100.0	32	0.0	32
3960646	-	91.37931034482759	116	0.0	116
6753712	-	89.58083333333332	48	0.0	48
7463794	-	77.77777777777777	27	0.0	27
1493354	+	63.63696969696969	33	0.0	33
3666058	+	63.16	19	0.0	19
6349137	+	80.94999999999999	21	0.0	21
2582224	-	90.91	55	0.0	55
5916829	+	77.42032258064516	31	0.0	31
6733949	-	94.28742857142856	35	0.0	35
7816264	+	71.42892857142859	28	0.0	28
6600311	-	76.0012	25	0.0	25
1680069	-	100.0	41	0.0	41
2486595	+	82.60826086956521	46	0.0	46
7573069	-	92.3096153846154	26	0.0	26
3725896	+	72.22027777777777	36	0.0	36
2269967	-	98.64797297297297	74	0.0	74
459557	-	93.33333333333333	30	0.0	30
1107099	+	86.66499999999999	30	0.0	30
2657782	+	68.8891111111111	45	0.0	45
663377	+	93.33133333333333	45	0.0	45
3037035	-	97.999	50	0.0	50
3769553	+	86.36340909090909	44	0.0	44
3201404	+	79.99799999999999	65	0.0	65
6037485	-	81.8215909090909	44	0.0	44
6151852	-	100.0	47	0.0	47
1369633	+	90.00099999999999	30	0.0	30
7289324	-	86.36454545454545	22	0.0	22
2753511	-	91.66952380952381	84	0.0	84
1929016	-	47.06029411764706	34	0.0	34
1534652	-	89.74692307692308	39	0.0	39
6367295	-	93.18454545454547	44	0.0	44
3764466	-	88.6375	44	0.0	44
2675206	-	79.59224489795918	49	0.0	49
6453925	-	96.7741935483871	31	0.0	31
6089200	+	100.0	47	0.0	47
3595700	+	88.2372549019608	51	0.0	51
3141094	+	91.48787234042554	47	0.0	47
1544968	+	96.07921568627451	51	0.0	51
3529637	-	84.21263157894737	57	0.0	57
5066945	+	69.04571428571428	42	0.0	42
2521672	+	59.08954545454546	44	0.0	44
4420062	+	86.0	50	0.0	50
1280327	-	93.18431818181817	44	0.0	44
139070	+	90.32129032258065	31	0.0	31
3440963	+	52.27363636363636	44	0.0	44
5057397	+	82.3529411764706	34	0.0	34
2934310	+	90.14126760563381	71	0.0	71
4204774	+	86.66577777777778	45	0.0	45
2915338	+	98.38629032258066	62	0.0	62
6420788	+	83.9984	25	0.0	25
2630481	+	70.45477272727273	44	0.0	44
6616193	-	86.66466666666665	30	0.0	30
3093632	+	44.99849999999999	20	0.0	20
3477141	+	98.4603076923077	65	0.0	65
2400994	+	73.07653846153846	52	0.0	52
7497753	-	96.29444444444444	27	0.0	27
4733811	+	96.0024	100	0.0	100
1660352	+	78.37972972972973	37	0.0	37
2544743	+	63.265918367346934	49	0.0	49
5792590	+	89.74666666666667	39	0.0	39
3602098	-	81.35661016949153	59	0.0	59
6254672	-	94.9975	20	0.0	20
4254362	-	97.02891089108911	101	0.0	101
3930304	-	76.47338235294117	68	0.0	68
2016683	+	93.54709677419355	31	0.0	31
5911122	+	83.71883720930232	43	0.0	43
4702069	-	92.98157894736842	57	0.0	57
6832923	-	97.95918367346938	49	0.0	49
4947817	+	94.03179104477613	67	0.0	67
1543367	+	91.66666666666667	36	0.0	36
2187345	-	95.65282608695652	46	0.0	46
2350889	-	92.30942307692308	52	0.0	52
2847682	-	91.17661764705883	68	0.0	68
2913612	+	86.56805970149253	67	0.0	67
4162333	-	75.0	72	0.0	72
4828966	+	76.74186046511628	43	0.0	43
5959764	-	82.85371428571429	35	0.0	35
3883114	+	88.4652564102564	78	0.0	78
2132384	+	91.04567164179105	67	0.0	67
2017318	-	58.82558823529412	34	0.0	34
3985059	-	90.38374999999999	104	0.0	104
1735496	-	75.75818181818181	33	0.0	33
2014269	+	79.99933333333333	45	0.0	45
2031984	+	91.89337837837837	74	0.0	74
1109050	+	85.29147058823528	34	0.0	34
8492391	+	84.61384615384615	26	0.0	26
5713734	+	78.94631578947369	38	0.0	38
1128572	+	81.81636363636363	33	0.0	33
2697702	-	86.2046551724138	58	0.0	58
4722563	+	84.09136363636365	88	0.0	88
1436860	+	67.64617647058823	34	0.0	34
7773144	-	100.0	30	0.0	30
8503014	+	77.7774074074074	27	0.0	27
5077215	+	87.03999999999999	54	0.0	54
5226781	+	95.00200000000001	60	0.0	60
2473733	-	94.33962264150944	53	0.0	53
3433860	-	75.0015625	32	0.0	32
5786901	+	64.10153846153847	39	0.0	39
4023371	-	86.36545454545454	44	0.0	44
2103449	+	91.22754385964913	57	0.0	57
5159802	+	86.95478260869564	69	0.0	69
2076578	-	92.45113207547169	53	0.0	53
5910942	+	98.30338983050846	59	0.0	59
2543594	-	89.82898305084746	59	0.0	59
4428571	-	90.91193181818181	88	0.0	88
2494983	+	92.75086956521739	69	0.0	69
3367956	-	98.68552631578947	76	0.0	76
3252894	-	94.87333333333333	39	0.0	39
2061630	+	72.7284090909091	44	0.0	44
1763623	-	91.66645833333332	48	0.0	48
6008154	+	50.004333333333335	30	0.0	30
7586358	-	73.68473684210527	19	0.0	19
4706696	+	74.54618181818182	55	0.0	55
4725530	-	72.22055555555556	36	0.0	36
5922861	+	65.21608695652174	23	0.0	23
5312472	+	80.55555555555556	36	0.0	36
3102750	+	91.89405405405405	74	0.0	74
5448109	-	78.12625	32	0.0	32
1195812	-	52.63	38	0.0	38
3648808	+	79.48923076923077	39	0.0	39
5921991	+	64.51483870967742	31	0.0	31
7874630	-	95.23714285714286	21	0.0	21
6436752	+	83.334	30	0.0	30
7425874	+	83.33666666666666	24	0.0	24
3700627	-	77.77555555555556	36	0.0	36
175601	+	78.1228125	32	0.0	32
4875388	-	88.46384615384616	52	0.0	52
5916295	-	87.7569387755102	49	0.0	49
5552178	+	84.375	32	0.0	32
4578593	-	66.665	42	0.0	42
5650747	-	81.0791891891892	37	0.0	37
912367	-	90.6275	32	0.0	32
4982673	+	88.68169811320753	53	0.0	53
4552676	+	86.67133333333332	60	0.0	60
4024324	+	93.5516129032258	62	0.0	62
2660063	+	88.37255813953489	43	0.0	43
7656770	-	90.47857142857143	21	0.0	21
4958009	+	73.68315789473684	38	0.0	38
2236130	-	72.09325581395349	43	0.0	43
4305875	-	95.24142857142856	84	0.0	84
178710	-	93.334	30	0.0	30
7024849	-	90.32161290322581	31	0.0	31
2490818	+	79.99909090909091	55	0.0	55
7865009	+	90.001	20	0.0	20
2274531	-	93.93742424242426	66	0.0	66
5487487	-	54.16291666666667	24	0.0	24
335038	+	91.89486486486486	37	0.0	37
2463377	-	77.55408163265307	49	0.0	49
5917697	-	72.0036	25	0.0	25
6420440	+	81.82	22	0.0	22
2309036	-	98.03725490196078	51	0.0	51
7121969	+	89.65793103448276	29	0.0	29
5491377	+	97.72613636363639	44	0.0	44
4557113	+	91.17970588235293	34	0.0	34
1337911	-	88.88833333333334	54	0.0	54
2751179	+	73.17146341463415	41	0.0	41
6927603	+	100.0	24	0.0	24
8229706	-	92.30615384615385	26	0.0	26
3075005	+	58.61931034482759	29	0.0	29
4363050	+	82.97808510638298	47	0.0	47
2897265	+	81.57684210526315	38	0.0	38
2375338	-	78.69163934426228	61	0.0	61
1716986	-	94.73815789473684	38	0.0	38
2011434	+	75.75939393939393	33	0.0	33
2648815	+	57.62711864406781	59	0.0	59
4230958	+	85.52631578947368	76	0.0	76
3978735	-	80.555	36	0.0	36
5281105	+	93.87755102040816	49	0.0	49
3629593	-	56.25	32	0.0	32
5009698	-	87.87727272727273	33	0.0	33
4776318	+	83.5153846153846	91	0.0	91
131563	+	93.55064516129032	31	0.0	31
2294401	+	90.32096774193548	62	0.0	62
6697443	+	79.16666666666667	24	0.0	24
7757446	-	87.49958333333332	24	0.0	24
6185801	-	97.43666666666665	39	0.0	39
5237083	+	92.97947368421052	57	0.0	57
2241019	+	91.93677419354839	62	0.0	62
4537891	+	84.12761904761905	63	0.0	63
1506714	-	80.64516129032258	31	0.0	31
5203658	-	51.611290322580636	31	0.0	31
3310391	+	88.67999999999999	53	0.0	53
7365285	-	94.11588235294117	17	0.0	17
6157835	+	96.97090909090909	33	0.0	33
3059426	-	90.74092592592594	54	0.0	54
5387333	-	95.38507692307694	65	0.0	65
995973	-	93.54838709677419	31	0.0	31
2602775	+	65.79184210526316	38	0.0	38
5586248	-	91.17999999999999	34	0.0	34
7770756	-	79.16666666666667	24	0.0	24
5978789	+	79.58795918367346	49	0.0	49
4679588	-	78.56928571428571	56	0.0	56
6733964	-	97.67209302325581	43	0.0	43
2222677	+	93.22	59	0.0	59
2997515	+	80.95261904761904	42	0.0	42
5825567	-	64.2825	28	0.0	28
3781081	+	83.33	60	0.0	60
3993845	-	78.57267857142857	56	0.0	56
1435677	-	91.665	48	0.0	48
6480346	-	95.1209756097561	41	0.0	41
5421522	+	91.52372881355932	59	0.0	59
6222485	+	97.77866666666667	45	0.0	45
4256467	+	91.14037974683545	79	0.0	79
5628198	-	89.79530612244899	49	0.0	49
5070543	-	95.45227272727271	44	0.0	44
3593344	-	82.85714285714286	35	0.0	35
5596856	+	80.48780487804878	41	0.0	41
6373388	+	62.4985	40	0.0	40
3412086	-	86.90464285714286	84	0.0	84
2269438	+	88.67830188679245	53	0.0	53
778043	+	80.00166666666668	30	0.0	30
746405	-	83.78351351351351	37	0.0	37
4708239	-	58.0	50	0.0	50
7565023	+	74.99857142857142	28	0.0	28
4234012	-	95.49207207207206	111	0.0	111
2850521	+	83.87145161290324	62	0.0	62
3242499	+	93.87673469387755	49	0.0	49
2395652	-	97.05823529411765	68	0.0	68
4359447	-	83.05491525423729	59	0.0	59
3670927	-	91.46646341463415	82	0.0	82
4404495	-	89.8527536231884	69	0.0	69
3140842	+	94.64053571428572	56	0.0	56
1661465	-	80.0	35	0.0	35
3984650	+	78.94578947368421	38	0.0	38
2421683	+	100.0	82	0.0	82
4171755	+	96.74634146341462	123	0.0	123
7011225	+	88.465	26	0.0	26
5492226	+	81.2484375	32	0.0	32
6046580	-	55.553703703703704	27	0.0	27
3641279	+	96.47164705882354	85	0.0	85
3545442	+	71.79153846153847	39	0.0	39
4200147	-	93.52018518518518	108	0.0	108
3638106	-	97.10260869565218	69	0.0	69
4662519	+	96.4938596491228	57	0.0	57
1531204	+	93.02465116279069	43	0.0	43
2998598	-	66.0004	50	0.0	50
4631268	-	55.883823529411764	34	0.0	34
7149016	-	78.78363636363635	33	0.0	33
1767009	-	75.00272727272727	44	0.0	44
5714528	-	79.41235294117647	34	0.0	34
5159175	-	94.82413793103449	58	0.0	58
2543279	-	84.21157894736842	38	0.0	38
2303994	+	70.7319512195122	41	0.0	41
6332159	+	82.75724137931034	29	0.0	29
862344	+	96.77451612903226	31	0.0	31
7085551	+	91.99799999999999	25	0.0	25
2643273	-	83.72372093023256	43	0.0	43
7454133	-	86.95652173913044	23	0.0	23
4125115	+	91.52322033898305	59	0.0	59
3513993	+	63.63454545454545	22	0.0	22
3692158	+	85.18666666666667	27	0.0	27
2056153	+	92.3074358974359	39	0.0	39
2926348	+	80.81931506849315	73	0.0	73
6745205	+	76.925	26	0.0	26
7272696	+	87.49875000000002	24	0.0	24
5598697	+	82.75724137931034	29	0.0	29
2474766	+	87.7198245614035	57	0.0	57
3067961	+	89.0890909090909	55	0.0	55
4852804	-	60.78392156862745	51	0.0	51
5561237	+	80.95119047619048	42	0.0	42
3255812	+	94.54454545454546	55	0.0	55
6463596	+	55.001999999999995	20	0.0	20
4506789	+	51.72551724137931	29	0.0	29
3795787	+	83.33666666666667	42	0.0	42
4181994	+	65.99960000000002	50	0.0	50
5861111	-	95.99799999999999	50	0.0	50
3766880	+	67.44162790697675	43	0.0	43
8171175	-	84.375	32	0.0	32
6957138	-	89.19027027027028	37	0.0	37
4698888	-	91.46195121951219	82	0.0	82
4899060	-	71.15384615384616	52	0.0	52
4138501	+	83.63818181818182	55	0.0	55
4173267	+	75.998	50	0.0	50
5532802	+	84.61358974358976	39	0.0	39
3520479	+	84.61307692307692	39	0.0	39
5444994	+	69.44666666666666	36	0.0	36
3122250	+	66.66727272727273	33	0.0	33
2191975	-	86.95913043478261	46	0.0	46
5172062	-	81.08216216216216	37	0.0	37
7790557	-	97.14057142857143	35	0.0	35
3621988	-	68.57257142857142	35	0.0	35
5816303	-	62.85799999999999	35	0.0	35
3870509	+	87.23234042553192	47	0.0	47
3522545	-	77.49875	40	0.0	40
6321511	+	88.23274509803922	51	0.0	51
2609980	-	87.93293103448276	58	0.0	58
3929144	-	78.26086956521739	46	0.0	46
4955597	+	71.11022222222222	45	0.0	45
849568	-	85.29558823529412	34	0.0	34
3256210	+	74.99964285714285	28	0.0	28
7140660	-	65.22130434782608	23	0.0	23
4329839	-	93.22033898305085	59	0.0	59
1663079	+	92.4545283018868	53	0.0	53
2559929	+	55.55666666666667	45	0.0	45
2744648	+	90.56566037735848	53	0.0	53
2133135	-	78.04804878048782	41	0.0	41
3210065	-	74.19419354838709	31	0.0	31
3383766	-	89.4757894736842	38	0.0	38
4788827	+	77.5045	40	0.0	40
2634096	-	79.07116279069767	43	0.0	43
6514423	-	73.333	30	0.0	30
2318937	-	60.0	30	0.0	30
6092142	+	98.0002	50	0.0	50
5539967	+	83.71999999999998	43	0.0	43
3870353	-	65.21739130434783	46	0.0	46
6420789	-	83.336	30	0.0	30
3716228	+	93.7505	80	0.0	80
6566716	+	96.29333333333334	27	0.0	27
1724992	-	92.30942307692308	52	0.0	52
7608702	-	100.0	27	0.0	27
491329	+	87.0983870967742	31	0.0	31
5062205	+	86.365	44	0.0	44
4422346	-	85.71535714285714	56	0.0	56
2927962	-	90.91121212121212	66	0.0	66
4165530	+	95.83583333333334	72	0.0	72
4902301	-	81.66983333333334	60	0.0	60
7399919	-	86.95521739130434	23	0.0	23
2495871	+	62.85571428571428	35	0.0	35
1293847	+	94.59675675675676	37	0.0	37
5091538	+	67.64588235294117	34	0.0	34
4792397	+	79.63000000000001	54	0.0	54
6024798	+	47.61571428571429	21	0.0	21
5252430	-	66.66333333333334	36	0.0	36
7777132	+	92.0028	25	0.0	25
2020066	-	89.83220338983051	59	0.0	59
749518	-	92.30794871794872	39	0.0	39
6087244	+	84.08909090909091	44	0.0	44
419901	-	96.66766666666666	30	0.0	30
2150144	+	88.6384090909091	44	0.0	44
1614758	+	92.45358490566038	53	0.0	53
2018888	-	67.74096774193548	31	0.0	31
7102150	-	100.0	26	0.0	26
3050855	-	75.60658536585366	41	0.0	41
6405086	-	88.00399999999999	25	0.0	25
5429022	-	89.58	48	0.0	48
5317558	+	89.79571428571428	49	0.0	49
2527745	-	93.3328	75	0.0	75
4700315	-	79.59	49	0.0	49
6536289	-	78.12437499999999	32	0.0	32
4098166	+	57.69326923076923	52	0.0	52
911132	+	81.81848484848486	33	0.0	33
3457054	+	81.2484375	32	0.0	32
6478516	+	72.5	40	0.0	40
3481531	-	64.8681081081081	37	0.0	37
3163948	-	79.24490566037736	53	0.0	53
4994408	+	88.88888888888889	45	0.0	45
1668039	-	84.99925	40	0.0	40
5209646	-	84.61788461538461	52	0.0	52
5430002	+	84.61666666666667	39	0.0	39
7004904	+	79.998	25	0.0	25
4397819	-	89.28999999999999	56	0.0	56
7982612	+	100.0	32	0.0	32
6009873	-	56.522608695652174	23	0.0	23
8123892	-	75.99919999999999	25	0.0	25
5537590	-	82.85857142857144	35	0.0	35
5177771	-	81.57973684210526	38	0.0	38
1897024	-	100.0	53	0.0	53
2153661	-	89.0889090909091	55	0.0	55
6772065	+	86.95652173913044	23	0.0	23
5012653	-	84.0008	50	0.0	50
6662904	-	97.72818181818182	44	0.0	44
717308	-	87.8769696969697	33	0.0	33
1987510	-	95.74255319148935	47	0.0	47
3958334	+	73.33	75	0.0	75
4472362	+	75.00076923076924	52	0.0	52
3969402	+	82.45842105263158	57	0.0	57
4055295	+	100.0	125	0.0	125
2104393	+	95.74468085106383	47	0.0	47
2828883	-	92.53462686567164	67	0.0	67
7489948	+	97.43589743589743	39	0.0	39
140453	+	77.4183870967742	31	0.0	31
6681685	-	93.54677419354839	31	0.0	31
6873051	-	76.9276923076923	26	0.0	26
2636552	+	87.23574468085106	47	0.0	47
6671479	-	86.95913043478261	23	0.0	23
6084967	+	84.84848484848484	33	0.0	33
5614471	+	71.42714285714285	21	0.0	21
3932448	-	85.36329268292683	82	0.0	82
4019994	-	87.23446808510639	47	0.0	47
1857576	+	94.59351351351351	37	0.0	37
4753161	+	84.3775	32	0.0	32
1974379	+	74.99944444444445	36	0.0	36
5257558	-	94.52041095890411	73	0.0	73
4787062	-	76.66499999999999	30	0.0	30
3632650	-	62.85799999999999	35	0.0	35
5491194	+	70.0	20	0.0	20
4967484	+	77.27727272727272	44	0.0	44
6423805	+	92.30589743589745	39	0.0	39
2334012	-	86.11277777777778	36	0.0	36
619692	-	94.59594594594596	37	0.0	37
743049	-	96.8753125	32	0.0	32
6383475	+	80.0	25	0.0	25
7623826	-	65.21739130434783	23	0.0	23
3834514	-	58.82490196078432	51	0.0	51
3354644	-	91.66916666666668	48	0.0	48
6635129	-	96.77612903225807	31	0.0	31
5861503	+	90.24463414634145	41	0.0	41
3892886	+	75.61292682926829	41	0.0	41
3526687	+	95.52701492537312	67	0.0	67
7348859	+	79.165	24	0.0	24
1405945	-	83.7845945945946	37	0.0	37
6430389	+	84.84939393939393	33	0.0	33
5604974	+	93.10620689655173	58	0.0	58
4671760	-	97.3	74	0.0	74
5847516	-	93.99719999999999	50	0.0	50
7757969	-	90.47619047619048	21	0.0	21
3165387	+	71.0521052631579	38	0.0	38
2188199	-	60.004	35	0.0	35
6013010	-	85.71342857142857	35	0.0	35
450269	+	100.0	37	0.0	37
3233570	-	94.23307692307692	52	0.0	52
4527258	-	86.95869565217392	46	0.0	46
6040877	+	94.28457142857143	35	0.0	35
5167370	+	92.68536585365854	41	0.0	41
6015609	-	92.10578947368421	38	0.0	38
1458442	+	84.3740625	32	0.0	32
6092819	+	85.18814814814814	27	0.0	27
826745	+	67.74032258064516	31	0.0	31
2726388	-	81.3953488372093	43	0.0	43
6721869	+	90.91090909090909	22	0.0	22
899184	+	90.625	32	0.0	32
3129518	-	82.35117647058824	34	0.0	34
