locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand	tss	region	is_coordinated	coordination_primary	nearest_methyl_dist	sites_within_2kb	sites_2kb_T1	sites_2kb_T2	delta_sites	lfc_T2vsT1	padj_T2vsT1
SC_RS11390		SCO1872	IclR family transcriptional regulator	IclR	2006250	2007023	+	2006250	core	False	non_coordinated	775	8	5	7	2	-1.594216831330721	1.0286924757084718e-14
SC_RS11410		SCO1876	SigE family RNA polymerase sigma factor	Sigma factor	2009469	2010041	+	2009469	core	False	non_coordinated	57	7	4	3	-1	-1.2152711716445304	0.00021679720157840609
SC_RS11480		SCO1890	GntR family transcriptional regulator	GntR	2024747	2025415	-	2025415	core	False	non_coordinated	1701	1	0	1	1	-0.5863080449661612	0.0796290435024796
SC_RS11515		SCO1897	DeoR/GlpR family DNA-binding transcription regulator	DeoR	2031485	2032261	+	2031485	core	True	discordant_gain_up	191	3	2	2	0	1.3069071437293096	4.581746776202382e-05
SC_RS11550		SCO1904	TetR/AcrR family transcriptional regulator	TetR	2038269	2038841	-	2038841	core	False	non_coordinated	847	3	3	3	0	-0.7167714466850531	0.0002850295544345569
SC_RS11595	dapA	SCO1912	4-hydroxy-tetrahydrodipicolinate synthase	TetR	2048212	2049129	+	2048212	core	False	non_coordinated	398	3	1	2	1	0.9621694831733594	0.0072667709302413
SC_RS11615	dapD	SCO1916	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	TetR	2050524	2051513	-	2051513	core	False	non_coordinated	10	2	1	1	0	1.1983431369128177	4.602194550625006e-10
SC_RS11620		SCO1917	TetR/AcrR family transcriptional regulator	TetR	2051523	2052116	-	2052116	core	False	non_coordinated	363	2	1	1	0	0.5176991416206476	0.0453777647250972
SC_RS11665		SCO1926	helix-turn-helix transcriptional regulator	HTH (other)	2058374	2059132	-	2059132	core	False	non_coordinated	2498	0	0	0	0	0.3931407418762849	0.0803022479385407
SC_RS11780	whiA	SCO1950	DNA-binding protein WhiA	Other regulatory	2084575	2085567	-	2085567	core	False	non_coordinated	986	1	0	0	0	-0.3149523524804227	0.114898728827503
SC_RS11810		SCO1956	LacI family DNA-binding transcriptional regulator	LacI	2091825	2092931	+	2091825	core	False	non_coordinated	278	2	0	0	0	-0.1586380844724247	0.4507863199580796
SC_RS11925		SCO1979	helix-turn-helix domain-containing protein	HTH (other)	2117906	2118766	-	2118766	core	False	non_coordinated	1570	1	0	1	1	-0.3773227941484326	0.0343393823060514
SC_RS12005		SCO1995	tetratricopeptide repeat protein	TetR	2130961	2131341	-	2131341	core	False	non_coordinated	1043	2	2	2	0	2.342123461012669	1.2173938973311858e-13
SC_RS12095		SCO2013	ANTAR domain-containing response regulator	Response regulator	2155123	2155779	-	2155779	core	False	non_coordinated	2118	0	0	0	0	-0.3758406132605544	0.1080585032397683
SC_RS12270		SCO2047	ArsR/SmtB family transcription factor	ArsR	2196122	2196709	-	2196709	core	False	non_coordinated	607	1	1	1	0	-0.504119817838419	0.0572082488852596
SC_RS12415		SCO2075	TraR/DksA family transcriptional regulator	Other regulatory	2225964	2226683	-	2226683	core	False	non_coordinated	1218	1	1	1	0	0.1501744106888396	0.559361022174267
SC_RS12540		SCO2100	TetR/AcrR family transcriptional regulator	TetR	2257287	2257916	+	2257287	core	False	non_coordinated	659	3	2	2	0	-1.5903492218499955	3.8040736979313645e-11
SC_RS12550		SCO2102	SCO2102 family sporulation regulator	Other regulatory	2259944	2260936	-	2260936	core	False	non_coordinated	1344	2	2	1	-1	0.7157076226672633	0.00011052832044095016
SC_RS12555	metF	SCO2103	methylenetetrahydrofolate reductase [NAD(P)H]	TetR	2260993	2261916	-	2261916	core	False	non_coordinated	364	2	2	1	-1	1.1709623200672856	1.1181176166214655e-10
SC_RS12565		SCO2105	Rv2175c family DNA-binding protein	Other regulatory	2262881	2263246	-	2263246	core	False	non_coordinated	962	2	2	1	-1	-0.319994432494782	0.2296999208874532
SC_RS12645		SCO2120	response regulator	Response regulator	2280718	2281440	-	2281440	core	False	non_coordinated	976	1	1	1	0	-0.4512524135328378	0.0185610262601309
SC_RS12650	macS	SCO2121	MacS family sensor histidine kinase	Sensor kinase	2281433	2282674	-	2282674	core	False	non_coordinated	258	1	1	1	0	-1.082981617867327	2.408084972499735e-13
SC_RS12675		SCO2126	ROK family glucokinase	ROK	2285983	2286936	-	2286936	core	False	non_coordinated	1388	3	3	2	-1	-1.259521699072848	3.7177818367422774e-08
SC_RS12745		SCO2140	Lrp/AsnC family transcriptional regulator	Lrp	2301552	2301833	+	2301552	core	False	non_coordinated	1045	2	2	1	-1	0.4956689769917444	0.0379825366200257
SC_RS12755		SCO2142	sensor histidine kinase	Sensor kinase	2302365	2303729	+	2302365	core	False	non_coordinated	1629	2	2	2	0	-0.281185503180341	0.281147869533231
SC_RS12760		SCO2143	response regulator transcription factor	Response regulator	2303726	2304391	+	2303726	core	False	non_coordinated	268	2	2	2	0	0.0859218504176399	0.805120769461172
SC_RS12805		SCO2152	response regulator	Response regulator	2314453	2314854	+	2314453	core	False	non_coordinated	321	7	6	6	0	2.1935946969463735	5.473974714319046e-21
SC_RS12865		SCO2165	response regulator	Response regulator	2329632	2330315	-	2330315	core	False	non_coordinated	522	2	2	2	0	-0.1917678736915759	0.3896835894416234
SC_RS12870		SCO2166	sensor histidine kinase	Sensor kinase	2330312	2331562	-	2331562	core	False	non_coordinated	405	3	3	3	0	0.3624581058940449	0.0685210768949979
SC_RS12950		SCO2182	GntR family transcriptional regulator	GntR	2347778	2348401	+	2347778	core	False	non_coordinated	565	3	2	3	1	0.1300448292815365	0.5352917724397847
SC_RS12960		SCO2184	helix-turn-helix transcriptional regulator	HTH (other)	2351510	2352493	+	2351510	core	False	non_coordinated	621	2	2	2	0	-0.8803507852391097	0.0001953762826106239
SC_RS13040		SCO2201	winged helix-turn-helix transcriptional regulator	HTH (other)	2367728	2368099	+	2367728	core	False	non_coordinated	1855	2	2	2	0	1.1184701124315022	3.0773310855187257e-06
SC_RS13055		SCO2204	winged helix DNA-binding domain-containing protein	HTH (other)	2369767	2370954	+	2369767	core	False	non_coordinated	90	1	1	1	0	-1.0196349081247655	5.82872688616701e-07
SC_RS13080		SCO2209	MarR family transcriptional regulator	MarR	2373706	2374182	+	2373706	core	False	non_coordinated	246	3	2	2	0	-1.176980209290797	0.0021666802603966
SC_RS13095		SCO2213	winged helix-turn-helix domain-containing protein	HTH (other)	2376676	2377257	+	2376676	core	False	non_coordinated	1338	2	2	0	-2	3.2391391537497167	6.291015382090609e-26
SC_RS13105		SCO2215	sensor histidine kinase	Sensor kinase	2378415	2379692	+	2378415	core	False	non_coordinated	224	3	1	1	0	0.1740463422357375	0.5691342063593
SC_RS13110		SCO2216	response regulator transcription factor	Response regulator	2379677	2380330	+	2379677	core	False	non_coordinated	605	3	1	1	0	0.7026718820417603	0.0022244187429373
SC_RS13125		SCO2219	tetratricopeptide repeat protein	TetR	2382653	2383162	+	2382653	core	False	non_coordinated	930	1	1	1	0	1.0679047821279013	1.2273840879999168e-08
SC_RS13145		SCO2223	TetR/AcrR family transcriptional regulator	TetR	2387313	2388005	+	2387313	core	True	discordant_loss_down	288	2	1	0	-1	-2.60408418536578	1.2629170602358348e-22
SC_RS13190		SCO2232	LacI family DNA-binding transcriptional regulator	LacI	2400651	2401685	+	2400651	core	False	non_coordinated	343	2	2	2	0	-2.6587528765760107	7.105839054646778e-54
SC_RS13245		SCO2243	TetR/AcrR family transcriptional regulator	TetR	2412355	2412933	+	2412355	core	False	non_coordinated	936	6	3	6	3	-2.2129166190388716	1.1270993867064567e-31
SC_RS13260			helix-turn-helix domain-containing protein	HTH (other)	2415233	2416084	-	2416084	core	False	non_coordinated	371	2	1	2	1	3.3663418540859613	2.137433263249869e-40
SC_RS13290		SCO2253	helix-turn-helix domain-containing protein	HTH (other)	2419629	2420483	-	2420483	core	False	non_coordinated	405	8	7	6	-1	0.0608048760213377	0.8035934569980652
SC_RS13320		SCO2259	BTAD domain-containing putative transcriptional regulator	Other regulatory	2426233	2430201	-	2430201	core	False	non_coordinated	943	6	5	5	0	-0.3773673343662351	0.0086523434935483
SC_RS13425		SCO2280	TetR/AcrR family transcriptional regulator	TetR	2449644	2450291	-	2450291	core	False	non_coordinated	2758	0	0	0	0	-1.0387231218797262	3.1826876963462017e-06
SC_RS13430		SCO2281	response regulator transcription factor	Response regulator	2450354	2451016	-	2451016	core	False	non_coordinated	2033	0	0	0	0	-0.9623696723215917	2.634164369681522e-06
SC_RS13500		SCO2294	AraC family transcriptional regulator	AraC	2464222	2465058	-	2465058	core	False	non_coordinated	1681	1	1	1	0	0.6234817397491822	0.0466505935579242
SC_RS13505		SCO2295	MerR family transcriptional regulator	MerR	2465169	2465930	+	2465169	core	False	non_coordinated	1792	1	1	1	0	0.9337403745589276	0.0052832856445542
SC_RS13565		SCO2307	sensor histidine kinase	Sensor kinase	2475740	2476969	+	2475740	core	False	non_coordinated	108	4	4	3	-1	0.4613973102298433	0.1106303612471795
SC_RS13570		SCO2308	response regulator transcription factor	Response regulator	2477055	2477687	+	2477055	core	False	non_coordinated	695	7	5	1	-4	-0.2386412437147756	0.3262048752260396
SC_RS13625		SCO2319	TetR family transcriptional regulator	TetR	2490268	2490921	+	2490268	core	False	non_coordinated	550	1	1	1	0	-3.676026147414828	9.932162750599577e-64
SC_RS13675		SCO2329	GlxA family transcriptional regulator	Other regulatory	2499573	2500565	-	2500565	core	False	non_coordinated	371	1	1	0	-1	-0.5369601164110699	0.0325812568225674
SC_RS13685		SCO2331	MarR family winged helix-turn-helix transcriptional regulator	MarR	2501284	2501697	-	2501697	core	False	non_coordinated	1503	1	1	0	-1	-0.3417068151357726	0.1734892998544703
SC_RS13825		SCO2358	response regulator transcription factor	Response regulator	2526064	2526708	-	2526708	core	False	non_coordinated	1037	3	3	1	-2	0.2954205177531505	0.1183771008198134
SC_RS13830		SCO2359	sensor histidine kinase	Sensor kinase	2526699	2527841	-	2527841	core	False	non_coordinated	96	5	5	4	-1	0.1551476631430388	0.4768200357131114
SC_RS13905		SCO2374	TetR family transcriptional regulator	TetR	2544733	2545416	+	2544733	core	False	non_coordinated	10	8	7	8	1	-0.003092793300663	0.986153617451432
SC_RS13925		SCO2378	MerR family transcriptional regulator	MerR	2548784	2549293	-	2549293	core	False	non_coordinated	85	7	3	6	3	2.0981626733944214	1.0090606877444848e-23
SC_RS13940		SCO2381	helix-turn-helix domain-containing protein	HTH (other)	2550901	2551737	+	2550901	core	False	non_coordinated	1491	3	1	2	1	1.9329857117297928	5.104259053158334e-19
SC_RS13965	fasR	SCO2386	fatty acid biosynthesis transcriptional regulator FasR	Other regulatory	2558045	2559250	+	2558045	core	True	discordant_loss_down	24	8	7	6	-1	-1.3457214719384083	5.209355572407984e-19
SC_RS14025		SCO2398	MarR family winged helix-turn-helix transcriptional regulator	MarR	2570030	2570485	+	2570030	core	False	non_coordinated	197	4	3	1	-2	0.2031974271377919	0.508055813311531
SC_RS14165		SCO2426	helix-turn-helix domain-containing protein	HTH (other)	2600318	2601529	+	2600318	core	False	non_coordinated	982	2	2	2	0	3.9154492499711857	4.547032367594186e-52
SC_RS14235		SCO2440	IclR family transcriptional regulator	IclR	2618647	2619420	-	2619420	core	False	non_coordinated	991	2	0	1	1	-0.8787910467248727	6.486684208974491e-05
SC_RS14245		SCO2442	FadR/GntR family transcriptional regulator	GntR	2620174	2620881	-	2620881	core	False	non_coordinated	1598	1	1	0	-1	-0.9839733105279588	7.367466483048006e-07
SC_RS14295		SCO2452	GAF domain-containing sensor histidine kinase	Sensor kinase	2638132	2639559	+	2638132	core	False	non_coordinated	204	3	3	3	0	0.1926478495523862	0.7026014508506716
SC_RS14375		SCO2465	RNA polymerase sigma factor	Sigma factor	2653137	2654327	-	2654327	core	False	non_coordinated	734	1	0	0	0	-0.7841611672419613	0.00013409895001386253
SC_RS14425		SCO2475	LysR family transcriptional regulator	LysR	2666940	2667869	+	2666940	core	False	non_coordinated	178	2	2	2	0	-0.3237729340935993	0.1524343758166233
SC_RS14455		SCO2481	winged helix-turn-helix transcriptional regulator	HTH (other)	2671552	2671941	-	2671941	core	False	non_coordinated	856	2	1	1	0	3.990337584269753	3.149824310607483e-38
SC_RS14495		SCO2489	TetR/AcrR family transcriptional regulator	TetR	2680340	2680924	+	2680340	core	False	non_coordinated	524	1	1	1	0	0.2172356621312726	0.3720071614472564
SC_RS14555		SCO2501	helix-turn-helix transcriptional regulator	HTH (other)	2698679	2699575	-	2699575	core	False	non_coordinated	1275	4	3	2	-1	1.2367478968388692	1.683254119817388e-08
SC_RS14590		SCO2508	Fur family transcriptional regulator	Other regulatory	2706801	2707220	+	2706801	core	False	non_coordinated	1347	2	1	1	0	0.2684753890373882	0.1741766719206427
SC_RS14615		SCO2513	helix-turn-helix domain-containing protein	HTH (other)	2709485	2710318	+	2709485	core	False	non_coordinated	833	1	1	1	0	6.092668182947945	2.9929364099437197e-43
SC_RS14635		SCO2517	response regulator	Response regulator	2712740	2713435	-	2713435	core	False	non_coordinated	154	2	2	1	-1	3.933775298413101	2.0139637077651676e-45
SC_RS14640		SCO2518	sensor histidine kinase	Sensor kinase	2713432	2714709	-	2714709	core	False	non_coordinated	1120	1	1	1	0	3.270367719518872	1.2896130882413341e-43
SC_RS14725		SCO2535	MmcQ/YjbR family DNA-binding protein	Other regulatory	2733319	2733693	+	2733319	core	False	non_coordinated	2001	0	0	0	0	-0.7616220063997272	0.0010792874432633
SC_RS14735		SCO2537	helix-turn-helix transcriptional regulator	HTH (other)	2735252	2736145	+	2735252	core	False	non_coordinated	68	2	2	2	0	0.8666976645231068	0.0001450137475126235
SC_RS14770		SCO2544	IclR family transcriptional regulator	IclR	2742662	2743459	+	2742662	core	False	non_coordinated	610	4	3	3	0	-0.1518813967867011	0.5132339061421018
SC_RS14825	hrcA	SCO2555	heat-inducible transcriptional repressor HrcA	Repressor	2755007	2756023	-	2756023	core	False	non_coordinated	791	2	1	2	1	-1.044164842858697	1.5682817633284286e-05
SC_RS14890		SCO2568	ComEA family DNA-binding protein	Other regulatory	2772442	2773509	-	2773509	core	False	non_coordinated	1167	3	3	2	-1	-2.0105519076520997	2.7094101802685798e-09
SC_RS15140	folC	SCO2614	bifunctional tetrahydrofolate synthase/dihydrofolate synthase	TetR	2837148	2838671	-	2838671	core	False	non_coordinated	228	1	1	1	0	-1.063467177593841	1.61870118262652e-06
SC_RS15270		SCO2639	RNA polymerase sigma factor	Sigma factor	2870032	2870568	-	2870568	core	True	discordant_loss_down	113	7	2	4	2	-1.718484135527773	9.355453169320593e-09
SC_RS15295		SCO2644	LysR family transcriptional regulator	LysR	2876450	2877352	-	2877352	core	False	non_coordinated	692	2	2	2	0	-1.919461075886158	2.277129084868701e-22
SC_RS15310		SCO2647	MarR family winged helix-turn-helix transcriptional regulator	MarR	2879447	2879965	+	2879447	core	False	non_coordinated	478	1	1	1	0	-1.77383748861616	2.8949289753226235e-14
SC_RS15335		SCO2652	Rrf2 family transcriptional regulator	Other regulatory	2884084	2884518	+	2884084	core	False	non_coordinated	687	1	1	1	0	-1.5646365908289377	4.2883621222104665e-18
SC_RS15360		SCO2657	ROK family transcriptional regulator	ROK	2888309	2889526	+	2888309	core	False	non_coordinated	149	4	4	4	0	-1.5708917691090083	3.261774378472076e-12
SC_RS15485	fxsT	SCO2681	FxSxx-COOH system tetratricopeptide repeat protein	TetR	2920569	2922815	+	2920569	core	True	discordant_loss_down	120	7	6	5	-1	-1.633740595502153	2.0668006416906303e-08
SC_RS15495		SCO2683	single-stranded DNA-binding protein	Other regulatory	2924515	2924985	-	2924985	core	False	non_coordinated	82	5	3	4	1	-0.3940206184391142	0.3299014695367265
SC_RS15515		SCO2686	helix-turn-helix domain-containing protein	HTH (other)	2929823	2930719	-	2930719	core	False	non_coordinated	2162	0	0	0	0	-1.5827249334929254	2.387636235901584e-13
SC_RS15725			helix-turn-helix transcriptional regulator	HTH (other)	2975426	2975617	+	2975426	core	False	non_coordinated	1177	1	1	1	0	0.0320726027281723	0.9585282901649956
SC_RS15755		SCO2734	LysR family transcriptional regulator	LysR	2980555	2981592	+	2980555	core	False	non_coordinated	210	1	1	1	0	0.4154366638885007	0.0639284420455664
SC_RS15795		SCO2742	RNA polymerase sigma-70 factor	Sigma factor	2988198	2989145	-	2989145	core	False	non_coordinated	1335	1	0	1	1	0.3350555672221927	0.287275936546756
SC_RS15810		SCO2745	LacI family DNA-binding transcriptional regulator	LacI	2990408	2991451	+	2990408	core	False	non_coordinated	72	1	0	1	1	-1.3714511419142328	0.0005052288559751496
SC_RS15850		SCO2753	LacI family DNA-binding transcriptional regulator	LacI	2999879	3000925	+	2999879	core	False	non_coordinated	235	4	4	3	-1	-0.8557136270428685	1.844836613136577e-06
SC_RS15870		SCO2757	LysR family transcriptional regulator	LysR	3003658	3004599	+	3003658	core	False	non_coordinated	593	2	1	2	1	-0.8118953385157253	0.0021331270022252
SC_RS15920		SCO2767	tetratricopeptide repeat protein	TetR	3017260	3019491	-	3019491	core	False	non_coordinated	1542	2	1	2	1	1.7200093967983034	1.5461501258747137e-13
SC_RS15960		SCO2775	SACE_7040 family transcriptional regulator	Other regulatory	3026790	3027416	-	3027416	core	False	non_coordinated	253	2	1	2	1	-1.4558761315398885	4.859518310820811e-11
SC_RS16045		SCO2792	helix-turn-helix domain-containing protein	HTH (other)	3047135	3048331	+	3047135	core	False	non_coordinated	3720	0	0	0	0	0.2855693917650436	0.2028055378125261
SC_RS16060		SCO2794	LacI family DNA-binding transcriptional regulator	LacI	3049837	3050892	-	3050892	core	False	non_coordinated	37	2	2	2	0	-0.6934597498605036	0.0005186800758319421
SC_RS16090		SCO2800	sensor histidine kinase	Sensor kinase	3057814	3059226	-	3059226	core	False	non_coordinated	200	4	4	3	-1	1.111192488293643	5.470244456389335e-07
SC_RS16095		SCO2801	response regulator transcription factor	Response regulator	3059223	3059927	-	3059927	core	False	non_coordinated	501	3	3	3	0	1.2286063475604352	1.260197053355942e-06
SC_RS16145		SCO2811	ArsR/SmtB family transcription factor	ArsR	3070230	3070556	-	3070556	core	False	non_coordinated	952	1	1	1	0	-0.4866504761710769	0.0199953802988924
SC_RS16165		SCO2815	TetR/AcrR family transcriptional regulator	TetR	3073685	3074278	+	3073685	core	False	non_coordinated	380	3	2	2	0	-1.4534602602806237	1.197561850782526e-07
SC_RS16255		SCO2832	IclR family transcriptional regulator	IclR	3090979	3091737	+	3090979	core	False	non_coordinated	565	2	2	2	0	2.6017573397032967	1.42133529570373e-28
SC_RS16305		SCO2840	LysR family transcriptional regulator	LysR	3101313	3102206	+	3101313	core	False	non_coordinated	1275	2	1	2	1	0.5941385457150125	0.0385051842008285
SC_RS16325			GntR family transcriptional regulator	GntR	3104592	3104948	-	3104948	core	False	non_coordinated	203	2	1	2	1	-2.5904476267344374	3.764768723935149e-05
SC_RS16330		SCO2846	ROK family transcriptional regulator	ROK	3105013	3106233	-	3106233	core	False	non_coordinated	1082	2	1	2	1	-1.7020606949795536	2.958361648240285e-08
SC_RS16365		SCO2853	winged helix-turn-helix transcriptional regulator	HTH (other)	3111340	3111885	-	3111885	core	False	non_coordinated	399	4	2	3	1	-0.6129902178245757	0.057170550265864
SC_RS16395		SCO2859	PadR family transcriptional regulator	PadR	3115957	3116334	-	3116334	core	False	non_coordinated	952	2	0	1	1	-1.7412503091118272	6.199306587602993e-12
SC_RS16420		SCO2865	helix-turn-helix domain-containing protein	HTH (other)	3122091	3122933	+	3122091	core	False	non_coordinated	159	3	3	2	-1	-0.6378221525205899	0.0028008128827631
SC_RS16445		SCO2869	helix-turn-helix domain-containing protein	HTH (other)	3124417	3125262	+	3124417	core	False	non_coordinated	797	2	2	2	0	0.5907186038342439	0.1478875301651485
SC_RS16475		SCO2875	MerR family transcriptional regulator	MerR	3129646	3130077	+	3129646	core	False	non_coordinated	128	2	2	2	0	0.0504358950090346	0.8349448247887048
SC_RS16720		SCO2924	SsgA family sporulation/cell division regulator	Other regulatory	3175140	3175568	+	3175140	core	False	non_coordinated	600	13	12	7	-5	0.2048375575204512	0.386549414748093
SC_RS16730		SCO2926	tetratricopeptide repeat protein	TetR	3177140	3178576	+	3177140	core	False	non_coordinated	151	3	2	2	0	-0.1668985992533252	0.7094798583245928
SC_RS16740		SCO2928	Lrp/AsnC family transcriptional regulator	Lrp	3179891	3180382	+	3179891	core	False	non_coordinated	1029	1	1	1	0	-1.2149716852184476	0.0006088677286243342
SC_RS16775		SCO2935	IclR family transcriptional regulator	IclR	3186380	3187042	-	3187042	core	False	non_coordinated	385	3	2	2	0	-0.6863898799164236	0.0013874313470034
SC_RS16855		SCO2950	HU family DNA-binding protein	Other regulatory	3206403	3206684	-	3206684	core	True	discordant_loss_down	265	2	2	1	-1	-1.6542997259922183	2.827966405340166e-12
SC_RS16870	rsuA	SCO2953	anti-sigma U factor RsuA	Anti-sigma	3211306	3212094	-	3212094	core	False	non_coordinated	141	2	1	0	-1	1.1926883458951565	5.111938437183007e-06
SC_RS16875		SCO2954	sigma-70 family RNA polymerase sigma factor	Sigma factor	3212154	3212678	-	3212678	core	False	non_coordinated	725	2	1	1	0	1.954392305951057	7.476561336417773e-11
SC_RS16920	stgR	SCO2964	LysR family transcriptional regulator StgR	LysR	3224084	3225055	-	3225055	core	False	non_coordinated	137	4	4	3	-1	-2.146393632076846	1.594777898086238e-07
SC_RS17040		SCO2987	MarR family winged helix-turn-helix transcriptional regulator	MarR	3257116	3257622	+	3257116	core	False	non_coordinated	906	4	3	2	-1	-0.8971773783586984	2.7033023210809593e-06
SC_RS17075		SCO2994	TetR/AcrR family transcriptional regulator	TetR	3261641	3262273	-	3262273	core	False	non_coordinated	1941	1	1	1	0	-2.853029374803972	3.8708303785442384e-39
SC_RS17135		SCO3007	winged helix-turn-helix domain-containing protein	HTH (other)	3280662	3281837	+	3280662	core	False	non_coordinated	226	4	3	3	0	-1.7096121261829431	6.568433177837373e-25
SC_RS17140		SCO3008	response regulator	Response regulator	3281872	3282630	-	3282630	core	False	non_coordinated	1013	4	2	3	1	1.6024025720841717	1.2101615403524436e-14
SC_RS17160	mtrB	SCO3012	two-component system sensor histidine kinase MtrB	Sensor kinase	3286822	3288888	-	3288888	core	False	non_coordinated	2245	0	0	0	0	-0.6702161985629062	0.0010022230351487
SC_RS17165	mtrA	SCO3013	two-component system response regulator MtrA	Response regulator	3288890	3289579	-	3289579	core	False	non_coordinated	1554	3	3	2	-1	-0.0965430792290759	0.6980242824665326
SC_RS17285		SCO3034	WhiB family transcriptional regulator	WhiB	3320753	3321016	-	3321016	core	False	non_coordinated	1573	2	2	1	-1	-0.9947476890892744	1.0491230728817312e-07
SC_RS17425	draK	SCO3062	two-component system sensor histidine kinase DraK	Sensor kinase	3354681	3355955	-	3355955	core	False	non_coordinated	1311	1	1	1	0	0.1362981801614192	0.507202541160861
SC_RS17430		SCO3063	response regulator transcription factor	Response regulator	3355990	3356667	-	3356667	core	False	non_coordinated	2023	0	0	0	0	0.4668719232189372	0.0256914086569692
SC_RS17455		SCO3068	RNA polymerase sigma factor SigF	Sigma factor	3360694	3361608	+	3360694	core	False	non_coordinated	117	3	3	2	-1	-1.1881778751323795	9.349962054206723e-12
SC_RS17490		SCO3075	MurR/RpiR family transcriptional regulator	Other regulatory	3368495	3369364	-	3369364	core	False	non_coordinated	1271	2	2	2	0	-1.4515547738902486	1.8506575456521395e-12
SC_RS17670	mfd	SCO3109	transcription-repair coupling factor	Other regulatory	3404759	3408313	-	3408313	core	True	discordant_loss_down	131	1	1	1	0	-0.3256079258555034	0.0366592637333631
SC_RS17725		SCO3119	sensor histidine kinase	Sensor kinase	3420021	3421340	-	3421340	core	False	non_coordinated	568	2	2	1	-1	-0.2092175350437949	0.4352048254394596
SC_RS17770		SCO3129	TetR/AcrR family transcriptional regulator	TetR	3431181	3431858	+	3431181	core	False	non_coordinated	2374	0	0	0	0	0.0348474503330646	0.8793102889212634
SC_RS17790	tamR	SCO3133	MarR family transcriptional regulator TamR	MarR	3434529	3435026	+	3434529	core	False	non_coordinated	314	5	4	4	0	-0.4338245961618631	0.0406490147170292
SC_RS17795		SCO3134	response regulator transcription factor	Response regulator	3434985	3435764	-	3435764	core	True	discordant_gain_up	69	4	3	4	1	3.4047840224669184	6.4490549138040534e-49
SC_RS17830		SCO3144	helix-turn-helix transcriptional regulator	HTH (other)	3442302	3442976	-	3442976	core	False	non_coordinated	198	5	4	5	1	-0.0452965010931839	0.915658948848193
SC_RS17900		SCO3158	SsgA family sporulation/cell division regulator	Other regulatory	3460797	3461177	-	3461177	core	False	non_coordinated	74	2	2	2	0	-0.3144440925299834	0.2244537252351777
SC_RS17945		SCO3167	TetR/AcrR family transcriptional regulator	TetR	3469606	3470205	-	3470205	core	False	non_coordinated	1482	6	4	5	1	-0.4257906660143592	0.057910681005038
SC_RS17975		SCO3173	MerR family transcriptional regulator	MerR	3477824	3478471	+	3477824	core	False	non_coordinated	46	3	3	3	0	-1.5446593892137368	1.5181691246494892e-11
SC_RS18030		SCO3183	5-formyltetrahydrofolate cyclo-ligase	TetR	3487555	3488169	+	3487555	core	False	non_coordinated	166	4	4	3	-1	-1.5471123392376651	1.2709264457681794e-13
SC_RS18105		SCO3198	DeoR/GlpR family DNA-binding transcription regulator	DeoR	3505418	3506179	-	3506179	core	False	non_coordinated	981	2	1	2	1	-0.1982441960944395	0.4516154834943283
SC_RS18115		SCO3200	helix-turn-helix transcriptional regulator	HTH (other)	3507970	3508941	+	3507970	core	False	non_coordinated	810	1	1	1	0	-1.2092650223112538	3.271398937246512e-05
SC_RS18120		SCO3201	TetR/AcrR family transcriptional regulator	TetR	3509244	3509954	-	3509954	core	False	non_coordinated	850	2	2	2	0	-0.6381178726586845	0.0005246324435662224
SC_RS18125		SCO3202	sigma-70 family RNA polymerase sigma factor	Sigma factor	3510381	3511379	-	3511379	core	False	non_coordinated	465	3	3	3	0	0.2915230515511615	0.257102166830076
SC_RS18140		SCO3205	MarR family winged helix-turn-helix transcriptional regulator	MarR	3513024	3513515	+	3513024	core	False	non_coordinated	746	4	4	3	-1	-1.127065767506869	2.5973107166646367e-06
SC_RS18150		SCO3207	TetR/AcrR family transcriptional regulator	TetR	3515302	3515955	-	3515955	core	False	non_coordinated	1077	3	2	2	0	4.7963227842598135	1.3166157375084693e-45
SC_RS18160		SCO3209	IclR family transcriptional regulator domain-containing protein	IclR	3517633	3519207	+	3517633	core	False	non_coordinated	207	2	1	2	1	0.6988407597444776	0.0008795518338015034
SC_RS18200		SCO3217	AfsR/SARP family transcriptional regulator	SARP	3529272	3531188	+	3529272	core	False	non_coordinated	365	3	3	2	-1	6.850365978212149	9.1400906067725e-162
SC_RS18240		SCO3225	sensor histidine kinase	Sensor kinase	3536945	3538660	+	3536945	core	False	non_coordinated	774	3	2	2	0	2.1995931224098624	2.165481344834267e-17
SC_RS18245	absA2	SCO3226	two component system response regulator	Response regulator	3538679	3539347	+	3538679	core	False	non_coordinated	456	3	2	2	0	0.948799424560244	3.8856279285358134e-05
SC_RS18375		SCO3251	helix-turn-helix domain-containing protein	HTH (other)	3603907	3604107	-	3604107	core	False	non_coordinated	121	1	1	1	0		
SC_RS18410		SCO3258	SCO3933 family regulatory protein	Other regulatory	3608420	3608776	-	3608776	core	False	non_coordinated	798	3	3	3	0	-3.282248030374895	0.00029968371786446234
SC_RS18415		SCO3259	GntR family transcriptional regulator	GntR	3608916	3609695	-	3609695	core	False	non_coordinated	95	3	3	3	0	-1.0870193703686224	4.029858296786116e-09
SC_RS18440		SCO3264	GntR family transcriptional regulator	GntR	3613628	3614359	-	3614359	core	False	non_coordinated	3426	0	0	0	0	-3.57844566475654	2.571964677794154e-10
