locus_tag	old_locus_tag	gene_name	product	tf_family	region_label	tss	nearest_GCCGGC_T1	nearest_GCCGGC_T2	nearest_GCCGGC_T3	baseMean	LFC_T2vsT1	LFC_T3vsT1	class
SC_RS09415	SCO1488	pyrR	bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	Other regulatory	core	1592083	1546	6885	78109	210.8	-2.69	-2.45	Shielded
SC_RS09420	SCO1489	bldD	transcriptional regulator BldD	Other regulatory	core	1592381	1248	6587	77811	2243.3	-1.05	-1.9	Shielded
SC_RS09425	SCO1490	nusB	transcription antitermination factor NusB	Other regulatory	core	1593516	113	5452	76676	1895.3	-1.89	-3.19	Exposed
SC_RS09575	SCO1521		YebC/PmpR family DNA-binding transcriptional regulator	Other regulatory	core	1626785	12027	19583	43407	1878.4	-0.17	-0.93	Shielded
SC_RS09690	SCO1541		SsgA family sporulation/cell division regulator	Other regulatory	core	1650377	375	20876	19815	171.7	1.31	2.91	Shielded
SC_RS09835	SCO1564		sigma-70 family RNA polymerase sigma factor	Sigma factor	core	1674773	3253	3520	4581	74.9	3.56	1.11	Shielded
SC_RS09855	SCO1568		TetR/AcrR family transcriptional regulator	TetR	core	1679229	840	932	9037	472.9	-2.47	-2.07	Shielded
SC_RS09895	SCO1576		arginine repressor	Repressor	core	1687155	5088	8858	16963	160.7	-0.62	0.04	Shielded
SC_RS09980	SCO1593		transcriptional regulator	Other regulatory	core	1703856	10120	21637	33664	114.3	-1.65	-0.06	Shielded
SC_RS09995	SCO1596		sensor histidine kinase	Sensor kinase	core	1709248	4728	16245	39056	303.0	-0.66	-1.04	Shielded
SC_RS10080	SCO1614		FadR/GntR family transcriptional regulator	GntR	core	1726192	1200	415	56000	59.9	-0.56	0.04	Shielded
SC_RS10090	SCO1616		LysR family transcriptional regulator	LysR	core	1729404	130	2797	59212	298.7	-2.33	-2.14	Exposed
SC_RS10105	SCO1619		helix-turn-helix domain-containing protein	HTH (other)	core	1731885	2050	5278	61693	240.4	0.71	0.81	Shielded
SC_RS10160	SCO1630		sensor histidine kinase	Sensor kinase	core	1744680	66	4952	74488	5659.6	10.5	8.03	Exposed
SC_RS10190	SCO1636		helix-turn-helix transcriptional regulator	HTH (other)	core	1751160	6546	11432	80968	784.2	0.8	-0.34	Shielded
SC_RS10195	SCO1637		helix-turn-helix transcriptional regulator	HTH (other)	core	1752132	7518	12404	81940	709.5	0.55	-0.76	Shielded
SC_RS10220	SCO1642		LacI family DNA-binding transcriptional regulator	LacI	core	1756624	3680	16896	86432	234.4	0.79	-0.22	Shielded
SC_RS10280	SCO1654		response regulator	Response regulator	core	1769156	2147	29428	98964	782.1	-0.13	-1.39	Shielded
SC_RS10300	SCO1658		IclR family transcriptional regulator	IclR	core	1776737	9728	37009	106545	207.3	0.21	-0.38	Shielded
SC_RS10320	SCO1662	parJ	filament polymerization regulator ParJ	Other regulatory	core	1782041	14297	42313	111849	1022.3	-0.13	-0.97	Shielded
SC_RS10405	SCO1678		FadR/GntR family transcriptional regulator	GntR	core	1798424	534	42972	128232	155.8	-0.32	-0.88	Shielded
SC_RS10435	SCO1684		tetratricopeptide repeat protein	TetR	core	1805076	462	36320	134884	41.0	1.73	2.6	Shielded
SC_RS10470	SCO1691		TetR/AcrR family transcriptional regulator	TetR	core	1811224	2302	30172	141032	143.7	-0.27	-1.31	Shielded
SC_RS10500	SCO1697	soxR	redox-sensitive transcriptional activator SoxR	Activator	core	1818878	9956	22518	148686	145.8	0.62	-0.58	Shielded
SC_RS10510	SCO1699		TetR/AcrR family transcriptional regulator	TetR	core	1820108	9712	21288	149916	656.2	-0.92	-0.75	Shielded
SC_RS10525	SCO1702		TetR/AcrR family transcriptional regulator	TetR	core	1821800	8020	19596	151608	33.0	-0.04	0.83	Shielded
SC_RS10530	SCO1703		ArsR/SmtB family transcription factor	ArsR	core	1822505	7315	18891	152313	54.3	0.42	0.17	Shielded
SC_RS10575	SCO1712		TetR/AcrR family transcriptional regulator	TetR	core	1834906	367	6490	164714	40.6	-0.53	0.38	Shielded
SC_RS10590	SCO1716		GntR family transcriptional regulator	GntR	core	1837136	1863	4260	166944	52.8	-0.27	0.46	Shielded
SC_RS10600	SCO1718		TetR/AcrR family transcriptional regulator C-terminal domain-containing protein	TetR	core	1839798	4423	1598	169606	86.7	0.3	0.13	Shielded
SC_RS10620	SCO1722		anti-sigma factor	Sigma factor	core	1843034	1187	1638	172842	26.3	0.45	2.32	Shielded
SC_RS10625	SCO1723		sigma-70 family RNA polymerase sigma factor	Sigma factor	core	1843573	648	2177	173381	14.6	0.59	4.25	Shielded
SC_RS10650	SCO1728		GntR family transcriptional regulator	GntR	core	1848777	3291	7381	178585	35.7	0.32	-0.12	Shielded
SC_RS10690	SCO1736		MarR family winged helix-turn-helix transcriptional regulator	MarR	core	1854524	1621	6842	184332	21.1	-0.92	0.15	Shielded
SC_RS10730	SCO1744		sensor histidine kinase	Sensor kinase	core	1863882	868	2516	193690	58.9	0.29	1.01	Shielded
SC_RS10735	SCO1745		response regulator	Response regulator	core	1865045	295	3679	194853	31.7	0.76	1.48	Shielded
SC_RS10880	SCO1774		tetratricopeptide repeat protein	TetR	core	1895778	1246	191	195710	261.1	0.26	-0.44	Shielded
SC_RS10900	SCO1778		PucR family transcriptional regulator	Other regulatory	core	1901295	3215	5326	190193	147.8	-0.53	-0.41	Shielded
SC_RS10960	SCO1790		tetratricopeptide repeat protein	TetR	core	1915205	7018	3619	176283	401.9	-2.4	-2.57	Shielded
SC_RS11030	SCO1801		response regulator	Response regulator	core	1929652	636	18066	161836	159.7	-0.04	2.11	Shielded
SC_RS11035	SCO1802		GAF domain-containing sensor histidine kinase	Sensor kinase	core	1930823	1807	19237	160665	199.6	-0.36	1.67	Shielded
SC_RS11090	SCO1813		FadR/GntR family transcriptional regulator	GntR	core	1942957	241	31371	148531	242.8	-2.44	-2.84	Exposed
SC_RS11225	SCO1839		helix-turn-helix domain-containing protein	HTH (other)	core	1967457	1038	55871	124031	3166.9	4.56	5.27	Shielded
SC_RS11390	SCO1872		IclR family transcriptional regulator	IclR	core	2006250	1860	58716	85238	158.1	-1.59	-1.7	Shielded
SC_RS11410	SCO1876		SigE family RNA polymerase sigma factor	Sigma factor	core	2009469	771	55497	82019	41.2	-1.22	-0.46	Shielded
SC_RS11480	SCO1890		GntR family transcriptional regulator	GntR	core	2025415	2330	39551	66073	38.4	-0.59	0.09	Shielded
SC_RS11515	SCO1897		DeoR/GlpR family DNA-binding transcription regulator	DeoR	core	2031485	499	33481	60003	51.6	1.31	1.48	Shielded
SC_RS11550	SCO1904		TetR/AcrR family transcriptional regulator	TetR	core	2038841	847	26125	52647	552.4	-0.72	-1.54	Shielded
SC_RS11595	SCO1912	dapA	4-hydroxy-tetrahydrodipicolinate synthase	TetR	core	2048212	398	16754	43276	50.0	0.96	1.04	Shielded
SC_RS11615	SCO1916	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	TetR	core	2051513	3699	13453	39975	939.4	1.2	-0.9	Shielded
SC_RS11620	SCO1917		TetR/AcrR family transcriptional regulator	TetR	core	2052116	4037	12850	39372	72.1	0.52	0.41	Shielded
SC_RS11665	SCO1926		helix-turn-helix transcriptional regulator	HTH (other)	core	2059132	2498	5834	32356	2556.1	0.39	0.77	Shielded
SC_RS11780	SCO1950	whiA	DNA-binding protein WhiA	Other regulatory	core	2085567	3677	20601	5921	736.6	-0.31	-1.28	Shielded
SC_RS11810	SCO1956		LacI family DNA-binding transcriptional regulator	LacI	core	2091825	2581	26859	337	154.5	-0.16	-0.45	Shielded
SC_RS11925	SCO1979		helix-turn-helix domain-containing protein	HTH (other)	core	2118766	3032	1570	27278	238.1	-0.38	-0.87	Shielded
SC_RS12005	SCO1995		tetratricopeptide repeat protein	TetR	core	2131341	1043	11005	39853	137.9	2.34	1.3	Shielded
SC_RS12095	SCO2013		ANTAR domain-containing response regulator	Response regulator	core	2155779	2118	35443	64291	1191.0	-0.38	-2.06	Shielded
SC_RS12270	SCO2047		ArsR/SmtB family transcription factor	ArsR	core	2196709	607	13677	105221	58.2	-0.5	-0.53	Shielded
SC_RS12415	SCO2075		TraR/DksA family transcriptional regulator	Other regulatory	core	2226683	1218	6152	135195	108.9	0.15	1.15	Shielded
SC_RS12540	SCO2100		TetR/AcrR family transcriptional regulator	TetR	core	2257287	1443	24452	165799	486.9	-1.59	-1.78	Shielded
SC_RS12550	SCO2102		SCO2102 family sporulation regulator	Other regulatory	core	2260936	5092	28101	169448	930.1	0.72	0.09	Shielded
SC_RS12555	SCO2103	metF	methylenetetrahydrofolate reductase [NAD(P)H]	TetR	core	2261916	6072	29081	170428	919.7	1.17	-0.35	Shielded
SC_RS12565	SCO2105		Rv2175c family DNA-binding protein	Other regulatory	core	2263246	6192	30411	171758	675.4	-0.32	-1.7	Shielded
SC_RS12645	SCO2120		response regulator	Response regulator	core	2281440	976	48605	189952	212.6	-0.45	-1.1	Shielded
SC_RS12650	SCO2121	macS	MacS family sensor histidine kinase	Sensor kinase	core	2282674	258	49839	191186	500.1	-1.08	-1.95	Exposed
SC_RS12675	SCO2126		ROK family glucokinase	ROK	core	2286936	1875	54101	195448	2519.7	-1.26	-2.11	Shielded
SC_RS12745	SCO2140		Lrp/AsnC family transcriptional regulator	Lrp	core	2301552	1045	44152	210064	383.9	0.5	-0.75	Shielded
SC_RS12755	SCO2142		sensor histidine kinase	Sensor kinase	core	2302365	1629	43339	210877	84.5	-0.28	0.1	Shielded
SC_RS12760	SCO2143		response regulator transcription factor	Response regulator	core	2303726	268	41978	212238	42.3	0.09	-0.02	Exposed
SC_RS12805	SCO2152		response regulator	Response regulator	core	2314453	1621	31251	222965	724.3	2.19	0.88	Shielded
SC_RS12865	SCO2165		response regulator	Response regulator	core	2330315	522	15389	238827	150.7	-0.19	-0.82	Shielded
SC_RS12870	SCO2166		sensor histidine kinase	Sensor kinase	core	2331562	405	14142	240074	244.2	0.36	-0.11	Shielded
SC_RS12950	SCO2182		GntR family transcriptional regulator	GntR	core	2347778	565	2074	256290	653.1	0.13	-1.29	Shielded
SC_RS12960	SCO2184		helix-turn-helix transcriptional regulator	HTH (other)	core	2351510	621	5806	260022	120.9	-0.88	-0.79	Shielded
SC_RS13040	SCO2201		winged helix-turn-helix transcriptional regulator	HTH (other)	core	2367728	5500	22024	276240	131.2	1.12	0.54	Shielded
SC_RS13055	SCO2204		winged helix DNA-binding domain-containing protein	HTH (other)	core	2369767	3461	24063	278279	409.2	-1.02	-0.9	Shielded
SC_RS13080	SCO2209		MarR family transcriptional regulator	MarR	core	2373706	478	28002	282218	34.7	-1.18	-0.24	Shielded
SC_RS13095	SCO2213		winged helix-turn-helix domain-containing protein	HTH (other)	core	2376676	1338	30972	285188	262.8	3.24	0.31	Shielded
SC_RS13105	SCO2215		sensor histidine kinase	Sensor kinase	core	2378415	3077	32711	286927	83.3	0.17	0.12	Shielded
SC_RS13110	SCO2216		response regulator transcription factor	Response regulator	core	2379677	4339	33973	288189	92.8	0.7	-0.65	Shielded
SC_RS13125	SCO2219		tetratricopeptide repeat protein	TetR	core	2382653	7254	36949	291165	324.7	1.07	0.01	Shielded
SC_RS13145	SCO2223		TetR/AcrR family transcriptional regulator	TetR	core	2387313	2594	41609	295825	90.3	-2.6	-1.97	Shielded
SC_RS13190	SCO2232		LacI family DNA-binding transcriptional regulator	LacI	core	2400651	343	54947	309163	692.3	-2.66	-3.01	Shielded
SC_RS13245	SCO2243		TetR/AcrR family transcriptional regulator	TetR	core	2412355	1112	58473	320867	378.4	-2.21	-2.23	Shielded
SC_RS13260			helix-turn-helix domain-containing protein	HTH (other)	core	2416084	2617	54744	324596	185.6	3.37	2.63	Shielded
SC_RS13290	SCO2253		helix-turn-helix domain-containing protein	HTH (other)	core	2420483	1200	50345	328995	183.2	0.06	-0.83	Shielded
SC_RS13320	SCO2259		BTAD domain-containing putative transcriptional regulator	Other regulatory	core	2430201	1810	40627	338713	551.1	-0.38	-0.54	Shielded
SC_RS13425	SCO2280		TetR/AcrR family transcriptional regulator	TetR	core	2450291	4468	20537	358803	105.1	-1.04	-0.99	Shielded
SC_RS13430	SCO2281		response regulator transcription factor	Response regulator	core	2451016	3743	19812	359528	120.6	-0.96	-1.57	Shielded
SC_RS13500	SCO2294		AraC family transcriptional regulator	AraC	core	2465058	1681	5770	373570	65.6	0.62	1.81	Shielded
SC_RS13505	SCO2295		MerR family transcriptional regulator	MerR	core	2465169	1792	5659	373681	45.6	0.93	0.75	Shielded
SC_RS13565	SCO2307		sensor histidine kinase	Sensor kinase	core	2475740	974	4912	384252	71.6	0.46	1.38	Shielded
SC_RS13570	SCO2308		response regulator transcription factor	Response regulator	core	2477055	2289	6227	385567	93.5	-0.24	-0.23	Shielded
SC_RS13625	SCO2319		TetR family transcriptional regulator	TetR	core	2490268	550	19440	398780	379.7	-3.68	-3.64	Shielded
SC_RS13675	SCO2329		GlxA family transcriptional regulator	Other regulatory	core	2500565	4052	29737	409077	82.9	-0.54	-0.45	Shielded
SC_RS13685	SCO2331		MarR family winged helix-turn-helix transcriptional regulator	MarR	core	2501697	5184	30869	410209	120.3	-0.34	-0.97	Shielded
SC_RS13825	SCO2358		response regulator transcription factor	Response regulator	core	2526708	1037	55880	435220	194.2	0.3	-0.59	Shielded
SC_RS13830	SCO2359		sensor histidine kinase	Sensor kinase	core	2527841	96	57013	436353	241.2	0.16	-0.68	Exposed
SC_RS13905	SCO2374		TetR family transcriptional regulator	TetR	core	2544733	10	73905	453245	173.4	-0.0	-1.04	Exposed
SC_RS13925	SCO2378		MerR family transcriptional regulator	MerR	core	2549293	1946	78465	457805	138.7	2.1	-0.37	Shielded
SC_RS13940	SCO2381		helix-turn-helix domain-containing protein	HTH (other)	core	2550901	3554	80073	459413	214.4	1.93	1.75	Shielded
SC_RS13965	SCO2386	fasR	fatty acid biosynthesis transcriptional regulator FasR	Other regulatory	core	2558045	1884	87217	466557	658.4	-1.35	-2.01	Shielded
SC_RS14025	SCO2398		MarR family winged helix-turn-helix transcriptional regulator	MarR	core	2570030	10101	87753	478542	51.2	0.2	0.14	Shielded
SC_RS14165	SCO2426		helix-turn-helix domain-containing protein	HTH (other)	core	2600318	982	57465	508830	156.0	3.92	2.86	Shielded
SC_RS14235	SCO2440		IclR family transcriptional regulator	IclR	core	2619420	9032	38363	495962	262.3	-0.88	-1.39	Shielded
SC_RS14245	SCO2442		FadR/GntR family transcriptional regulator	GntR	core	2620881	9600	36902	494501	292.1	-0.98	-2.61	Shielded
SC_RS14295	SCO2452		GAF domain-containing sensor histidine kinase	Sensor kinase	core	2638132	1580	19651	477250	31.1	0.19	3.0	Shielded
SC_RS14375	SCO2465		RNA polymerase sigma factor	Sigma factor	core	2654327	3455	3456	461055	180.0	-0.78	-1.02	Shielded
SC_RS14425	SCO2475		LysR family transcriptional regulator	LysR	core	2666940	178	2814	448442	273.4	-0.32	-0.97	Exposed
SC_RS14455	SCO2481		winged helix-turn-helix transcriptional regulator	HTH (other)	core	2671941	3265	2187	443441	113.4	3.99	2.39	Shielded
SC_RS14495	SCO2489		TetR/AcrR family transcriptional regulator	TetR	core	2680340	5134	10586	435042	128.3	0.22	-0.29	Shielded
SC_RS14555	SCO2501		helix-turn-helix transcriptional regulator	HTH (other)	core	2699575	1873	29821	415807	260.6	1.24	0.23	Shielded
SC_RS14590	SCO2508		Fur family transcriptional regulator	Other regulatory	core	2706801	9099	37047	408581	409.6	0.27	-1.25	Shielded
SC_RS14615	SCO2513		helix-turn-helix domain-containing protein	HTH (other)	core	2709485	11783	36711	405897	422.2	6.09	5.88	Shielded
SC_RS14635	SCO2517		response regulator	Response regulator	core	2713435	12953	32761	401947	567.4	3.93	4.71	Shielded
SC_RS14640	SCO2518		sensor histidine kinase	Sensor kinase	core	2714709	11679	31487	400673	1177.9	3.27	4.16	Shielded
SC_RS14725	SCO2535		MmcQ/YjbR family DNA-binding protein	Other regulatory	core	2733319	4523	12877	382063	111.7	-0.76	-1.46	Shielded
SC_RS14735	SCO2537		helix-turn-helix transcriptional regulator	HTH (other)	core	2735252	2590	10944	380130	194.0	0.87	0.32	Shielded
SC_RS14770	SCO2544		IclR family transcriptional regulator	IclR	core	2742662	610	3534	372720	101.8	-0.15	-0.06	Shielded
SC_RS14825	SCO2555	hrcA	heat-inducible transcriptional repressor HrcA	Repressor	core	2756023	791	1656	359359	1822.5	-1.04	-1.9	Shielded
SC_RS14890	SCO2568		ComEA family DNA-binding protein	Other regulatory	core	2773509	2617	15830	341873	59.2	-2.01	-0.64	Shielded
SC_RS15140	SCO2614	folC	bifunctional tetrahydrofolate synthase/dihydrofolate synthase	TetR	core	2838671	228	4276	276711	1801.0	-1.06	-1.88	Exposed
SC_RS15270	SCO2639		RNA polymerase sigma factor	Sigma factor	core	2870568	6092	36173	244814	57.7	-1.72	-1.29	Shielded
SC_RS15295	SCO2644		LysR family transcriptional regulator	LysR	core	2877352	692	42957	238030	215.9	-1.92	-1.98	Shielded
SC_RS15310	SCO2647		MarR family winged helix-turn-helix transcriptional regulator	MarR	core	2879447	478	45052	235935	99.6	-1.77	-1.27	Shielded
SC_RS15335	SCO2652		Rrf2 family transcriptional regulator	Other regulatory	core	2884084	687	42265	231298	230.4	-1.56	-2.24	Shielded
SC_RS15360	SCO2657		ROK family transcriptional regulator	ROK	core	2888309	698	38040	227073	132.9	-1.57	-0.89	Shielded
SC_RS15485	SCO2681	fxsT	FxSxx-COOH system tetratricopeptide repeat protein	TetR	core	2920569	1471	5780	194813	170.1	-1.63	-0.81	Shielded
SC_RS15495	SCO2683		single-stranded DNA-binding protein	Other regulatory	core	2924985	1363	1364	190397	24.6	-0.39	0.98	Shielded
SC_RS15515	SCO2686		helix-turn-helix domain-containing protein	HTH (other)	core	2930719	2162	4370	184663	125.5	-1.58	-1.38	Shielded
SC_RS15725			helix-turn-helix transcriptional regulator	HTH (other)	core	2975426	3986	22090	139956	6.8	0.03	2.6	Shielded
SC_RS15755	SCO2734		LysR family transcriptional regulator	LysR	core	2980555	9115	16961	134827	107.0	0.42	0.45	Shielded
SC_RS15795	SCO2742		RNA polymerase sigma-70 factor	Sigma factor	core	2989145	8370	8371	126237	51.2	0.34	1.04	Shielded
SC_RS15810	SCO2745		LacI family DNA-binding transcriptional regulator	LacI	core	2990408	7107	7108	124974	57.8	-1.37	0.79	Shielded
SC_RS15850	SCO2753		LacI family DNA-binding transcriptional regulator	LacI	core	2999879	235	2363	115503	186.0	-0.86	-1.23	Exposed
SC_RS15870	SCO2757		LysR family transcriptional regulator	LysR	core	3003658	2923	6142	111724	112.5	-0.81	-0.69	Shielded
SC_RS15920	SCO2767		tetratricopeptide repeat protein	TetR	core	3019491	3280	21975	95891	431.1	1.72	1.59	Shielded
SC_RS15960	SCO2775		SACE_7040 family transcriptional regulator	Other regulatory	core	3027416	1514	29900	87966	106.4	-1.46	-0.97	Shielded
SC_RS16045	SCO2792		helix-turn-helix domain-containing protein	HTH (other)	core	3047135	3720	49619	68247	3179.4	0.29	-0.97	Shielded
SC_RS16060	SCO2794		LacI family DNA-binding transcriptional regulator	LacI	core	3050892	37	53376	64490	548.9	-0.69	-1.64	Exposed
SC_RS16090	SCO2800		sensor histidine kinase	Sensor kinase	core	3059226	200	61710	56156	162.4	1.11	0.75	Exposed
SC_RS16095	SCO2801		response regulator transcription factor	Response regulator	core	3059927	501	62411	55455	74.7	1.23	0.87	Shielded
SC_RS16145	SCO2811		ArsR/SmtB family transcription factor	ArsR	core	3070556	952	73040	44826	111.0	-0.49	-0.88	Shielded
SC_RS16165	SCO2815		TetR/AcrR family transcriptional regulator	TetR	core	3073685	1320	76169	41697	77.2	-1.45	-1.19	Shielded
SC_RS16255	SCO2832		IclR family transcriptional regulator	IclR	core	3090979	565	93463	24403	881.2	2.6	2.24	Shielded
SC_RS16305	SCO2840		LysR family transcriptional regulator	LysR	core	3101313	1437	103797	14069	67.2	0.59	0.51	Shielded
SC_RS16325			GntR family transcriptional regulator	GntR	core	3104948	1223	107432	10434	18.5	-2.59	0.19	Shielded
SC_RS16330	SCO2846		ROK family transcriptional regulator	ROK	core	3106233	2508	108717	9149	113.2	-1.7	-1.24	Shielded
SC_RS16365	SCO2853		winged helix-turn-helix transcriptional regulator	HTH (other)	core	3111885	399	114369	3497	43.6	-0.61	-0.08	Shielded
SC_RS16395	SCO2859		PadR family transcriptional regulator	PadR	core	3116334	2004	118818	952	82.5	-1.74	-1.71	Shielded
SC_RS16420	SCO2865		helix-turn-helix domain-containing protein	HTH (other)	core	3122091	159	124575	6709	127.5	-0.64	-0.88	Exposed
SC_RS16445	SCO2869		helix-turn-helix domain-containing protein	HTH (other)	core	3124417	2167	126901	9035	39.8	0.59	0.86	Shielded
SC_RS16475	SCO2875		MerR family transcriptional regulator	MerR	core	3129646	128	132130	14264	107.0	0.05	-0.26	Exposed
SC_RS16720	SCO2924		SsgA family sporulation/cell division regulator	Other regulatory	core	3175140	6666	177624	59758	198.9	0.2	0.96	Shielded
SC_RS16730	SCO2926		tetratricopeptide repeat protein	TetR	core	3177140	7189	179624	61758	40.5	-0.17	2.21	Shielded
SC_RS16740	SCO2928		Lrp/AsnC family transcriptional regulator	Lrp	core	3179891	4438	182375	64509	41.3	-1.21	0.02	Shielded
SC_RS16775	SCO2935		IclR family transcriptional regulator	IclR	core	3187042	1674	189526	71660	126.7	-0.69	-0.43	Shielded
SC_RS16855	SCO2950		HU family DNA-binding protein	Other regulatory	core	3206684	3381	209168	74613	10732.9	-1.65	-2.9	Shielded
SC_RS16870	SCO2953	rsuA	anti-sigma U factor RsuA	Anti-sigma	core	3212094	141	214578	69203	401.4	1.19	1.57	Exposed
SC_RS16875	SCO2954		sigma-70 family RNA polymerase sigma factor	Sigma factor	core	3212678	725	215162	68619	191.5	1.95	3.13	Shielded
SC_RS16920	SCO2964	stgR	LysR family transcriptional regulator StgR	LysR	core	3225055	195	227539	56242	49.0	-2.15	0.4	Exposed
SC_RS17040	SCO2987		MarR family winged helix-turn-helix transcriptional regulator	MarR	core	3257116	906	259600	24181	193.3	-0.9	-2.15	Shielded
SC_RS17075	SCO2994		TetR/AcrR family transcriptional regulator	TetR	core	3262273	6063	264757	19024	165.1	-2.85	-2.21	Shielded
SC_RS17135	SCO3007		winged helix-turn-helix domain-containing protein	HTH (other)	core	3280662	634	283146	635	368.8	-1.71	-2.17	Shielded
SC_RS17140	SCO3008		response regulator	Response regulator	core	3282630	1013	285114	1333	1733.9	1.6	0.64	Shielded
SC_RS17160	SCO3012	mtrB	two-component system sensor histidine kinase MtrB	Sensor kinase	core	3288888	7271	291372	7591	1825.5	-0.67	-1.61	Shielded
SC_RS17165	SCO3013	mtrA	two-component system response regulator MtrA	Response regulator	core	3289579	7962	292063	8282	2928.9	-0.1	-1.2	Shielded
SC_RS17285	SCO3034		WhiB family transcriptional regulator	WhiB	core	3321016	3134	323500	39719	845.5	-0.99	-2.17	Shielded
SC_RS17425	SCO3062	draK	two-component system sensor histidine kinase DraK	Sensor kinase	core	3355955	1311	358439	74658	747.0	0.14	-1.13	Shielded
SC_RS17430	SCO3063		response regulator transcription factor	Response regulator	core	3356667	2023	359151	75370	1449.0	0.47	-0.65	Shielded
SC_RS17455	SCO3068		RNA polymerase sigma factor SigF	Sigma factor	core	3360694	3579	363178	79397	1171.0	-1.19	-2.61	Shielded
SC_RS17490	SCO3075		MurR/RpiR family transcriptional regulator	Other regulatory	core	3369364	1408	371848	88067	140.1	-1.45	-0.95	Shielded
SC_RS17670	SCO3109	mfd	transcription-repair coupling factor	Other regulatory	core	3408313	131	410797	127016	715.5	-0.33	-1.08	Exposed
SC_RS17725	SCO3119		sensor histidine kinase	Sensor kinase	core	3421340	1844	423824	140043	682.0	-0.21	0.14	Shielded
SC_RS17770	SCO3129		TetR/AcrR family transcriptional regulator	TetR	core	3431181	2679	433665	149884	350.8	0.03	-0.63	Shielded
SC_RS17790	SCO3133	tamR	MarR family transcriptional regulator TamR	MarR	core	3434529	669	437013	153232	428.7	-0.43	-0.7	Shielded
SC_RS17795	SCO3134		response regulator transcription factor	Response regulator	core	3435764	1904	438248	154467	877.4	3.4	3.16	Shielded
SC_RS17830	SCO3144		helix-turn-helix transcriptional regulator	HTH (other)	core	3442976	1719	445460	161679	35.4	-0.05	1.31	Shielded
SC_RS17900	SCO3158		SsgA family sporulation/cell division regulator	Other regulatory	core	3461177	970	463661	179880	200.4	-0.31	-0.41	Shielded
SC_RS17945	SCO3167		TetR/AcrR family transcriptional regulator	TetR	core	3470205	2787	472689	188908	487.9	-0.43	-1.2	Shielded
SC_RS17975	SCO3173		MerR family transcriptional regulator	MerR	core	3477824	46	480308	196527	98.7	-1.54	-1.09	Exposed
SC_RS18030	SCO3183		5-formyltetrahydrofolate cyclo-ligase	TetR	core	3487555	166	490039	206258	173.5	-1.55	-1.92	Exposed
SC_RS18105	SCO3198		DeoR/GlpR family DNA-binding transcription regulator	DeoR	core	3506179	981	508663	224882	1599.9	-0.2	1.01	Shielded
SC_RS18115	SCO3200		helix-turn-helix transcriptional regulator	HTH (other)	core	3507970	810	510454	226673	69.3	-1.21	-0.14	Shielded
SC_RS18120	SCO3201		TetR/AcrR family transcriptional regulator	TetR	core	3509954	2794	512438	228657	355.2	-0.64	-0.3	Shielded
SC_RS18125	SCO3202		sigma-70 family RNA polymerase sigma factor	Sigma factor	core	3511379	2614	513863	230082	1347.4	0.29	-0.48	Shielded
SC_RS18140	SCO3205		MarR family winged helix-turn-helix transcriptional regulator	MarR	core	3513024	969	515508	231727	75.9	-1.13	-1.27	Shielded
SC_RS18150	SCO3207		TetR/AcrR family transcriptional regulator	TetR	core	3515955	1077	518439	234658	2194.2	4.8	3.96	Shielded
SC_RS18160	SCO3209		IclR family transcriptional regulator domain-containing protein	IclR	core	3517633	1055	520117	236336	199.7	0.7	1.15	Shielded
SC_RS18200	SCO3217		AfsR/SARP family transcriptional regulator	SARP	core	3529272	365	531756	247975	6864.4	6.85	5.76	Shielded
SC_RS18240	SCO3225		sensor histidine kinase	Sensor kinase	core	3536945	2880	539429	255648	1107.6	2.2	2.73	Shielded
SC_RS18245	SCO3226	absA2	two component system response regulator	Response regulator	core	3538679	1146	541163	257382	714.5	0.95	0.54	Shielded
SC_RS18410	SCO3258		SCO3933 family regulatory protein	Other regulatory	core	3608776	798	611260	327479	12.7	-3.28	0.15	Shielded
SC_RS18415	SCO3259		GntR family transcriptional regulator	GntR	core	3609695	1717	612179	328398	197.3	-1.09	-1.16	Shielded
SC_RS18440	SCO3264		GntR family transcriptional regulator	GntR	core	3614359	3426	616843	333062	37.2	-3.58	-0.44	Shielded
SC_RS18455	SCO3269		GntR family transcriptional regulator	GntR	core	3615480	2305	617964	334183	89.4	-1.41	-1.33	Shielded
SC_RS18470			helix-turn-helix domain-containing protein	HTH (other)	core	3617878	93	620362	336581	18.0	0.36	0.97	Exposed
SC_RS18490	SCO3275		MerR family transcriptional regulator	MerR	core	3619451	529	621935	338154	111.8	-1.75	-1.78	Shielded
SC_RS18650	SCO3308		helix-turn-helix domain-containing protein	HTH (other)	core	3661035	2305	663519	379738	475.0	-1.29	-1.82	Shielded
SC_RS18680	SCO3315		TetR/AcrR family transcriptional regulator	TetR	core	3666265	207	668749	384968	68.2	-0.42	-0.54	Exposed
SC_RS18705	SCO3320		redox-sensing transcriptional repressor Rex	Repressor	core	3673191	574	675675	391894	1464.0	-1.29	-1.81	Shielded
SC_RS18720	SCO3323		ECF subfamily RNA polymerase sigma factor, BldN family	Sigma factor	core	3675181	1416	677665	393884	3804.5	7.55	6.63	Shielded
