locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand	tss	region	is_exposed	baseMean	log2_baseMean_p1	nearest_methyl_distance	n_methyl_sites_2kb	gene_length	LFC_T2vsT1	LFC_T3vsT1
SC_RS31555			response regulator transcription factor	Response regulator	6419308	6419961	+	6419234	protein_coding	0	441.0931813922441	8.788206672884943	601	7	654	-1.4375264746049232	0.084882074724398
SC_RS18745			helix-turn-helix domain-containing protein	HTH (other)	3680056	3680268	-	3680340	protein_coding	0	6597.95239845244	12.688021295569822	4923	0	213	5.484559091854776	6.939823825599184
SC_RS16875			sigma-70 family RNA polymerase sigma factor	Sigma factor	3212154	3212678	-	3212773	protein_coding	0	191.4657188593469	7.588457692019115	820	2	525	1.954392305951057	3.13004533177038
SC_RS02550			TetR/AcrR family transcriptional regulator	TetR	94306	94872	-	94899	protein_coding	0	63.87422278920704	6.01957344458334	1198	3	567	0.3847571846540605	-0.2053992778906588
SC_RS02625			helix-turn-helix transcriptional regulator	LuxR	122743	125502	+	122730	protein_coding	0	225.2844571741538	7.821993683226826	954	4	2760	1.3478072821107898	2.3289489134330177
SC_RS02920			sigma-70 family RNA polymerase sigma factor	Sigma factor	184958	185566	+	184865	protein_coding	0	625.8078027252792	9.291879328875263	1597	1	609	-1.39711883038648	-0.6190824679940575
SC_RS02970			response regulator	Sigma factor	194760	195461	-	195490	protein_coding	0	3430.0330932064026	11.744427325793596	456	1	702	6.294033238583641	7.534071763657279
SC_RS03095			helix-turn-helix transcriptional regulator	HTH (other)	221699	222538	-	222571	protein_coding	0	47.42383554788814	5.597645451522068	137	3	840	0.3510988112785352	0.9778105348669064
SC_RS03135			TetR/AcrR family transcriptional regulator	TetR	229995	230669	+	229995	protein_coding	0	36.138061787905976	5.214826618778299	299	3	675	0.2967320614247226	1.2919282371871128
SC_RS03230			LysR family transcriptional regulator	LysR	250805	251740	+	250805	protein_coding	0	106.65541328465385	6.750277054775198	204	4	936	0.4008340214024673	0.1857779581061298
SC_RS03240			MarR family winged helix-turn-helix transcriptional regulator	MarR	252946	253398	+	252920	protein_coding	0	59.185734193842436	5.911349660829419	1558	3	453	0.927899550045083	0.2954702719152247
SC_RS03355			AraC-like ligand-binding domain-containing protein	AraC	279691	280695	+	279597	protein_coding	0	86.48657993496629	6.450989825590633	773	2	1005	0.6109724139132588	0.6048174752981932
SC_RS03410			LysR family transcriptional regulator	LysR	292656	293519	-	293519	protein_coding	0	466.6920804150581	8.869415189105329	917	2	864	2.162880179285506	0.692429057457416
SC_RS03600			TetR/AcrR family transcriptional regulator	TetR	340752	341318	+	340752	protein_coding	0	80.77247720684656	6.3535434407598945	268	1	567	-0.0282199003568821	-0.2607181450431699
SC_RS03790			helix-turn-helix domain-containing protein	HTH (other)	391232	391834	+	391241	protein_coding	0	65.12025644879927	6.047020415051368	33	4	603	-0.4006589053837667	-0.2074840208108687
SC_RS03945			MerR family transcriptional regulator	MerR	427610	428614	+	427610	protein_coding	0	57.15842581998693	5.8619163151002756	366	4	1005	1.3036844920565769	1.46694514368741
SC_RS04075			helix-turn-helix domain-containing protein	LuxR	453370	454374	+	453340	protein_coding	0	70.32013303174631	6.156237488877495	2229	0	1005	-0.9067181621287422	-0.4286264862553396
SC_RS04145			MarR family winged helix-turn-helix transcriptional regulator	MarR	465990	466436	+	465990	protein_coding	0	26.372570069956694	4.774658993715473	480	4	447	-0.9442129281634142	-0.0105433305901647
SC_RS04520			TetR/AcrR family transcriptional regulator	TetR	553892	554473	+	553892	protein_coding	0	135.32981110817587	7.090957259146681	432	1	582	-0.7267519064625878	-1.2962017797199263
SC_RS04705			MerR family transcriptional regulator	MerR	598747	599769	+	598727	protein_coding	0	302.90549386040504	8.247478945232235	551	3	1023	-0.3724140861521582	-0.5830879932815349
SC_RS04835			FadR/GntR family transcriptional regulator	GntR	624273	625034	+	624279	protein_coding	0	176.78034215190206	7.473951998487629	715	4	762	-0.9180429434867632	-1.4809515362443284
SC_RS04870			LysR family transcriptional regulator	LysR	631216	632103	-	632103	protein_coding	0	52.588621819407486	5.743854808494446	1086	1	888	1.054127544087963	0.8664477034196086
SC_RS05030			TetR/AcrR family transcriptional regulator	TetR	662373	663014	+	662382	protein_coding	0	228.23415790853736	7.840678224155476	770	4	642	-1.3668292078247744	-2.9208570426090463
SC_RS06810			LysR family transcriptional regulator	LysR	1023053	1023964	+	1023032	protein_coding	0	430.04824109321027	8.751705528442427	2623	0	912	-0.4677664194222722	-0.8249844799257048
SC_RS07440			MarR family winged helix-turn-helix transcriptional regulator	MarR	1155717	1156292	-	1156424	protein_coding	0	124.46451638206253	6.971135591576566	662	7	576	-0.8251659163488642	-1.2361559155152309
SC_RS07560			LysR substrate-binding domain-containing protein	LysR	1179956	1180792	-	1180792	protein_coding	0	369.3952277289506	8.532921700424358	92	3	837	-0.214480792072109	-1.0483795689035451
SC_RS07675			MarR family winged helix-turn-helix transcriptional regulator	MarR	1204428	1204889	+	1204428	protein_coding	0	283.3273908521619	8.151409278389492	3725	0	462	-2.2093926846049423	-0.8706647854687447
SC_RS07910			MarR family winged helix-turn-helix transcriptional regulator	MarR	1264183	1264656	-	1264654	protein_coding	1	80.8842431031643	6.355513957205786	108	4	474	-2.8247283435391974	-2.1045634810451976
SC_RS07955			helix-turn-helix domain-containing protein	HTH (other)	1271991	1272566	-	1272566	protein_coding	0	123.02050330170222	6.9544348391485	704	1	576	0.2647908756922827	0.0843050055561796
SC_RS08270			GntR family transcriptional regulator	GntR	1332872	1333633	-	1333703	protein_coding	0	964.7146563499414	9.915453162809996	426	1	762	1.0165282503315765	0.1249715560194467
SC_RS08405			MocR-like pyridoxine biosynthesis transcription factor PdxR	GntR	1359896	1361419	+	1359669	protein_coding	0	388.01764691731273	8.603691791111224	289	2	1524	2.1282375869249344	2.1109173767194935
SC_RS08755			LysR family transcriptional regulator	LysR	1435312	1436223	-	1436223	protein_coding	0	71.48371285571683	6.179584951780044	546	2	912	-0.884305093752802	-0.0109125046002649
SC_RS08765			aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	GntR	1437760	1439097	-	1439097	protein_coding	0	140.93204260543715	7.149056519056067	316	2	1338	0.2483630437469905	0.0127318439265949
SC_RS08795			PadR family transcriptional regulator	PadR	1443255	1443908	-	1443944	protein_coding	0	815.778221864617	9.673800589258331	162	2	654	-1.825771016749667	1.3091851319076502
SC_RS09025			GntR family transcriptional regulator	GntR	1504428	1505123	-	1505123	protein_coding	0	88.76289453315438	6.488047293352978	1591	1	696	-1.665351574649326	-1.568558114285351
SC_RS10405			FadR/GntR family transcriptional regulator	GntR	1797723	1798424	-	1798424	protein_coding	0	155.82515852513444	7.293013210757884	534	2	702	-0.3236418329942345	-0.879494384512511
SC_RS11480			GntR family transcriptional regulator	GntR	2024747	2025415	-	2025509	protein_coding	0	38.40190436077783	5.300193454149106	1795	1	669	-0.5863080449661612	0.0897311673719181
SC_RS11810			LacI family DNA-binding transcriptional regulator	LacI	2091825	2092931	+	2091793	protein_coding	0	154.46904367537087	7.2804835355194255	246	2	1107	-0.1586380844724247	-0.4517761945104949
SC_RS12540			TetR/AcrR family transcriptional regulator	TetR	2257287	2257916	+	2257287	protein_coding	0	486.86943797906446	8.930351299894474	659	3	630	-1.5903492218499955	-1.778556236490734
SC_RS13110			response regulator transcription factor	LuxR	2379677	2380330	+	2379621	protein_coding	0	92.81867285880524	6.551803187774524	549	3	654	0.7026718820417603	-0.6501962037044502
SC_RS13245			TetR/AcrR family transcriptional regulator	TetR	2412355	2412933	+	2412355	protein_coding	0	378.37154695198143	8.567467669761367	936	6	579	-2.2129166190388716	-2.231593541293908
SC_RS13290			helix-turn-helix domain-containing protein	HTH (other)	2419629	2420483	-	2420519	protein_coding	0	183.16468417916815	7.524852623384188	369	8	855	0.0608048760213377	-0.8337400916306739
SC_RS13505			MerR family transcriptional regulator	MerR	2465169	2465930	+	2465169	protein_coding	0	45.630660550657886	5.543206961331386	1792	1	762	0.9337403745589276	0.746515597932877
SC_RS13905			TetR family transcriptional regulator	TetR	2544733	2545416	+	2544685	protein_coding	0	173.37771126700756	7.4460718382638325	58	8	684	-0.003092793300663	-1.0368606895309411
SC_RS14615			helix-turn-helix domain-containing protein	HTH (other)	2709485	2710318	+	2709442	protein_coding	0	422.1794863938492	8.725125884345855	790	1	834	6.092668182947945	5.878463823536852
SC_RS15295			LysR family transcriptional regulator	LysR	2876450	2877352	-	2877352	protein_coding	0	215.8927181022056	7.760837806942636	692	2	903	-1.919461075886158	-1.982010456473929
SC_RS15310			MarR family winged helix-turn-helix transcriptional regulator	MarR	2879447	2879965	+	2879447	protein_coding	0	99.63292564152847	6.652958601160457	478	1	519	-1.77383748861616	-1.2710693903917574
SC_RS16045			helix-turn-helix domain-containing protein	HTH (other)	3047135	3048331	+	3046953	protein_coding	0	3179.369312161971	11.634978589130249	3902	0	1197	0.2855693917650436	-0.9746473527845678
SC_RS16305			LysR family transcriptional regulator	LysR	3101313	3102206	+	3101285	protein_coding	0	67.20358595909101	6.091775689113235	1303	2	894	0.5941385457150125	0.5114349861874024
SC_RS16420			helix-turn-helix domain-containing protein	HTH (other)	3122091	3122933	+	3121982	protein_coding	0	127.46739072669908	7.005258391939468	268	3	843	-0.6378221525205899	-0.8759597897506419
SC_RS16445			helix-turn-helix domain-containing protein	HTH (other)	3124417	3125262	+	3124292	protein_coding	0	39.82375362929602	5.351336935107096	672	2	846	0.5907186038342439	0.8578663420110472
SC_RS16890			uroporphyrinogen-III synthase	Other regulatory	3215125	3216312	-	3216358	protein_coding	0	350.62343577738915	8.457887419394407	1329	5	1188	-2.579547747071628	-3.158254952868995
SC_RS17040			MarR family winged helix-turn-helix transcriptional regulator	MarR	3257116	3257622	+	3257116	protein_coding	0	193.3409097698676	7.602445817458836	906	4	507	-0.8971773783586984	-2.1532942359633225
SC_RS17490			MurR/RpiR family transcriptional regulator	HTH (other)	3368495	3369364	-	3369403	protein_coding	0	140.11038665014817	7.140680373437457	1232	2	870	-1.4515547738902486	-0.9505815321921564
SC_RS18120			TetR/AcrR family transcriptional regulator	TetR	3509244	3509954	-	3510171	protein_coding	0	355.2101577238953	8.476584846834538	633	2	711	-0.6381178726586845	-0.3026775330429463
SC_RS18140			MarR family winged helix-turn-helix transcriptional regulator	MarR	3513024	3513515	+	3513024	protein_coding	0	75.86358953553321	6.264228446830497	746	4	492	-1.127065767506869	-1.2664895534879468
SC_RS18200			AfsR/SARP family transcriptional regulator	SARP	3529272	3531188	+	3528878	protein_coding	0	6864.439434231823	12.745136350161552	186	3	1917	6.850365978212149	5.758747449978721
SC_RS18245			two component system response regulator	LuxR	3538679	3539347	+	3538640	protein_coding	0	714.5405376561552	9.482889692322525	417	3	669	0.948799424560244	0.5403133470339974
SC_RS18415			GntR family transcriptional regulator	GntR	3608916	3609695	-	3609721	protein_coding	0	197.2977201115889	7.631524280338899	121	3	780	-1.0870193703686224	-1.1569936059170134
SC_RS18455			GntR family transcriptional regulator	GntR	3615480	3616235	+	3615480	protein_coding	0	89.36927237336383	6.497760401483334	2305	0	756	-1.4069118601785828	-1.329675529416983
SC_RS18650			helix-turn-helix domain-containing protein	HTH (other)	3659641	3661035	-	3661170	protein_coding	0	474.9559891229577	8.894684365808848	2440	0	1395	-1.2911238825427258	-1.8156247096953728
SC_RS18945			helix-turn-helix domain-containing protein	HTH (other)	3722414	3723256	-	3723315	protein_coding	0	235.23219505642152	7.884061786529367	177	2	843	3.4195676917640645	3.7435706170954175
SC_RS19060			DUF5937 family protein	HTH (other)	3750688	3751794	+	3750688	protein_coding	0	276.4576550820778	8.116123797400995	1170	4	1107	-1.391071979173412	-1.8438322164714431
SC_RS19220			PadR family transcriptional regulator	PadR	3784717	3785358	-	3785358	protein_coding	0	197.32534511565552	7.631725249268496	115	3	642	0.4448143000849645	-0.3331790862167519
SC_RS19300			LysR family transcriptional regulator	LysR	3796515	3797402	+	3796515	protein_coding	0	77.60768056375473	6.2965983764537885	517	4	888	-1.419044769100312	-0.6157685885719506
SC_RS20085			VanSc-type vancomycin resistance response regulator transcription factor VanR	Response regulator	3967922	3968617	-	3968617	protein_coding	0	72.18827167836305	6.193540571987854	785	3	696	0.1746499633235921	1.0087347451796236
SC_RS20405			response regulator transcription factor	Sigma factor	4031299	4032045	-	4032146	protein_coding	0	93.9646674028911	6.569318938392106	881	2	747	1.650608526384457	1.36429209547275
SC_RS21215			response regulator	Sigma factor	4197520	4198176	+	4197520	protein_coding	0	132.03257051033123	7.055635695358648	536	2	657	0.9790335327089884	0.9837136898143116
SC_RS21460			GntR family transcriptional regulator	GntR	4248804	4249592	+	4248804	protein_coding	0	146.69284351375464	7.206456111494534	349	2	789	-0.6543999853750554	-0.937114360243947
SC_RS21605			RNA polymerase sigma factor SigM	Sigma factor	4282577	4283287	-	4283450	protein_coding	0	251.2039975996702	7.978447333289832	151	3	711	-0.8969639021342686	-1.3779607395411266
SC_RS21740			LysR family transcriptional regulator	LysR	4314389	4315294	-	4315336	protein_coding	0	89.875014435016	6.5058117830840985	129	3	906	-0.1181709699434179	0.6624216970617026
SC_RS22050			GntR family transcriptional regulator	GntR	4383616	4384371	-	4384371	protein_coding	0	110.21261370738584	6.797176617234189	257	1	756	-1.4546100083291085	-1.1163434142815674
SC_RS22280			MarR family winged helix-turn-helix transcriptional regulator	MarR	4429662	4430162	-	4430185	protein_coding	0	25.281126217679734	4.7159551952754475	1614	1	501	-0.5505951232293238	0.7039363666941827
SC_RS22660			TetR/AcrR family transcriptional regulator	TetR	4499009	4499689	+	4498965	protein_coding	0	79.53713477487878	6.3315822421200885	694	2	681	-1.033989369929107	-0.3818053788307641
SC_RS22755			sigma-70 family RNA polymerase sigma factor	Sigma factor	4521256	4523319	-	4523360	protein_coding	0	540.0847379060733	9.079710738325266	1426	3	2064	0.5081868185176802	0.2189059907327124
SC_RS22760			TetR/AcrR family transcriptional regulator	TetR	4523502	4524395	-	4524526	protein_coding	0	620.41886902227	9.279422238494789	1290	1	894	0.513765027513466	0.6269843465343047
SC_RS22985			two-component system response regulator GlnR	Other regulatory	4576177	4576980	-	4577179	protein_coding	0	1057.7954307487066	10.048208158644298	873	3	804	-1.610509703085793	-2.406062070837708
SC_RS23125			FadR/GntR family transcriptional regulator	GntR	4597379	4598290	+	4597385	protein_coding	0	170.32534234247103	7.420594759571496	3377	0	912	-1.3385634696082236	-0.7380421846752975
SC_RS23175			helix-turn-helix domain-containing protein	HTH (other)	4607362	4607787	+	4607362	protein_coding	0	1426.4307285292757	10.479205019719785	921	3	426	2.189284616325434	0.6721821981704792
SC_RS23215			AraC family transcriptional regulator	AraC	4615154	4615969	-	4615969	protein_coding	0	164.28479492931493	7.368810202432558	714	1	816	0.4142537861914759	-0.2924707740184172
SC_RS23260			GntR family transcriptional regulator	GntR	4623766	4624524	+	4623652	protein_coding	0	475.4070079389307	8.896050825152193	1987	1	759	-1.857767252222544	-2.341160314061821
SC_RS23495			helix-turn-helix transcriptional regulator	LuxR	4674563	4675222	-	4675329	protein_coding	0	5444.476539196032	12.410842590840648	1821	2	660	3.061620218018283	-0.0565806575556444
SC_RS24295			transcriptional regulator AfsR	SARP	4842787	4845768	-	4845857	protein_coding	0	773.569971781392	9.59725176240125	179	4	2982	-0.2613866005478055	-0.9176001898500752
SC_RS24335			LysR family transcriptional regulator	LysR	4853069	4853965	+	4853069	protein_coding	0	110.50141666046824	6.800918229929708	265	1	897	-0.5661289350968162	-0.6469947036519791
SC_RS24415			TetR/AcrR family transcriptional regulator	TetR	4872011	4872658	+	4872011	protein_coding	0	28.17857198813594	4.86683737375499	326	3	648	-1.5624594138570886	0.0387486580091737
SC_RS24660			TetR/AcrR family transcriptional regulator	TetR	4917934	4918656	+	4917934	protein_coding	0	774.9057642094848	9.599737633729303	1006	1	723	-0.1927766726713451	-2.7169428080576745
SC_RS24870			transcriptional regulator WhiJ	HTH (other)	4959584	4960435	-	4960479	protein_coding	0	377.0470513942181	8.562421991916146	1639	2	852	-1.1054600380815596	-1.9032948991624072
SC_RS24895			bacterial transcriptional activator domain-containing protein	SARP	4964061	4967069	+	4963995	protein_coding	0	1192.356230197153	10.220809052610614	3299	0	3009	-1.2079929326540595	-2.3572891683439856
SC_RS25300			GntR family transcriptional regulator	GntR	5049893	5050702	+	5049876	protein_coding	0	606.9780444961208	9.247875415304621	1572	1	810	-2.0652461669455877	-2.6631263159784853
SC_RS25565			helix-turn-helix domain-containing protein	HTH (other)	5108924	5109772	+	5108850	protein_coding	0	379.80815616736294	8.57292056846311	1379	1	849	2.0018099990246654	1.8721278986985064
SC_RS25945			RNA polymerase sigma factor	Sigma factor	5168216	5169475	+	5168216	protein_coding	0	76.02003220662385	6.267161821298381	210	5	1260	-0.4996091207829694	0.1205124529713606
SC_RS25990			LysR family transcriptional regulator	LysR	5178021	5178941	+	5178021	protein_coding	1	179.0115674051012	7.491945805783993	207	3	921	-0.5614154947959401	-1.193490472610386
SC_RS26410			TetR/AcrR family transcriptional regulator	TetR	5281448	5282203	-	5282203	protein_coding	0	108.8117735261553	6.778888931706225	1098	2	756	-1.2035966688171895	-1.6755757494977948
SC_RS26645			LysR family transcriptional regulator	LysR	5330904	5331857	+	5330904	protein_coding	0	88.41204053771	6.482397217732012	1094	3	954	-0.2632247148964326	-0.2044977390455498
SC_RS26885			helix-turn-helix domain-containing protein	HTH (other)	5377855	5378730	-	5378730	protein_coding	0	425.6960350680319	8.737064894608888	217	4	876	-1.5487193119762634	-2.020115750631992
SC_RS27500			TetR/AcrR family transcriptional regulator	TetR	5510516	5511115	-	5511160	protein_coding	0	90.64435215021189	6.517974068113497	1981	1	600	-0.2016682321445138	-1.2597489101391814
SC_RS27570			TetR family transcriptional regulator ActII	TetR	5523183	5523962	-	5523964	protein_coding	0	1530.5710523418986	10.58079658237501	611	2	780	-0.8299871201264029	2.5950361467035115
SC_RS28300			GlxA family transcriptional regulator	HTH (other)	5683497	5684465	-	5684465	protein_coding	0	1044.0891267204977	10.029410267345908	1251	1	969	0.1726333843476718	-2.1837555125935046
SC_RS28935			response regulator	Response regulator	5818975	5819478	+	5818975	protein_coding	0	1757.2448575698331	10.779920282448868	1622	1	504	4.130395848128299	4.036632228588149
SC_RS29970			IclR family transcriptional regulator NdgR	HTH (other)	6051099	6051815	-	6051815	protein_coding	0	449.72418397373025	8.816101050883963	1891	1	717	0.7982973219900583	-1.729937742041883
SC_RS30400			GntR family transcriptional regulator	GntR	6136289	6137068	-	6137094	protein_coding	0	389.7340086389924	8.610043019802438	2377	0	780	0.4210736081349593	0.3146733458634405
SC_RS30605			PucR family transcriptional regulator	HTH (other)	6180444	6182102	+	6180337	protein_coding	0	259.6748180501077	8.026107410818662	422	3	1659	-0.9188251923263788	-1.1290544511564835
SC_RS30970			HAMP domain-containing protein	Response regulator	6279265	6284754	+	6279028	protein_coding	0	2004.461656917808	10.969718667716357	1018	2	5490	0.1150264876448668	-0.5985680560388021
SC_RS30975			response regulator	Response regulator	6285256	6285930	+	6285148	protein_coding	0	1630.2568887826362	10.671768278845184	1119	2	675	1.1859502296208655	-0.2016516820803326
SC_RS31445			GntR family transcriptional regulator	GntR	6393195	6393890	+	6393148	protein_coding	0	188.8001399678948	7.568337246047937	173	1	696	0.2191804438160448	-1.146704794468829
SC_RS31780			TetR/AcrR family transcriptional regulator	TetR	6473606	6474202	+	6473573	protein_coding	0	183.56678008619468	7.527999097483591	1647	1	597	0.4474250518695102	-0.6129294656049159
SC_RS31810			LysR substrate-binding domain-containing protein	LysR	6481608	6482600	-	6482626	protein_coding	0	381.3002829464946	8.578562457709133	1198	2	993	-0.1421209952369547	-0.3176129354890653
SC_RS32590			substrate-binding domain-containing protein	Other regulatory	6661975	6662988	-	6663084	protein_coding	0	155.15537395114478	7.286838409080436	180	2	1014	-0.2123490124719384	-0.6447867952707981
SC_RS32595			transcriptional regulator CprB	TetR	6663344	6663991	+	6663289	protein_coding	0	161.88209940886406	7.347684251507488	385	2	648	-0.4666273921675268	-0.980644559113477
SC_RS32840			helix-turn-helix transcriptional regulator	HTH (other)	6724307	6724990	+	6724307	protein_coding	0	63.6827190654499	6.015308421500241	910	4	684	0.0725119067724222	-0.1580469624988294
SC_RS32850			TetR/AcrR family transcriptional regulator	TetR	6725692	6726270	-	6726270	protein_coding	0	211.03539134466072	7.7281612784123075	1049	3	579	-1.7270404444147904	-2.189151707536791
SC_RS33045			GntR family transcriptional regulator	GntR	6761595	6762416	+	6761490	protein_coding	0	423.8979496981703	8.730972571864571	724	7	822	-1.211004006853036	-1.3044736946109683
SC_RS33095			PucR family transcriptional regulator	HTH (other)	6771761	6773470	-	6773592	protein_coding	0	644.4637909528105	9.334192355674315	1276	2	1710	-1.4893617865455608	-2.2510988573738286
SC_RS33215			ATP-binding protein	LuxR	6800241	6803072	-	6803101	protein_coding	0	384.08877730741904	8.589047268872083	332	2	2832	0.4965415256870527	-0.2266823878906551
SC_RS33445			RNA polymerase sigma factor SigJ	Sigma factor	6862307	6863275	-	6863479	protein_coding	0	41.55970680259623	5.411416306913085	837	1	969	1.311935440800626	2.328944075883952
SC_RS33520			response regulator transcription factor	LuxR	6876381	6877070	+	6876381	protein_coding	0	63.77275623199333	6.017315230317162	2061	0	690	-0.2016202406480434	-0.1746902031777524
SC_RS33530			myo-inositol degradation transcriptional regulator	GntR	6878304	6879041	+	6878277	protein_coding	0	84.55090515372432	6.418711213820416	1081	3	738	0.2558767649747333	0.0573306548745935
SC_RS33535			sugar ABC transporter substrate-binding protein	Other regulatory	6879297	6880301	+	6879218	protein_coding	0	269.5730625684595	8.079874405906065	140	3	1005	-3.918623718343585	-3.23335425966473
SC_RS33680			ScbR family autoregulator-binding transcription factor	TetR	6945705	6946379	-	6946428	protein_coding	0	1087.8915954507863	10.088644618432026	2899	0	675	5.710584198462153	5.492916450310016
SC_RS33790			LysR family transcriptional regulator	LysR	6968600	6969571	+	6968507	protein_coding	0	39.94957606745251	5.355776611257926	367	1	972	-1.2520710421838035	0.7687113727124808
SC_RS33845			ScbR family autoregulator-binding transcription factor	TetR	6983231	6983887	-	6983919	protein_coding	0	297.6143031850015	8.222139459868298	4246	0	657	5.1259940145436715	2.5259855877812387
SC_RS34795			RNA polymerase sigma factor SigF	Sigma factor	7210082	7210882	+	7209841	protein_coding	0	218.9287143866256	7.780892167768091	140	10	801	-0.7694022913550511	-0.2527091999391803
SC_RS35195			TetR/AcrR family transcriptional regulator	TetR	7319193	7319846	-	7319960	protein_coding	1	108.071206160425	6.769126482891109	122	2	654	-1.5315166238060172	-1.5502641674059274
SC_RS35345			helix-turn-helix domain-containing protein	HTH (other)	7357519	7358352	+	7357395	protein_coding	0	187.5274035279107	7.558630432421804	1010	1	834	3.597235720521963	2.371138507229299
SC_RS35750			LacI family DNA-binding transcriptional regulator	LacI	7467726	7468784	+	7467771	protein_coding	0	181.107874228724	7.50864949465469	319	2	1059	0.2261375268687284	-0.0968262443333574
SC_RS35855			MerR family transcriptional regulator	MerR	7487571	7488326	-	7488278	protein_coding	0	86.50562244419986	6.451303811395398	828	5	756	-0.029565549918643	-0.00035919948376778184
SC_RS36075			TetR/AcrR family transcriptional regulator	TetR	7536362	7537048	-	7537172	protein_coding	0	396.5067927450259	8.63483570369582	445	1	687	-0.6306052173283383	-1.5626727574126555
SC_RS36100			TetR/AcrR family transcriptional regulator	TetR	7541642	7542313	-	7542340	protein_coding	0	45.666895029334626	5.544327576014149	414	2	672	0.6678309138081808	1.315943711683491
SC_RS36230			ArsR/SmtB family transcription factor	HTH (other)	7570606	7570968	-	7570989	protein_coding	0	337.3921327256206	8.40255221742387	536	2	363	3.930618153497073	1.5862280143585323
SC_RS36250			ArsR/SmtB family transcription factor	HTH (other)	7574420	7574779	+	7574420	protein_coding	0	117.92398663209318	6.893895921721444	1351	1	360	1.707778190631277	2.548869715328043
SC_RS36340			ArsR/SmtB family transcription factor	HTH (other)	7601654	7602007	+	7601654	protein_coding	0	59.10893934007168	5.909507657912801	1791	1	354	1.1299856888569575	0.6434070149183886
SC_RS36370			ArsR/SmtB family transcription factor	HTH (other)	7606744	7607052	+	7606744	protein_coding	0	30.42268751762432	4.973734671526372	1958	1	309	1.7514473298886375	1.272374301216368
SC_RS36955			helix-turn-helix domain-containing protein	HTH (other)	7713425	7714828	+	7713329	protein_coding	0	639.6578078306537	9.323410171009181	2012	0	1404	5.04399090452598	3.8086070851678655
SC_RS37110			sugar ABC transporter substrate-binding protein	Other regulatory	7746957	7747979	+	7746720	protein_coding	0	168.5984148532845	7.405978875631069	730	1	1023	0.8132494981950432	0.5689926284119355
SC_RS37305			LacI family DNA-binding transcriptional regulator	LacI	7797371	7798381	-	7798381	protein_coding	0	105.0246064219165	6.728255317234391	720	3	1011	0.0201303945005177	-0.984171782134278
SC_RS37955			ArsR/SmtB family transcription factor	HTH (other)	7941058	7941408	+	7941058	protein_coding	0	124.29692787345591	6.969207231760396	425	2	351	0.1205814515527366	-0.9120240982888838
SC_RS38085			ATP-binding protein	LuxR	7969712	7972438	+	7969590	protein_coding	0	933.335040865052	9.867796164892098	740	4	2727	-0.5263690600346101	-1.1948431111530948
SC_RS38785			SigB/SigF/SigG family RNA polymerase sigma factor	Sigma factor	8120541	8121440	+	8120403	protein_coding	1	72.93538087547012	6.208193008628707	71	5	900	1.9292968279677385	1.4941315998411235
SC_RS38850			HAMP domain-containing protein	Response regulator	8134767	8138762	-	8138893	protein_coding	0	657.352208898221	9.36271580122076	200	1	3996	0.5028428265424625	-0.3483532931801002
SC_RS39260			LacI family DNA-binding transcriptional regulator	LacI	8225904	8226962	+	8225429	protein_coding	1	49.32886052421125	5.653314029605167	318	1	1059	0.6752788836681285	1.1268958401806786
SC_RS39370			LysR family transcriptional regulator	LysR	8246125	8247111	+	8246125	protein_coding	0	28.759017427300137	4.89525498772567	437	2	987	-0.013077225448528	2.4134707867686496
SC_RS39690			GntR family transcriptional regulator	GntR	8309894	8310544	-	8310612	protein_coding	0	92.82183145714812	6.551851758249033	764	2	651	-1.9134663438208523	-1.7160385174331094
SC_RS40010			IclR family transcriptional regulator	HTH (other)	8385161	8385997	-	8385997	protein_coding	0	81.8178278066802	6.371869458261325	1146	2	837	0.0893493563924571	-0.3439348212773021
SC_RS40390			MarR family winged helix-turn-helix transcriptional regulator	MarR	8468385	8468807	+	8468385	protein_coding	0	56.96762605411433	5.857175499076893	865	3	423	-1.9677755252935685	-1.6032988872736655
SC_RS40655			TetR/AcrR family transcriptional regulator	TetR	8531016	8531588	+	8531016	protein_coding	0	85.19485548529481	6.42952985994028	1696	2	573	-0.6512356615659685	-0.8302464893604365
SC_RS40730			MarR family winged helix-turn-helix transcriptional regulator	MarR	8545444	8545872	+	8545444	protein_coding	0	42.323282698655056	5.437070658093065	396	4	429	-0.1292031354906641	-0.3052744312971945
SC_RS40805			transcriptional regulator	HTH (other)	8558433	8559848	-	8559846	protein_coding	0	100.47637266811276	6.665000045238614	424	2	1416	-2.6098735454679076	-0.4314514378227558
SC_RS40820			MarR family winged helix-turn-helix transcriptional regulator	MarR	8562591	8563058	-	8563058	protein_coding	0	185.857629672102	7.545795662058436	1376	2	468	-0.8509038570949925	-1.1928869213220008
SC_RS40895			MarR family winged helix-turn-helix transcriptional regulator	MarR	8577403	8577879	+	8577403	protein_coding	0	50.914967077419675	5.698078622207547	1609	1	477	0.9260032244489564	0.4547841933827709
SC_RS40985			MarR family winged helix-turn-helix transcriptional regulator	MarR	8595004	8595444	+	8594981	protein_coding	0	185.556065384082	7.543465456159837	3672	0	441	0.5958914134685561	0.5661381651716513
SC_RS40995			helix-turn-helix transcriptional regulator	HTH (other)	8596583	8597410	-	8597410	protein_coding	0	70.43909511847228	6.158641901601252	2227	0	828	0.1146127928628551	0.271194889602782
