position	site_strand	locus_tag	old_locus_tag	gene_name	gene_start	gene_end	gene_strand	product	distance	location	within_500bp	within_2kb	timepoint	region
1147605	-	SC_RS07400	SCO1089		1148368	1149771	-	DUF6421 family protein	763	downstream_far	False	True	T1	arm
1157919	-	SC_RS07440	SCO1098		1155717	1156292	-	MarR family winged helix-turn-helix transcriptional regulator	1627	upstream	False	True	T1	arm
1157919	-	SC_RS07445	SCO1099		1156289	1158016	-	FUSC family protein	0	gene_body	True	True	T1	arm
1157919	-	SC_RS07450	SCO1100		1158218	1158796	+	DUF5134 domain-containing protein	299	promoter	True	True	T1	arm
1157919	-	SC_RS07455	SCO1101		1158944	1159879	+	M56 family metallopeptidase	1025	upstream	False	True	T1	arm
1210904	-	SC_RS07690	SCO1148		1207772	1209553	+	ABC transporter ATP-binding protein	1351	downstream_far	False	True	T1	arm
1210904	-	SC_RS07695	SCO1149		1209788	1210258	+	DUF5709 domain-containing protein	646	downstream_far	False	True	T1	arm
1210904	-	SC_RS07700	SCO1150		1210322	1210594	+	type B 50S ribosomal protein L31	310	downstream	True	True	T1	arm
1210904	-	SC_RS07705	SCO1151		1210615	1211409	-	metal-dependent hydrolase	0	gene_body	True	True	T1	arm
1210904	-	SC_RS07710	SCO1152		1211555	1214068	+	DEAD/DEAH box helicase	651	upstream	False	True	T1	arm
1282748	+	SC_RS08000	SCO1209		1280487	1281713	-	acyl-CoA dehydrogenase family protein	1035	upstream	False	True	T1	arm
1282748	+	SC_RS08005	SCO1210		1281884	1282540	+	TetR family transcriptional regulator	208	downstream	True	True	T1	arm
1282748	+	SC_RS08010	SCO1211	def	1282582	1283121	-	peptide deformylase	0	gene_body	True	True	T1	arm
1282748	+	SC_RS08015	SCO1212		1283300	1284538	+	Mur ligase family protein	552	upstream	False	True	T1	arm
1282748	+	SC_RS08020	SCO1213		1284562	1285290	+	type 1 glutamine amidotransferase	1814	upstream	False	True	T1	arm
1432374	-	SC_RS08725	SCO1352		1429057	1430469	-	aminopeptidase P family protein	1905	upstream	False	True	T1	arm
1432374	-	SC_RS08730	SCO1353		1430593	1431576	+	helix-turn-helix domain-containing protein	798	downstream_far	False	True	T1	arm
1432374	-	SC_RS08735	SCO1354		1431662	1432225	-	hypothetical protein	149	promoter	True	True	T1	arm
1432374	-	SC_RS08740	SCO1355		1432286	1433899	-	serine protease	0	gene_body	True	True	T1	arm
1432374	-	SC_RS08745	SCO1356		1434218	1434715	+	Rieske (2Fe-2S) protein	1844	upstream	False	True	T1	arm
1455585	-	SC_RS08845	SCO1376		1453090	1454160	+	LacI family DNA-binding transcriptional regulator	1425	downstream_far	False	True	T1	arm
1455585	-	SC_RS08850	SCO1377		1454293	1454712	+	TOBE domain-containing protein	873	downstream_far	False	True	T1	arm
1455585	-	SC_RS08855	SCO1378	gcvP	1454780	1457665	-	aminomethyl-transferring glycine dehydrogenase	0	gene_body	True	True	T1	arm
1459341	-	SC_RS08855	SCO1378	gcvP	1454780	1457665	-	aminomethyl-transferring glycine dehydrogenase	1676	upstream	False	True	T1	arm
1459341	-	SC_RS08860	SCO1379		1458090	1458473	+	PRC-barrel domain-containing protein	868	downstream_far	False	True	T1	arm
1459341	-	SC_RS08865	SCO1380		1458383	1459822	-	DNA polymerase IV	0	gene_body	True	True	T1	arm
1459341	-	SC_RS08870	SCO1381		1459887	1460573	-	MerR family transcriptional regulator	546	downstream_far	False	True	T1	arm
1459341	-	SC_RS08875	SCO1382		1460736	1461209	-	bifunctional nuclease family protein	1395	downstream_far	False	True	T1	arm
1459341	-	SC_RS08880	SCO1383	ftsR	1461293	1462033	-	transcriptional regulator FtsR	1952	downstream_far	False	True	T1	arm
1488563	-	SC_RS08975	SCO1400		1486339	1486734	-	DUF742 domain-containing protein	1829	upstream	False	True	T1	arm
1488563	-	SC_RS08980	SCO1401		1486745	1487179	-	roadblock/LC7 domain-containing protein	1384	upstream	False	True	T1	arm
1488563	-	SC_RS08985	SCO1402		1487176	1490007	-	nitrate- and nitrite sensing domain-containing protein	0	gene_body	True	True	T1	arm
1488563	-	SC_RS08990	SCO1403		1490427	1490969	+	hypothetical protein	1864	upstream	False	True	T1	arm
1497537	-	SC_RS09000	SCO1405		1494024	1495871	-	HSP90 family protein	1666	upstream	False	True	T1	arm
1497537	-	SC_RS09005	SCO1406		1495964	1496950	-	hypothetical protein	587	upstream	False	True	T1	arm
1497537	-	SC_RS09010	SCO1407		1497056	1501717	-	coiled-coil domain-containing protein	0	gene_body	True	True	T1	arm
1535444	-	SC_RS09155	SCO1436		1532832	1534163	-	hemolysin family protein	1281	upstream	False	True	T1	core
1535444	-	SC_RS09160	SCO1437		1534368	1534838	-	PH domain-containing protein	606	upstream	False	True	T1	core
1535444	-	SC_RS09165	SCO1438	hisG	1534876	1535733	-	ATP phosphoribosyltransferase	0	gene_body	True	True	T1	core
1535444	-	SC_RS09170	SCO1439		1535782	1536054	-	phosphoribosyl-ATP diphosphatase	338	downstream	True	True	T1	core
1535444	-	SC_RS09175	SCO1440	ribH	1536089	1536574	-	6%2C7-dimethyl-8-ribityllumazine synthase	645	downstream_far	False	True	T1	core
1535444	-	SC_RS09180	SCO1441		1536596	1537885	-	bifunctional 3%2C4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II	1152	downstream_far	False	True	T1	core
1543315	-	SC_RS09195	SCO1444		1539609	1541984	+	chitinase C-terminal domain-containing protein	1331	downstream_far	False	True	T1	core
1543315	-	SC_RS09200	SCO1445		1542226	1542993	+	SDR family oxidoreductase	322	downstream	True	True	T1	core
1543315	-	SC_RS09205	SCO1446		1543064	1543432	+	hypothetical protein	0	gene_body	True	True	T1	core
1543315	-	SC_RS09210	SCO1447		1543454	1544653	-	ROK family transcriptional regulator	139	downstream	True	True	T1	core
1543315	-	SC_RS09215	SCO1448		1544766	1545977	+	MFS transporter	1451	upstream	False	True	T1	core
1550490	-	SC_RS09230	SCO1451		1547982	1549133	-	glycoside hydrolase family 6 protein	1357	upstream	False	True	T1	core
1550490	-	SC_RS09235	SCO1452		1549307	1550002	+	DUF5995 family protein	488	downstream	True	True	T1	core
1550490	-	SC_RS09240	SCO1453		1550134	1551066	+	LLM class F420-dependent oxidoreductase	0	gene_body	True	True	T1	core
1550490	-	SC_RS09245	SCO1454		1551086	1552783	-	flavin monoamine oxidase family protein	596	downstream_far	False	True	T1	core
1561817	-	SC_RS09280	SCO1461		1558380	1559822	-	GuaB1 family IMP dehydrogenase-related protein	1995	upstream	False	True	T1	core
1561817	-	SC_RS09285	SCO1462		1559931	1560284	-	barstar family protein	1533	upstream	False	True	T1	core
1561817	-	SC_RS09290	SCO1463		1560350	1561393	-	sugar-binding transcriptional regulator	424	promoter	True	True	T1	core
1561817	-	SC_RS09295	SCO1464	rpe	1561471	1562157	-	ribulose-phosphate 3-epimerase	0	gene_body	True	True	T1	core
1561817	-	SC_RS09300	SCO1465		1562315	1563520	-	ABC transporter substrate-binding protein	498	downstream	True	True	T1	core
1561817	-	SC_RS09305	SCO1466		1563517	1564455	-	hypothetical protein	1700	downstream_far	False	True	T1	core
1589339	-	SC_RS09390	SCO1483	carB	1584104	1587412	-	carbamoyl-phosphate synthase large subunit	1927	upstream	False	True	T1	core
1589339	-	SC_RS09395	SCO1484	carA	1587405	1588547	-	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	792	upstream	False	True	T1	core
1589339	-	SC_RS09400	SCO1485		1588544	1589119	-	PH-like domain-containing protein	220	promoter	True	True	T1	core
1589339	-	SC_RS09405	SCO1486		1589116	1590402	-	dihydroorotase	0	gene_body	True	True	T1	core
1589339	-	SC_RS09410	SCO1487		1590407	1591387	-	aspartate carbamoyltransferase catalytic subunit	1068	downstream_far	False	True	T1	core
1619085	-	SC_RS09535	SCO1513	relA	1616607	1619150	-	GTP pyrophosphokinase	0	gene_body	True	True	T1	core
1619085	-	SC_RS09540	SCO1514		1619334	1619882	-	adenine phosphoribosyltransferase	249	downstream	True	True	T1	core
1619085	-	SC_RS09545	SCO1515	secF	1619879	1621000	-	protein translocase subunit SecF	794	downstream_far	False	True	T1	core
1619085	-	SC_RS09550	SCO1516	secD	1621004	1622815	-	protein translocase subunit SecD	1919	downstream_far	False	True	T1	core
1619086	-	SC_RS09535	SCO1513	relA	1616607	1619150	-	GTP pyrophosphokinase	0	gene_body	True	True	T1	core
1619086	-	SC_RS09540	SCO1514		1619334	1619882	-	adenine phosphoribosyltransferase	248	downstream	True	True	T1	core
1619086	-	SC_RS09545	SCO1515	secF	1619879	1621000	-	protein translocase subunit SecF	793	downstream_far	False	True	T1	core
1619086	-	SC_RS09550	SCO1516	secD	1621004	1622815	-	protein translocase subunit SecD	1918	downstream_far	False	True	T1	core
1619116	-	SC_RS09535	SCO1513	relA	1616607	1619150	-	GTP pyrophosphokinase	0	gene_body	True	True	T1	core
1619116	-	SC_RS09540	SCO1514		1619334	1619882	-	adenine phosphoribosyltransferase	218	downstream	True	True	T1	core
1619116	-	SC_RS09545	SCO1515	secF	1619879	1621000	-	protein translocase subunit SecF	763	downstream_far	False	True	T1	core
1619116	-	SC_RS09550	SCO1516	secD	1621004	1622815	-	protein translocase subunit SecD	1888	downstream_far	False	True	T1	core
1622772	-	SC_RS09545	SCO1515	secF	1619879	1621000	-	protein translocase subunit SecF	1772	upstream	False	True	T1	core
1622772	-	SC_RS09550	SCO1516	secD	1621004	1622815	-	protein translocase subunit SecD	0	gene_body	True	True	T1	core
1622772	-	SC_RS09555	SCO1517	yajC	1622951	1623460	-	preprotein translocase subunit YajC	179	downstream	True	True	T1	core
1622772	-	SC_RS09560	SCO1518	ruvB	1623636	1624709	-	Holliday junction branch migration DNA helicase RuvB	864	downstream_far	False	True	T1	core
1622772	-	SC_RS09565	SCO1519	ruvA	1624756	1625361	-	Holliday junction branch migration protein RuvA	1984	downstream_far	False	True	T1	core
1625512	-	SC_RS09560	SCO1518	ruvB	1623636	1624709	-	Holliday junction branch migration DNA helicase RuvB	803	upstream	False	True	T1	core
1625512	-	SC_RS09565	SCO1519	ruvA	1624756	1625361	-	Holliday junction branch migration protein RuvA	151	promoter	True	True	T1	core
1625512	-	SC_RS09570	SCO1520	ruvC	1625358	1625924	-	crossover junction endodeoxyribonuclease RuvC	0	gene_body	True	True	T1	core
1625512	-	SC_RS09575	SCO1521		1626033	1626785	-	YebC/PmpR family DNA-binding transcriptional regulator	521	downstream_far	False	True	T1	core
1625512	-	SC_RS09580	SCO1522	pdxT	1626835	1627443	-	pyridoxal 5'-phosphate synthase glutaminase subunit PdxT	1323	downstream_far	False	True	T1	core
1625512	-	SC_RS09585	SCO1523	pdxS	1627456	1628367	-	pyridoxal 5'-phosphate synthase lyase subunit PdxS	1944	downstream_far	False	True	T1	core
1660894	+	SC_RS09770	SCO1551		1659174	1660625	+	serine/threonine-protein kinase	269	downstream	True	True	T1	core
1660894	+	SC_RS09775	SCO1552		1660653	1661471	-	TrmH family RNA methyltransferase	0	gene_body	True	True	T1	core
1660894	+	SC_RS09780	SCO1553	cobA	1661473	1662705	-	uroporphyrinogen-III C-methyltransferase	579	downstream_far	False	True	T1	core
1660894	+	SC_RS09785	SCO1554	cobT	1662892	1666530	-	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	1998	downstream_far	False	True	T1	core
1672407	-	SC_RS09805	SCO1558		1669950	1670687	-	methionine ABC transporter permease	1720	upstream	False	True	T1	core
1672407	-	SC_RS09810	SCO1559		1670684	1671739	-	methionine ABC transporter ATP-binding protein	668	upstream	False	True	T1	core
1672407	-	SC_RS09815	SCO1560		1672166	1672816	-	HAD family hydrolase	0	gene_body	True	True	T1	core
1672407	-	SC_RS09820	SCO1561		1672877	1673236	+	hypothetical protein	470	promoter	True	True	T1	core
1672407	-	SC_RS09825	SCO1562		1673238	1673654	+	hypothetical protein	831	upstream	False	True	T1	core
1672407	-	SC_RS09830	SCO1563		1673718	1674215	-	GNAT family N-acetyltransferase	1311	downstream_far	False	True	T1	core
1672407	-	SC_RS09835	SCO1564		1674273	1674773	-	sigma-70 family RNA polymerase sigma factor	1866	downstream_far	False	True	T1	core
1689086	-	SC_RS09895	SCO1576		1686616	1687155	-	arginine repressor	1931	upstream	False	True	T1	core
1689086	-	SC_RS09900	SCO1577		1687163	1688371	-	acetylornithine transaminase	715	upstream	False	True	T1	core
1689086	-	SC_RS09905	SCO1578	argB	1688368	1689288	-	acetylglutamate kinase	0	gene_body	True	True	T1	core
1689086	-	SC_RS09910	SCO1579	argJ	1689285	1690436	-	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ	199	downstream	True	True	T1	core
1689086	-	SC_RS09915	SCO1580	argC	1690433	1691461	-	N-acetyl-gamma-glutamyl-phosphate reductase	1347	downstream_far	False	True	T1	core
1724206	-	SC_RS10060	SCO1610		1721502	1722461	-	DUF2510 domain-containing protein	1745	upstream	False	True	T1	core
1724206	-	SC_RS10065	SCO1611		1722499	1723281	-	3-oxoacyl-ACP reductase	925	upstream	False	True	T1	core
1724206	-	SC_RS10070	SCO1612		1723278	1724717	-	aldehyde dehydrogenase family protein	0	gene_body	True	True	T1	core
1724206	-	SC_RS10075	SCO1613	glnA4	1724726	1726084	-	gamma-glutamylethanolamide synthetase GlnA4	520	downstream_far	False	True	T1	core
1724206	-	SC_RS10080	SCO1614		1726192	1726902	+	FadR/GntR family transcriptional regulator	1986	upstream	False	True	T1	core
1730347	-	SC_RS10090	SCO1616		1728427	1729404	-	LysR family transcriptional regulator	943	upstream	False	True	T1	core
1730347	-	SC_RS10095	SCO1617		1729475	1730659	+	TDT family transporter	0	gene_body	True	True	T1	core
1730347	-	SC_RS10100	SCO1618		1730586	1731305	-	helical backbone metal receptor	239	downstream	True	True	T1	core
1730347	-	SC_RS10105	SCO1619		1731316	1731885	-	helix-turn-helix domain-containing protein	969	downstream_far	False	True	T1	core
1730347	-	SC_RS10110	SCO1620		1732259	1734874	-	ABC transporter permease/substrate binding protein	1912	downstream_far	False	True	T1	core
1741259	-	SC_RS10135	SCO1625		1739097	1740071	+	RluA family pseudouridine synthase	1188	downstream_far	False	True	T1	core
1741259	-	SC_RS10140	SCO1626		1740065	1741561	-	cytochrome P450	0	gene_body	True	True	T1	core
1741259	-	SC_RS10145	SCO1627		1741637	1742257	-	GTP-binding protein	378	downstream	True	True	T1	core
1741259	-	SC_RS10150	SCO1628		1742238	1742654	-	DUF742 domain-containing protein	979	downstream_far	False	True	T1	core
1741259	-	SC_RS10155	SCO1629		1742651	1743028	-	roadblock/LC7 domain-containing protein	1392	downstream_far	False	True	T1	core
1741259	-	SC_RS10160	SCO1630		1743055	1744680	-	sensor histidine kinase	1796	downstream_far	False	True	T1	core
1741260	-	SC_RS10135	SCO1625		1739097	1740071	+	RluA family pseudouridine synthase	1189	downstream_far	False	True	T1	core
1741260	-	SC_RS10140	SCO1626		1740065	1741561	-	cytochrome P450	0	gene_body	True	True	T1	core
1741260	-	SC_RS10145	SCO1627		1741637	1742257	-	GTP-binding protein	377	downstream	True	True	T1	core
1741260	-	SC_RS10150	SCO1628		1742238	1742654	-	DUF742 domain-containing protein	978	downstream_far	False	True	T1	core
1741260	-	SC_RS10155	SCO1629		1742651	1743028	-	roadblock/LC7 domain-containing protein	1391	downstream_far	False	True	T1	core
1741260	-	SC_RS10160	SCO1630		1743055	1744680	-	sensor histidine kinase	1795	downstream_far	False	True	T1	core
1806806	-	SC_RS10435	SCO1684		1804126	1805076	-	tetratricopeptide repeat protein	1730	upstream	False	True	T1	core
1806806	-	SC_RS10440	SCO1685		1805384	1806277	+	DMT family transporter	529	downstream_far	False	True	T1	core
1806806	-	SC_RS10445	SCO1686		1806309	1806842	+	NUDIX hydrolase	0	gene_body	True	True	T1	core
1806806	-	SC_RS10450	SCO1687		1807505	1807897	+	YidH family protein	699	upstream	False	True	T1	core
1806806	-	SC_RS10455	SCO1688		1807900	1808241	+	DUF202 domain-containing protein	1094	upstream	False	True	T1	core
1806806	-	SC_RS10460	SCO1689		1808375	1809400	+	phosphotransferase family protein	1569	upstream	False	True	T1	core
1826518	-	SC_RS10540	SCO1705		1824517	1825614	-	Zn-dependent alcohol dehydrogenase	904	upstream	False	True	T1	core
1826518	-	SC_RS10545	SCO1706		1825638	1827026	-	aldehyde dehydrogenase family protein	0	gene_body	True	True	T1	core
1826518	-	SC_RS10550	SCO1707		1827151	1828488	-	ABC transporter ATP-binding protein	633	downstream_far	False	True	T1	core
1879814	-	SC_RS10790	SCO1756		1877577	1878374	+	hypothetical protein	1440	downstream_far	False	True	T1	core
1879814	-	SC_RS10795	SCO1757		1878448	1878741	+	hypothetical protein	1073	downstream_far	False	True	T1	core
1879814	-	SC_RS10800	SCO1758	der	1878820	1880298	-	ribosome biogenesis GTPase Der	0	gene_body	True	True	T1	core
1879814	-	SC_RS10805	SCO1759		1880373	1881035	-	lysophospholipid acyltransferase family protein	559	downstream_far	False	True	T1	core
1879814	-	SC_RS10810	SCO1760	cmk	1881032	1881727	-	(d)CMP kinase	1218	downstream_far	False	True	T1	core
1881513	-	SC_RS10800	SCO1758	der	1878820	1880298	-	ribosome biogenesis GTPase Der	1215	upstream	False	True	T1	core
1881513	-	SC_RS10805	SCO1759		1880373	1881035	-	lysophospholipid acyltransferase family protein	478	promoter	True	True	T1	core
1881513	-	SC_RS10810	SCO1760	cmk	1881032	1881727	-	(d)CMP kinase	0	gene_body	True	True	T1	core
1881513	-	SC_RS10815	SCO1761		1882015	1883100	-	prephenate dehydrogenase	502	downstream_far	False	True	T1	core
1881513	-	SC_RS10820	SCO1762	aroH	1883097	1883459	-	chorismate mutase	1584	downstream_far	False	True	T1	core
1981066	-	SC_RS11275	SCO1849	cobN	1978354	1982007	+	cobaltochelatase subunit CobN	0	gene_body	True	True	T1	core
1981066	-	SC_RS11280	SCO1850		1982004	1984022	+	putative cobaltochelatase	938	upstream	False	True	T1	core
1981132	-	SC_RS11275	SCO1849	cobN	1978354	1982007	+	cobaltochelatase subunit CobN	0	gene_body	True	True	T1	core
1981132	-	SC_RS11280	SCO1850		1982004	1984022	+	putative cobaltochelatase	872	upstream	False	True	T1	core
2005277	-	SC_RS11375	SCO1869		2003040	2003753	-	DsbA family oxidoreductase	1524	upstream	False	True	T1	core
2005277	-	SC_RS11380	SCO1870		2003846	2004454	-	DUF1349 domain-containing protein	823	upstream	False	True	T1	core
2005277	-	SC_RS11385	SCO1871		2004598	2006127	-	aldehyde dehydrogenase (NADP(+))	0	gene_body	True	True	T1	core
2005277	-	SC_RS11390	SCO1872		2006250	2007023	+	IclR family transcriptional regulator	973	upstream	False	True	T1	core
2005277	-	SC_RS11395	SCO1873		2007027	2007497	+	GNAT family N-acetyltransferase	1750	upstream	False	True	T1	core
2054745	-	SC_RS11630	SCO1919		2052555	2052887	-	metal-sulfur cluster assembly factor	1858	upstream	False	True	T1	core
2054745	-	SC_RS11635	SCO1920	sufU	2052884	2053354	-	Fe-S cluster assembly sulfur transfer protein SufU	1391	upstream	False	True	T1	core
2054745	-	SC_RS11640	SCO1921		2053372	2054628	-	cysteine desulfurase	117	promoter	True	True	T1	core
2054745	-	SC_RS11645	SCO1922	sufC	2054625	2055389	-	Fe-S cluster assembly ATPase SufC	0	gene_body	True	True	T1	core
2054745	-	SC_RS11650	SCO1923		2055397	2055714	-	non-heme iron oxygenase ferredoxin subunit	652	downstream_far	False	True	T1	core
2054745	-	SC_RS11655	SCO1924	sufD	2055711	2056895	-	Fe-S cluster assembly protein SufD	966	downstream_far	False	True	T1	core
2054746	-	SC_RS11630	SCO1919		2052555	2052887	-	metal-sulfur cluster assembly factor	1859	upstream	False	True	T1	core
2054746	-	SC_RS11635	SCO1920	sufU	2052884	2053354	-	Fe-S cluster assembly sulfur transfer protein SufU	1392	upstream	False	True	T1	core
2054746	-	SC_RS11640	SCO1921		2053372	2054628	-	cysteine desulfurase	118	promoter	True	True	T1	core
2054746	-	SC_RS11645	SCO1922	sufC	2054625	2055389	-	Fe-S cluster assembly ATPase SufC	0	gene_body	True	True	T1	core
2054746	-	SC_RS11650	SCO1923		2055397	2055714	-	non-heme iron oxygenase ferredoxin subunit	651	downstream_far	False	True	T1	core
2054746	-	SC_RS11655	SCO1924	sufD	2055711	2056895	-	Fe-S cluster assembly protein SufD	965	downstream_far	False	True	T1	core
2070118	-	SC_RS11710	SCO1935	tkt	2066713	2068800	+	transketolase	1318	downstream_far	False	True	T1	core
2070118	-	SC_RS11715	SCO1936	tal	2068835	2069953	+	transaldolase	165	downstream	True	True	T1	core
2070118	-	SC_RS11720	SCO1937	zwf	2069957	2071480	+	glucose-6-phosphate dehydrogenase	0	gene_body	True	True	T1	core
2070118	-	SC_RS11725	SCO1938	opcA	2071477	2072532	+	glucose-6-phosphate dehydrogenase assembly protein OpcA	1359	upstream	False	True	T1	core
2070119	-	SC_RS11710	SCO1935	tkt	2066713	2068800	+	transketolase	1319	downstream_far	False	True	T1	core
2070119	-	SC_RS11715	SCO1936	tal	2068835	2069953	+	transaldolase	166	downstream	True	True	T1	core
2070119	-	SC_RS11720	SCO1937	zwf	2069957	2071480	+	glucose-6-phosphate dehydrogenase	0	gene_body	True	True	T1	core
2070119	-	SC_RS11725	SCO1938	opcA	2071477	2072532	+	glucose-6-phosphate dehydrogenase assembly protein OpcA	1358	upstream	False	True	T1	core
2094314	-	SC_RS11810	SCO1956		2091825	2092931	+	LacI family DNA-binding transcriptional regulator	1383	downstream_far	False	True	T1	core
2094314	-	SC_RS11815	SCO1957		2092928	2093836	+	carbohydrate kinase family protein	478	downstream	True	True	T1	core
2094314	-	SC_RS11820	SCO1958	uvrA	2094274	2097318	-	excinuclease ABC subunit UvrA	0	gene_body	True	True	T1	core
2123463	-	SC_RS11950	SCO1984		2121378	2122775	-	amidohydrolase	688	upstream	False	True	T1	core
2123463	-	SC_RS11955	SCO1985		2122775	2124631	-	FUSC family protein	0	gene_body	True	True	T1	core
2123463	-	SC_RS11960	SCO1986		2124799	2125581	-	nucleotidyltransferase domain-containing protein	1336	downstream_far	False	True	T1	core
2140386	-	SC_RS12030	SCO2000		2135883	2138879	+	ATP-dependent helicase C-terminal domain-containing protein	1507	downstream_far	False	True	T1	core
2140386	-	SC_RS12035	SCO2001		2138930	2140723	-	lytic transglycosylase domain-containing protein	0	gene_body	True	True	T1	core
2140386	-	SC_RS12040	SCO2002		2141042	2141410	-	hypothetical protein	656	downstream_far	False	True	T1	core
2140386	-	SC_RS12045	SCO2003	polA	2141659	2144382	-	DNA polymerase I	1273	downstream_far	False	True	T1	core
2173524	-	SC_RS12160	SCO2025		2170384	2171847	-	glutamate synthase subunit beta	1677	upstream	False	True	T1	core
2173524	-	SC_RS12165	SCO2026	gltB	2171840	2176384	-	glutamate synthase large subunit	0	gene_body	True	True	T1	core
2229757	-	SC_RS12420	SCO2076	ileS	2227237	2230380	+	isoleucine--tRNA ligase	0	gene_body	True	True	T1	core
2229757	-	SC_RS12425	SCO2077	divIVA	2230582	2231778	-	apical growth/hyphal branching protein DivIVA	825	downstream_far	False	True	T1	core
2240356	-	SC_RS12465	SCO2085	ftsW	2237830	2239200	-	putative lipid II flippase FtsW	1156	upstream	False	True	T1	core
2240356	-	SC_RS12470	SCO2086	murD	2239278	2240693	-	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	0	gene_body	True	True	T1	core
2240356	-	SC_RS12475	SCO2087	mraY	2240702	2241793	-	phospho-N-acetylmuramoyl-pentapeptide-transferase	346	downstream	True	True	T1	core
2240356	-	SC_RS12480	SCO2088		2241793	2243208	-	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	1437	downstream_far	False	True	T1	core
2262284	-	SC_RS12550	SCO2102		2259944	2260936	-	SCO2102 family sporulation regulator	1348	upstream	False	True	T1	core
2262284	-	SC_RS12555	SCO2103	metF	2260993	2261916	-	methylenetetrahydrofolate reductase [NAD(P)H]	368	promoter	True	True	T1	core
2262284	-	SC_RS12560	SCO2104	thiE	2262055	2262726	-	thiamine phosphate synthase	0	gene_body	True	True	T1	core
2262284	-	SC_RS12565	SCO2105		2262881	2263246	-	Rv2175c family DNA-binding protein	597	downstream_far	False	True	T1	core
2262284	-	SC_RS12570	SCO2106		2263288	2264592	-	NAD(P)/FAD-dependent oxidoreductase	1004	downstream_far	False	True	T1	core
2315383	-	SC_RS12795	SCO2150	qcrC	2312739	2313548	-	cytochrome bc1 complex diheme cytochrome c subunit	1835	upstream	False	True	T1	core
2315383	-	SC_RS12800	SCO2151	ctaE	2313623	2314243	-	aa3-type cytochrome oxidase subunit III	1140	upstream	False	True	T1	core
2315383	-	SC_RS12805	SCO2152		2314453	2314854	+	response regulator	529	downstream_far	False	True	T1	core
2315383	-	SC_RS12810	SCO2153		2314942	2316216	-	L%2CD-transpeptidase	0	gene_body	True	True	T1	core
2315383	-	SC_RS12815	SCO2154		2316363	2316761	-	cytochrome c oxidase subunit 4	980	downstream_far	False	True	T1	core
2315383	-	SC_RS12820	SCO2155	ctaD	2316758	2318494	-	aa3-type cytochrome oxidase subunit I	1375	downstream_far	False	True	T1	core
2315384	-	SC_RS12795	SCO2150	qcrC	2312739	2313548	-	cytochrome bc1 complex diheme cytochrome c subunit	1836	upstream	False	True	T1	core
2315384	-	SC_RS12800	SCO2151	ctaE	2313623	2314243	-	aa3-type cytochrome oxidase subunit III	1141	upstream	False	True	T1	core
2315384	-	SC_RS12805	SCO2152		2314453	2314854	+	response regulator	530	downstream_far	False	True	T1	core
2315384	-	SC_RS12810	SCO2153		2314942	2316216	-	L%2CD-transpeptidase	0	gene_body	True	True	T1	core
2315384	-	SC_RS12815	SCO2154		2316363	2316761	-	cytochrome c oxidase subunit 4	979	downstream_far	False	True	T1	core
2315384	-	SC_RS12820	SCO2155	ctaD	2316758	2318494	-	aa3-type cytochrome oxidase subunit I	1374	downstream_far	False	True	T1	core
2315801	-	SC_RS12800	SCO2151	ctaE	2313623	2314243	-	aa3-type cytochrome oxidase subunit III	1558	upstream	False	True	T1	core
2315801	-	SC_RS12805	SCO2152		2314453	2314854	+	response regulator	947	downstream_far	False	True	T1	core
2315801	-	SC_RS12810	SCO2153		2314942	2316216	-	L%2CD-transpeptidase	0	gene_body	True	True	T1	core
2315801	-	SC_RS12815	SCO2154		2316363	2316761	-	cytochrome c oxidase subunit 4	562	downstream_far	False	True	T1	core
2315801	-	SC_RS12820	SCO2155	ctaD	2316758	2318494	-	aa3-type cytochrome oxidase subunit I	957	downstream_far	False	True	T1	core
2390763	-	SC_RS13155	SCO2225		2388485	2388844	-	5-carboxymethyl-2-hydroxymuconate Delta-isomerase	1919	upstream	False	True	T1	core
2390763	-	SC_RS13160	SCO2226	pulA	2388900	2394314	-	pullulanase-type alpha-1%2C6-glucosidase	0	gene_body	True	True	T1	core
2390764	-	SC_RS13155	SCO2225		2388485	2388844	-	5-carboxymethyl-2-hydroxymuconate Delta-isomerase	1920	upstream	False	True	T1	core
2390764	-	SC_RS13160	SCO2226	pulA	2388900	2394314	-	pullulanase-type alpha-1%2C6-glucosidase	0	gene_body	True	True	T1	core
2484553	+	SC_RS13585	SCO2311		2481918	2483546	+	IS200/IS605 family element transposase accessory protein TnpB	1007	downstream_far	False	True	T1	core
2484553	+	SC_RS13590	SCO2312		2483598	2484278	+	class I SAM-dependent methyltransferase	275	downstream	True	True	T1	core
2484553	+	SC_RS13595	SCO2313		2484289	2485299	+	N-acetylmuramoyl-L-alanine amidase	0	gene_body	True	True	T1	core
2484553	+	SC_RS13600	SCO2314		2485458	2486327	+	DUF5336 domain-containing protein	905	upstream	False	True	T1	core
2484553	+	SC_RS13605	SCO2315		2486429	2486722	+	hypothetical protein	1876	upstream	False	True	T1	core
