accession,species,size_mb,gc_pct,CCGG_count,CCGG_density,CCGG_expected,CCGG_oe,AAGCCCG_count,AAGCCCG_density,AAGCCCG_expected,AAGCCCG_oe,GATC_count,GATC_density,GATC_expected,GATC_oe,GGCCGG_count,GGCCGG_density,GGCCGG_expected,GGCCGG_oe,GCCCG_count,GCCCG_density,GCCCG_expected,GCCCG_oe,GCGG_count,GCGG_density,GCGG_expected,GCGG_oe,CGACNNNCTCC_count,CGACNNNCTCC_density,CGACNNNCTCC_expected,CGACNNNCTCC_oe
GCF_031348265.1,Streptomyces collinus,8.87,71.4,150044,16921.3,143656.1,1.044,1557,175.6,2102.9,0.74,49452,5577.0,23154.7,2.136,37927,4277.2,36569.9,1.037,91037,10266.8,102503.6,0.888,268653,30297.5,287312.2,0.935,2105,237.4,750.3,2.806
GCF_001866645.1,Streptomyces colonosanans,7.02,69.9,101383,14452.2,104664.3,0.969,1325,188.9,1657.2,0.8,42149,6008.3,19409.5,2.172,23372,3331.7,25568.9,0.914,62507,8910.4,73159.4,0.854,201409,28710.9,209328.5,0.962,1463,208.6,579.2,2.526
GCF_012034205.1,Streptomyces composti,6.52,72.2,119947,18404.6,110843.1,1.082,951,145.9,1543.9,0.616,36291,5568.5,16391.3,2.214,30758,4719.5,28910.9,1.064,69053,10595.5,80057.1,0.863,216488,33217.9,221686.1,0.977,1352,207.5,557.6,2.425
GCF_019104725.1,Streptomyces corallincola,6.39,72.4,114074,17838.0,109537.3,1.041,930,145.4,1514.4,0.614,31250,4886.6,15992.5,1.954,24114,3770.8,28671.7,0.841,68786,10756.2,79254.3,0.868,217732,34047.3,219074.6,0.994,1461,228.5,547.9,2.667
GCF_001514055.1,Streptomyces corchorusii,10.31,71.9,189553,18386.2,171808.9,1.103,1587,153.9,2444.2,0.649,53728,5211.5,26348.7,2.039,49580,4809.1,44358.7,1.118,105037,10188.3,123460.2,0.851,326754,31694.3,343617.8,0.951,2291,222.2,878.2,2.609
GCF_913919575.1,Streptomyces coriariae,9.33,71.1,152899,16385.0,149374.3,1.024,1466,157.1,2212.8,0.663,53815,5767.0,24585.0,2.189,38066,4079.2,37797.7,1.007,89837,9627.2,106263.9,0.845,281754,30193.5,298748.6,0.943,2387,255.8,787.1,3.033
GCF_011044975.1,Streptomyces coryli,9.03,71.5,144297,15976.5,147470.4,0.978,1888,209.0,2142.0,0.881,52999,5868.0,23447.2,2.26,34097,3775.2,37687.6,0.905,91424,10122.4,105430.6,0.867,315352,34915.6,294940.8,1.069,1955,216.5,765.7,2.553
GCF_003346515.1,Streptomyces corynorhini,7.74,71.7,127355,16463.2,127513.0,0.999,1281,165.6,1834.4,0.698,46905,6063.4,19938.1,2.353,29861,3860.1,32742.4,0.912,81366,10518.2,91379.3,0.89,246991,31928.6,255026.0,0.968,1638,211.7,657.3,2.492
GCF_039535435.1,Streptomyces cremeus,7.83,72.4,132397,16908.2,134482.9,0.984,1552,198.2,1854.0,0.837,36619,4676.6,19539.5,1.874,30861,3941.2,35248.5,0.876,87100,11123.4,97368.5,0.895,266264,34004.2,268965.7,0.99,1972,251.8,671.2,2.938
GCF_039521265.1,Streptomyces crystallinus,7.9,71.9,126602,16022.5,131788.7,0.961,1445,182.9,1873.3,0.771,41826,5293.4,20181.4,2.073,29876,3781.0,34040.2,0.878,86868,10993.8,94721.8,0.917,253924,32136.1,263577.4,0.963,1740,220.2,673.2,2.585
GCF_024295805.1,Streptomyces cucumeris,9.52,71.1,168764,17724.6,152033.1,1.11,1554,163.2,2257.7,0.688,57462,6035.0,25131.0,2.286,36454,3828.6,38422.4,0.949,92238,9687.4,108087.8,0.853,310315,32591.1,304066.1,1.021,1683,176.8,802.6,2.097
GCF_014257025.1,Streptomyces cupreus,9.4,70.2,136322,14503.5,142552.2,0.956,1589,169.1,2223.3,0.715,57598,6128.0,25722.5,2.239,30037,3195.7,35111.1,0.855,83767,8912.1,100051.7,0.837,272080,28947.1,285104.4,0.954,2165,230.3,780.2,2.775
GCF_001513975.1,Streptomyces curacoi,8.41,70.9,128718,15301.3,132857.5,0.969,1425,169.4,1994.1,0.715,47653,5664.7,22380.2,2.129,31496,3744.1,33392.8,0.943,79519,9452.8,94196.4,0.844,254360,30236.9,265714.9,0.957,1993,236.9,706.9,2.819
GCF_039532705.1,Streptomyces cuspidosporus,9.74,72.5,169121,17368.7,167792.5,1.008,1567,160.9,2305.0,0.68,52450,5386.6,24231.3,2.165,45028,4624.4,44052.9,1.022,108837,11177.6,121587.4,0.895,333601,34260.8,335585.1,0.994,2084,214.0,835.1,2.495
GCF_003963535.1,Streptomyces cyaneochromogenes,10.68,70.6,158251,14821.5,166069.6,0.953,1797,168.3,2529.5,0.71,62138,5819.7,28715.9,2.164,37792,3539.5,41422.6,0.912,97618,9142.7,117294.8,0.832,314134,29421.2,332139.2,0.946,2550,238.8,893.3,2.855
GCF_033109485.1,Streptomyces cyaneofuscatus,8.12,71.5,140958,17363.6,132727.0,1.062,1414,174.2,1925.2,0.734,46306,5704.1,21053.5,2.199,32981,4062.7,33942.5,0.972,84038,10352.1,94922.0,0.885,251225,30946.7,265453.9,0.946,2141,263.7,688.4,3.11
GCF_000931445.1,Streptomyces cyaneogriseus,7.76,72.9,148637,19148.3,136713.3,1.087,1150,148.2,1834.4,0.627,40096,5165.4,18971.1,2.114,40020,5155.6,36286.8,1.103,89610,11544.1,99608.1,0.9,269402,34706.0,273426.6,0.985,1844,237.6,668.2,2.759
GCF_004028635.1,Streptomyces cyaneus,9.83,70.4,141406,14379.8,150768.5,0.938,1718,174.7,2327.8,0.738,57823,5880.1,26712.8,2.165,33527,3409.4,37336.9,0.898,87363,8884.1,106105.9,0.823,283443,28823.8,301537.0,0.94,2398,243.9,819.1,2.928
GCF_017526105.1,Streptomyces cyanogenus,8.77,71.8,162911,18567.7,146041.2,1.116,1289,146.9,2080.2,0.62,46402,5288.6,22445.0,2.067,43005,4901.5,37683.1,1.141,88708,10110.4,104912.2,0.846,275625,31414.2,292082.4,0.944,1929,219.9,747.2,2.582
GCF_022698165.1,Streptomyces cylindrosporus,10.93,71.0,165555,15148.0,173713.4,0.953,1751,160.2,2591.2,0.676,62933,5758.3,28942.7,2.174,40684,3722.5,43801.3,0.929,104113,9526.2,123360.2,0.844,333374,30503.1,347426.9,0.96,2840,259.9,920.1,3.087
GCF_025642135.1,Streptomyces cynarae,9.36,70.6,141132,15074.0,145175.0,0.972,1561,166.7,2217.7,0.704,54015,5769.2,25235.0,2.14,32158,3434.7,36155.1,0.889,86356,9223.5,102458.0,0.843,277980,29690.4,290350.1,0.957,2046,218.5,782.6,2.614
GCF_052663305.1,Streptomyces cyslabdanicus,8.09,71.5,134142,16591.1,132212.6,1.015,1296,160.3,1917.5,0.676,45048,5571.7,20965.6,2.149,33209,4107.4,33813.9,0.982,79618,9847.4,94558.2,0.842,253254,31323.3,264425.3,0.958,1942,240.2,685.7,2.832
GCF_020521275.1,Streptomyces daghestanicus,8.22,73.2,168634,20516.7,147622.7,1.142,1021,124.2,1938.4,0.527,38563,4691.7,19754.7,1.952,46757,5688.6,39567.7,1.182,90652,11029.1,108084.1,0.839,284271,34585.5,295245.5,0.963,2158,262.6,709.6,3.041
GCF_054782395.1,Streptomyces daliensis,9.34,71.8,120755,12922.3,154977.2,0.779,1891,202.4,2215.7,0.853,42163,4512.0,23972.5,1.759,23884,2555.9,39916.2,0.598,101353,10846.1,111230.4,0.911,298079,31898.2,309954.4,0.962,2241,239.8,795.1,2.818
GCF_003675325.1,Streptomyces dangxiongensis,8.16,72.1,156186,19145.4,137930.5,1.132,1204,147.6,1933.1,0.623,41122,5040.8,20614.4,1.995,42735,5238.5,35870.0,1.191,85224,10446.8,99474.3,0.857,260686,31955.1,275860.9,0.945,1860,228.0,697.1,2.668
GCF_014645895.1,Streptomyces daqingensis,6.54,71.4,99343,15195.9,106371.1,0.934,1319,201.8,1550.4,0.851,30548,4672.7,17016.3,1.795,22338,3416.9,27136.9,0.823,66099,10110.8,75981.4,0.87,215246,32924.9,212742.3,1.012,1677,256.5,553.7,3.028
GCF_000349325.1,Streptomyces davaonensis,9.56,70.6,143295,14995.4,148122.1,0.967,1637,171.3,2263.5,0.723,57649,6032.8,25762.3,2.238,30952,3239.0,36882.7,0.839,88170,9226.7,104528.9,0.843,287039,30037.7,296244.3,0.969,2258,236.3,798.7,2.827
GCF_022385335.1,Streptomyces deccanensis,10.1,71.1,155893,15432.6,161583.6,0.965,1611,159.5,2395.3,0.673,57386,5680.9,26627.2,2.155,36142,3577.9,40872.6,0.884,94289,9334.1,114929.1,0.82,300230,29721.3,323167.1,0.929,2550,252.4,851.9,2.993
GCF_045208505.1,Streptomyces decoyicus,9.23,70.9,157856,17109.4,145896.8,1.082,1568,169.9,2187.2,0.717,51983,5634.2,24523.8,2.12,43066,4667.7,36693.2,1.174,90868,9848.8,103473.8,0.878,294397,31908.5,291793.7,1.009,1781,193.0,775.6,2.296
GCF_030803745.1,Streptomyces demainii,10.54,71.8,193631,18367.0,175588.3,1.103,1660,157.5,2499.5,0.664,60163,5706.8,26955.7,2.232,48044,4557.2,45321.5,1.06,112453,10666.8,126158.1,0.891,350494,33246.3,351176.6,0.998,1965,186.4,897.9,2.188
GCF_002946835.1,Streptomyces dengpaensis,8.71,69.9,118766,13635.3,130107.1,0.913,1671,191.8,2057.8,0.812,51082,5864.6,24080.9,2.121,26376,3028.2,31803.0,0.829,78225,8980.9,90970.3,0.86,253581,29113.2,260214.3,0.975,1815,208.4,719.4,2.523
GCF_042681365.1,Streptomyces desertarenae,6.28,74.1,128567,20458.2,118421.2,1.086,927,147.5,1471.5,0.63,29123,4634.2,14466.6,2.013,34688,5519.7,32511.9,1.067,75217,11968.9,87750.8,0.857,236674,37660.7,236842.4,0.999,1626,258.7,545.2,2.982
GCF_054782695.1,Streptomyces deserti,8.71,71.2,138736,15925.4,139725.8,0.993,1431,164.3,2065.8,0.693,48809,5602.8,22918.2,2.13,34354,3943.5,35391.3,0.971,87166,10005.7,99449.2,0.876,265870,30519.1,279451.7,0.951,1981,227.4,735.2,2.695
GCF_003323715.1,Streptomyces diacarni,7.66,72.2,109920,14346.3,130066.4,0.845,1209,157.8,1815.3,0.666,33785,4409.5,19299.3,1.751,24283,3169.3,33892.9,0.716,80115,10456.3,93897.1,0.853,260413,33988.0,260132.9,1.001,1702,222.1,655.2,2.598
GCF_014648935.1,Streptomyces diastaticus,6.98,73.5,134956,19328.2,127235.3,1.061,1086,155.5,1643.6,0.661,29750,4260.8,16570.0,1.795,36974,5295.4,34351.1,1.076,81658,11694.9,93495.2,0.873,243637,34893.3,254470.7,0.957,1955,280.0,603.9,3.237
GCF_002242805.1,Streptomyces diastatochromogenes,10.52,71.0,168175,15986.1,167324.0,1.005,1716,163.1,2494.3,0.688,59753,5679.9,27845.6,2.146,41171,3913.6,42204.5,0.976,100353,9539.2,118842.9,0.844,315432,29983.9,334648.0,0.943,2412,229.3,885.8,2.723
GCF_003024195.1,Streptomyces dioscori,10.24,70.7,154443,15083.1,159913.8,0.966,1729,168.9,2426.2,0.713,57223,5588.5,27459.7,2.084,35980,3513.9,39968.7,0.9,98334,9603.4,113062.4,0.87,308838,30161.5,319827.6,0.966,2257,220.4,857.7,2.631
GCF_014651075.1,Streptomyces djakartensis,7.67,71.2,129500,16874.2,122947.0,1.053,1232,160.5,1819.8,0.677,42263,5507.0,20207.0,2.092,32506,4235.6,31123.1,1.044,76006,9903.8,87481.4,0.869,233138,30378.5,245894.0,0.948,1748,227.8,647.4,2.7
GCF_031845645.1,Streptomyces doebereineriae,11.26,70.0,165504,14704.8,168994.8,0.979,1932,171.7,2660.2,0.726,67677,6013.0,31009.8,2.182,37884,3365.9,41415.8,0.915,97252,8640.7,118313.5,0.822,320855,28507.6,337989.5,0.949,2671,237.3,931.2,2.868
GCF_031845505.1,Streptomyces doudnae,9.23,72.9,159205,17242.8,163238.3,0.975,1259,136.4,2181.1,0.577,48545,5257.7,22492.9,2.158,33488,3626.9,43409.9,0.771,104387,11305.7,119047.5,0.877,322450,34923.2,326476.5,0.988,2544,275.5,795.3,3.199
GCF_039534625.1,Streptomyces drozdowiczii,7.36,72.0,131584,17881.3,123652.0,1.064,1300,176.7,1744.2,0.745,38097,5177.1,18686.1,2.039,32791,4456.1,32057.5,1.023,78187,10625.0,89039.0,0.878,235422,31992.1,247303.9,0.952,1782,242.2,628.0,2.838
GCF_031845545.1,Streptomyces dubilierae,8.27,72.4,149360,18069.7,141922.3,1.052,1330,160.9,1957.1,0.68,43719,5289.2,20630.6,2.119,39403,4767.0,37193.3,1.059,91953,11124.6,102747.9,0.895,264133,31955.1,283844.7,0.931,2019,244.3,708.5,2.85
GCF_014156695.1,Streptomyces durbertensis,5.92,72.4,109470,18480.2,101811.5,1.075,973,164.3,1402.5,0.694,27501,4642.6,14772.7,1.862,27828,4697.8,26695.0,1.042,59745,10085.9,73727.4,0.81,198255,33468.4,203623.0,0.974,1668,281.6,507.8,3.285
GCF_000725475.1,Streptomyces durhamensis,9.31,71.7,163590,17566.9,153705.3,1.064,1425,153.0,2208.3,0.645,51826,5565.3,23977.5,2.161,42561,4570.4,39494.2,1.078,92893,9975.2,110185.9,0.843,292416,31400.8,307410.6,0.951,1919,206.1,791.5,2.424
GCF_023498005.1,Streptomyces durmitorensis,9.86,70.4,122161,12386.3,151748.9,0.805,2091,212.0,2335.2,0.895,57161,5795.7,26726.2,2.139,23908,2424.1,37646.3,0.635,89642,9089.1,106890.4,0.839,304722,30896.7,303497.8,1.004,2150,218.0,822.4,2.614
GCF_016901035.1,Streptomyces durocortorensis,7.96,71.7,140112,17602.3,131259.1,1.067,1491,187.3,1887.6,0.79,46569,5850.5,20509.7,2.271,32169,4041.4,33711.0,0.954,84268,10586.6,94073.0,0.896,248640,31236.7,262518.1,0.947,1978,248.5,676.4,2.924
GCF_001514305.1,Streptomyces dysideae,10.77,69.9,160635,14909.8,160875.5,0.999,1862,172.8,2545.3,0.732,61328,5692.3,29793.0,2.058,38174,3543.2,39317.0,0.971,95668,8879.7,112473.5,0.851,312251,28982.5,321750.9,0.97,2410,223.7,889.7,2.709
GCF_014203595.1,Streptomyces echinatus,9.39,72.0,178425,18999.0,158031.9,1.129,1449,154.3,2225.8,0.651,50473,5374.5,23820.4,2.119,48661,5181.5,41000.1,1.187,97717,10405.1,113836.0,0.858,299201,31859.5,316063.7,0.947,2017,214.8,801.7,2.516
GCF_049239225.1,Streptomyces echiniscabiei,10.74,70.0,162241,15113.0,161331.2,1.006,1826,170.1,2537.6,0.72,61865,5762.8,29560.0,2.093,37143,3459.9,39555.1,0.939,96148,8956.3,112973.2,0.851,297006,27666.6,322662.3,0.92,2541,236.7,888.5,2.86
GCF_014651135.1,Streptomyces echinoruber,7.36,73.2,140728,19128.6,131875.1,1.067,1041,141.5,1735.4,0.6,35051,4764.4,17711.9,1.979,38878,5284.5,35312.3,1.101,84254,11452.3,96507.1,0.873,262898,35734.7,263750.2,0.997,1676,227.8,635.0,2.639
GCF_031845685.1,Streptomyces edwardsiae,7.9,71.4,134710,17046.3,128459.9,1.049,1143,144.6,1874.2,0.61,44144,5586.0,20584.1,2.145,33270,4210.0,32756.5,1.016,75148,9509.3,91737.6,0.819,249718,31599.6,256919.8,0.972,1886,238.7,669.2,2.818
GCF_042654145.1,Streptomyces ehimensis,8.12,71.6,135419,16675.3,133708.2,1.013,1599,196.9,1925.8,0.83,41720,5137.4,20949.3,1.991,34166,4207.2,34313.5,0.996,86736,10680.6,95791.4,0.905,250606,30859.3,267416.4,0.937,2069,254.8,689.8,2.999
GCF_016741935.1,Streptomyces endocoffeicus,13.13,70.9,214845,16365.1,207691.3,1.034,2129,162.2,3112.2,0.684,80732,6149.5,34884.2,2.314,50136,3818.9,52246.1,0.96,128871,9816.3,147316.4,0.875,415639,31659.9,415382.6,1.001,2371,180.6,1103.7,2.148
GCF_026153355.1,Streptomyces endophytica,6.9,72.2,134711,19518.3,117238.5,1.149,1014,146.9,1635.1,0.62,38220,5537.7,17375.6,2.2,39101,5665.4,30560.1,1.279,75193,10894.7,84650.1,0.888,239312,34674.0,234477.1,1.021,1411,204.4,590.3,2.39
GCF_035798155.1,Streptomyces endophyticus,9.54,70.8,126082,13213.7,149626.0,0.843,1644,172.3,2261.3,0.727,54960,5759.9,25514.9,2.154,27405,2872.1,37473.7,0.731,89861,9417.6,105896.5,0.849,295769,30997.3,299252.1,0.988,2223,233.0,800.2,2.778
GCF_039533765.1,Streptomyces enissocaesilis,7.43,71.1,120707,16235.9,118482.5,1.019,1382,185.9,1762.8,0.784,40499,5447.4,19650.5,2.061,30887,4154.5,29914.6,1.033,72448,9744.7,84194.5,0.86,230886,31055.6,236965.1,0.974,1626,218.7,626.3,2.596
GCF_036170895.1,Streptomyces erythrochromogenes,8.6,72.2,151073,17569.3,146127.9,1.034,1608,187.0,2037.1,0.789,46872,5451.1,21640.0,2.166,41276,4800.3,38099.0,1.083,93555,10880.2,105520.9,0.887,285284,33177.7,292255.8,0.976,1983,230.6,735.5,2.696
GCF_039534285.1,Streptomyces erythrogriseus,7.47,72.3,125239,16755.8,127423.8,0.983,1059,141.7,1770.5,0.598,37071,4959.7,18763.0,1.976,30813,4122.5,33275.0,0.926,76126,10184.9,92087.2,0.827,247761,33148.0,254847.6,0.972,1939,259.4,639.7,3.031
GCF_002891295.1,Streptomyces eurocidicus,7.93,72.6,150916,19027.2,137856.3,1.095,1544,194.7,1876.4,0.823,39469,4976.2,19599.7,2.014,40807,5144.9,36348.8,1.123,93982,11849.1,100109.1,0.939,265126,33426.7,275712.6,0.962,2017,254.3,681.3,2.96
GCF_036346855.1,Streptomyces europaeiscabiei,10.95,70.5,166834,15230.3,168798.1,0.988,1916,174.9,2593.8,0.739,62176,5676.0,29652.9,2.097,39785,3632.0,41907.6,0.949,99960,9125.3,118944.7,0.84,315229,28777.2,337596.2,0.934,2653,242.2,913.9,2.903
GCF_014649115.1,Streptomyces eurythermus,9.17,72.5,183828,20051.0,158342.8,1.161,1357,148.0,2169.9,0.625,46798,5104.5,22773.0,2.055,50490,5507.2,41618.9,1.213,102111,11137.8,114804.6,0.889,298317,32538.9,316685.6,0.942,2025,220.9,786.6,2.574
GCF_031845585.1,Streptomyces evansiae,7.5,73.3,103002,13729.2,135248.6,0.762,1451,193.4,1768.5,0.82,32614,4347.1,17973.3,1.815,21722,2895.3,36318.6,0.598,88537,11801.2,99116.5,0.893,270340,36033.8,270497.2,0.999,2300,306.6,648.0,3.549
GCF_000725545.1,Streptomyces exfoliatus,7.87,71.9,130107,16521.6,131751.7,0.988,1433,182.0,1866.8,0.768,44427,5641.6,20065.2,2.214,31522,4002.8,34083.2,0.925,77216,9805.3,94768.4,0.815,246987,31363.6,263503.5,0.937,2380,302.2,671.4,3.545
GCF_025665295.1,Streptomyces explomaris,8.87,70.9,156752,17678.8,139995.1,1.12,1473,166.1,2101.8,0.701,50284,5671.1,23594.0,2.131,42208,4760.3,35181.8,1.2,87027,9815.1,99250.0,0.877,283436,31966.4,279990.1,1.012,1702,192.0,745.0,2.284
GCF_009498275.1,Streptomyces fagopyri,8.88,71.2,147603,16621.3,142949.5,1.033,1461,164.5,2105.9,0.694,50626,5700.9,23299.7,2.173,35148,3958.0,36273.5,0.969,86523,9743.2,101836.0,0.85,276587,31146.0,285899.1,0.967,2001,225.3,750.1,2.668
GCF_015160855.1,Streptomyces ferrugineus,9.96,70.9,151672,15229.5,156921.5,0.967,1564,157.0,2360.6,0.663,58642,5888.3,26539.7,2.21,36606,3675.6,39395.2,0.929,91979,9235.7,111193.1,0.827,297792,29901.5,313842.9,0.949,2401,241.1,836.4,2.871
GCF_009739905.1,Streptomyces ficellus,7.08,72.6,126931,17932.6,122875.3,1.033,1125,158.9,1674.7,0.672,34153,4825.1,17508.6,1.951,31951,4514.0,32379.0,0.987,77894,11004.7,89203.0,0.873,235854,33321.0,245750.5,0.96,1738,245.5,607.9,2.859
GCF_008634015.1,Streptomyces filamentosus,7.88,73.6,152259,19333.5,144134.0,1.056,1359,172.6,1852.8,0.734,39590,5027.0,18617.3,2.127,39244,4983.1,38998.1,1.006,86657,11003.5,106027.9,0.817,277804,35274.9,288268.1,0.964,2745,348.6,681.5,4.028
GCF_042652185.1,Streptomyces fildesensis,9.04,70.7,154315,17068.6,140890.7,1.095,1517,167.8,2142.0,0.708,57611,6372.3,24282.4,2.373,39357,4353.2,35176.1,1.119,83104,9192.0,99558.9,0.835,283029,31305.4,281781.5,1.004,1677,185.5,756.8,2.216
GCF_014649495.1,Streptomyces filipinensis,9.25,71.8,163116,17635.3,153777.7,1.061,1396,150.9,2193.0,0.637,50800,5492.3,23682.5,2.145,42679,4614.3,39656.4,1.076,92629,10014.6,110438.0,0.839,291818,31550.0,307555.4,0.949,1977,213.7,787.5,2.511
GCF_039533005.1,Streptomyces fimbriatus,8.08,72.3,148844,18428.2,138177.1,1.077,1158,143.4,1912.8,0.605,43371,5369.7,20218.9,2.145,37816,4681.9,36145.9,1.046,83911,10388.9,99945.3,0.84,264843,32789.8,276354.1,0.958,2059,254.9,691.8,2.976
GCF_014650515.1,Streptomyces finlayi,9.49,71.3,143504,15125.4,153352.0,0.936,2022,213.1,2250.0,0.899,47747,5032.6,24817.7,1.924,30103,3172.9,38992.9,0.772,96472,10168.2,109358.5,0.882,298165,31426.7,306704.0,0.972,2503,263.8,802.3,3.12
GCF_042674625.1,Streptomyces flavalbus,8.01,72.2,121756,15193.5,136248.9,0.894,1229,153.4,1898.5,0.647,37238,4646.8,20160.3,1.847,22495,2807.1,35531.5,0.633,84807,10582.8,98398.5,0.862,272682,34027.1,272497.8,1.001,2186,272.8,685.5,3.189
GCF_044765825.1,Streptomyces flaveolus,8.17,72.1,142682,17462.6,138137.0,1.033,1302,159.3,1936.2,0.672,42300,5177.0,20648.1,2.049,37260,4560.2,35922.4,1.037,84833,10382.6,99621.3,0.852,261675,32025.9,276274.0,0.947,1915,234.4,698.2,2.743
GCF_014647675.1,Streptomyces flaveus,10.28,69.5,140312,13654.8,149799.4,0.937,2045,199.0,2421.8,0.844,61648,5999.4,28862.6,2.136,31752,3090.0,36173.5,0.878,89852,8744.2,104103.4,0.863,290059,28227.8,299598.7,0.968,2134,207.7,841.5,2.536
GCF_000429085.1,Streptomyces flavidovirens,7.07,70.4,103172,14592.1,108405.9,0.952,1473,208.3,1673.7,0.88,38446,5437.6,19206.1,2.002,25602,3621.0,26846.5,0.954,65040,9198.9,76293.1,0.853,215184,30434.5,216811.9,0.992,1389,196.5,589.0,2.358
GCF_000717595.1,Streptomyces flavochromogenes,8.88,71.8,150271,16913.0,147686.1,1.018,1615,181.8,2106.6,0.767,51843,5834.9,22753.2,2.278,36096,4062.6,38081.4,0.948,86886,9779.0,106057.5,0.819,274352,30878.4,295372.2,0.929,2588,291.3,756.4,3.421
GCF_014650815.1,Streptomyces flavofungini,9.31,72.2,135655,14566.3,157903.7,0.859,2029,217.9,2206.6,0.92,44505,4778.8,23480.5,1.895,28420,3051.7,41122.1,0.691,102014,10954.0,113959.0,0.895,317140,34053.7,315807.4,1.004,2247,241.3,796.2,2.822
GCF_020639365.1,Streptomyces flavotricini,8.86,72.0,155545,17556.4,149096.8,1.043,1678,189.4,2099.9,0.799,51342,5795.0,22471.1,2.285,41336,4665.6,38683.1,1.069,96424,10883.4,107401.4,0.898,292303,32992.2,298193.6,0.98,1980,223.5,756.3,2.618
GCF_000725785.1,Streptomyces flavovariabilis,8.76,71.2,147555,16839.8,141086.3,1.046,1506,171.9,2077.9,0.725,49422,5640.3,22985.5,2.15,37459,4275.0,35805.4,1.046,89373,10199.8,100515.2,0.889,264254,30158.2,282172.5,0.936,2079,237.3,740.2,2.809
GCF_042651015.1,Streptomyces flavovirens,7.61,71.8,135360,17798.3,126357.9,1.071,1222,160.7,1803.2,0.678,41485,5454.8,19482.8,2.129,32977,4336.1,32574.5,1.012,78419,10311.2,90730.9,0.864,235440,30957.7,252715.9,0.932,1785,234.7,647.4,2.757
GCF_046267975.1,Streptomyces flavusporus,10.03,70.0,147892,14749.9,150736.8,0.981,1650,164.6,2370.1,0.696,59885,5972.6,27602.4,2.17,35265,3517.1,36964.2,0.954,88209,8797.4,105563.8,0.836,289265,28849.6,301473.7,0.96,2243,223.7,829.9,2.703
GCF_001735805.1,Streptomyces fodineus,9.7,71.1,165283,17041.3,154813.7,1.068,1574,162.3,2299.8,0.684,55734,5746.4,25605.9,2.177,42188,4349.8,39118.5,1.078,94033,9695.2,110055.2,0.854,292746,30183.3,309627.4,0.945,2009,207.1,817.4,2.458
GCF_022647665.1,Streptomyces formicae,8.21,70.8,126618,15431.7,129043.3,0.981,1568,191.1,1944.7,0.806,48284,5884.7,21894.6,2.205,30124,3671.4,32366.2,0.931,79510,9690.4,91396.3,0.87,253389,30882.0,258086.5,0.982,2032,247.7,688.7,2.951
GCF_049844455.1,Streptomyces fractus,10.05,70.6,133108,13247.1,155691.2,0.855,1771,176.3,2380.0,0.744,57744,5746.8,27096.1,2.131,29671,2952.9,38760.1,0.766,93606,9315.8,109860.0,0.852,308456,30698.1,311382.4,0.991,2320,230.9,839.7,2.763
GCF_008704425.1,Streptomyces fradiae,6.73,74.7,132807,19746.6,130883.8,1.015,1127,167.6,1564.6,0.72,27396,4073.4,15014.0,1.825,37340,5551.9,36516.9,1.023,86801,12906.1,97769.9,0.888,261050,38814.5,261767.7,0.997,1836,273.0,584.4,3.142
GCF_003112515.1,Streptomyces fragilis,6.85,73.2,128141,18712.2,122878.8,1.043,942,137.6,1615.1,0.583,33935,4955.5,16471.9,2.06,33654,4914.4,32920.3,1.022,73979,10803.0,89946.7,0.822,243525,35561.5,245757.5,0.991,1700,248.2,591.1,2.876
GCF_014651055.1,Streptomyces fructofermentans,8.87,72.4,152422,17178.7,152326.6,1.001,1615,182.0,2100.9,0.769,44715,5039.6,22147.7,2.019,36029,4060.6,39917.6,0.903,101104,11394.9,110277.0,0.917,295031,33251.4,304653.1,0.968,2134,240.5,760.5,2.806
GCF_013409565.1,Streptomyces fulvorobeus,6.65,70.8,108150,16272.5,104388.4,1.036,1171,176.2,1575.2,0.743,36184,5444.3,17751.5,2.038,26317,3959.7,26165.1,1.006,63479,9551.2,73909.9,0.859,202458,30462.4,208776.9,0.97,1526,229.6,557.6,2.737
GCF_000718165.1,Streptomyces fulvoviolaceus,11.58,70.2,168722,14564.3,176331.7,0.957,1926,166.3,2741.0,0.703,69110,5965.7,31625.7,2.185,39022,3368.4,43509.6,0.897,102292,8830.0,123871.8,0.826,333413,28780.7,352663.4,0.945,2845,245.6,962.8,2.955
GCF_014655295.1,Streptomyces fumanus,8.15,73.0,163351,20033.5,144538.0,1.13,1067,130.9,1925.7,0.554,40540,4971.8,19819.5,2.045,44084,5406.5,38487.5,1.145,91633,11237.9,105479.0,0.869,278774,34189.0,289076.0,0.964,1925,236.1,702.6,2.74
GCF_003665435.1,Streptomyces fungicidicus,7.67,72.2,137840,17977.2,130333.1,1.058,1114,145.3,1816.5,0.613,39565,5160.1,19293.0,2.051,34449,4492.9,33984.9,1.014,77424,10097.7,94120.7,0.823,253314,33037.4,260666.2,0.972,1934,252.2,655.9,2.949
GCF_014645815.1,Streptomyces fuscichromogenes,11.56,71.3,203087,17569.2,186617.1,1.088,1602,138.6,2741.3,0.584,65473,5664.1,30263.0,2.163,51599,4463.9,47423.4,1.088,109100,9438.3,133041.5,0.82,355874,30787.0,373234.2,0.953,2651,229.3,977.2,2.713
