accession	binomial	full_name	tax_id	strain	level	refseq_cat	n50	total_len	gc	n_assemblies
GCF_000931445.1	Streptomyces cyaneogriseus	Streptomyces cyaneogriseus subsp. noncyanogenus	477245	NMWT 1	Complete Genome		7762396	7762396	73	1
GCF_004028635.1	Streptomyces cyaneus	Streptomyces cyaneus	1904	CGMCC 4.1671	Scaffold	reference genome	710572	9833661	70.5	1
GCF_017526105.1	Streptomyces cyanogenus	Streptomyces cyanogenus	80860	S136	Complete Genome	reference genome	8773899	8773899	72	1
GCF_022698165.1	Streptomyces cylindrosporus	Streptomyces cylindrosporus	2927583	7R015	Contig	reference genome	632885	10929167	71	1
GCF_025642135.1	Streptomyces cynarae	Streptomyces cynarae	2981134	HUAS 13-4	Complete Genome	reference genome	9054161	9362607	70.5	2
GCF_052663305.1	Streptomyces cyslabdanicus	Streptomyces cyslabdanicus	1470456	K04-0144	Contig	reference genome	129817	8085163	71.5	1
GCF_020521275.1	Streptomyces daghestanicus	Streptomyces daghestanicus	66885	NBRC 12762	Contig	reference genome	1311779	8219361	73	2
GCF_054782395.1	Streptomyces daliensis	Streptomyces daliensis	299421	JCM 19963	Scaffold	reference genome	89816	9344684	72	1
GCF_003675325.1	Streptomyces dangxiongensis	Streptomyces dangxiongensis	1442032	Z022	Complete Genome	reference genome	8085191	8157885	72	1
GCF_014645895.1	Streptomyces daqingensis	Streptomyces daqingensis	1472640	CGMCC 4.7178	Scaffold	reference genome	280247	6537491	71.5	1
GCF_000349325.1	Streptomyces davaonensis	Streptomyces davaonensis JCM 4913	1214101	JCM 4913	Chromosome	reference genome	5836073	9555950	70.5	1
GCF_022385335.1	Streptomyces deccanensis	Streptomyces deccanensis	424188	KCTC 19241	Complete Genome	reference genome	10101518	10101518	71	1
GCF_045208505.1	Streptomyces decoyicus	Streptomyces decoyicus	249567	NBC_01584	Complete Genome	reference genome	9132955	9226293	71	26
GCF_030803745.1	Streptomyces demainii	Streptomyces demainii	588122	DSM 41600	Contig	reference genome	6271230	10542352	72	1
GCF_002946835.1	Streptomyces dengpaensis	Streptomyces dengpaensis	2049881	XZHG99	Complete Genome	reference genome	8541354	8710171	70	1
GCF_042681365.1	Streptomyces desertarenae	Streptomyces desertarenae	2666184	CGMCC 4.7455	Scaffold	reference genome	279720	6284384	74	1
GCF_054782695.1	Streptomyces deserti	Streptomyces deserti	531967	JCM 19673	Scaffold	reference genome	194989	8711601	71	1
GCF_003323715.1	Streptomyces diacarni	Streptomyces diacarni	2800381	LHW51701	Scaffold	reference genome	249792	7661915	72	2
GCF_014648935.1	Streptomyces diastaticus	Streptomyces diastaticus subsp. diastaticus	68040	JCM 4128	Scaffold	reference genome	232919	6982337	73.5	65
GCF_002242805.1	Streptomyces diastatochromogenes	Streptomyces diastatochromogenes	42236	DSM 40608	Scaffold	reference genome	245320	10520052	71	4
GCF_003024195.1	Streptomyces dioscori	Streptomyces dioscori	2109333	A217	Scaffold	reference genome	288186	10239468	70.5	1
GCF_014651075.1	Streptomyces djakartensis	Streptomyces djakartensis	68193	JCM 4957	Scaffold	reference genome	341741	7674449	71	2
GCF_031845645.1	Streptomyces doebereineriae	Streptomyces doebereineriae	3075528	DSM 41640	Contig	reference genome	430585	11255076	70	1
GCF_031845505.1	Streptomyces doudnae	Streptomyces doudnae	3075536	DSM 41981	Contig	reference genome	254073	9233126	73	1
GCF_039534625.1	Streptomyces drozdowiczii	Streptomyces drozdowiczii	202862	JCM 13580	Scaffold	reference genome	340352	7358759	72	7
GCF_031845545.1	Streptomyces dubilierae	Streptomyces dubilierae	3075533	DSM 41921	Contig	reference genome	316072	8265755	72.5	1
GCF_014156695.1	Streptomyces durbertensis	Streptomyces durbertensis	2448886	DSM 104538	Contig	reference genome	10866	5923645	72.5	1
GCF_000725475.1	Streptomyces durhamensis	Streptomyces durhamensis	68194	NRRL B-3309	Scaffold	reference genome	256603	9312374	71.5	1
GCF_023498005.1	Streptomyces durmitorensis	Streptomyces durmitorensis	319947	MS405	Complete Genome	reference genome	9715409	9862620	70.5	2
GCF_016901035.1	Streptomyces durocortorensis	Streptomyces durocortorensis	2811104	RHZ10	Scaffold	reference genome	18586	7959868	71.5	1
GCF_001514305.1	Streptomyces dysideae	Streptomyces dysideae	909626	RV15	Scaffold	reference genome	141443	10773767	70.5	1
GCF_014203595.1	Streptomyces echinatus	Streptomyces echinatus	67293	CECT 3313	Scaffold	reference genome	404223	9391279	72	7
GCF_049239225.1	Streptomyces echiniscabiei	Streptomyces echiniscabiei	3028708	WI04-05B	Contig	reference genome	8243706	10735201	70	2
GCF_014651135.1	Streptomyces echinoruber	Streptomyces echinoruber	68898	JCM 5016	Scaffold	reference genome	161990	7356931	73	2
GCF_031845685.1	Streptomyces edwardsiae	Streptomyces edwardsiae	3075527	DSM 41636	Contig	reference genome	103164	7902573	71.5	2
GCF_042654145.1	Streptomyces ehimensis	Streptomyces ehimensis	68195	CGMCC 4.1668	Scaffold	reference genome	351986	8120910	71.5	1
GCF_016741935.1	Streptomyces endocoffeicus	Streptomyces endocoffeicus	2898945	CA3R110	Contig	reference genome	328265	13128250	71	1
GCF_026153355.1	Streptomyces endophytica	Streptomyces endophytica	2991496	HNM0140	Complete Genome	reference genome	6901780	6901780	72	1
GCF_035798155.1	Streptomyces endophyticus	Streptomyces endophyticus	714166	YIM65594	Contig	reference genome	109112	9541774	71	1
GCF_039533765.1	Streptomyces enissocaesilis	Streptomyces enissocaesilis	332589	JCM 9088	Contig	reference genome	166222	7434596	71	1
GCF_036170895.1	Streptomyces erythrochromogenes	Streptomyces erythrochromogenes	285574	NBC_00303	Complete Genome	reference genome	8498532	8598676	72	31
GCF_039534285.1	Streptomyces erythrogriseus	Streptomyces erythrogriseus	284027	JCM 9650	Scaffold	reference genome	58248	7474386	72.5	1
GCF_002891295.1	Streptomyces eurocidicus	Streptomyces eurocidicus	66423	ATCC 27428	Contig	reference genome	801731	7931574	72.5	3
GCF_036346855.1	Streptomyces europaeiscabiei	Streptomyces europaeiscabiei	146819	NBC_00515	Complete Genome	reference genome	10755582	10954113	70.5	34
GCF_014649115.1	Streptomyces eurythermus	Streptomyces eurythermus	42237	JCM 4206	Scaffold	reference genome	289350	9167999	72.5	20
GCF_031845585.1	Streptomyces evansiae	Streptomyces evansiae	3075535	DSM 41979	Contig	reference genome	67094	7502396	73.5	3
GCF_000725545.1	Streptomyces exfoliatus	Streptomyces exfoliatus	1905	NRRL B-2924	Scaffold	reference genome	254413	7874957	72	7
GCF_025665295.1	Streptomyces explomaris	Streptomyces explomaris	2981351	Je 1-4	Complete Genome	reference genome	8866687	8866687	71	1
GCF_009498275.1	Streptomyces fagopyri	Streptomyces fagopyri	2662397	QMT-28	Complete Genome	reference genome	8880330	8880330	71	6
GCF_015160855.1	Streptomyces ferrugineus	Streptomyces ferrugineus	1413221	CCTCC AA2014009	Complete Genome	reference genome	9959088	9959088	71	1
GCF_009739905.1	Streptomyces ficellus	Streptomyces ficellus	1977088	NRRL 8067	Complete Genome	reference genome	7078240	7078240	72.5	2
GCF_008634015.1	Streptomyces filamentosus	Streptomyces filamentosus	67294	ATCC 23958	Contig	reference genome	5744022	7875407	73.5	16
GCF_042652185.1	Streptomyces fildesensis	Streptomyces fildesensis	375757	CGMCC 4.5735	Scaffold	reference genome	204870	9040893	70.5	4
GCF_014649495.1	Streptomyces filipinensis	Streptomyces filipinensis	66887	JCM 4369	Scaffold	reference genome	338528	9249383	72	2
GCF_039533005.1	Streptomyces fimbriatus	Streptomyces fimbriatus	68197	JCM 5080	Scaffold	reference genome	463176	8076986	72.5	2
GCF_014650515.1	Streptomyces finlayi	Streptomyces finlayi	67296	JCM 4637	Scaffold	reference genome	308806	9487627	71.5	2
GCF_042674625.1	Streptomyces flavalbus	Streptomyces flavalbus	2665155	CGMCC 4.7400	Contig	reference genome	7950563	8013664	72	1
GCF_044765825.1	Streptomyces flaveolus	Streptomyces flaveolus	67297	NPDC102396	Scaffold	reference genome	312959	8170724	72	27
GCF_014647675.1	Streptomyces flaveus	Streptomyces flaveus	66370	JCM 3035	Scaffold	reference genome	99491	10275661	69.5	3
GCF_000429085.1	Streptomyces flavidovirens	Streptomyces flavidovirens DSM 40150	1123319	DSM 40150	Scaffold	reference genome	241428	7070406	70.5	7
GCF_000717595.1	Streptomyces flavochromogenes	Streptomyces flavochromogenes	68199	NRRL B-2684	Contig	reference genome	235906	8884918	72	2
GCF_014650815.1	Streptomyces flavofungini	Streptomyces flavofungini	68200	JCM 4753	Scaffold	reference genome	419044	9312928	72	4
GCF_020639365.1	Streptomyces flavotricini	Streptomyces flavotricini	66888	NGL1	Scaffold	reference genome	166191	8859749	72	1
GCF_000725785.1	Streptomyces flavovariabilis	Streptomyces flavovariabilis	284031	NRRL B-16367	Scaffold	reference genome	285929	8762262	71	1
GCF_042651015.1	Streptomyces flavovirens	Streptomyces flavovirens	52258	CCM 3243	Contig	reference genome	227530	7605216	72	4
GCF_046267975.1	Streptomyces flavusporus	Streptomyces flavusporus	3385496	HC307	Complete Genome	reference genome	10014678	10026667	70	1
GCF_001735805.1	Streptomyces fodineus	Streptomyces fodineus	1904616	TW1S1	Complete Genome	reference genome	9698948	9698948	71	1
GCF_022647665.1	Streptomyces formicae	Streptomyces formicae	1616117	1H-GS9	Complete Genome	reference genome	8177291	8205064	71	4
GCF_049844455.1	Streptomyces fractus	Streptomyces fractus	641806	MV32	Contig	reference genome	9538431	10048055	70.5	1
GCF_008704425.1	Streptomyces fradiae	Streptomyces fradiae ATCC 10745 = DSM 40063	1319510	ATCC 10745	Complete Genome	reference genome	6725579	6725579	74.5	29
GCF_003112515.1	Streptomyces fragilis	Streptomyces fragilis	67301	NBRC 12862	Contig	reference genome	607197	6847990	73	3
GCF_014651055.1	Streptomyces fructofermentans	Streptomyces fructofermentans	152141	JCM 4956	Scaffold	reference genome	165454	8872745	72.5	3
GCF_013409565.1	Streptomyces fulvorobeus	Streptomyces fulvorobeus	284028	DSM 41455	Contig	reference genome	6607290	6646162	71	3
GCF_000718165.1	Streptomyces fulvoviolaceus	Streptomyces fulvoviolaceus	285535	NRRL B-2870	Contig	reference genome	163841	11584616	70	2
GCF_014655295.1	Streptomyces fumanus	Streptomyces fumanus	67302	JCM 4477	Scaffold	reference genome	488703	8153910	73	3
GCF_003665435.1	Streptomyces fungicidicus	Streptomyces fungicidicus	68203	TXX3120	Complete Genome	reference genome	6740768	7667496	72	36
GCF_014645815.1	Streptomyces fuscichromogenes	Streptomyces fuscichromogenes	1324013	CGMCC 4.7110	Scaffold	reference genome	253332	11559237	71.5	2
GCF_021556455.1	Streptomyces fuscigenes	Streptomyces fuscigenes	1528880	JBL-20	Contig	reference genome	12419	6371350	73	1
GCF_030262575.1	Streptomyces fuscus	Streptomyces fuscus	3048495	GXMU-J15	Contig	reference genome	165811	8680088	71	1
GCF_005280195.1	Streptomyces galbus	Streptomyces galbus	33898	DSM 40089	Scaffold	reference genome	216911	7836436	73	6
GCF_014650835.1	Streptomyces galilaeus	Streptomyces galilaeus	33899	JCM 4757	Scaffold	reference genome	250279	9317583	71	10
GCF_042656465.1	Streptomyces gamaensis	Streptomyces gamaensis	1763542	CGMCC 4.7304	Scaffold	reference genome	312069	7610574	72	1
GCF_000342345.1	Streptomyces gancidicus	Streptomyces gancidicus BKS 13-15	1284664	BKS 13-15	Contig		79071	7300479	72.5	1
GCF_015710995.1	Streptomyces gardneri	Streptomyces gardneri	66892	ATCC 15439	Complete Genome	reference genome	9054805	9054805	71.5	11
GCF_014649535.1	Streptomyces gelaticus	Streptomyces gelaticus	285446	JCM 4376	Scaffold	reference genome	171137	7755498	70.5	3
GCF_014489615.1	Streptomyces genisteinicus	Streptomyces genisteinicus	2768068	CRPJ-33	Complete Genome	reference genome	7631890	8188347	73.5	1
GCF_002954775.1	Streptomyces geranii	Streptomyces geranii	2058923	A301	Scaffold	reference genome	175548	10196536	70.5	1
GCF_019641555.1	Streptomyces geysiriensis	Streptomyces geysiriensis	68207	S19	Contig		17661	8155561	72.5	1
GCF_031845665.1	Streptomyces gibsoniae	Streptomyces gibsoniae	3075529	DSM 41699	Contig	reference genome	97361	10278310	70.5	1
GCF_028401765.1	Streptomyces gilvifuscus	Streptomyces gilvifuscus	1550617	T113	Contig	reference genome	393415	9875823	71.5	1
GCF_002082195.1	Streptomyces gilvosporeus	Streptomyces gilvosporeus	553510	F607	Complete Genome	reference genome	8482298	8482298	71	2
GCF_022513565.1	Streptomyces gilvus	Streptomyces gilvus	2920937	CME 23	Contig	reference genome	252519	8808297	71	1
GCF_024761905.1	Streptomyces ginkgonis	Streptomyces ginkgonis	1812259	KM-1-2	Contig	reference genome	697421	5837284	73	1
GCF_002154375.1	Streptomyces glaucescens	Streptomyces glaucescens	1907	NRRL B-2706	Scaffold	reference genome	13676	8426988	72	5
GCF_039533345.1	Streptomyces glaucosporus	Streptomyces glaucosporus	284044	JCM 6921	Scaffold	reference genome	158361	6178264	73.5	1
GCF_039533365.1	Streptomyces glaucus	Streptomyces glaucus	284029	JCM 6922	Scaffold	reference genome	120000	7390543	73.5	1
GCF_009811575.1	Streptomyces glebosus	Streptomyces glebosus	249580	NBRC 13786	Contig	reference genome	8442457	8442457	71	2
GCF_000261345.2	Streptomyces globisporus	Streptomyces globisporus C-1027	1172567	C-1027	Complete Genome	reference genome	7608611	7783599	71.5	89
GCF_039529415.1	Streptomyces globosus	Streptomyces globosus	68209	JCM 13859	Scaffold	reference genome	38748	7496032	74	6
GCF_021462825.1	Streptomyces glomeratus	Streptomyces glomeratus	284452	DSM 41457	Contig	reference genome	202410	7805372	71	2
GCF_030719215.1	Streptomyces glycanivorans	Streptomyces glycanivorans	3033808	Alt3	Complete Genome	reference genome	8355599	8654387	70.5	1
GCF_021216675.1	Streptomyces gobiensis	Streptomyces gobiensis	2875706	1_25	Complete Genome	reference genome	5691859	5691859	69	1
GCF_039532985.1	Streptomyces gobitricini	Streptomyces gobitricini	68211	JCM 5062	Scaffold	reference genome	95311	6839749	72.5	1
GCF_027942015.1	Streptomyces goshikiensis	Streptomyces goshikiensis	1942	CGMCC 4.1796	Complete Genome	reference genome	7239828	8161592	72.5	65
GCF_025165795.1	Streptomyces gossypii	Streptomyces gossypii	2883101	N2-109	Scaffold	reference genome	343243	7518892	70.5	1
GCF_013433285.1	Streptomyces gossypiisoli	Streptomyces gossypiisoli	2748864	TRM 44567	Scaffold	reference genome	141610	9324019	71	1
GCF_031845845.1	Streptomyces gottesmaniae	Streptomyces gottesmaniae	3075518	DSM 3412	Contig	reference genome	183349	10105429	71	1
GCF_045039555.1	Streptomyces gougerotii	Streptomyces gougerotii	53448	NBC_01103	Complete Genome	reference genome	6721603	6721603	73.5	3
GCF_039533385.1	Streptomyces graminearus	Streptomyces graminearus	284030	JCM 6923	Scaffold	reference genome	148232	8665966	72	1
GCF_046718965.1	Streptomyces gramineus	Streptomyces gramineus	910542	A14	Scaffold	reference genome	90563	9182179	72	1
GCF_052828665.1	Streptomyces graminifolii	Streptomyces graminifolii	1266771	NBRC 109806	Complete Genome	reference genome	10044962	10144208	70.5	1
GCF_001418565.1	Streptomyces graminilatus	Streptomyces graminilatus	1464070	NRRL B-59124	Scaffold	reference genome	19008	9608680	70	1
GCF_000716525.1	Streptomyces graminis	Streptomyces graminis	1464081	NRRL B-1570	Contig		166038	7867602	72.5	1
GCF_030294945.1	Streptomyces graminofaciens	Streptomyces graminofaciens	68212	A-8890	Complete Genome	reference genome	11602651	11602651	70.5	1
GCF_014534645.1	Streptomyces griseicoloratus	Streptomyces griseicoloratus	2752516	TRM S81-3	Scaffold	reference genome	166916	8825450	72	1
GCF_020010925.1	Streptomyces griseiscabiei	Streptomyces griseiscabiei	2993540	NRRL B-2795	Contig	reference genome	3950223	10610750	71.5	4
GCF_036189845.1	Streptomyces griseoaurantiacus	Streptomyces griseoaurantiacus	68213	NBC_00521	Complete Genome	reference genome	7415029	7572860	72.5	31
GCF_014655595.1	Streptomyces griseocarneus	Streptomyces griseocarneus	51201	JCM 4580	Scaffold	reference genome	350219	7375626	72	3
GCF_001542625.1	Streptomyces griseochromogenes	Streptomyces griseochromogenes	68214	ATCC 14511	Complete Genome	reference genome	10764674	10764674	71	3
GCF_014649995.1	Streptomyces griseoflavus	Streptomyces griseoflavus	35619	JCM 4479	Scaffold	reference genome	115138	7580440	72.5	8
GCF_014673495.1	Streptomyces griseofuscus	Streptomyces griseofuscus	146922	DSM 40191	Complete Genome	reference genome	8721740	9116672	71.5	29
GCF_023702435.1	Streptomyces griseoincarnatus	Streptomyces griseoincarnatus	29305	RB7AG	Contig		311319	7707382	72.5	1
GCF_014650015.1	Streptomyces griseoloalbus	Streptomyces griseoloalbus	67303	JCM 4480	Scaffold	reference genome	231276	7958048	71.5	5
GCF_000721185.1	Streptomyces griseolus	Streptomyces griseolus	1909	NRRL B-2925	Contig	reference genome	201589	7537539	72	2
GCF_014656035.1	Streptomyces griseoluteus	Streptomyces griseoluteus	29306	JCM 4765	Scaffold	reference genome	307222	6664735	71.5	34
GCF_014649595.1	Streptomyces griseomycini	Streptomyces griseomycini	66895	JCM 4382	Contig	reference genome	348767	8292334	73	4
GCF_051201135.1	Streptomyces griseorubens	Streptomyces griseorubens	66897	DSM 40160	Contig	reference genome	225024	7662408	72.5	3
GCF_001514205.1	Streptomyces griseoruber	Streptomyces griseoruber	1943	DSM 40281	Scaffold	reference genome	217124	10217879	71.5	5
GCF_003595235.1	Streptomyces griseorubiginosus	Streptomyces griseorubiginosus	67304	3E-1	Complete Genome	reference genome	9512378	9512378	71	29
GCF_014656055.1	Streptomyces griseosporeus	Streptomyces griseosporeus	1910	JCM 4766	Scaffold	reference genome	586463	8163924	72.5	8
GCF_030803725.1	Streptomyces griseoviridis	Streptomyces griseoviridis	45398	DSM 40229	Contig	reference genome	7872322	7872322	73	12
GCF_040685215.1	Streptomyces griseus	Streptomyces griseus	1911	NPDC089181	Scaffold	reference genome	229522	8328034	72	135
GCF_039537365.1	Streptomyces gulbargensis	Streptomyces gulbargensis	364901	JCM 16956	Scaffold	reference genome	185893	6827317	73	1
GCF_021261325.1	Streptomyces guryensis	Streptomyces guryensis	2886947	NR30	Scaffold	reference genome	288553	10492733	70.5	1
GCF_004348415.1	Streptomyces hainanensis	Streptomyces hainanensis	402648	DSM 41900	Contig	reference genome	13702	7991366	73	1
GCF_023277745.1	Streptomyces halobius	Streptomyces halobius	2879846	3_2	Complete Genome	reference genome	9239126	9239126	70	1
GCF_045207185.1	Streptomyces halstedii	Streptomyces halstedii	1944	NBC 00641	Complete Genome	reference genome	7458198	7849026	72	39
GCF_013364095.1	Streptomyces harbinensis	Streptomyces harbinensis	1176198	NA02264	Complete Genome	reference genome	5802668	5802668	73	9
GCF_004803895.1	Streptomyces hawaiiensis	Streptomyces hawaiiensis	67305	ATCC 12236	Complete Genome	reference genome	8876928	8876928	71	4
GCF_052543575.1	Streptomyces hayashii	Streptomyces hayashii	2839966	SAS_261	Scaffold	reference genome	67796	9647871	71.5	2
GCF_031845485.1	Streptomyces hazeniae	Streptomyces hazeniae	3075538	DSM 42041	Contig	reference genome	181340	6460955	73	1
GCF_052983195.1	Streptomyces hebeiensis	Streptomyces hebeiensis	229486	JL9001	Complete Genome	reference genome	7513245	7700822	71.5	2
GCF_028401405.1	Streptomyces heilongjiangensis	Streptomyces heilongjiangensis	945052	NEAU-W2	Contig	reference genome	148220	8936924	72	3
GCF_042431345.1	Streptomyces heliomycini	Streptomyces heliomycini	284032	JCM 9767	Scaffold	reference genome	43728	8264776	72.5	1
GCF_032656585.1	Streptomyces herbicida	Streptomyces herbicida	3065675	NEAU-HV9	Scaffold	reference genome	321446	10797268	70.5	1
GCF_031845785.1	Streptomyces hesseae	Streptomyces hesseae	3075519	DSM 40473	Contig	reference genome	250040	7665684	71.5	1
GCF_024539675.1	Streptomyces hilarionis	Streptomyces hilarionis	2839954	IBSBF 2807	Scaffold	reference genome	39079	9061055	72	1
GCF_013912435.1	Streptomyces himalayensis	Streptomyces himalayensis subsp. aureolus	2758039	PSKA54	Contig	reference genome	144039	9067473	70	2
GCF_000158915.1	Streptomyces himastatinicus	Streptomyces himastatinicus ATCC 53653	457427	ATCC 53653	Scaffold	reference genome	27794	11030030	71	1
GCF_031845745.1	Streptomyces hintoniae	Streptomyces hintoniae	3075521	DSM 41014	Contig	reference genome	156173	9090440	72	1
GCF_014650335.1	Streptomyces hiroshimensis	Streptomyces hiroshimensis	66424	JCM 4586	Scaffold	reference genome	313549	7757254	72	2
GCF_035918035.1	Streptomyces hirsutus	Streptomyces hirsutus	35620	NBC 01753	Complete Genome	reference genome	8843894	8843894	71	21
GCF_000376565.1	Streptomyces hokutonensis	Streptomyces hokutonensis	1306990	R1-NS-10	Contig	reference genome	135550	11828360	70.5	5
GCF_003626535.1	Streptomyces hoynatensis	Streptomyces hoynatensis	1141874	KCTC 29097	Contig	reference genome	330453	7260715	74.5	1
GCF_050871185.1	Streptomyces huangiella	Streptomyces huangiella	3228804	HD1123-B1	Complete Genome	reference genome	8879304	8879304	71.5	1
GCF_021028635.1	Streptomyces huasconensis	Streptomyces huasconensis	1854574	D23	Complete Genome	reference genome	8236582	8236582	71.5	9
GCF_020037025.1	Streptomyces huiliensis	Streptomyces huiliensis	2876027	SCA2-4	Contig	reference genome	41451	7680491	73	1
GCF_001005085.2	Streptomyces humi	Streptomyces humi	1428620	MUSC 119	Contig	reference genome	126586	10014215	72	2
GCF_024436035.1	Streptomyces humicola	Streptomyces humicola	2953240	RB6PN25	Contig	reference genome	205003	7069061	70	1
GCF_014649655.1	Streptomyces humidus	Streptomyces humidus	52259	JCM 4386	Scaffold	reference genome	193296	9711080	71.5	4
GCF_039538105.1	Streptomyces hundungensis	Streptomyces hundungensis	1077946	JCM 17577	Scaffold	reference genome	217108	8360549	71	4
GCF_002217755.1	Streptomyces hyaluromycini	Streptomyces hyaluromycini	1377993	NBRC 110483	Scaffold	reference genome	377823	11525033	71	2
GCF_020404845.1	Streptomyces hyderabadensis	Streptomyces hyderabadensis	598549	JCM 17657	Contig	reference genome	130065	8183068	72.5	2
GCF_040684435.1	Streptomyces hydrogenans	Streptomyces hydrogenans	1873719	NPDC091218	Scaffold	reference genome	194898	8673955	73.5	46
GCF_037126205.1	Streptomyces hygroscopicus	Streptomyces hygroscopicus subsp. hygroscopicus	68042	DSM 41954	Complete Genome	reference genome	9682870	9682870	72	34
GCF_052934925.1	Streptomyces hypolithicus	Streptomyces hypolithicus	479410	DSM 41950	Complete Genome	reference genome	6014151	6165428	70	1
GCF_036287475.1	Streptomyces iakyrus	Streptomyces iakyrus	68219	CGMCC 4.1912	Complete Genome	reference genome	9116509	9116509	71	13
GCF_028657195.3	Streptomyces iconiensis	Streptomyces iconiensis	1384038	DSM 42109	Contig	reference genome	158355	9828295	71	1
GCF_042656345.1	Streptomyces incanus	Streptomyces incanus	887453	CGMCC 4.5799	Scaffold	reference genome	58197	8273922	71	2
GCF_001027185.1	Streptomyces incarnatus	Streptomyces incarnatus	665007	NRRL 8089	Chromosome	reference genome	401474	8897465	71.5	1
GCF_021474405.1	Streptomyces indiaensis	Streptomyces indiaensis	284033	DSM 43803	Contig	reference genome	50087	7814613	71.5	2
GCF_900100315.1	Streptomyces indicus	Streptomyces indicus	417292	CGMCC 4.5727	Scaffold	reference genome	341273	8228196	71.5	1
GCF_022221585.1	Streptomyces inhibens	Streptomyces inhibens	2293571	NRRL30439	Complete Genome	reference genome	9696490	9696490	70.5	5
GCF_014651115.1	Streptomyces inusitatus	Streptomyces inusitatus	68221	JCM 4988	Scaffold	reference genome	149480	7867568	71.5	1
GCF_051122705.1	Streptomyces ipomoeae	Streptomyces ipomoeae	103232	NRRL_B-12321	Complete Genome	reference genome	10886267	10886267	70.5	10
GCF_042466515.1	Streptomyces iranensis	Streptomyces iranensis	576784	DSM 41954	Complete Genome	reference genome	12213033	12213033	71	4
GCF_039525925.1	Streptomyces javensis	Streptomyces javensis	114698	JCM 11446	Scaffold	reference genome	102235	11277705	71.5	4
GCF_001642995.1	Streptomyces jeddahensis	Streptomyces jeddahensis	1716141	G25	Contig	reference genome	86423	8449625	70.5	1
GCF_031845565.1	Streptomyces johnsoniae	Streptomyces johnsoniae	3075532	DSM 41886	Contig	reference genome	373560	7527049	72.5	1
GCF_009600885.1	Streptomyces jumonjinensis	Streptomyces jumonjinensis	1945	NRRL 5741	Scaffold	reference genome	42811	8465075	71	5
GCF_015163075.1	Streptomyces justiciae	Streptomyces justiciae	2780140	3R004	Contig	reference genome	449515	10454561	71	3
GCF_042679505.1	Streptomyces kaempferi	Streptomyces kaempferi	333725	CGMCC 4.7020	Scaffold	reference genome	93392	11201916	70.5	2
GCF_008704495.1	Streptomyces kanamyceticus	Streptomyces kanamyceticus	1967	ATCC 12853	Complete Genome	reference genome	10133897	10133897	71	3
GCF_043077165.1	Streptomyces kanasensis	Streptomyces kanasensis	936756	NPDC016311	Scaffold	reference genome	237868	6972480	74	3
GCF_009569385.1	Streptomyces kaniharaensis	Streptomyces kaniharaensis	212423	SF-557	Contig	reference genome	6153183	8774359	72	1
GCF_002261115.1	Streptomyces kasugaensis	Streptomyces kasugaensis	1946	BCRC 12349	Scaffold	reference genome	1688389	9262443	71.5	2
GCF_000966975.1	Streptomyces katrae	Streptomyces katrae	68223	NRRL ISP-5550	Contig	reference genome	8690	8049424	73	4
GCF_009600895.1	Streptomyces katsurahamanus	Streptomyces katsurahamanus	2577098	T-272	Scaffold	reference genome	25412	7243826	71	1
GCF_001906585.1	Streptomyces kebangsaanensis	Streptomyces kebangsaanensis	864058	SUK12	Scaffold	reference genome	17211	8244886	71.5	2
GCF_003626645.1	Streptomyces klenkii	Streptomyces klenkii	1420899	KCTC 29202	Contig	reference genome	541812	8230626	72.5	7
GCF_018604545.1	Streptomyces koelreuteriae	Streptomyces koelreuteriae	2838015	MG62	Complete Genome	reference genome	8599513	8599513	71	3
GCF_003428925.1	Streptomyces koyangensis	Streptomyces koyangensis	188770	VK-A60T	Complete Genome	reference genome	7220839	7220839	73	26
GCF_014646275.1	Streptomyces kronopolitis	Streptomyces kronopolitis	1612435	CGMCC 4.7323	Scaffold	reference genome	191127	7834107	72	13
GCF_032248675.1	Streptomyces kroppenstedtii	Streptomyces kroppenstedtii	3051181	DSM 40484	Contig	reference genome	406403	9271129	71	1
GCF_050018475.1	Streptomyces krungchingensis	Streptomyces krungchingensis	1565034	1D107	Scaffold	reference genome	169974	10501679	71.5	2
GCF_039533535.1	Streptomyces kunmingensis	Streptomyces kunmingensis	68225	JCM 7473	Scaffold	reference genome	152123	9785516	71	2
GCF_040677245.1	Streptomyces kurssanovii	Streptomyces kurssanovii	67312	NPDC049344	Scaffold	reference genome	106050	7843086	71.5	1
GCF_032248635.1	Streptomyces kutzneri	Streptomyces kutzneri	3051179	DSM 40907	Contig	reference genome	402738	9215953	71.5	1
GCF_039534145.1	Streptomyces labedae	Streptomyces labedae	285569	JCM 9381	Scaffold	reference genome	146667	7772107	72	1
GCF_047337785.1	Streptomyces lacaronensis	Streptomyces lacaronensis	3379885	OE57	Contig	reference genome	12230355	12391416	71	1
GCF_014646095.1	Streptomyces lacrimifluminis	Streptomyces lacrimifluminis	1500077	CGMCC 4.7272	Scaffold	reference genome	233247	9022781	70	2
GCF_030719275.1	Streptomyces laculatispora	Streptomyces laculatispora	887464	Mut2	Complete Genome	reference genome	8504600	8645539	70.5	2
GCF_014655715.1	Streptomyces lanatus	Streptomyces lanatus	66900	JCM 4588	Scaffold	reference genome	344234	10216859	70.5	2
GCF_031845825.1	Streptomyces lancefieldiae	Streptomyces lancefieldiae	3075520	DSM 40712	Contig	reference genome	137395	9331789	71.5	1
