locus_tag	old_locus_tag	gene_name	product	tf_family	region	nearest_methyl_distance	n_methyl_sites_2kb	baseMean	LFC_T2vsT1	LFC_T3vsT1	n_FIMO_hits	classification
SC_RS10525	SCO1702		TetR/AcrR family transcriptional regulator	TetR	0	404	3	32.953	-0.04	0.832	2	shielded
SC_RS10530	SCO1703		ArsR/SmtB family transcription factor	ArsR	0	247	9	54.31	0.42	0.17	1	shielded
SC_RS10575	SCO1712		TetR/AcrR family transcriptional regulator	TetR	0	367	1	40.636	-0.526	0.378	5	shielded
SC_RS10590	SCO1716		GntR family transcriptional regulator	GntR	0	1270	3	52.839	-0.272	0.461	2	shielded
SC_RS10600	SCO1718		TetR/AcrR family transcriptional regulator C-terminal domain-containing protein	TetR	0	1182	3	86.716	0.297	0.133	4	shielded
SC_RS10620	SCO1722		anti-sigma factor	Sigma factor	0	308	5	26.269	0.45	2.322	3	shielded
SC_RS10625	SCO1723		sigma-70 family RNA polymerase sigma factor	Sigma factor	0	648	5	14.577	0.589	4.249	2	shielded
SC_RS10650	SCO1728		GntR family transcriptional regulator	GntR	0	3291	0	35.655	0.317	-0.116	4	shielded
SC_RS10690	SCO1736		MarR family winged helix-turn-helix transcriptional regulator	MarR	0	233	3	21.099	-0.925	0.151	3	shielded
SC_RS10730	SCO1744		sensor histidine kinase	Sensor kinase	0	549	2	58.915	0.294	1.005	1	shielded
SC_RS10735	SCO1745		response regulator	Response regulator	0	295	3	31.667	0.762	1.479	4	shielded
SC_RS10880	SCO1774		tetratricopeptide repeat protein	TetR	0	45	6	261.129	0.259	-0.436	3	shielded
SC_RS10900	SCO1778		PucR family transcriptional regulator	Other regulatory	0	1194	1	147.774	-0.525	-0.408	5	shielded
SC_RS10960	SCO1790		tetratricopeptide repeat protein	TetR	0	783	1	401.914	-2.4	-2.569	5	shielded
SC_RS11030	SCO1801		response regulator	Response regulator	0	134	4	159.683	-0.041	2.108	2	shielded
SC_RS11035	SCO1802		GAF domain-containing sensor histidine kinase	Sensor kinase	0	910	4	199.576	-0.357	1.675	7	shielded
SC_RS11090	SCO1813		FadR/GntR family transcriptional regulator	GntR	0	241	2	242.775	-2.442	-2.837	4	shielded
SC_RS11225	SCO1839		helix-turn-helix domain-containing protein	HTH (other)	0	1038	3	3166.895	4.56	5.266	4	shielded
SC_RS11390	SCO1872		IclR family transcriptional regulator	IclR	0	775	8	158.091	-1.594	-1.698	4	shielded
SC_RS11410	SCO1876		SigE family RNA polymerase sigma factor	Sigma factor	0	57	7	41.199	-1.215	-0.458	1	shielded
SC_RS11480	SCO1890		GntR family transcriptional regulator	GntR	0	1701	1	38.402	-0.586	0.09	3	shielded
SC_RS11515	SCO1897		DeoR/GlpR family DNA-binding transcription regulator	DeoR	0	191	3	51.649	1.307	1.477	5	exposed
SC_RS11550	SCO1904		TetR/AcrR family transcriptional regulator	TetR	0	847	3	552.405	-0.717	-1.537	7	shielded
SC_RS11595	SCO1912	dapA	4-hydroxy-tetrahydrodipicolinate synthase	TetR	0	398	3	49.973	0.962	1.041	5	shielded
SC_RS11615	SCO1916	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	TetR	0	10	2	939.431	1.198	-0.9	4	shielded
SC_RS11620	SCO1917		TetR/AcrR family transcriptional regulator	TetR	0	363	2	72.06	0.518	0.415	1	shielded
SC_RS11665	SCO1926		helix-turn-helix transcriptional regulator	HTH (other)	0	2498	0	2556.061	0.393	0.774	4	shielded
SC_RS11780	SCO1950	whiA	DNA-binding protein WhiA	Other regulatory	0	986	1	736.605	-0.315	-1.28	1	shielded
SC_RS11810	SCO1956		LacI family DNA-binding transcriptional regulator	LacI	0	278	2	154.469	-0.159	-0.452	4	shielded
SC_RS11925	SCO1979		helix-turn-helix domain-containing protein	HTH (other)	0	1570	1	238.147	-0.377	-0.875	3	shielded
SC_RS12005	SCO1995		tetratricopeptide repeat protein	TetR	0	1043	2	137.946	2.342	1.299	4	shielded
SC_RS12095	SCO2013		ANTAR domain-containing response regulator	Response regulator	0	2118	0	1191.014	-0.376	-2.065	5	shielded
SC_RS12270	SCO2047		ArsR/SmtB family transcription factor	ArsR	0	607	1	58.185	-0.504	-0.529	2	shielded
SC_RS12415	SCO2075		TraR/DksA family transcriptional regulator	Other regulatory	0	1218	1	108.888	0.15	1.152	9	shielded
SC_RS12540	SCO2100		TetR/AcrR family transcriptional regulator	TetR	0	659	3	486.869	-1.59	-1.779	3	shielded
SC_RS12550	SCO2102		SCO2102 family sporulation regulator	Other regulatory	0	1344	2	930.112	0.716	0.088	6	shielded
SC_RS12555	SCO2103	metF	methylenetetrahydrofolate reductase [NAD(P)H]	TetR	0	364	2	919.704	1.171	-0.353	7	shielded
SC_RS12565	SCO2105		Rv2175c family DNA-binding protein	Other regulatory	0	962	2	675.366	-0.32	-1.703	6	shielded
SC_RS12645	SCO2120		response regulator	Response regulator	0	976	1	212.551	-0.451	-1.096	3	shielded
SC_RS12650	SCO2121	macS	MacS family sensor histidine kinase	Sensor kinase	0	258	1	500.077	-1.083	-1.945	4	shielded
SC_RS12675	SCO2126		ROK family glucokinase	ROK	0	1388	3	2519.675	-1.26	-2.109	2	shielded
SC_RS12745	SCO2140		Lrp/AsnC family transcriptional regulator	Lrp	0	1045	2	383.91	0.496	-0.75	11	shielded
SC_RS12755	SCO2142		sensor histidine kinase	Sensor kinase	0	1629	2	84.547	-0.281	0.098	4	shielded
SC_RS12760	SCO2143		response regulator transcription factor	Response regulator	0	268	2	42.261	0.086	-0.018	6	shielded
SC_RS12805	SCO2152		response regulator	Response regulator	0	321	7	724.263	2.194	0.881	1	shielded
SC_RS12865	SCO2165		response regulator	Response regulator	0	522	2	150.668	-0.192	-0.821	4	shielded
SC_RS12870	SCO2166		sensor histidine kinase	Sensor kinase	0	405	3	244.226	0.362	-0.111	2	shielded
SC_RS12950	SCO2182		GntR family transcriptional regulator	GntR	0	565	3	653.085	0.13	-1.29	8	shielded
SC_RS12960	SCO2184		helix-turn-helix transcriptional regulator	HTH (other)	0	621	2	120.941	-0.88	-0.792	3	shielded
SC_RS13040	SCO2201		winged helix-turn-helix transcriptional regulator	HTH (other)	0	1855	2	131.229	1.118	0.54	7	shielded
SC_RS13055	SCO2204		winged helix DNA-binding domain-containing protein	HTH (other)	0	90	1	409.247	-1.02	-0.905	4	shielded
SC_RS13080	SCO2209		MarR family transcriptional regulator	MarR	0	246	3	34.702	-1.177	-0.238	3	shielded
SC_RS13095	SCO2213		winged helix-turn-helix domain-containing protein	HTH (other)	0	1338	2	262.769	3.239	0.307	4	shielded
SC_RS13105	SCO2215		sensor histidine kinase	Sensor kinase	0	224	3	83.34	0.174	0.118	4	shielded
SC_RS13110	SCO2216		response regulator transcription factor	Response regulator	0	605	3	92.819	0.703	-0.65	4	shielded
SC_RS13125	SCO2219		tetratricopeptide repeat protein	TetR	0	930	1	324.659	1.068	0.014	3	shielded
SC_RS13145	SCO2223		TetR/AcrR family transcriptional regulator	TetR	0	288	2	90.328	-2.604	-1.974	6	exposed
SC_RS13190	SCO2232		LacI family DNA-binding transcriptional regulator	LacI	0	343	2	692.332	-2.659	-3.015	9	shielded
SC_RS13245	SCO2243		TetR/AcrR family transcriptional regulator	TetR	0	936	6	378.372	-2.213	-2.232	3	shielded
SC_RS13260			helix-turn-helix domain-containing protein	HTH (other)	0	371	2	185.576	3.366	2.63	2	shielded
SC_RS13290	SCO2253		helix-turn-helix domain-containing protein	HTH (other)	0	405	8	183.165	0.061	-0.834	8	shielded
SC_RS13320	SCO2259		BTAD domain-containing putative transcriptional regulator	Other regulatory	0	943	6	551.122	-0.377	-0.539	1	shielded
SC_RS13425	SCO2280		TetR/AcrR family transcriptional regulator	TetR	0	2758	0	105.052	-1.039	-0.987	5	shielded
SC_RS13430	SCO2281		response regulator transcription factor	Response regulator	0	2033	0	120.608	-0.962	-1.573	5	shielded
SC_RS13500	SCO2294		AraC family transcriptional regulator	AraC	0	1681	1	65.618	0.623	1.813	2	shielded
SC_RS13505	SCO2295		MerR family transcriptional regulator	MerR	0	1792	1	45.631	0.934	0.747	5	shielded
SC_RS13565	SCO2307		sensor histidine kinase	Sensor kinase	0	108	4	71.578	0.461	1.377	2	shielded
SC_RS13570	SCO2308		response regulator transcription factor	Response regulator	0	695	7	93.523	-0.239	-0.234	6	shielded
SC_RS13625	SCO2319		TetR family transcriptional regulator	TetR	0	550	1	379.733	-3.676	-3.639	1	shielded
SC_RS13675	SCO2329		GlxA family transcriptional regulator	Other regulatory	0	371	1	82.941	-0.537	-0.451	3	shielded
SC_RS13685	SCO2331		MarR family winged helix-turn-helix transcriptional regulator	MarR	0	1503	1	120.318	-0.342	-0.969	3	shielded
SC_RS13825	SCO2358		response regulator transcription factor	Response regulator	0	1037	3	194.247	0.295	-0.586	3	shielded
SC_RS13830	SCO2359		sensor histidine kinase	Sensor kinase	0	96	5	241.204	0.155	-0.677	1	shielded
SC_RS13905	SCO2374		TetR family transcriptional regulator	TetR	0	10	8	173.378	-0.003	-1.037	4	shielded
SC_RS13925	SCO2378		MerR family transcriptional regulator	MerR	0	85	7	138.7	2.098	-0.368	3	shielded
SC_RS13940	SCO2381		helix-turn-helix domain-containing protein	HTH (other)	0	1491	3	214.371	1.933	1.745	7	shielded
SC_RS13965	SCO2386	fasR	fatty acid biosynthesis transcriptional regulator FasR	Other regulatory	0	24	8	658.421	-1.346	-2.008	1	exposed
SC_RS14025	SCO2398		MarR family winged helix-turn-helix transcriptional regulator	MarR	0	197	4	51.239	0.203	0.144	3	shielded
SC_RS14165	SCO2426		helix-turn-helix domain-containing protein	HTH (other)	0	982	2	155.954	3.915	2.864	3	shielded
SC_RS14235	SCO2440		IclR family transcriptional regulator	IclR	0	991	2	262.271	-0.879	-1.388	3	shielded
SC_RS14245	SCO2442		FadR/GntR family transcriptional regulator	GntR	0	1598	1	292.1	-0.984	-2.611	2	shielded
SC_RS14295	SCO2452		GAF domain-containing sensor histidine kinase	Sensor kinase	0	204	3	31.094	0.193	3.0	1	shielded
SC_RS14375	SCO2465		RNA polymerase sigma factor	Sigma factor	0	734	1	180.011	-0.784	-1.023	10	shielded
SC_RS14425	SCO2475		LysR family transcriptional regulator	LysR	0	178	2	273.365	-0.324	-0.973	7	shielded
SC_RS14455	SCO2481		winged helix-turn-helix transcriptional regulator	HTH (other)	0	856	2	113.434	3.99	2.395	3	shielded
SC_RS14495	SCO2489		TetR/AcrR family transcriptional regulator	TetR	0	524	1	128.27	0.217	-0.286	8	shielded
SC_RS14555	SCO2501		helix-turn-helix transcriptional regulator	HTH (other)	0	1275	4	260.59	1.237	0.229	3	shielded
SC_RS14590	SCO2508		Fur family transcriptional regulator	Other regulatory	0	1347	2	409.583	0.268	-1.253	5	shielded
SC_RS14615	SCO2513		helix-turn-helix domain-containing protein	HTH (other)	0	833	1	422.179	6.093	5.878	2	shielded
SC_RS14635	SCO2517		response regulator	Response regulator	0	154	2	567.429	3.934	4.707	1	shielded
SC_RS14640	SCO2518		sensor histidine kinase	Sensor kinase	0	1120	1	1177.869	3.27	4.158	3	shielded
SC_RS14725	SCO2535		MmcQ/YjbR family DNA-binding protein	Other regulatory	0	2001	0	111.69	-0.762	-1.461	1	shielded
SC_RS14735	SCO2537		helix-turn-helix transcriptional regulator	HTH (other)	0	68	2	193.966	0.867	0.315	4	shielded
SC_RS14770	SCO2544		IclR family transcriptional regulator	IclR	0	610	4	101.825	-0.152	-0.06	2	shielded
SC_RS14825	SCO2555	hrcA	heat-inducible transcriptional repressor HrcA	Repressor	0	791	2	1822.453	-1.044	-1.901	7	shielded
SC_RS14890	SCO2568		ComEA family DNA-binding protein	Other regulatory	0	1167	3	59.206	-2.011	-0.642	7	shielded
SC_RS15140	SCO2614	folC	bifunctional tetrahydrofolate synthase/dihydrofolate synthase	TetR	0	228	1	1801.01	-1.063	-1.883	4	shielded
SC_RS15270	SCO2639		RNA polymerase sigma factor	Sigma factor	0	113	7	57.656	-1.718	-1.285	2	exposed
SC_RS15295	SCO2644		LysR family transcriptional regulator	LysR	0	692	2	215.893	-1.919	-1.982	3	shielded
SC_RS15310	SCO2647		MarR family winged helix-turn-helix transcriptional regulator	MarR	0	478	1	99.633	-1.774	-1.271	8	shielded
SC_RS15335	SCO2652		Rrf2 family transcriptional regulator	Other regulatory	0	687	1	230.367	-1.565	-2.244	1	shielded
SC_RS15360	SCO2657		ROK family transcriptional regulator	ROK	0	149	4	132.913	-1.571	-0.893	3	shielded
SC_RS15485	SCO2681	fxsT	FxSxx-COOH system tetratricopeptide repeat protein	TetR	0	120	7	170.069	-1.634	-0.811	1	exposed
SC_RS15495	SCO2683		single-stranded DNA-binding protein	Other regulatory	0	82	5	24.552	-0.394	0.98	7	shielded
SC_RS15515	SCO2686		helix-turn-helix domain-containing protein	HTH (other)	0	2162	0	125.453	-1.583	-1.377	2	shielded
SC_RS15725			helix-turn-helix transcriptional regulator	HTH (other)	0	1177	1	6.831	0.032	2.605	8	shielded
SC_RS15755	SCO2734		LysR family transcriptional regulator	LysR	0	210	1	106.96	0.415	0.448	5	shielded
SC_RS15795	SCO2742		RNA polymerase sigma-70 factor	Sigma factor	0	1335	1	51.183	0.335	1.04	2	shielded
SC_RS15810	SCO2745		LacI family DNA-binding transcriptional regulator	LacI	0	72	1	57.815	-1.371	0.785	7	shielded
SC_RS15850	SCO2753		LacI family DNA-binding transcriptional regulator	LacI	0	235	4	185.998	-0.856	-1.227	8	shielded
SC_RS15870	SCO2757		LysR family transcriptional regulator	LysR	0	593	2	112.509	-0.812	-0.687	3	shielded
SC_RS15920	SCO2767		tetratricopeptide repeat protein	TetR	0	1542	2	431.076	1.72	1.594	4	shielded
SC_RS15960	SCO2775		SACE_7040 family transcriptional regulator	Other regulatory	0	253	2	106.387	-1.456	-0.968	2	shielded
SC_RS16045	SCO2792		helix-turn-helix domain-containing protein	HTH (other)	0	3720	0	3179.369	0.286	-0.975	4	shielded
SC_RS16060	SCO2794		LacI family DNA-binding transcriptional regulator	LacI	0	37	2	548.893	-0.693	-1.636	6	shielded
SC_RS16090	SCO2800		sensor histidine kinase	Sensor kinase	0	200	4	162.405	1.111	0.751	6	shielded
SC_RS16095	SCO2801		response regulator transcription factor	Response regulator	0	501	3	74.663	1.229	0.867	4	shielded
SC_RS16145	SCO2811		ArsR/SmtB family transcription factor	ArsR	0	952	1	111.046	-0.487	-0.882	3	shielded
SC_RS16165	SCO2815		TetR/AcrR family transcriptional regulator	TetR	0	380	3	77.209	-1.453	-1.186	8	shielded
SC_RS16255	SCO2832		IclR family transcriptional regulator	IclR	0	565	2	881.175	2.602	2.236	4	shielded
SC_RS16305	SCO2840		LysR family transcriptional regulator	LysR	0	1275	2	67.204	0.594	0.511	4	shielded
SC_RS16325			GntR family transcriptional regulator	GntR	0	203	2	18.524	-2.59	0.188	0	shielded
SC_RS16330	SCO2846		ROK family transcriptional regulator	ROK	0	1082	2	113.207	-1.702	-1.237	4	shielded
SC_RS16365	SCO2853		winged helix-turn-helix transcriptional regulator	HTH (other)	0	399	4	43.557	-0.613	-0.076	1	shielded
SC_RS16395	SCO2859		PadR family transcriptional regulator	PadR	0	952	2	82.511	-1.741	-1.714	4	shielded
SC_RS16420	SCO2865		helix-turn-helix domain-containing protein	HTH (other)	0	159	3	127.467	-0.638	-0.876	1	shielded
SC_RS16445	SCO2869		helix-turn-helix domain-containing protein	HTH (other)	0	797	2	39.824	0.591	0.858	5	shielded
SC_RS16475	SCO2875		MerR family transcriptional regulator	MerR	0	128	2	106.982	0.05	-0.259	3	shielded
SC_RS16720	SCO2924		SsgA family sporulation/cell division regulator	Other regulatory	0	600	13	198.856	0.205	0.957	5	shielded
SC_RS16730	SCO2926		tetratricopeptide repeat protein	TetR	0	151	3	40.533	-0.167	2.211	5	shielded
SC_RS16740	SCO2928		Lrp/AsnC family transcriptional regulator	Lrp	0	1029	1	41.336	-1.215	0.025	5	shielded
SC_RS16775	SCO2935		IclR family transcriptional regulator	IclR	0	385	3	126.712	-0.686	-0.43	10	shielded
SC_RS16855	SCO2950		HU family DNA-binding protein	Other regulatory	0	265	2	10732.932	-1.654	-2.902	3	exposed
SC_RS16870	SCO2953	rsuA	anti-sigma U factor RsuA	Anti-sigma	0	141	2	401.375	1.193	1.57	5	shielded
SC_RS16875	SCO2954		sigma-70 family RNA polymerase sigma factor	Sigma factor	0	725	2	191.466	1.954	3.13	3	shielded
SC_RS16920	SCO2964	stgR	LysR family transcriptional regulator StgR	LysR	0	137	4	49.028	-2.146	0.402	4	shielded
SC_RS17040	SCO2987		MarR family winged helix-turn-helix transcriptional regulator	MarR	0	906	4	193.341	-0.897	-2.153	2	shielded
SC_RS17075	SCO2994		TetR/AcrR family transcriptional regulator	TetR	0	1941	1	165.141	-2.853	-2.214	5	shielded
SC_RS17135	SCO3007		winged helix-turn-helix domain-containing protein	HTH (other)	0	226	4	368.771	-1.71	-2.169	1	shielded
SC_RS17140	SCO3008		response regulator	Response regulator	0	1013	4	1733.902	1.602	0.636	5	shielded
SC_RS17160	SCO3012	mtrB	two-component system sensor histidine kinase MtrB	Sensor kinase	0	2245	0	1825.483	-0.67	-1.607	3	shielded
SC_RS17165	SCO3013	mtrA	two-component system response regulator MtrA	Response regulator	0	1554	3	2928.866	-0.097	-1.203	10	shielded
SC_RS17285	SCO3034		WhiB family transcriptional regulator	WhiB	0	1573	2	845.512	-0.995	-2.173	2	shielded
SC_RS17425	SCO3062	draK	two-component system sensor histidine kinase DraK	Sensor kinase	0	1311	1	746.969	0.136	-1.132	3	shielded
SC_RS17430	SCO3063		response regulator transcription factor	Response regulator	0	2023	0	1448.99	0.467	-0.651	5	shielded
SC_RS17455	SCO3068		RNA polymerase sigma factor SigF	Sigma factor	0	117	3	1170.954	-1.188	-2.61	6	shielded
SC_RS17490	SCO3075		MurR/RpiR family transcriptional regulator	Other regulatory	0	1271	2	140.11	-1.452	-0.951	2	shielded
SC_RS17670	SCO3109	mfd	transcription-repair coupling factor	Other regulatory	0	131	1	715.464	-0.326	-1.079	2	exposed
SC_RS17725	SCO3119		sensor histidine kinase	Sensor kinase	0	568	2	681.986	-0.209	0.143	2	shielded
SC_RS17770	SCO3129		TetR/AcrR family transcriptional regulator	TetR	0	2374	0	350.82	0.035	-0.626	8	shielded
SC_RS17790	SCO3133	tamR	MarR family transcriptional regulator TamR	MarR	0	314	5	428.664	-0.434	-0.699	6	shielded
SC_RS17795	SCO3134		response regulator transcription factor	Response regulator	0	69	4	877.377	3.405	3.16	3	exposed
SC_RS17830	SCO3144		helix-turn-helix transcriptional regulator	HTH (other)	0	198	5	35.383	-0.045	1.307	14	shielded
SC_RS17900	SCO3158		SsgA family sporulation/cell division regulator	Other regulatory	0	74	2	200.387	-0.314	-0.412	0	shielded
SC_RS17945	SCO3167		TetR/AcrR family transcriptional regulator	TetR	0	1482	6	487.889	-0.426	-1.195	2	shielded
SC_RS17975	SCO3173		MerR family transcriptional regulator	MerR	0	46	3	98.664	-1.545	-1.086	4	shielded
SC_RS18030	SCO3183		5-formyltetrahydrofolate cyclo-ligase	TetR	0	166	4	173.498	-1.547	-1.922	3	shielded
SC_RS18105	SCO3198		DeoR/GlpR family DNA-binding transcription regulator	DeoR	0	981	2	1599.915	-0.198	1.01	3	shielded
SC_RS18115	SCO3200		helix-turn-helix transcriptional regulator	HTH (other)	0	810	1	69.314	-1.209	-0.136	4	shielded
SC_RS18120	SCO3201		TetR/AcrR family transcriptional regulator	TetR	0	850	2	355.21	-0.638	-0.303	4	shielded
SC_RS18125	SCO3202		sigma-70 family RNA polymerase sigma factor	Sigma factor	0	465	3	1347.408	0.292	-0.482	6	shielded
SC_RS18140	SCO3205		MarR family winged helix-turn-helix transcriptional regulator	MarR	0	746	4	75.864	-1.127	-1.266	3	shielded
SC_RS18150	SCO3207		TetR/AcrR family transcriptional regulator	TetR	0	1077	3	2194.153	4.796	3.955	4	shielded
SC_RS18160	SCO3209		IclR family transcriptional regulator domain-containing protein	IclR	0	207	2	199.697	0.699	1.154	9	shielded
SC_RS18200	SCO3217		AfsR/SARP family transcriptional regulator	SARP	0	365	3	6864.439	6.85	5.759	6	shielded
SC_RS18240	SCO3225		sensor histidine kinase	Sensor kinase	0	774	3	1107.611	2.2	2.725	3	shielded
SC_RS18245	SCO3226	absA2	two component system response regulator	Response regulator	0	456	3	714.541	0.949	0.54	1	shielded
SC_RS18410	SCO3258		SCO3933 family regulatory protein	Other regulatory	0	798	3	12.671	-3.282	0.154	4	shielded
SC_RS18415	SCO3259		GntR family transcriptional regulator	GntR	0	95	3	197.298	-1.087	-1.157	3	shielded
SC_RS18440	SCO3264		GntR family transcriptional regulator	GntR	0	3426	0	37.244	-3.578	-0.438	4	shielded
SC_RS18455	SCO3269		GntR family transcriptional regulator	GntR	0	2305	0	89.369	-1.407	-1.33	1	shielded
SC_RS18470			helix-turn-helix domain-containing protein	HTH (other)	0	93	1	18.028	0.364	0.967	1	shielded
SC_RS18490	SCO3275		MerR family transcriptional regulator	MerR	0	529	4	111.812	-1.746	-1.775	2	shielded
SC_RS18650	SCO3308		helix-turn-helix domain-containing protein	HTH (other)	0	2305	0	474.956	-1.291	-1.816	1	shielded
SC_RS18680	SCO3315		TetR/AcrR family transcriptional regulator	TetR	0	73	2	68.158	-0.421	-0.537	6	shielded
SC_RS18705	SCO3320		redox-sensing transcriptional repressor Rex	Repressor	0	404	4	1463.971	-1.29	-1.814	9	shielded
SC_RS18720	SCO3323		ECF subfamily RNA polymerase sigma factor, BldN family	Sigma factor	0	1410	2	3804.503	7.55	6.632	4	shielded
SC_RS18745	SCO3328		helix-turn-helix domain-containing protein	HTH (other)	0	4995	0	6597.952	5.485	6.94	7	shielded
SC_RS18795	SCO3335		GlxA family transcriptional regulator	Other regulatory	0	433	5	42.538	-0.595	1.209	6	shielded
SC_RS18850	SCO3346		TetR/AcrR family transcriptional regulator	TetR	0	538	2	104.357	1.101	-0.161	5	shielded
SC_RS18895	SCO3356		SigE family RNA polymerase sigma factor	Sigma factor	0	533	5	3586.319	0.359	-0.683	5	shielded
SC_RS18905	SCO3358	cseB	two-component system response regulator CseB	Response regulator	0	124	6	472.877	-0.365	-1.309	8	shielded
SC_RS18910	SCO3359	cseC	two-component system sensor histidine kinase CseC	Sensor kinase	0	845	4	1036.835	0.045	-1.067	5	shielded
SC_RS18920	SCO3361		Lrp/AsnC family transcriptional regulator	Lrp	0	1740	1	35.226	-0.295	0.188	4	shielded
SC_RS18945	SCO3365		helix-turn-helix domain-containing protein	HTH (other)	0	236	2	235.232	3.42	3.744	4	shielded
SC_RS18960	SCO3367		TetR/AcrR family transcriptional regulator	TetR	0	310	3	208.917	-0.921	-0.819	2	shielded
SC_RS19010	SCO3377		BlaI/MecI/CopY family transcriptional regulator	Other regulatory	0	396	6	161.023	0.24	-0.575	3	shielded
SC_RS19070	SCO3389		response regulator	Response regulator	0	841	2	168.332	-1.573	-0.603	4	shielded
SC_RS19075	SCO3390		sensor histidine kinase	Sensor kinase	0	2112	0	500.76	-1.111	0.398	1	shielded
SC_RS19190	SCO3413		MerR family transcriptional regulator	MerR	0	27	3	353.724	-0.154	0.176	8	shielded
SC_RS19195	SCO3414		MarR family winged helix-turn-helix transcriptional regulator	MarR	0	501	3	180.812	-1.331	-1.379	7	shielded
SC_RS19220	SCO3419		PadR family transcriptional regulator	PadR	0	115	3	197.325	0.445	-0.333	7	shielded
SC_RS19230	SCO3421		helix-turn-helix domain-containing protein	HTH (other)	0	845	1	835.804	1.18	0.451	4	shielded
SC_RS19300	SCO3435		LysR family transcriptional regulator	LysR	0	517	4	77.608	-1.419	-0.616	5	shielded
SC_RS19360	SCO3447		Crp/Fnr family transcriptional regulator	CRP/FNR	0	1656	1	133.08	-0.732	-0.492	4	shielded
SC_RS19370	SCO3449		anti-sigma factor family protein	Sigma factor	0	2401	0	41.351	0.847	0.489	5	shielded
SC_RS19375	SCO3450		RNA polymerase sigma factor	Sigma factor	0	3006	0	121.822	0.621	-0.188	1	shielded
SC_RS19380	SCO3451		anti-sigma factor family protein	Sigma factor	0	3164	0	17.132	0.677	1.354	1	shielded
SC_RS19550	SCO3485		LacI family DNA-binding transcriptional regulator	LacI	0	3218	0	269.204	-0.786	-1.187	1	shielded
SC_RS19650	SCO3506		LacI family DNA-binding transcriptional regulator	LacI	0	396	1	246.331	-0.695	-0.972	5	shielded
SC_RS19730	SCO3522		ArsR/SmtB family transcription factor	ArsR	0	1742	1	30.944	0.499	1.092	0	shielded
SC_RS19815			helix-turn-helix domain-containing protein	HTH (other)	0	1485	3	165.952	1.175	-0.122	3	shielded
SC_RS19880	SCO3549	bldG	anti-sigma factor antagonist BldG	Sigma factor	0	2338	0	4491.199	1.534	0.546	3	shielded
SC_RS19990	SCO3571		Crp/Fnr family transcriptional regulator	CRP/FNR	0	551	2	1899.308	-0.221	-1.334	2	shielded
SC_RS20030	SCO3579	wblA	transcriptional regulator WblA	WhiB	0	552	5	5764.533	6.324	5.599	4	shielded
SC_RS20070	SCO3587		TetR/AcrR family transcriptional regulator	TetR	0	1585	1	15.801	-1.079	3.17	3	shielded
SC_RS20085	SCO3590	vanR-Sc	VanSc-type vancomycin resistance response regulator transcription factor VanR	Response regulator	0	785	3	72.188	0.175	1.009	5	shielded
SC_RS20135	SCO3600		helix-turn-helix domain-containing protein	HTH (other)	0	116	4	54.475	-2.032	-0.665	4	shielded
SC_RS20140	SCO3601		cation:proton antiporter regulatory subunit	Other regulatory	0	378	5	145.305	-2.405	-2.218	7	shielded
SC_RS20165	SCO3606		PucR family transcriptional regulator	Other regulatory	0	107	2	518.793	-1.65	-2.493	8	shielded
SC_RS20200	SCO3613		SigE family RNA polymerase sigma factor	Sigma factor	0	793	3	539.622	-1.124	-1.455	10	shielded
SC_RS20215	SCO3616		LysR substrate-binding domain-containing protein	LysR	0	564	3	252.317	1.008	-0.475	8	shielded
SC_RS20250	SCO3623		GntR family transcriptional regulator	GntR	0	85	3	94.299	-1.681	-1.335	10	shielded
SC_RS20265	SCO3626		sigma-70 family RNA polymerase sigma factor	Sigma factor	0	267	4	160.502	-1.625	-1.427	4	shielded
SC_RS20295	SCO3632		GbsR/MarR family transcriptional regulator	MarR	0	299	3	128.924	-1.252	-1.718	1	shielded
SC_RS20330	SCO3638		response regulator	Response regulator	0	177	3	79.07	0.156	-0.126	4	shielded
SC_RS20335	SCO3639		sensor histidine kinase	Sensor kinase	0	1238	2	163.67	-0.64	-0.565	5	shielded
SC_RS20340	SCO3640		response regulator	Response regulator	0	761	4	48.324	-0.026	0.163	4	shielded
SC_RS20345	SCO3641		sensor histidine kinase	Sensor kinase	0	112	4	142.101	-0.954	-0.702	3	shielded
SC_RS20405	SCO3653		response regulator transcription factor	Response regulator	0	982	2	93.965	1.651	1.364	4	shielded
SC_RS20410	SCO3654		sensor histidine kinase	Sensor kinase	0	175	2	44.97	0.318	1.882	0	shielded
SC_RS20455	SCO3664		helix-turn-helix domain-containing protein	HTH (other)	0	3346	0	461.022	-0.272	-1.41	2	shielded
SC_RS20460	SCO3665		helix-turn-helix transcriptional regulator	HTH (other)	0	4380	0	174.586	-0.513	-0.941	8	shielded
SC_RS20465	SCO3666		helix-turn-helix transcriptional regulator	HTH (other)	0	6363	0	282.544	-0.584	-0.754	5	shielded
SC_RS20475	SCO3668		heat shock protein transcriptional repressor HspR	Repressor	0	4681	0	640.353	-1.446	-1.714	3	shielded
SC_RS20605	SCO3694		MerR family transcriptional regulator	MerR	0	1367	2	19.674	0.173	1.224	7	shielded
SC_RS20615	SCO3696		ArsR/SmtB family transcription factor	ArsR	0	591	2	49.726	-0.148	0.163	5	shielded
