locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand
SC_RS28265	rsrA	SCO5217	mycothiol system anti-sigma-R factor	Anti-sigma	5675899	5676216	+
SC_RS28280		SCO5220	tetratricopeptide repeat protein	TetR	5679047	5680027	+
SC_RS28300		SCO5224	GlxA family transcriptional regulator	Other regulatory	5683497	5684465	-
SC_RS28335		SCO5231	GntR family transcriptional regulator	GntR	5691072	5691836	-
SC_RS28375		SCO5239	PAS domain-containing sensor histidine kinase	Sensor kinase	5700131	5701606	+
SC_RS28380		SCO5240	WhiB family transcriptional regulator	WhiB	5701855	5702112	-
SC_RS28395		SCO5243	RNA polymerase sigma factor SigF	Sigma factor	5704007	5705071	-
SC_RS28505		SCO5264	PadR family transcriptional regulator	PadR	5723633	5724715	-
SC_RS28560	fxsT	SCO5275	FxSxx-COOH system tetratricopeptide repeat protein	TetR	5738498	5741521	+
SC_RS28600		SCO5283	response regulator transcription factor	Response regulator	5755073	5755807	-
SC_RS28630		SCO5289	sensor histidine kinase	Sensor kinase	5762143	5765139	+
SC_RS28860		SCO5337	XRE family transcriptional regulator	XRE	5809921	5810652	-
SC_RS28935		SCO5351	response regulator	Response regulator	5818975	5819478	+
SC_RS28965	rho	SCO5357	transcription termination factor Rho	Other regulatory	5826214	5828298	+
SC_RS29100		SCO5384	TetR/AcrR family transcriptional regulator	TetR	5852346	5852987	+
SC_RS29195		SCO5403	response regulator transcription factor	Response regulator	5875298	5875966	+
SC_RS29205		SCO5405	MarR family winged helix-turn-helix transcriptional regulator	MarR	5877408	5877884	-
SC_RS29275		SCO5419	tetratricopeptide repeat protein	TetR	5888566	5889543	+
SC_RS29360		SCO5435	sensor histidine kinase	Sensor kinase	5908033	5909691	-
SC_RS29770		SCO5517	TetR/AcrR family transcriptional regulator	TetR	6010146	6010736	+
SC_RS29825		SCO5528	TetR/AcrR family transcriptional regulator	TetR	6022748	6023350	+
SC_RS29905		SCO5544	sensor histidine kinase	Sensor kinase	6040578	6044567	-
SC_RS29960		SCO5550	MerR family transcriptional regulator	MerR	6049735	6050379	-
SC_RS29970	ndgR	SCO5552	IclR family transcriptional regulator NdgR	IclR	6051099	6051815	-
SC_RS30020		SCO5561	Lrp/AsnC family transcriptional regulator	Lrp	6059732	6059965	-
SC_RS30085		SCO5574	winged helix-turn-helix transcriptional regulator	HTH (other)	6071764	6072168	-
SC_RS30130	nsdA	SCO5582	transcriptional repressor NsdA	Repressor	6084219	6085721	+
SC_RS30255		SCO5607	GntR family transcriptional regulator	GntR	6108427	6108660	+
SC_RS30335		SCO5622	TetR/AcrR family transcriptional regulator	TetR	6122014	6122571	+
SC_RS30370	fxsT	SCO5629	FxSxx-COOH system tetratricopeptide repeat protein	TetR	6128360	6131020	-
SC_RS30400		SCO5636	GntR family transcriptional regulator	GntR	6136289	6137068	-
SC_RS30495		SCO5656	Lrp/AsnC family transcriptional regulator	Lrp	6155449	6155964	-
SC_RS30605		SCO5678	PucR family transcriptional regulator	Other regulatory	6180444	6182102	+
SC_RS30675		SCO5692	LacI family DNA-binding transcriptional regulator	LacI	6200514	6201527	-
SC_RS30930	dapA	SCO5744	4-hydroxy-tetrahydrodipicolinate synthase	TetR	6266753	6267652	+
SC_RS30975		SCO5749	response regulator	Response regulator	6285256	6285930	+
SC_RS30985		SCO5751	helix-turn-helix domain-containing protein	HTH (other)	6289190	6290053	+
SC_RS31005		SCO5755	helix-turn-helix domain-containing protein	HTH (other)	6293066	6293446	+
SC_RS31020		SCO5758	ArsR/SmtB family transcription factor	ArsR	6294435	6294824	+
SC_RS31130		SCO5778	response regulator transcription factor	Response regulator	6315651	6316337	+
SC_RS31160		SCO5784	HAMP domain-containing sensor histidine kinase	Sensor kinase	6321291	6322367	+
SC_RS31255	lexA	SCO5803	transcriptional repressor LexA	Repressor	6345664	6346443	-
SC_RS31260	nrdR	SCO5804	transcriptional regulator NrdR	Other regulatory	6347027	6347575	+
SC_RS31340		SCO5820	RNA polymerase sigma factor	Sigma factor	6367665	6369200	+
SC_RS31445		SCO5840	GntR family transcriptional regulator	GntR	6393195	6393890	+
SC_RS31555		SCO5862	response regulator transcription factor	Response regulator	6419308	6419961	+
SC_RS31560		SCO5863	sensor histidine kinase	Sensor kinase	6419968	6421212	+
SC_RS31600		SCO5871	sensor histidine kinase	Sensor kinase	6426319	6428865	+
SC_RS31630		SCO5877	AfsR/SARP family transcriptional regulator	SARP	6432812	6433618	+
SC_RS31650		SCO5881	response regulator transcription factor	Response regulator	6438206	6438859	-
SC_RS31780		SCO5906	TetR/AcrR family transcriptional regulator	TetR	6473606	6474202	+
SC_RS31810		SCO5914	LysR substrate-binding domain-containing protein	LysR	6481608	6482600	-
SC_RS31920		SCO5934	RNA polymerase sigma factor	Sigma factor	6504108	6504752	+
SC_RS32230		SCO5998	helix-turn-helix domain-containing protein	HTH (other)	6573186	6574715	-
SC_RS32255		SCO6003	helix-turn-helix domain-containing protein	HTH (other)	6579213	6580073	-
SC_RS32280		SCO6008	ROK family transcriptional regulator	ROK	6588242	6589453	+
SC_RS32595	cprB	SCO6071	transcriptional regulator CprB	Other regulatory	6663344	6663991	+
SC_RS32840		SCO6119	helix-turn-helix transcriptional regulator	HTH (other)	6724307	6724990	+
SC_RS32850		SCO6121	TetR/AcrR family transcriptional regulator	TetR	6725692	6726270	-
SC_RS32895		SCO6129	helix-turn-helix domain-containing protein	HTH (other)	6730923	6731741	-
SC_RS32945		SCO6139	sensor histidine kinase	Sensor kinase	6740466	6741632	+
SC_RS32950		SCO6140	response regulator	Response regulator	6741629	6742288	+
SC_RS32970		SCO6144	TetR-like C-terminal domain-containing protein	TetR	6744201	6744770	-
SC_RS33045		SCO6159	GntR family transcriptional regulator	GntR	6761595	6762416	+
SC_RS33095		SCO6169	PucR family transcriptional regulator	Other regulatory	6771761	6773470	-
SC_RS33445	sigJ	SCO6239	RNA polymerase sigma factor SigJ	Sigma factor	6862307	6863275	-
SC_RS33480	allR	SCO6246	allantoin degradation transcriptional regulator AllR	Other regulatory	6868657	6869469	-
SC_RS33520		SCO6254	response regulator transcription factor	Response regulator	6876381	6877070	+
SC_RS33530		SCO6256	myo-inositol degradation transcriptional regulator	Other regulatory	6878304	6879041	+
SC_RS33575		SCO6265	ScbR family autoregulator-binding transcription factor	Other regulatory	6890528	6891175	-
SC_RS33650		SCO6280	AfsR/SARP family transcriptional regulator	SARP	6938024	6939643	+
SC_RS33680		SCO6286	ScbR family autoregulator-binding transcription factor	Other regulatory	6945705	6946379	-
SC_RS33720		SCO6294	GntR family transcriptional regulator	GntR	6953679	6954356	-
SC_RS33790		SCO6309	LysR family transcriptional regulator	LysR	6968600	6969571	+
SC_RS33805		SCO6312	ScbR family autoregulator-binding transcription factor	Other regulatory	6972028	6972675	-
SC_RS33845		SCO6323	ScbR family autoregulator-binding transcription factor	Other regulatory	6983231	6983887	-
SC_RS34005		SCO6358	BlaI/MecI/CopY family transcriptional regulator	Other regulatory	7019120	7019509	+
SC_RS34245		SCO6410	helix-turn-helix domain-containing protein	HTH (other)	7077312	7077563	+
SC_RS34435		SCO6448	AraC family transcriptional regulator	AraC	7132198	7133130	+
SC_RS34795		SCO6520	RNA polymerase sigma factor SigF	Sigma factor	7210082	7210882	+
SC_RS34880		SCO6537	helix-turn-helix domain-containing protein	HTH (other)	7231262	7232125	-
SC_RS35020		SCO6565	GntR family transcriptional regulator	GntR	7267256	7267933	+
SC_RS35195		SCO6599	TetR/AcrR family transcriptional regulator	TetR	7319193	7319846	-
SC_RS35300		SCO6620	MarR family winged helix-turn-helix transcriptional regulator	MarR	7340945	7341376	+
SC_RS35345		SCO6629	helix-turn-helix domain-containing protein	HTH (other)	7357519	7358352	+
SC_RS35560		SCO6675	helix-turn-helix domain-containing protein	HTH (other)	7415327	7415983	-
SC_RS35750		SCO6713	LacI family DNA-binding transcriptional regulator	LacI	7467726	7468784	+
SC_RS35760		SCO6715	WhiB family transcriptional regulator	WhiB	7469875	7470120	+
SC_RS35800	ssgD	SCO6722	spore wall synthesis regulator SsgD	Other regulatory	7477705	7478121	-
SC_RS35855		SCO6733	MerR family transcriptional regulator	MerR	7487571	7488326	-
SC_RS36075		SCO6778	TetR/AcrR family transcriptional regulator	TetR	7536362	7537048	-
SC_RS36100		SCO6784	TetR/AcrR family transcriptional regulator	TetR	7541642	7542313	-
SC_RS36140		SCO6792	TetR/AcrR family transcriptional regulator	TetR	7552594	7553190	+
SC_RS36230		SCO6808	ArsR/SmtB family transcription factor	ArsR	7570606	7570968	-
SC_RS36250		SCO6812	ArsR/SmtB family transcription factor	ArsR	7574420	7574779	+
SC_RS36305		SCO6823	ArsR/SmtB family transcription factor	ArsR	7588044	7588445	+
SC_RS36340		SCO6830	ArsR/SmtB family transcription factor	ArsR	7601654	7602007	+
SC_RS36370		SCO6836	ArsR/SmtB family transcription factor	ArsR	7606744	7607052	+
SC_RS36830		SCO6926	MmyB family transcriptional regulator	Other regulatory	7689750	7690454	+
SC_RS36955		SCO6950	helix-turn-helix domain-containing protein	HTH (other)	7713425	7714828	+
SC_RS37190		SCO6993	LuxR family transcriptional regulator AbsR2	Other regulatory	7760977	7762803	+
SC_RS37205		SCO6996	RNA polymerase sigma factor	Sigma factor	7767699	7768337	+
SC_RS37305		SCO7016	LacI family DNA-binding transcriptional regulator	LacI	7797371	7798381	-
SC_RS37350		SCO7025	LysR family transcriptional regulator	LysR	7811193	7812110	-
SC_RS37360		SCO7027	LacI family DNA-binding transcriptional regulator	LacI	7812783	7813832	-
SC_RS37435		SCO7042	MarR family winged helix-turn-helix transcriptional regulator	MarR	7834891	7835298	-
SC_RS37440		SCO7043	helix-turn-helix domain-containing protein	HTH (other)	7835428	7835715	+
SC_RS37480	rho	SCO7051	transcription termination factor Rho	Other regulatory	7841463	7842710	-
SC_RS37510		SCO7056	GntR family transcriptional regulator	GntR	7845511	7846272	-
SC_RS37535		SCO7061	MarR family winged helix-turn-helix transcriptional regulator	MarR	7849651	7850187	-
SC_RS37565		SCO7067	PadR family transcriptional regulator	PadR	7857217	7857768	+
SC_RS37660		SCO7086	MerR family transcriptional regulator	MerR	7873600	7873947	-
SC_RS37745		SCO7104	sigma-70 family RNA polymerase sigma factor family protein	Sigma factor	7894195	7895073	+
SC_RS37935		SCO7142	winged helix-turn-helix transcriptional regulator	HTH (other)	7936071	7936472	+
SC_RS37955		SCO7146	ArsR/SmtB family transcription factor	ArsR	7941058	7941408	+
SC_RS38175		SCO7192	sigma factor-like helix-turn-helix DNA-binding protein	Sigma factor	7995692	7996294	+
SC_RS38475		SCO7252	DNA-binding protein NsdB	Other regulatory	8062135	8063643	+
SC_RS38605		SCO7278	RNA polymerase sigma factor SigF	Sigma factor	8085400	8086287	-
SC_RS38730		SCO7303	TetR/AcrR family transcriptional regulator	TetR	8111024	8111647	+
SC_RS38785		SCO7314	SigB/SigF/SigG family RNA polymerase sigma factor	Sigma factor	8120541	8121440	+
SC_RS38950		SCO7347	TetR/AcrR family transcriptional regulator	TetR	8161308	8161964	+
SC_RS39260		SCO7411	LacI family DNA-binding transcriptional regulator	LacI	8225904	8226962	+
SC_RS39340	nsrR	SCO7427	nitric oxide-sensing transcriptional repressor NsrR	Repressor	8241835	8242281	+
SC_RS39370		SCO7433	LysR family transcriptional regulator	LysR	8246125	8247111	+
SC_RS39690		SCO7498	GntR family transcriptional regulator	GntR	8309894	8310544	-
SC_RS39710		SCO7502	LacI family DNA-binding transcriptional regulator	LacI	8314675	8315715	-
SC_RS39915		SCO7543	ROK family transcriptional regulator	ROK	8365625	8366890	+
SC_RS40010		SCO7562	IclR family transcriptional regulator	IclR	8385161	8385997	-
SC_RS40120		SCO7584	TetR/AcrR family transcriptional regulator	TetR	8409626	8410198	-
SC_RS40125		SCO7585	MerR family transcriptional regulator	MerR	8410259	8410624	-
SC_RS40390		SCO7639	MarR family winged helix-turn-helix transcriptional regulator	MarR	8468385	8468807	+
SC_RS40655		SCO7694	TetR/AcrR family transcriptional regulator	TetR	8531016	8531588	+
SC_RS40665		SCO7696	MarR family winged helix-turn-helix transcriptional regulator	MarR	8532086	8532541	+
SC_RS40675		SCO7698	MerR family transcriptional regulator	MerR	8534142	8535239	-
SC_RS40695		SCO7702	FadR/GntR family transcriptional regulator	GntR	8539362	8540072	+
SC_RS40730		SCO7709	MarR family winged helix-turn-helix transcriptional regulator	MarR	8545444	8545872	+
SC_RS40805		SCO7724	transcriptional regulator	Other regulatory	8558433	8559848	-
SC_RS40820		SCO7727	MarR family winged helix-turn-helix transcriptional regulator	MarR	8562591	8563058	-
SC_RS40895		SCO7742	MarR family winged helix-turn-helix transcriptional regulator	MarR	8577403	8577879	+
SC_RS40930		SCO7751	MarR family winged helix-turn-helix transcriptional regulator	MarR	8584661	8585167	+
SC_RS40940		SCO7753	helix-turn-helix transcriptional regulator	HTH (other)	8586108	8586491	-
SC_RS40985		SCO7765	MarR family winged helix-turn-helix transcriptional regulator	MarR	8595004	8595444	+
SC_RS40995		SCO7767	helix-turn-helix transcriptional regulator	HTH (other)	8596583	8597410	-
SC_RS41050		SCO7778	IclR family transcriptional regulator	IclR	8605797	8606564	+
SC_RS41060		SCO7780	helix-turn-helix domain-containing protein	HTH (other)	8607539	8608480	+
SC_RS41130		SCO7794	TetR/AcrR family transcriptional regulator C-terminal domain-containing protein	TetR	8618313	8618951	+
SC_RS41225		SCO7815	TetR/AcrR family transcriptional regulator	TetR	8634834	8635487	+
SC_RS41270		SCO7824	TetR/AcrR family transcriptional regulator	TetR	8643240	8643812	-
