locus_tag	gene_name	old_locus_tag	product	tf_family	tf_domains	n_tf_domains	start	end	strand
SC_RS10300			IclR family transcriptional regulator	HTH (other)	HTH_IclR	1	1776737	1777501	+
SC_RS10280			response regulator	LuxR	GerE;Response_reg	2	1769156	1769827	+
SC_RS10105			helix-turn-helix domain-containing protein	HTH (other)	HTH_3;HTH_31	2	1731316	1731885	-
SC_RS10090			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	1728427	1729404	-
SC_RS09420			transcriptional regulator BldD	HTH (other)	HTH_3;HTH_31	2	1592381	1592884	+
SC_RS09265			Lrp/AsnC family transcriptional regulator	Lrp	AsnC_trans_reg;HTH_24	2	1555656	1556108	-
SC_RS09210			ROK family transcriptional regulator	MarR	HTH_24;MarR_2	2	1543454	1544653	-
SC_RS09125			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	1526117	1526779	-
SC_RS09060			SCO1417 family PLP biosynthesis transcription factor	GntR	GntR	1	1512639	1514141	-
SC_RS08870			MerR family transcriptional regulator	MerR	MerR_1	1	1459887	1460573	-
SC_RS08845			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	4	1453090	1454160	+
SC_RS08815			response regulator	Sigma factor	GerE;Response_reg;Sigma70_r4_2	3	1447177	1447812	+
SC_RS08510			ArsR/SmtB family transcription factor	HTH (other)	HTH_20;HTH_5	2	1386707	1387066	-
SC_RS08495			AAA family ATPase	Sigma factor	Sigma54_activat	1	1382544	1383788	-
SC_RS08460			Lrp/AsnC family transcriptional regulator	MarR	AsnC_trans_reg;HTH_20;HTH_24;HTH_5;MarR;MarR_2	6	1374103	1374549	+
SC_RS08435			Lrp/AsnC family transcriptional regulator	Lrp	AsnC_trans_reg;HTH_24	2	1370221	1370712	+
SC_RS08275			RNA polymerase sigma-70 factor	Sigma factor	Sigma70_r2;Sigma70_r4;Sigma70_r4_2	3	1333824	1334711	-
SC_RS08265			ROK family transcriptional regulator	MarR	HTH_IclR;MarR_2	2	1331678	1332832	+
SC_RS08260			response regulator transcription factor	LuxR	GerE;Response_reg	2	1330916	1331578	+
SC_RS08165			helix-turn-helix domain-containing protein	HTH (other)	HTH_3;HTH_31	2	1313856	1314716	+
SC_RS08060			Lrp/AsnC family transcriptional regulator	Lrp	AsnC_trans_reg;HTH_24	2	1292195	1292698	+
SC_RS08055			LytR/AlgR family response regulator transcription factor	Response regulator	LytTR;Response_reg	2	1291356	1292117	-
SC_RS08005			TetR family transcriptional regulator	TetR	TetR_N	1	1281884	1282540	+
SC_RS07920			TetR/AcrR family transcriptional regulator	TetR	TetR_C_11;TetR_N	2	1265170	1265739	-
SC_RS07805			ROK family transcriptional regulator	MarR	MarR_2	1	1233319	1234527	+
SC_RS07630			response regulator	Response regulator	Response_reg	1	1193951	1194742	-
SC_RS07625			purine salvage operon transcriptional regulator XdhR	TetR	TetR_N	1	1193398	1193988	+
SC_RS07545			Lrp/AsnC family transcriptional regulator	Lrp	AsnC_trans_reg;HTH_24	2	1177797	1178273	+
SC_RS07490			ArsR/SmtB family transcription factor	HTH (other)	HTH_20	1	1165403	1165774	-
SC_RS07470			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	1161710	1162411	+
SC_RS07425			TetR/AcrR family transcriptional regulator	TetR	TetR_C_13;TetR_C_6;TetR_N	3	1152798	1153376	+
SC_RS07345			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	4	1138315	1139391	+
SC_RS07285			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	4	1126535	1127557	+
SC_RS07085			DeoR/GlpR family DNA-binding transcription regulator	DeoR	DeoRC;HTH_11;HTH_DeoR	3	1084395	1085219	+
SC_RS06975			TetR/AcrR family transcriptional regulator	TetR	TetR_C_11;TetR_N	2	1058377	1058961	+
SC_RS06660			sigma-70 family RNA polymerase sigma factor	Sigma factor	Sigma70_ECF;Sigma70_r2;Sigma70_r4;Sigma70_r4_2	4	988130	988684	+
SC_RS06585			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	973388	974224	+
SC_RS06575			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	971392	972276	+
SC_RS06415			sigma-70 family RNA polymerase sigma factor	Sigma factor	Sigma70_r1_2;Sigma70_r2;Sigma70_r3;Sigma70_r4	4	941071	942090	-
SC_RS06380			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	934332	935237	-
SC_RS06310			helix-turn-helix transcriptional regulator	LuxR	GerE	1	922247	924913	+
SC_RS06280			response regulator	Response regulator	Response_reg	1	916336	916785	-
SC_RS06130			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR;MarR_2	2	888194	888700	-
SC_RS06045			GntR family transcriptional regulator	GntR	GntR	1	872193	872633	+
SC_RS06040			helix-turn-helix transcriptional regulator	HTH (other)	HTH_22	1	871406	872086	-
SC_RS05970			rhamnose ABC transporter substrate-binding protein	Other regulatory	Peripla_BP_1;Peripla_BP_4	2	854802	855884	-
SC_RS05960			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	4	853340	854365	-
SC_RS05930			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	846917	847525	-
SC_RS05790			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	821295	821873	+
SC_RS05600			ROK family transcriptional regulator	MarR	MarR_2	1	776554	777720	-
SC_RS05265			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	709071	709688	+
SC_RS04925			RNA polymerase sigma factor SigF	Sigma factor	Sigma70_r2;Sigma70_r3;Sigma70_r4;Sigma70_r4_2	4	639859	640704	+
SC_RS04795			IclR family transcriptional regulator	HTH (other)	HTH_IclR	1	616253	617086	+
SC_RS04565			GntR family transcriptional regulator	GntR	GntR	1	561731	562576	-
SC_RS04515			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	553277	553861	+
SC_RS04345			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	504854	505465	+
SC_RS04060			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	447245	447868	+
SC_RS04015			response regulator transcription factor	Sigma factor	GerE;Response_reg;Sigma70_r4_2	3	438329	439000	-
SC_RS03980			RNA polymerase sigma factor SigJ	Sigma factor	Sigma70_r2;Sigma70_r4_2	2	432617	433513	-
SC_RS03890			DUF4910 domain-containing protein	HTH (other)	HTH_47	1	416964	418247	+
SC_RS03695			FadR/GntR family transcriptional regulator	GntR	FCD;GntR	2	361759	362508	-
SC_RS03430			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	297515	298108	-
SC_RS03400			TetR/AcrR family transcriptional regulator	TetR	TetR_C_11;TetR_N	2	290584	291165	+
SC_RS03110			helix-turn-helix transcriptional regulator	HTH (other)	HTH_3;HTH_31	2	224404	225276	-
SC_RS03080			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	220150	220764	+
SC_RS02915			MerR family transcriptional regulator	MerR	MerR;MerR_1	2	183793	184797	-
SC_RS02750			helix-turn-helix domain-containing protein	HTH (other)	HTH_3;HTH_31	2	149508	150209	-
SC_RS02735			TetR/AcrR family transcriptional regulator	TetR	TetR_C_13;TetR_N	2	145499	146122	+
SC_RS02705			helix-turn-helix domain-containing protein	HTH (other)	HTH_26;HTH_3;HTH_31	3	139467	139712	+
SC_RS31555			response regulator transcription factor	Response regulator	Response_reg;Trans_reg_C	2	6419308	6419961	+
SC_RS18745			helix-turn-helix domain-containing protein	HTH (other)	HTH_17	1	3680056	3680268	-
SC_RS16875			sigma-70 family RNA polymerase sigma factor	Sigma factor	Sigma70_ECF;Sigma70_r2;Sigma70_r4;Sigma70_r4_2	4	3212154	3212678	-
SC_RS02040			GntR family transcriptional regulator	GntR	GntR	1	26665	27462	+
SC_RS02260			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR;MarR_2	2	37614	38768	-
SC_RS30425			IS481-like element IS1649 family transposase	HTH (other)	HTH_23;HTH_28;HTH_32	3	6139887	6140843	-
SC_RS02530			helix-turn-helix transcriptional regulator	HTH (other)	HTH_31	1	90951	91790	-
SC_RS02550			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	94306	94872	-
SC_RS02625			helix-turn-helix transcriptional regulator	LuxR	GerE	1	122743	125502	+
SC_RS02660			MerR family transcriptional regulator	MerR	MerR;MerR_1	2	132693	133520	+
SC_RS02920			sigma-70 family RNA polymerase sigma factor	Sigma factor	Sigma70_r2;Sigma70_r4;Sigma70_r4_2	3	184958	185566	+
SC_RS02970			response regulator	Sigma factor	GerE;Response_reg;Sigma70_r4;Sigma70_r4_2	4	194760	195461	-
SC_RS03095			helix-turn-helix transcriptional regulator	HTH (other)	HTH_3;HTH_31	2	221699	222538	-
SC_RS03135			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	229995	230669	+
SC_RS03175			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	239858	240523	+
SC_RS03230			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	250805	251740	+
SC_RS03240			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR;MarR_2	2	252946	253398	+
SC_RS03295			ROK family transcriptional regulator	MarR	HTH_IclR;MarR_2	2	266356	267513	+
SC_RS03355			AraC-like ligand-binding domain-containing protein	AraC	AraC_binding_2;HTH_18;HTH_AraC	3	279691	280695	+
SC_RS03365			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	4	281129	282157	-
SC_RS03410			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	292656	293519	-
SC_RS03450			helix-turn-helix domain-containing protein	HTH (other)	HTH_3;HTH_31	2	303084	303971	+
SC_RS03495			PucR family transcriptional regulator	HTH (other)	HTH_30	1	315254	316921	-
SC_RS03575			TetR/AcrR family transcriptional regulator	TetR	TetR_C_11;TetR_N	2	333529	334149	+
SC_RS03600			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	340752	341318	+
SC_RS03635			IclR family transcriptional regulator	HTH (other)	HTH_IclR	1	349419	350201	-
SC_RS41160			IS481-like element IS1649 family transposase	HTH (other)	HTH_23;HTH_28;HTH_32	3	8623230	8624186	+
SC_RS03790			helix-turn-helix domain-containing protein	HTH (other)	HTH_19;HTH_26;HTH_3;HTH_31	4	391232	391834	+
SC_RS03945			MerR family transcriptional regulator	MerR	MerR;MerR_1	2	427610	428614	+
SC_RS04050			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	445611	446144	+
SC_RS04075			helix-turn-helix domain-containing protein	LuxR	GerE	1	453370	454374	+
SC_RS04145			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR;MarR_2	2	465990	466436	+
SC_RS04160			rhamnose ABC transporter substrate-binding protein	Other regulatory	Peripla_BP_1;Peripla_BP_4	2	468153	469232	+
SC_RS04195			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	4	475628	476671	+
SC_RS04245			GlxA family transcriptional regulator	HTH (other)	HTH_18;HTH_AraC	2	487618	488601	+
SC_RS04270			helix-turn-helix domain-containing protein	HTH (other)	HTH_18;HTH_AraC	2	491901	492881	+
SC_RS04355			MarR family winged helix-turn-helix transcriptional regulator	MarR	HTH_27;HTH_IclR;MarR;MarR_2	4	506842	507348	+
SC_RS04460			acyl-CoA-like ligand-binding transcription factor	TetR	TetR_N	1	543545	544087	+
SC_RS04480			TetR/AcrR family transcriptional regulator	TetR	TetR_C_13;TetR_N	2	547135	547743	-
SC_RS04520			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	553892	554473	+
SC_RS04530			Lrp/AsnC family transcriptional regulator	Lrp	AsnC_trans_reg;HTH_24	2	555468	555905	-
SC_RS04705			MerR family transcriptional regulator	MerR	MerR;MerR_1	2	598747	599769	+
SC_RS04835			FadR/GntR family transcriptional regulator	GntR	FCD;GntR	2	624273	625034	+
SC_RS04870			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	631216	632103	-
SC_RS04950			GlxA family transcriptional regulator	HTH (other)	HTH_18;HTH_AraC	2	645297	646232	+
SC_RS04975			GntR family transcriptional regulator	GntR	GntR	1	649840	650610	+
SC_RS05030			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	662373	663014	+
SC_RS05065			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3	3	671618	672727	-
SC_RS05075			sigma-70 family RNA polymerase sigma factor	Sigma factor	Sigma70_r2;Sigma70_r4;Sigma70_r4_2	3	673733	674317	+
SC_RS05150			TetR/AcrR family transcriptional regulator	TetR	TetR_C_11;TetR_N	2	688679	689263	+
SC_RS05215			substrate-binding domain-containing protein	HTH (other)	HTH_11;HTH_DeoR;Peripla_BP_1;Peripla_BP_3	4	696248	697354	+
SC_RS05480			PucR family transcriptional regulator	HTH (other)	HTH_30	1	751917	753197	-
SC_RS05485			helix-turn-helix transcriptional regulator	LuxR	GerE	1	753318	756143	-
SC_RS05570			TetR family transcriptional regulator	TetR	TetR_N	1	771628	772362	+
SC_RS05655			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	786984	787643	-
SC_RS05945			RNA polymerase sigma factor SigJ	Sigma factor	Sigma70_r2;Sigma70_r4_2	2	850100	851074	-
SC_RS06250			sigma-70 family RNA polymerase sigma factor	Sigma factor	Sigma70_r2;Sigma70_r4_2	2	911343	911939	-
SC_RS06260			sigma-70 family RNA polymerase sigma factor	Sigma factor	Sigma70_ECF;Sigma70_r2;Sigma70_r4;Sigma70_r4_2	4	912931	913572	-
SC_RS06300			ArsR/SmtB family transcription factor	MarR	HTH_20;HTH_5;MarR_2	3	921420	921755	-
SC_RS06365			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_3	2	931757	932791	-
SC_RS06370			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	932864	933568	-
SC_RS06395			helix-turn-helix transcriptional regulator	HTH (other)	HTH_3;HTH_31	2	936431	937270	+
SC_RS06435			AfsR/SARP family transcriptional regulator	SARP	BTAD;Trans_reg_C	2	943851	945833	-
SC_RS06650			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR_2	1	986247	986720	+
SC_RS06715			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3	3	1002624	1003673	+
SC_RS06810			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	1023053	1023964	+
SC_RS06865			short-chain fatty acyl-CoA regulator family protein	HTH (other)	HTH_19;HTH_3;HTH_31	3	1031976	1033445	-
SC_RS07015			helix-turn-helix domain-containing protein	HTH (other)	HTH_30	1	1066337	1068241	-
SC_RS07170			DeoR/GlpR family DNA-binding transcription regulator	DeoR	DeoRC;HTH_DeoR	2	1099030	1099809	+
SC_RS07215			helix-turn-helix domain-containing protein	HTH (other)	HTH_30	1	1108110	1108778	-
SC_RS07310			response regulator transcription factor	Sigma factor	GerE;Response_reg;Sigma70_r4_2	3	1130429	1131094	-
SC_RS07440			MarR family winged helix-turn-helix transcriptional regulator	MarR	HTH_24;HTH_27;MarR;MarR_2	4	1155717	1156292	-
SC_RS07560			LysR substrate-binding domain-containing protein	LysR	LysR_substrate	1	1179956	1180792	-
SC_RS07675			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR;MarR_2	2	1204428	1204889	+
SC_RS07855			DNA polymerase III subunit beta family protein	MerR	MerR;MerR_1	2	1243639	1244799	+
SC_RS07885			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	4	1258218	1259243	+
SC_RS07910			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR;MarR_2	2	1264183	1264656	-
SC_RS07955			helix-turn-helix domain-containing protein	HTH (other)	HTH_19;HTH_26;HTH_3;HTH_31	4	1271991	1272566	-
SC_RS07995			cupin domain-containing protein	AraC	AraC_binding	1	1279957	1280490	+
SC_RS08270			GntR family transcriptional regulator	GntR	GntR	1	1332872	1333633	-
SC_RS08340			RNA polymerase sigma factor	Sigma factor	Sigma70_r2;Sigma70_r4_2	2	1346693	1347289	+
SC_RS08405			MocR-like pyridoxine biosynthesis transcription factor PdxR	GntR	GntR	1	1359896	1361419	+
SC_RS08755			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	1435312	1436223	-
SC_RS08765			aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	GntR	GntR	1	1437760	1439097	-
SC_RS08795			PadR family transcriptional regulator	PadR	PadR	1	1443255	1443908	-
SC_RS08880			transcriptional regulator FtsR	MerR	MerR;MerR_1	2	1461293	1462033	-
SC_RS09025			GntR family transcriptional regulator	GntR	FCD;GntR	2	1504428	1505123	-
SC_RS10080			FadR/GntR family transcriptional regulator	GntR	FCD;GntR;HTH_Crp_2	3	1726192	1726902	+
SC_RS10405			FadR/GntR family transcriptional regulator	GntR	FCD;GntR	2	1797723	1798424	-
SC_RS10530			ArsR/SmtB family transcription factor	MarR	HTH_20;HTH_5;MarR_2	3	1822505	1823218	+
SC_RS10900			PucR family transcriptional regulator	HTH (other)	HTH_30	1	1901295	1902941	+
SC_RS11410			SigE family RNA polymerase sigma factor	Sigma factor	Sigma70_r2;Sigma70_r4;Sigma70_r4_2	3	2009469	2010041	+
SC_RS11480			GntR family transcriptional regulator	GntR	FCD;GntR	2	2024747	2025415	-
SC_RS11810			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	4	2091825	2092931	+
SC_RS12540			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	2257287	2257916	+
SC_RS13095			winged helix-turn-helix domain-containing protein	Other regulatory	Trans_reg_C	1	2376676	2377257	+
SC_RS13110			response regulator transcription factor	LuxR	GerE;Response_reg	2	2379677	2380330	+
SC_RS13245			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	2412355	2412933	+
SC_RS13290			helix-turn-helix domain-containing protein	HTH (other)	HTH_31	1	2419629	2420483	-
SC_RS13500			AraC family transcriptional regulator	AraC	AraC_binding;HTH_18;HTH_AraC	3	2464222	2465058	-
SC_RS13505			MerR family transcriptional regulator	MerR	MerR;MerR_1	2	2465169	2465930	+
SC_RS13570			response regulator transcription factor	LuxR	GerE;HTH_23;Response_reg	3	2477055	2477687	+
SC_RS13685			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR_2	1	2501284	2501697	-
SC_RS13905			TetR family transcriptional regulator	TetR	TetR_N	1	2544733	2545416	+
SC_RS13940			helix-turn-helix domain-containing protein	HTH (other)	HTH_31	1	2550901	2551737	+
SC_RS13965			fatty acid biosynthesis transcriptional regulator FasR	HTH (other)	HTH_30	1	2558045	2559250	+
SC_RS14025			MarR family winged helix-turn-helix transcriptional regulator	MarR	HTH_27;MarR;MarR_2	3	2570030	2570485	+
SC_RS14285			SAV_2336 N-terminal domain-related protein	SARP	BTAD	1	2632795	2636844	+
SC_RS14615			helix-turn-helix domain-containing protein	HTH (other)	HTH_3;HTH_31	2	2709485	2710318	+
SC_RS14770			IclR family transcriptional regulator	MarR	HTH_IclR;MarR_2	2	2742662	2743459	+
SC_RS15295			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	2876450	2877352	-
SC_RS15310			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR;MarR_2	2	2879447	2879965	+
SC_RS15795			RNA polymerase sigma-70 factor	Sigma factor	Sigma70_r2;Sigma70_r4;Sigma70_r4_2	3	2988198	2989145	-
SC_RS15870			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	3003658	3004599	+
SC_RS15960			SACE_7040 family transcriptional regulator	TetR	TetR_N	1	3026790	3027416	-
SC_RS16045			helix-turn-helix domain-containing protein	HTH (other)	HTH_18;HTH_AraC	2	3047135	3048331	+
SC_RS16305			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	3101313	3102206	+
SC_RS16420			helix-turn-helix domain-containing protein	HTH (other)	HTH_3;HTH_31	2	3122091	3122933	+
SC_RS16445			helix-turn-helix domain-containing protein	HTH (other)	HTH_19;HTH_3;HTH_31	3	3124417	3125262	+
SC_RS16740			Lrp/AsnC family transcriptional regulator	Lrp	AsnC_trans_reg;HTH_24	2	3179891	3180382	+
SC_RS16890			uroporphyrinogen-III synthase	Other regulatory	Trans_reg_C	1	3215125	3216312	-
SC_RS16920			LysR family transcriptional regulator StgR	LysR	HTH_1;LysR_substrate	2	3224084	3225055	-
SC_RS17040			MarR family winged helix-turn-helix transcriptional regulator	MarR	HTH_27;MarR;MarR_2	3	3257116	3257622	+
SC_RS17490			MurR/RpiR family transcriptional regulator	HTH (other)	HTH_6	1	3368495	3369364	-
SC_RS17830			helix-turn-helix transcriptional regulator	LuxR	GerE;Response_reg	2	3442302	3442976	-
SC_RS18115			helix-turn-helix transcriptional regulator	HTH (other)	HTH_11	1	3507970	3508941	+
SC_RS18120			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	3509244	3509954	-
SC_RS18140			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR;MarR_2	2	3513024	3513515	+
SC_RS18160			IclR family transcriptional regulator domain-containing protein	HTH (other)	HTH_IclR	1	3517633	3519207	+
SC_RS18200			AfsR/SARP family transcriptional regulator	SARP	BTAD;Trans_reg_C	2	3529272	3531188	+
SC_RS18245			two component system response regulator	LuxR	GerE;Response_reg	2	3538679	3539347	+
SC_RS18375			helix-turn-helix domain-containing protein	HTH (other)	HTH_17	1	3603907	3604107	-
SC_RS18415			GntR family transcriptional regulator	GntR	GntR	1	3608916	3609695	-
SC_RS18440			GntR family transcriptional regulator	GntR	GntR	1	3613628	3614359	-
SC_RS18455			GntR family transcriptional regulator	GntR	GntR	1	3615480	3616235	+
SC_RS18650			helix-turn-helix domain-containing protein	HTH (other)	HTH_31	1	3659641	3661035	-
SC_RS18945			helix-turn-helix domain-containing protein	HTH (other)	HTH_31	1	3722414	3723256	-
SC_RS19060			DUF5937 family protein	HTH (other)	HTH_20;HTH_5	2	3750688	3751794	+
SC_RS19220			PadR family transcriptional regulator	PadR	PadR	1	3784717	3785358	-
SC_RS19300			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	3796515	3797402	+
SC_RS19730			ArsR/SmtB family transcription factor	MarR	HTH_20;HTH_5;MarR_2	3	3890457	3890792	-
SC_RS20085			VanSc-type vancomycin resistance response regulator transcription factor VanR	Response regulator	Response_reg;Trans_reg_C	2	3967922	3968617	-
SC_RS20265			sigma-70 family RNA polymerase sigma factor	Sigma factor	Sigma70_r2;Sigma70_r4_2	2	4004960	4005844	-
SC_RS20405			response regulator transcription factor	Sigma factor	GerE;Response_reg;Sigma70_r4;Sigma70_r4_2	4	4031299	4032045	-
SC_RS20460			helix-turn-helix transcriptional regulator	LuxR	GerE	1	4044998	4045981	+
SC_RS20965			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	4142257	4142994	-
SC_RS20985			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	4147062	4148024	+
SC_RS21145			GlxA family transcriptional regulator	HTH (other)	HTH_18;HTH_AraC	2	4183789	4184793	+
SC_RS21215			response regulator	Sigma factor	GerE;Response_reg;Sigma70_r4_2	3	4197520	4198176	+
SC_RS21460			GntR family transcriptional regulator	GntR	GntR;HTH_41	2	4248804	4249592	+
SC_RS21605			RNA polymerase sigma factor SigM	Sigma factor	Sigma70_ECF;Sigma70_r2;Sigma70_r4;Sigma70_r4_2	4	4282577	4283287	-
SC_RS21740			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	4314389	4315294	-
SC_RS21770			IclR family transcriptional regulator	HTH (other)	HTH_IclR	1	4318648	4319373	+
SC_RS21805			GntR family transcriptional regulator	GntR	GntR	1	4327576	4328355	-
SC_RS22050			GntR family transcriptional regulator	GntR	GntR	1	4383616	4384371	-
SC_RS22070			GntR family transcriptional regulator	GntR	GntR	1	4385486	4386217	+
SC_RS22150			TetR family transcriptional regulator	TetR	TetR_N	1	4401679	4402257	+
SC_RS22205			metal-dependent transcriptional regulator	Fur/DtxR	Fe_dep_repr_C	1	4413017	4413733	-
SC_RS22215			GntR family transcriptional regulator	GntR	FCD;GntR	2	4414377	4415069	+
SC_RS22245			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	4422721	4423479	+
SC_RS22280			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR;MarR_2	2	4429662	4430162	-
SC_RS22295			RNA polymerase sigma factor SigF	Sigma factor	HTH_23;Sigma70_r2;Sigma70_r3;Sigma70_r4;Sigma70_r4_2	5	4431932	4432795	-
SC_RS22545			ArsR/SmtB family transcription factor	HTH (other)	HTH_20	1	4474926	4475408	+
SC_RS22660			TetR/AcrR family transcriptional regulator	TetR	TetR_C_11;TetR_N	2	4499009	4499689	+
SC_RS22675			MerR family transcriptional regulator	MerR	MerR;MerR_1	2	4500505	4501464	-
SC_RS22755			sigma-70 family RNA polymerase sigma factor	Sigma factor	Sigma70_r2	1	4521256	4523319	-
SC_RS22760			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	4523502	4524395	-
SC_RS22800			response regulator	Sigma factor	GerE;Response_reg;Sigma70_r4_2	3	4535862	4536530	-
SC_RS22920			RNA polymerase sigma factor	Sigma factor	Sigma70_r2;Sigma70_r4;Sigma70_r4_2	3	4563131	4563673	+
SC_RS22970			response regulator transcription factor	Response regulator	Response_reg;Trans_reg_C	2	4573113	4573859	-
SC_RS22985			two-component system response regulator GlnR	Other regulatory	Trans_reg_C	1	4576177	4576980	-
SC_RS23125			FadR/GntR family transcriptional regulator	GntR	GntR	1	4597379	4598290	+
SC_RS23175			helix-turn-helix domain-containing protein	HTH (other)	HTH_19;HTH_25;HTH_3;HTH_31	4	4607362	4607787	+
SC_RS23215			AraC family transcriptional regulator	AraC	AraC_binding;HTH_18;HTH_AraC	3	4615154	4615969	-
SC_RS23260			GntR family transcriptional regulator	GntR	GntR	1	4623766	4624524	+
SC_RS23495			helix-turn-helix transcriptional regulator	LuxR	GerE	1	4674563	4675222	-
SC_RS23500			helix-turn-helix transcriptional regulator	LuxR	GerE	1	4675583	4679338	+
SC_RS23535			TetR family transcriptional regulator	TetR	TetR_N	1	4685643	4686242	-
SC_RS23565			response regulator	LuxR	GerE;Response_reg	2	4692106	4692777	+
SC_RS23690			helix-turn-helix domain-containing protein	HTH (other)	HTH_3;HTH_31	2	4716256	4717095	-
SC_RS23710			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	4719080	4719673	-
SC_RS23960			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	4772215	4773021	-
SC_RS23985			response regulator transcription factor	Sigma factor	GerE;Response_reg;Sigma70_r4_2	3	4776850	4777530	+
SC_RS24295			transcriptional regulator AfsR	SARP	BTAD;Trans_reg_C	2	4842787	4845768	-
SC_RS24335			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	4853069	4853965	+
SC_RS24380			MerR family transcriptional regulator	MerR	MerR;MerR_1	2	4864966	4865850	-
SC_RS24390			ArsR/SmtB family transcription factor	HTH (other)	HTH_20	1	4866642	4867625	-
SC_RS24415			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	4872011	4872658	+
SC_RS24425			RNA polymerase sigma factor	Sigma factor	Sigma70_r2;Sigma70_r4_2	2	4874365	4875516	-
SC_RS24470			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	4882032	4882589	-
SC_RS24545			MerR family transcriptional regulator	MerR	MerR;MerR_1	2	4896795	4897511	-
