gene_id	old_locus_tag	gene_name	gene_biotype	contig	start	end	strand	product	protein_id	ontology_term
SC_RS14590	SCO2508		protein_coding	NC_003888.3	2706801	2707220	+	Fur family transcriptional regulator	WP_007449657.1	GO:0006355,GO:0003677,GO:0003700,GO:0046872
SC_RS14595	SCO2509		protein_coding	NC_003888.3	2707331	2708164	-	isoprenyl transferase	WP_003976293.1	GO:0016765
SC_RS14600	SCO2510	recO	protein_coding	NC_003888.3	2708177	2708923	-	DNA repair protein RecO	WP_030863758.1	GO:0006281,GO:0006310,GO:0003677
SC_RS14605	SCO2511		protein_coding	NC_003888.3	2708946	2709167	-	hypothetical protein	WP_011028395.1	
SC_RS14610	SCO2512		protein_coding	NC_003888.3	2709164	2709370	-	hypothetical protein	WP_011028396.1	
SC_RS14615	SCO2513		protein_coding	NC_003888.3	2709485	2710318	+	helix-turn-helix domain-containing protein	WP_011028397.1	GO:0003677
SC_RS14620	SCO2514		protein_coding	NC_003888.3	2710300	2710590	+	DUF397 domain-containing protein	WP_003976289.1	
SC_RS14625	SCO2515		protein_coding	NC_003888.3	2710619	2711158	+	lipoprotein	WP_011028398.1	
SC_RS14630	SCO2516		protein_coding	NC_003888.3	2711253	2712752	+	alpha/beta hydrolase	WP_011028399.1	GO:0016787
SC_RS14635	SCO2517		protein_coding	NC_003888.3	2712740	2713435	-	response regulator	WP_003976286.1	GO:0000160
SC_RS14640	SCO2518		protein_coding	NC_003888.3	2713432	2714709	-	sensor histidine kinase	WP_003976285.1	GO:0007165,GO:0000155,GO:0004673,GO:0005524
SC_RS14645	SCO2519		protein_coding	NC_003888.3	2714777	2716855	-	MMPL family transporter	WP_011028402.1	GO:0005215,GO:0016020
SC_RS14650	SCO2520		protein_coding	NC_003888.3	2717003	2718136	-	hypothetical protein	WP_003976283.1	
SC_RS14655	SCO2521		protein_coding	NC_003888.3	2718235	2719215	-	SCO2521 family protein	WP_011028403.1	
SC_RS14660	SCO2522		protein_coding	NC_003888.3	2719217	2720182	-	SCO2522 family protein	WP_030863739.1	
SC_RS14665	SCO2523		protein_coding	NC_003888.3	2720179	2721096	-	SCO2523 family variant P-loop protein	WP_003976280.1	
SC_RS14670	SCO2524		protein_coding	NC_003888.3	2721099	2722943	-	SCO2524 family protein	WP_011028405.1	
SC_RS14675	SCO2525		protein_coding	NC_003888.3	2723027	2723800	-	SCO2525 family SAM-dependent methyltransferase	WP_003976278.1	
SC_RS14680	SCO2526		protein_coding	NC_003888.3	2724049	2724603	+	GNAT family N-acetyltransferase	WP_011028406.1	GO:0008080,GO:0016746
SC_RS14685	SCO2527		protein_coding	NC_003888.3	2724600	2725295	-	TerB family tellurite resistance protein	WP_011028407.1	
SC_RS14690	SCO2528	leuA	protein_coding	NC_003888.3	2725480	2727201	-	2-isopropylmalate synthase	WP_003976275.1	GO:0009098,GO:0003852
SC_RS14695	SCO2529		protein_coding	NC_003888.3	2727564	2728634	+	M4 family metallopeptidase	WP_011028408.1	GO:0006508,GO:0004222,GO:0008270
SC_RS14700	SCO2530		protein_coding	NC_003888.3	2728656	2728922	+	protealysin inhibitor emfourin	WP_003976273.1	
SC_RS14705	SCO2531		protein_coding	NC_003888.3	2728980	2730326	+	GH1 family beta-glucosidase	WP_011028409.1	GO:0030245,GO:0008422
SC_RS14710	SCO2532		protein_coding	NC_003888.3	2730432	2731511	+	PhoH family protein	WP_003976271.1	GO:0005524
SC_RS14715	SCO2533	ybeY	protein_coding	NC_003888.3	2731524	2732021	+	rRNA maturation RNase YbeY	WP_003976270.1	GO:0042254,GO:0004540,GO:0046872
SC_RS14720	SCO2534		protein_coding	NC_003888.3	2732018	2733322	+	hemolysin family protein	WP_011028410.1	GO:0005886,GO:0016020
SC_RS14725	SCO2535		protein_coding	NC_003888.3	2733319	2733693	+	MmcQ/YjbR family DNA-binding protein	WP_011028411.1	GO:0003677
SC_RS14730	SCO2536		protein_coding	NC_003888.3	2733655	2735148	-	MFS transporter	WP_161270037.1	GO:0055085,GO:0022857,GO:0016020
SC_RS14735	SCO2537		protein_coding	NC_003888.3	2735252	2736145	+	helix-turn-helix transcriptional regulator	WP_003976266.1	GO:0003677
SC_RS14740	SCO2538		protein_coding	NC_003888.3	2736184	2736540	+	cytidine deaminase	WP_003976265.1	
SC_RS14745	SCO2539	era	protein_coding	NC_003888.3	2736606	2737559	+	GTPase Era	WP_016326176.1	GO:0003723,GO:0005525
SC_RS14750	SCO2540		protein_coding	NC_003888.3	2737582	2738718	-	carbohydrate kinase family protein	WP_003976263.1	GO:0005975,GO:0016310,GO:0005524,GO:0016301,GO:0016773,GO:0019200,GO:0005829
SC_RS14755	SCO2541		protein_coding	NC_003888.3	2738852	2740222	-	MFS transporter	WP_011028416.1	GO:0055085,GO:0022857
SC_RS14760	SCO2542		protein_coding	NC_003888.3	2740287	2741582	-	glucarate dehydratase family protein	WP_011028417.1	
SC_RS14765	SCO2543		protein_coding	NC_003888.3	2741579	2742547	-	5-dehydro-4-deoxyglucarate dehydratase	WP_011028418.1	
SC_RS14770	SCO2544		protein_coding	NC_003888.3	2742662	2743459	+	IclR family transcriptional regulator	WP_011028419.1	GO:0006355,GO:0003677,GO:0003700
SC_RS14775	SCO2545		protein_coding	NC_003888.3	2743633	2744982	+	MFS transporter	WP_011028420.1	GO:0055085,GO:0022857
SC_RS14780	SCO2546		protein_coding	NC_003888.3	2745002	2746000	-	adenosine deaminase	WP_161270038.1	GO:0006146,GO:0000034
SC_RS14785	SCO2547		protein_coding	NC_003888.3	2746021	2746926	-	ribonuclease Z	WP_011028422.1	
SC_RS14790	SCO2548		protein_coding	NC_003888.3	2746955	2747308	-	histidine triad nucleotide-binding protein	WP_003976256.1	
SC_RS14795	SCO2549		protein_coding	NC_003888.3	2747664	2750867	-	S41 family peptidase	WP_011028423.1	GO:0006508,GO:0005515,GO:0008236
SC_RS14800	SCO2550		protein_coding	NC_003888.3	2750935	2751423	-	hypothetical protein	WP_016326181.1	
SC_RS14805	SCO2551		protein_coding	NC_003888.3	2751523	2751900	+	hypothetical protein	WP_234308106.1	
SC_RS14810	SCO2552		protein_coding	NC_003888.3	2751941	2752690	-	16S rRNA (uracil(1498)-N(3))-methyltransferase	WP_003976252.1	GO:0006364,GO:0008168
SC_RS14815	SCO2553		protein_coding	NC_003888.3	2752687	2753781	-	nitronate monooxygenase	WP_003976251.1	GO:0018580
SC_RS14820	SCO2554	dnaJ	protein_coding	NC_003888.3	2753870	2755006	-	molecular chaperone DnaJ	WP_003976250.1	GO:0006457,GO:0051082
SC_RS14825	SCO2555	hrcA	protein_coding	NC_003888.3	2755007	2756023	-	heat-inducible transcriptional repressor HrcA	WP_003976249.1	GO:0006355,GO:0003677
SC_RS14830	SCO2556		protein_coding	NC_003888.3	2756208	2756951	+	MBL fold metallo-hydrolase	WP_011028425.1	GO:0016787,GO:0046872
SC_RS14835	SCO2557		protein_coding	NC_003888.3	2756986	2757810	+	DUF3097 domain-containing protein	WP_003976247.1	
SC_RS14840	SCO2558		protein_coding	NC_003888.3	2757788	2758378	-	Uma2 family endonuclease	WP_016326184.1	GO:0003676,GO:0004519
SC_RS14845	SCO2559	hemW	protein_coding	NC_003888.3	2758482	2759714	-	radical SAM family heme chaperone HemW	WP_016326185.1	GO:0006779,GO:0051539,GO:0051989,GO:0005737
SC_RS14850	SCO2560		protein_coding	NC_003888.3	2759799	2762177	-	SpoIIE family protein phosphatase	WP_011028427.1	GO:0016791
SC_RS14855	SCO2561		protein_coding	NC_003888.3	2762403	2764280	-	AMP-dependent synthetase/ligase	WP_016326188.1	GO:0005524,GO:0015645
SC_RS14860	SCO2562	lepA	protein_coding	NC_003888.3	2764588	2766456	-	translation elongation factor 4	WP_003976242.1	GO:0003924,GO:0005525
SC_RS14865	SCO2563	rpsT	protein_coding	NC_003888.3	2766694	2766960	+	30S ribosomal protein S20	WP_003976241.1	GO:0006412,GO:0003723,GO:0003735,GO:0005840
SC_RS14870	SCO2564	holA	protein_coding	NC_003888.3	2767268	2768257	-	DNA polymerase III subunit delta	WP_181924133.1	GO:0006260,GO:0003677,GO:0003887
SC_RS14875	SCO2565		protein_coding	NC_003888.3	2768323	2768568	-	hypothetical protein	WP_037666679.1	
SC_RS14880	SCO2566		protein_coding	NC_003888.3	2768600	2769481	-	YceI family protein	WP_011028430.1	
SC_RS14885	SCO2567		protein_coding	NC_003888.3	2769878	2772445	-	ComEC/Rec2 family competence protein	WP_011028431.1	GO:0030420,GO:0016020
SC_RS14890	SCO2568		protein_coding	NC_003888.3	2772442	2773509	-	ComEA family DNA-binding protein	WP_011028432.1	
SC_RS14895	SCO2569		protein_coding	NC_003888.3	2773654	2774499	-	DegV family protein	WP_003976234.1	GO:0008289
SC_RS14900	SCO2570		protein_coding	NC_003888.3	2774591	2775367	-	hypothetical protein	WP_011028433.1	
SC_RS14905	SCO2571	leuS	protein_coding	NC_003888.3	2775536	2778436	-	leucine--tRNA ligase	WP_003976232.1	GO:0006429,GO:0000166,GO:0004823,GO:0005524
SC_RS14910	SCO2572		protein_coding	NC_003888.3	2778973	2780259	+	ferric reductase-like transmembrane domain-containing protein	WP_003976231.1	
SC_RS14915	SCO2573		protein_coding	NC_003888.3	2780256	2781866	+	NADH-quinone oxidoreductase subunit NuoF family protein	WP_016326195.1	GO:0051539
SC_RS14920	SCOt14		tRNA	NC_003888.3	2781922	2781994	-			
SC_RS14925	SCO2574		protein_coding	NC_003888.3	2782151	2782384	-	hypothetical protein	WP_003976229.1	
SC_RS14930	SCOt15		tRNA	NC_003888.3	2782763	2782835	-			
SC_RS14935	SCO2576		protein_coding	NC_003888.3	2782944	2783615	-	histidine phosphatase family protein	WP_003976227.1	GO:0003824
SC_RS14940	SCO2577	rsfS	protein_coding	NC_003888.3	2783612	2784058	-	ribosome silencing factor	WP_003976226.1	GO:0017148,GO:0043022
SC_RS14945	SCO2578	pdtA	protein_coding	NC_003888.3	2784151	2785929	-	polydiglycosylphosphate transferase PdtA	WP_003976225.1	
SC_RS14950	SCO2579	nadD	protein_coding	NC_003888.3	2785946	2786662	-	nicotinate-nucleotide adenylyltransferase	WP_003976224.1	GO:0009435,GO:0016779
SC_RS14955	SCO2580		protein_coding	NC_003888.3	2786722	2786889	-	hypothetical protein	WP_003976223.1	
SC_RS14960	SCO2581		protein_coding	NC_003888.3	2786987	2787148	-	hypothetical protein	WP_030869987.1	
SC_RS14965	SCO2582		protein_coding	NC_003888.3	2787290	2788498	+	M48 family metallopeptidase	WP_011028434.1	GO:0006508,GO:0004222,GO:0008237,GO:0008270,GO:0016787,GO:0046872
SC_RS14970	SCO2583		protein_coding	NC_003888.3	2788512	2789582	-	SCO2583 family membrane protein	WP_011028435.1	
SC_RS14975	SCO2584		protein_coding	NC_003888.3	2789669	2790238	-	SCO2584 family spore wall biosynthesis protein	WP_016326198.1	
SC_RS14980	SCO2585		protein_coding	NC_003888.3	2790362	2791648	-	glutamate-5-semialdehyde dehydrogenase	WP_003976218.1	GO:0055129,GO:0004350,GO:0016620
SC_RS14985	SCO2586		protein_coding	NC_003888.3	2791720	2792250	-	hypothetical protein	WP_011028437.1	
SC_RS14990	SCO2587	proB	protein_coding	NC_003888.3	2792386	2793510	-	glutamate 5-kinase	WP_011028438.1	GO:0055129,GO:0004349,GO:0005737
SC_RS14995	SCO2588		protein_coding	NC_003888.3	2794753	2796912	+	hypothetical protein	WP_011028439.1	
SC_RS15000	SCO2589		protein_coding	NC_003888.3	2797141	2799372	+	bifunctional glycosyltransferase/CDP-glycerol:glycerophosphate glycerophosphotransferase	WP_011028440.1	GO:0019350,GO:0071555,GO:0047355
SC_RS15005	SCO2590		protein_coding	NC_003888.3	2799396	2802989	+	bifunctional glycosyltransferase/CDP-glycerol:glycerophosphate glycerophosphotransferase	WP_011028441.1	GO:0019350,GO:0071555,GO:0047355
SC_RS15010	SCO2591		protein_coding	NC_003888.3	2803160	2804890	+	FG-GAP repeat domain-containing protein	WP_011028442.1	
SC_RS15015	SCO2592		protein_coding	NC_003888.3	2804967	2807795	-	stealth conserved region 3 domain-containing protein	WP_011028443.1	
SC_RS15020	SCO2593		protein_coding	NC_003888.3	2807802	2808791	-	hypothetical protein	WP_011028444.1	
SC_RS15025	SCO2594		protein_coding	NC_003888.3	2808791	2810599	-	stealth family protein	WP_003976207.1	
SC_RS15030	SCO2595	obgE	protein_coding	NC_003888.3	2810811	2812247	-	GTPase ObgE	WP_003976206.1	GO:0000166,GO:0000287,GO:0003924,GO:0005525
SC_RS15035	SCO2596	rpmA	protein_coding	NC_003888.3	2812358	2812612	-	50S ribosomal protein L27	WP_003976205.1	GO:0006412,GO:0003735,GO:0000315,GO:0022625
SC_RS15040	SCO2597	rplU	protein_coding	NC_003888.3	2812627	2812947	-	50S ribosomal protein L21	WP_003976204.1	GO:0006412,GO:0003723,GO:0003735,GO:0005840
SC_RS15045	SCO2598		protein_coding	NC_003888.3	2813146	2814207	-	iron-containing alcohol dehydrogenase family protein	WP_161270040.1	GO:0030554,GO:0046872
SC_RS15050			protein_coding	NC_003888.3	2814360	2816684	-	Rne/Rng family ribonuclease	WP_375336291.1	GO:0006396,GO:0006397,GO:0003723,GO:0004519,GO:0004540,GO:0046872
SC_RS15055	SCO2600		protein_coding	NC_003888.3	2818657	2819433	-	TIGR03936 family radical SAM-associated protein	WP_003976201.1	
SC_RS15060	SCO2601		protein_coding	NC_003888.3	2819482	2820558	-	hypothetical protein	WP_011028447.1	
SC_RS15065	SCO2602		protein_coding	NC_003888.3	2820608	2822731	-	TIR domain-containing protein	WP_011028448.1	GO:0007165,GO:0005515
SC_RS15070			protein_coding	NC_003888.3	2822937	2823083	+	hypothetical protein	WP_237530317.1	
SC_RS15075			protein_coding	NC_003888.3	2823266	2823451	-	hypothetical protein	WP_003976198.1	
SC_RS15080	SCO2603		protein_coding	NC_003888.3	2823656	2825212	+	recombinase family protein	WP_011028449.1	GO:0015074,GO:0000150,GO:0003677
SC_RS15085	SCO2604		protein_coding	NC_003888.3	2825348	2826283	-	hypothetical protein	WP_011028450.1	
SC_RS15090	SCO2605		protein_coding	NC_003888.3	2826447	2827148	+	hypothetical protein	WP_011028451.1	
SC_RS15095			protein_coding	NC_003888.3	2827188	2827373	-	hypothetical protein	WP_003976194.1	
SC_RS15100	SCO2606		protein_coding	NC_003888.3	2827396	2829345	-	TIGR03960 family B12-binding radical SAM protein	WP_003976193.1	GO:0008152,GO:0051539,GO:1904047
SC_RS15105	SCO2607	rodA	protein_coding	NC_003888.3	2829460	2830656	-	rod shape-determining protein RodA	WP_003976192.1	GO:0008360,GO:0016020
SC_RS15110	SCO2608	mrdA	protein_coding	NC_003888.3	2830653	2832962	-	penicillin-binding protein 2	WP_011028453.1	GO:0009252,GO:0003824,GO:0008658,GO:0016020
SC_RS15115	SCO2609	mreD	protein_coding	NC_003888.3	2833015	2833686	-	rod shape-determining protein MreD	WP_003976190.1	GO:0008360,GO:0016020
SC_RS15120	SCO2610	mreC	protein_coding	NC_003888.3	2833700	2834725	-	rod shape-determining protein MreC	WP_003976189.1	GO:0008360
SC_RS15125	SCO2611		protein_coding	NC_003888.3	2834908	2835927	-	rod shape-determining protein	WP_007449816.1	GO:0000902,GO:0008360,GO:0005524,GO:0005737
SC_RS15130	SCO2612	ndk	protein_coding	NC_003888.3	2836247	2836660	-	nucleoside-diphosphate kinase	WP_003976187.1	GO:0004550
SC_RS15135	SCO2613		protein_coding	NC_003888.3	2836785	2837141	-	DUF4233 domain-containing protein	WP_003976186.1	
SC_RS15140	SCO2614	folC	protein_coding	NC_003888.3	2837148	2838671	-	bifunctional tetrahydrofolate synthase/dihydrofolate synthase	WP_134111893.1	GO:0009396,GO:0046654,GO:0004326,GO:0008841
SC_RS15145	SCO2615		protein_coding	NC_003888.3	2838957	2841581	-	valine--tRNA ligase	WP_011028455.1	GO:0006438,GO:0000166,GO:0004812,GO:0004832,GO:0005524
SC_RS15150	SCO2616		protein_coding	NC_003888.3	2841719	2842726	+	hypothetical protein	WP_011028456.1	
SC_RS15155	SCO2617	clpX	protein_coding	NC_003888.3	2842798	2844084	-	ATP-dependent Clp protease ATP-binding subunit ClpX	WP_011028457.1	GO:0005524,GO:0008270,GO:0016887,GO:0046983
SC_RS15160	SCO2618		protein_coding	NC_003888.3	2844276	2844986	-	ATP-dependent Clp protease proteolytic subunit	WP_011028458.1	GO:0006508,GO:0004176
SC_RS15165	SCO2619		protein_coding	NC_003888.3	2845037	2845642	-	ATP-dependent Clp protease proteolytic subunit	WP_030186848.1	GO:0006508,GO:0004176,GO:0004252
SC_RS15170	SCO2620	tig	protein_coding	NC_003888.3	2846000	2847406	-	trigger factor	WP_003976179.1	GO:0015031,GO:0051083,GO:0003755,GO:0051082,GO:0005854
SC_RS15175	SCOt16		tRNA	NC_003888.3	2847576	2847652	-			
SC_RS15180	SCOt17		tRNA	NC_003888.3	2847816	2847886	+			
SC_RS15185	SCO2621		protein_coding	NC_003888.3	2847983	2848177	-	hypothetical protein	WP_003976178.1	
SC_RS15190	SCO2622		protein_coding	NC_003888.3	2848812	2849981	+	acyltransferase family protein	WP_011028459.1	GO:0016747
SC_RS15195	SCO2623		protein_coding	NC_003888.3	2849992	2850486	-	HD domain-containing protein	WP_011028460.1	
SC_RS15200	SCO2624		protein_coding	NC_003888.3	2850510	2851697	-	PP2C family protein-serine/threonine phosphatase	WP_003976175.1	GO:0004722
SC_RS15205	SCO2625		protein_coding	NC_003888.3	2851911	2853152	+	GNAT family N-acetyltransferase	WP_011028461.1	GO:0008080
SC_RS15210	SCO2626		protein_coding	NC_003888.3	2853163	2854005	-	Fpg/Nei family DNA glycosylase	WP_011028462.1	GO:0006281,GO:0006284,GO:0003684,GO:0003906,GO:0008270,GO:0008534,GO:0140078
SC_RS15215	SCO2627		protein_coding	NC_003888.3	2854112	2854597	-	ribose-5-phosphate isomerase	WP_037666673.1	GO:0005975,GO:0016853
SC_RS15220	SCO2628		pseudogene	NC_003888.3	2854806	2856250	+	amino acid permease		GO:0006865,GO:0055085,GO:0015171,GO:0016020
SC_RS15225	SCO2630		protein_coding	NC_003888.3	2856329	2856910	-	biotin transporter BioY	WP_016326217.1	
SC_RS15230	SCO2631		protein_coding	NC_003888.3	2857300	2858685	+	amino acid permease	WP_003976169.1	GO:0006865,GO:0055085,GO:0015171,GO:0016020
SC_RS15235	SCO2632		protein_coding	NC_003888.3	2858981	2859937	+	IS481-like element IS1649 family transposase	WP_011027058.1	GO:0006313,GO:0004803
SC_RS15240	SCO2633		protein_coding	NC_003888.3	2860089	2860730	+	superoxide dismutase	WP_003976168.1	GO:0006801,GO:0004784,GO:0046872
SC_RS15245	SCO2634		protein_coding	NC_003888.3	2860846	2861484	-	mycothiol-dependent nitroreductase Rv2466c family protein	WP_016326218.1	
SC_RS15250	SCO2635	pepN	protein_coding	NC_003888.3	2861630	2864203	+	aminopeptidase N	WP_161270041.1	GO:0006508,GO:0004177,GO:0008237,GO:0008270
SC_RS15255	SCO2636		protein_coding	NC_003888.3	2864527	2865597	+	hypothetical protein	WP_161270042.1	
SC_RS15260	SCO2637		protein_coding	NC_003888.3	2865913	2869209	+	S8 family serine peptidase	WP_011028469.1	
SC_RS15265	SCO2638		protein_coding	NC_003888.3	2869281	2870030	-	hypothetical protein	WP_011028470.1	
SC_RS15270	SCO2639		protein_coding	NC_003888.3	2870032	2870568	-	RNA polymerase sigma factor	WP_003976162.1	GO:0006352,GO:0003677,GO:0016987
SC_RS15275	SCO2640		protein_coding	NC_003888.3	2870836	2871858	+	aspartate-semialdehyde dehydrogenase	WP_011028472.1	GO:0008652,GO:0004073,GO:0016620,GO:0051287
SC_RS15280	SCO2641		protein_coding	NC_003888.3	2871981	2873168	+	TerD family protein	WP_011028473.1	GO:0006950
SC_RS15285	SCO2642		protein_coding	NC_003888.3	2873181	2873657	-	DUF1203 domain-containing protein	WP_011028474.1	
SC_RS15290	SCO2643	pepN	protein_coding	NC_003888.3	2873770	2876343	+	aminopeptidase N	WP_011028475.1	GO:0006508,GO:0004177,GO:0008237,GO:0008270
SC_RS15295	SCO2644		protein_coding	NC_003888.3	2876450	2877352	-	LysR family transcriptional regulator	WP_011028476.1	GO:0003677,GO:0003700
SC_RS15300	SCO2645		protein_coding	NC_003888.3	2877382	2878338	-	DMT family transporter	WP_011028477.1	GO:0055085,GO:0022857,GO:0016020
SC_RS15305	SCO2646		protein_coding	NC_003888.3	2878372	2879334	-	EamA family transporter	WP_011028478.1	GO:0016020
SC_RS15310	SCO2647		protein_coding	NC_003888.3	2879447	2879965	+	MarR family winged helix-turn-helix transcriptional regulator	WP_011028479.1	GO:0006355,GO:0003700
SC_RS15315	SCO2648		protein_coding	NC_003888.3	2880082	2880369	-	hypothetical protein	WP_011028480.1	
SC_RS15320	SCO2649	malQ	protein_coding	NC_003888.3	2880455	2882590	-	4-alpha-glucanotransferase	WP_011028481.1	GO:0005980,GO:0004134
SC_RS15325	SCO2650		protein_coding	NC_003888.3	2882600	2882911	-	hypothetical protein	WP_011028482.1	
SC_RS15330	SCO2651		protein_coding	NC_003888.3	2883219	2883956	-	SDR family NAD(P)-dependent oxidoreductase	WP_011028483.1	GO:0016491,GO:0070403
SC_RS15335	SCO2652		protein_coding	NC_003888.3	2884084	2884518	+	Rrf2 family transcriptional regulator	WP_011028484.1	GO:0003677,GO:0003700
SC_RS15340	SCO2653		protein_coding	NC_003888.3	2884761	2885426	+	class I SAM-dependent methyltransferase	WP_011028485.1	GO:0032259,GO:0008168,GO:1904047
SC_RS15345	SCO2654		protein_coding	NC_003888.3	2885483	2886067	+	Uma2 family endonuclease	WP_011028486.1	GO:0003676,GO:0004519
SC_RS15350	SCO2655		protein_coding	NC_003888.3	2886105	2886641	-	HNH endonuclease	WP_011028487.1	GO:0003676,GO:0004519,GO:0008270
SC_RS15355	SCO2656		protein_coding	NC_003888.3	2886898	2888085	+	mechanosensitive ion channel family protein	WP_202493094.1	GO:0055085,GO:0008381,GO:0016020
SC_RS15360	SCO2657		protein_coding	NC_003888.3	2888309	2889526	+	ROK family transcriptional regulator	WP_134112075.1	GO:0006355,GO:0003677,GO:0003700,GO:0005524
SC_RS15365	SCO2658		protein_coding	NC_003888.3	2889601	2890938	+	ABC transporter substrate-binding protein	WP_011028490.1	
SC_RS15370	SCO2659		protein_coding	NC_003888.3	2890945	2891889	+	carbohydrate ABC transporter permease	WP_003976142.1	GO:0008643,GO:0055085,GO:0042626,GO:0140359
SC_RS15375	SCO2660		protein_coding	NC_003888.3	2891886	2892797	+	carbohydrate ABC transporter permease	WP_011028491.1	GO:0008643,GO:0055085
SC_RS15380	SCO2661		protein_coding	NC_003888.3	2892805	2894070	+	6-phospho-beta-glucosidase	WP_011028492.1	GO:0005975,GO:0008706,GO:0046872
SC_RS15385	SCO2662		protein_coding	NC_003888.3	2894061	2895032	+	N-acetylglucosamine kinase	WP_134112073.1	GO:0045127
SC_RS15390	SCO2663		protein_coding	NC_003888.3	2895187	2896551	+	hypothetical protein	WP_106518700.1	
SC_RS15395	SCO2664		protein_coding	NC_003888.3	2896634	2897692	+	glutamate ABC transporter substrate-binding protein	WP_011028495.1	
SC_RS15400	SCO2665		protein_coding	NC_003888.3	2897763	2899097	+	hypothetical protein	WP_011028496.1	
SC_RS15405			protein_coding	NC_003888.3	2899220	2899537	-	hypothetical protein	WP_425304280.1	
SC_RS15410	SCO2666		protein_coding	NC_003888.3	2899581	2901884	+	serine/threonine-protein kinase	WP_425304281.1	GO:0006468,GO:0004674,GO:0005515,GO:0005524
SC_RS15415	SCO2667		protein_coding	NC_003888.3	2901888	2903336	+	PP2C family serine/threonine-protein phosphatase	WP_011028498.1	GO:0006470,GO:0004722,GO:0046872
SC_RS15420	SCO2668		protein_coding	NC_003888.3	2903451	2904797	+	vWA domain-containing protein	WP_030866316.1	
SC_RS15425	SCO2669		protein_coding	NC_003888.3	2904844	2906658	+	FHA domain-containing protein	WP_011028499.1	GO:0005515
SC_RS15430	SCO2670		protein_coding	NC_003888.3	2906677	2907651	-	methyltransferase domain-containing protein	WP_011028500.1	
SC_RS15435	SCO2671		protein_coding	NC_003888.3	2907738	2908151	+	globin	WP_011028501.1	
SC_RS15440	SCO2672		protein_coding	NC_003888.3	2908387	2911707	+	ABC transporter permease	WP_161270044.1	GO:0016020
SC_RS15445	SCO2673		protein_coding	NC_003888.3	2911847	2914579	+	FtsX-like permease family protein	WP_161270045.1	GO:0016020
SC_RS15450	SCO2674		protein_coding	NC_003888.3	2914632	2915591	+	ABC transporter ATP-binding protein	WP_011028504.1	GO:0005524,GO:0016887,GO:0042626,GO:0140359
SC_RS15455	SCO2675		protein_coding	NC_003888.3	2915616	2916338	-	hypothetical protein	WP_016326248.1	
SC_RS15460	SCO2676		protein_coding	NC_003888.3	2916335	2916745	-	acyl-CoA thioesterase	WP_011028505.1	GO:0016787,GO:0016790
SC_RS15465	SCO2677	ettA	protein_coding	NC_003888.3	2916748	2918412	-	energy-dependent translational throttle protein EttA	WP_003976122.1	GO:0045900,GO:0005524
SC_RS15470	SCO2678		protein_coding	NC_003888.3	2918653	2919168	+	HAD domain-containing protein	WP_011028507.1	
SC_RS15475	SCO2679		protein_coding	NC_003888.3	2919307	2919672	-	hypothetical protein	WP_234328643.1	
SC_RS15480	SCO2680		protein_coding	NC_003888.3	2920040	2920627	+	toll/interleukin-1 receptor domain-containing protein	WP_309242311.1	GO:0007165,GO:0005515
SC_RS15485	SCO2681	fxsT	protein_coding	NC_003888.3	2920569	2922815	+	FxSxx-COOH system tetratricopeptide repeat protein	WP_309242312.1	
SC_RS15490	SCO2682		protein_coding	NC_003888.3	2922880	2924292	-	Cys-Gln thioester bond-forming surface protein	WP_011028511.1	
SC_RS15495	SCO2683		protein_coding	NC_003888.3	2924515	2924985	-	single-stranded DNA-binding protein	WP_003976116.1	GO:0003697
SC_RS15500	SCO2684		protein_coding	NC_003888.3	2925258	2927738	-	GTPase	WP_011028512.1	
SC_RS15505	SCO2685		protein_coding	NC_003888.3	2927742	2929349	-	dynamin family protein	WP_011028513.1	
SC_RS15510	SCOt18		tRNA	NC_003888.3	2929681	2929753	+			
SC_RS15515	SCO2686		protein_coding	NC_003888.3	2929823	2930719	-	helix-turn-helix domain-containing protein	WP_231909150.1	GO:0006355
SC_RS15520			protein_coding	NC_003888.3	2930984	2931145	+	hypothetical protein	WP_155562941.1	
SC_RS15525	SCO2687		protein_coding	NC_003888.3	2931148	2931792	+	GTP cyclohydrolase II	WP_011028515.1	GO:0009231,GO:0003935,GO:0005525,GO:0042803,GO:0046872
SC_RS15530	SCO2688	ribD	protein_coding	NC_003888.3	2931848	2932993	+	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	WP_003976111.1	GO:0008703,GO:0008835
SC_RS15535	SCO2689		protein_coding	NC_003888.3	2932990	2934117	+	glycosyltransferase	WP_003976110.1	
SC_RS15540	SCO2690		protein_coding	NC_003888.3	2934114	2935478	+	MDR family MFS transporter	WP_011028516.1	GO:0055085,GO:0022857,GO:0016020
SC_RS15545	SCO2691		protein_coding	NC_003888.3	2935475	2936632	+	hypothetical protein	WP_011028517.1	
SC_RS15550	SCO2692		protein_coding	NC_003888.3	2936812	2938692	+	WD40 repeat domain-containing protein	WP_011028518.1	GO:0005515
SC_RS15555	SCO2693		protein_coding	NC_003888.3	2938689	2939690	+	clavaminate synthase family protein	WP_011028519.1	GO:0005506,GO:0016491,GO:0051213
SC_RS15560	SCO2694		protein_coding	NC_003888.3	2939719	2940261	+	hypothetical protein	WP_003976105.1	
SC_RS15565	SCO2695		protein_coding	NC_003888.3	2940382	2941152	+	formylglycine-generating enzyme family protein	WP_011028520.1	
