tss_id,tss_position,strand,abundance,category,sco_gene,reference,gene_id
TSS-0423,1457945,-,175,P,SCO1378,Romero et al.,SC_RS08855
TSS-0424,1460694,-,83,P,SCO1381,,SC_RS08870
TSS-0425,1461209,-,90,P,SCO1382,Romero et al.,SC_RS08875
TSS-0426,1463144,-,195,S,SCO1384,,SC_RS08885
TSS-0427,1463239,-,344,P,SCO1384,,SC_RS08885
TSS-0428,1463578,-,3,I,SCO1385,Romero et al.,SC_RS08890
TSS-0429,1464399,-,10,P,SCO1386,,SC_RS08895
TSS-0430,1464482,-,9,S,SCO1386,,SC_RS08895
TSS-0431,1465157,-,3,P,SCO1387,,SC_RS08900
TSS-0432,1467807,-,29,P,SCO1388,Romero et al.,SC_RS08905
TSS-0433,1467941,-,19,S,SCO1388,,SC_RS08905
TSS-0434,1473969,-,8268,P,SCOr03,Vockenhuber et al. and Romero et al.,SC_RS08925
TSS-0435,1474114,-,10,S,SCOr03,Romero et al.,SC_RS08925
TSS-0436,1474229,+,21,P,SCO1390,,SC_RS08930
TSS-0437,1474731,+,8,P,SCO1391,,SC_RS08935
TSS-0438,1477502,-,32,P,SCO1392,,SC_RS08940
TSS-0439,1482702,-,2,P,SCO1395,,SC_RS08955
TSS-0440,1486366,-,5,P,SCO1399,,SC_RS08970
TSS-0441,1486847,-,4,P,SCO1400,,SC_RS08975
TSS-0442,1490061,-,3,S,SCO1402,,SC_RS08985
TSS-0443,1490155,-,13,P,SCO1402,,SC_RS08985
TSS-0444,1490293,+,33,P,SCO1403,Romero et al.,SC_RS08990
TSS-0445,1496982,-,53,P,SCO1406,,SC_RS09005
TSS-0446,1505123,-,19,P,SCO1410,,SC_RS09025
TSS-0447,1505204,+,23,P,SCO1411,,SC_RS09030
TSS-0448,1509476,-,871,P,SCO1413,Vockenhuber et al.,SC_RS09040
TSS-0449,1510109,-,4,P,SCO1414,Romero et al.,SC_RS09045
TSS-0450,1514210,+,4,P,SCO1418,,SC_RS09065
TSS-0451,1515650,+,12,P,SCO1420,,SC_RS09075
TSS-0452,1517140,+,189,P,SCO1421,,SC_RS09080
TSS-0453,1518445,-,17,P,SCO1422,Romero et al.,SC_RS09085
TSS-0454,1519424,-,11,P,SCO1423,Romero et al.,SC_RS09090
TSS-0455,1519787,-,3,S,SCO1423,Romero et al.,SC_RS09090
TSS-0456,1522060,-,23,P,SCO1425,,SC_RS09100
TSS-0457,1522280,+,6,P,SCO1426,,SC_RS09105
TSS-0458,1527053,-,125,P,SCO1431,Romero et al.,
TSS-0459,1529624,+,19,P,SCO1434,,SC_RS09145
TSS-0460,1534313,-,3,P,SCO1436,,SC_RS09155
TSS-0461,1536057,-,12,P,SCO1439,Vockenhuber et al. and Romero et al.,SC_RS09170
TSS-0462,1539414,-,735,P,SCO1443,Romero et al.,SC_RS09190
TSS-0463,1542095,+,3,P,SCO1445,,SC_RS09200
TSS-0464,1544653,-,5,P,SCO1447,,SC_RS09210
TSS-0465,1549709,+,10,P,SCO1453,Romero et al.,SC_RS09240
TSS-0466,1553698,+,3,N,,,
TSS-0467,1556091,+,4,A,SCO1458,,SC_RS09265
TSS-0468,1556255,-,3,P,SCO1458,,SC_RS09265
TSS-0469,1560423,-,21,S,SCO1462,,SC_RS09285
TSS-0470,1560447,-,33,P,SCO1462,,SC_RS09285
TSS-0471,1561404,-,269,P,SCO1463,Romero et al.,SC_RS09290
TSS-0472,1562157,-,19,P,SCO1464,,SC_RS09295
TSS-0473,1570513,-,4,P,SCO1469,,SC_RS09320
TSS-0474,1573430,-,1,P,SCO1472,Romero et al.,SC_RS09335
TSS-0475,1574662,+,7,P,SCO1474,,SC_RS09345
TSS-0476,1577602,-,2,P,SCO1475,,SC_RS09350
TSS-0477,1579083,-,11,P,SCO1476,,SC_RS09355
TSS-0478,1580514,-,4,P,SCO1477,,SC_RS09360
TSS-0479,1580704,+,19,A,SCO1478,,SC_RS09365
TSS-0480,1580899,-,388,P,SCO1478,,SC_RS09365
TSS-0481,1581474,-,223,P,SCO1479,Vockenhuber et al. and Romero et al.,SC_RS09370
TSS-0482,1581939,-,135,P,SCO1480,Romero et al.,SC_RS09375
TSS-0483,1592141,-,499,P,SCO1488,Vockenhuber et al. and Romero et al.,SC_RS09415
TSS-0484,1592318,+,242,P,SCO1489,,SC_RS09420
TSS-0485,1594292,-,324,P,SCO1491,Romero et al.,SC_RS09430
TSS-0486,1596414,-,4,P,SCO1493,Romero et al.,SC_RS09440
TSS-0487,1599368,-,56,P,SCO1496,Romero et al.,SC_RS09455
TSS-0488,1602566,-,58,P,SCO1499,,SC_RS09470
TSS-0489,1605781,-,36,P,SCO1501,,SC_RS09480
TSS-0490,1606742,+,8,P,SCO1504,,SC_RS09495
TSS-0491,1609262,+,5,A,SCO1505,,SC_RS09500
TSS-0492,1609863,-,274,P,SCO1505,Romero et al.,SC_RS09500
TSS-0493,1611339,-,34,P,SCO1506,,SC_RS09505
TSS-0494,1611358,+,3,A,SCO1507,,SC_RS09510
TSS-0495,1611949,+,6,A,SCO1507,,SC_RS09510
TSS-0496,1614163,+,22,P,SCO1510,,SC_RS09525
TSS-0497,1614201,-,20,P,SCO1509,Romero et al.,SC_RS09520
TSS-0498,1614239,-,11,S,SCO1509,,SC_RS09520
TSS-0499,1615190,+,4,S,SCO1511,,
TSS-0500,1615234,+,64,P,SCO1511,Romero et al.,
TSS-0501,1623200,+,5,A,SCO1517,,SC_RS09555
TSS-0502,1623566,-,291,P,SCO1517,,SC_RS09555
TSS-0503,1626825,-,214,P,SCO1521,,SC_RS09575
TSS-0504,1628399,-,21,P,SCO1523,,SC_RS09585
TSS-0505,1631890,-,7,P,SCO1527,,SC_RS09605
TSS-0506,1632020,+,2,P,SCO1528,Romero et al.,SC_RS09610
TSS-0507,1634499,+,4,P,SCO1529,Romero et al.,SC_RS09615
TSS-0508,1636876,-,28,P,SCO1530,Romero et al.,SC_RS09620
TSS-0509,1636987,-,16,S,SCO1530,,SC_RS09620
TSS-0510,1638995,-,3,P,SCO1531,Romero et al.,SC_RS09625
TSS-0511,1640971,-,4,P,SCO1533,,SC_RS09635
TSS-0512,1641089,+,5,P,SCO1534,,SC_RS09640
TSS-0513,1642023,-,21,P,SCOt01,Romero et al.,SC_RS09645
TSS-0514,1642515,-,3,P,SCO1535,,SC_RS09650
TSS-0515,1642574,+,28,A,SCO1536,,
TSS-0516,1643617,+,13,A,SCO1536,,
TSS-0517,1650327,+,6,P,SCO1541,Romero et al.,SC_RS09690
TSS-0518,1652579,-,17,P,SCO1543,Romero et al.,SC_RS09705
TSS-0519,1652935,+,9,I,SCO1544,,SC_RS09710
TSS-0520,1655152,-,19,P,SCO1546,Romero et al.,SC_RS09720
TSS-0521,1656318,+,288,P,SCOt03,Romero et al.,SC_RS09730
TSS-0522,1657199,-,35,P,SCO1548,,SC_RS09755
TSS-0523,1657229,-,28,S,SCO1548,,SC_RS09755
TSS-0524,1658420,-,14,P,SCO1549,,SC_RS09760
TSS-0525,1658665,-,94,P,SCO1550,Vockenhuber et al. and Romero et al.,SC_RS09765
TSS-0526,1659151,+,27,P,SCO1551,Romero et al.,SC_RS09770
TSS-0527,1666665,-,12,S,SCO1554,Romero et al.,SC_RS09785
TSS-0528,1666842,-,133,P,SCO1554,Romero et al.,SC_RS09785
TSS-0529,1668945,-,7,P,SCO1556,,SC_RS09795
TSS-0530,1672072,-,7,P,SCO1559,Romero et al.,SC_RS09810
TSS-0531,1672877,+,6,P,SCO1561,,SC_RS09820
TSS-0532,1674251,-,73,P,SCO1563,,SC_RS09830
TSS-0533,1676193,+,2,S,SCO1566,Romero et al.,SC_RS09845
TSS-0534,1676265,+,30,S,SCO1566,,SC_RS09845
TSS-0535,1676361,-,27,P,SCO1565,,SC_RS09840
TSS-0536,1676362,+,96,P,SCO1566,,SC_RS09845
TSS-0537,1676539,-,9,A,SCO1566,,SC_RS09845
TSS-0538,1681890,-,14,P,SCO1570,,SC_RS09865
TSS-0539,1681891,+,16,P,SCO1571,,SC_RS09870
TSS-0540,1681979,+,4,S,SCO1571,Romero et al.,SC_RS09870
TSS-0541,1692572,-,17,P,SCO1582,,SC_RS09925
TSS-0542,1699196,+,5,P,SCO1589,Romero et al.,SC_RS09960
TSS-0543,1700919,+,1,P,SCO1591,,SC_RS09970
TSS-0544,1708036,-,1254,P,SCO1595,,SC_RS09990
TSS-0545,1708380,-,2,S,SCO1595,Romero et al.,SC_RS09990
TSS-0546,1710847,-,3,P,SCO1598,,SC_RS10005
TSS-0547,1712073,-,237,P,SCO1600,Romero et al.,SC_RS10015
TSS-0548,1713279,-,2,P,SCO1602,,SC_RS10025
TSS-0549,1720261,+,4,P,SCO1609,,SC_RS10055
TSS-0550,1729404,-,3,P,SCO1616,,SC_RS10090
TSS-0551,1731944,-,8,S,SCO1619,,SC_RS10105
TSS-0552,1732052,-,8,P,SCO1619,,SC_RS10105
TSS-0553,1736039,-,85,P,SCO1621,,SC_RS10115
TSS-0554,1736141,+,6,P,SCO1622,,SC_RS10120
TSS-0555,1737126,+,2,P,SCO1623,,SC_RS10125
TSS-0556,1741619,-,6,P,SCO1626,,SC_RS10140
TSS-0557,1742144,+,5,A,SCO1627,,SC_RS10145
TSS-0558,1742277,-,3,P,SCO1627,,SC_RS10145
TSS-0559,1744742,+,30,N,,,
TSS-0560,1747893,-,56,P,SCO1631,Romero et al.,SC_RS10165
TSS-0561,1749058,-,8,P,SCO1632,,SC_RS10170
TSS-0562,1749366,-,27,S,SCO1633,Vockenhuber et al. and Romero et al.,SC_RS10175
TSS-0563,1749451,-,473,P,SCO1633,,SC_RS10175
TSS-0564,1751296,-,65,P,SCO1636,Romero et al.,SC_RS10190
TSS-0565,1752159,-,49,P,SCO1637,Romero et al.,SC_RS10195
TSS-0566,1752160,+,12,N,,,
TSS-0567,1752675,-,96,P,SCO1638,,SC_RS10200
TSS-0568,1755251,-,5943,P,SCO1640,Vockenhuber et al. and Romero et al.,SC_RS10210
TSS-0569,1759412,-,46,P,SCO1644,,SC_RS10230
TSS-0570,1759947,-,6,P,SCO1645,,SC_RS10235
TSS-0571,1760159,-,168,S,SCO1646,,SC_RS10240
TSS-0572,1760199,-,253,P,SCO1646,Romero et al.,SC_RS10240
TSS-0573,1760239,-,115,S,SCO1646,,SC_RS10240
TSS-0574,1763836,-,564,P,SCO1648,,SC_RS10250
TSS-0575,1763898,+,22,P,SCO1649,,SC_RS10255
TSS-0576,1763932,-,402,S,SCO1648,,SC_RS10250
TSS-0577,1763989,+,18,S,SCO1649,Romero et al.,SC_RS10255
TSS-0578,1764544,-,7,I,SCO1650,,SC_RS10260
TSS-0579,1765059,-,5,P,SCO1650,,SC_RS10260
TSS-0580,1766159,-,156,P,SCO1651,Vockenhuber et al. and Romero et al.,SC_RS10265
TSS-0581,1771086,+,3,A,SCO1655,,SC_RS10285
TSS-0582,1771636,-,117,P,SCO1655,,SC_RS10285
TSS-0583,1776417,-,6,P,SCO1657,Vockenhuber et al. and Romero et al.,SC_RS10295
TSS-0584,1776458,+,4,P,SCO1658,,SC_RS10300
TSS-0585,1776678,+,3,S,SCO1658,,SC_RS10300
TSS-0586,1777690,+,102,P,SCO1659,,SC_RS10305
TSS-0587,1777741,+,76,S,SCO1659,Romero et al.,SC_RS10305
TSS-0588,1778567,+,3,P,SCO1660,,SC_RS10310
TSS-0589,1782009,+,32,P,SCO1662,Romero et al.,SC_RS10320
TSS-0590,1784336,-,10,P,SCO1663,Romero et al.,SC_RS10325
TSS-0591,1785891,-,2,P,SCO1665,,SC_RS10335
TSS-0592,1786606,+,3,P,SCO1667,,SC_RS10345
TSS-0593,1794029,-,4,P,SCO1672,Vockenhuber et al.,SC_RS10370
TSS-0594,1794076,+,52,P,SCO1673,Romero et al.,SC_RS10375
TSS-0595,1795245,-,4,P,SCO1674,,SC_RS10380
TSS-0596,1795408,-,22,S,SCO1675,,SC_RS10385
TSS-0597,1795566,-,17,P,SCO1675,,SC_RS10385
TSS-0598,1797048,-,37,P,SCO1676,,SC_RS10390
TSS-0599,1797130,+,26,P,SCOt08,Romero et al.,SC_RS10395
TSS-0600,1798424,-,6,P,SCO1678,Romero et al.,SC_RS10405
TSS-0601,1805151,-,3,P,SCO1684,Vockenhuber et al.,SC_RS10435
TSS-0602,1805345,+,10,P,SCO1685,Romero et al.,SC_RS10440
TSS-0603,1806309,+,15,P,SCO1686,,SC_RS10445
TSS-0604,1811305,-,15,P,SCO1691,,SC_RS10470
TSS-0605,1816391,+,41,P,SCO1695,Romero et al.,SC_RS10490
TSS-0606,1818880,-,20,P,SCO1697,,SC_RS10500
TSS-0607,1818963,+,6,P,SCO1698,,SC_RS10505
TSS-0608,1820483,-,181,P,SCO1700,Romero et al.,SC_RS10515
TSS-0609,1821781,-,9,P,SCO1701,,SC_RS10520
TSS-0610,1830343,-,15,P,SCO1709,,SC_RS10560
TSS-0611,1831849,-,6,P,SCO1710,,SC_RS10565
TSS-0612,1835573,-,38,P,SCO1714,Romero et al.,SC_RS10580
TSS-0613,1839862,+,2,P,SCO1719,,SC_RS10605
TSS-0614,1842203,-,74,P,SCO1721,Romero et al.,SC_RS10615
TSS-0615,1847564,+,38,P,SCO1727,Romero et al.,SC_RS10645
TSS-0616,1848777,-,23,P,SCO1728,,SC_RS10650
TSS-0617,1850984,+,70,P,SCO1732,Romero et al.,SC_RS10670
TSS-0618,1851669,-,4,P,SCO1733,,SC_RS10675
TSS-0619,1862795,+,84,P,SCO1743,,SC_RS10725
TSS-0620,1869021,-,167,P,SCO1748,,SC_RS10750
TSS-0621,1869182,+,13,P,SCO1749,,SC_RS10755
TSS-0622,1869242,+,9,S,SCO1749,,SC_RS10755
TSS-0623,1873042,-,3,P,SCO1751,,SC_RS10765
TSS-0624,1874625,+,105,P,SCO1753,Romero et al.,SC_RS10775
TSS-0625,1875975,-,28,P,SCO1754,,SC_RS10780
TSS-0626,1876122,+,20,N,,,
TSS-0627,1880358,-,21,P,SCO1758,,SC_RS10800
TSS-0628,1881810,-,4,P,SCO1760,,SC_RS10810
TSS-0629,1883524,-,2,P,SCO1762,Romero et al.,SC_RS10820
TSS-0630,1884039,+,4,P,SCO1764,,SC_RS10830
TSS-0631,1885485,-,6,P,SCO1765,,SC_RS10835
TSS-0632,1888601,-,4682,P,SCO1768,Romero et al.,SC_RS10850
TSS-0633,1889387,-,6,P,SCO1769,,SC_RS10855
TSS-0634,1892212,+,16,N,,,
TSS-0635,1892213,-,198,P,SCO1772,Romero et al.,SC_RS10870
TSS-0636,1893641,-,8,P,SCO1773,,SC_RS10875
TSS-0637,1898445,-,11,P,SCO1776,,SC_RS10890
TSS-0638,1898618,+,66,P,SCO1777,Romero et al.,SC_RS10895
TSS-0639,1904229,-,6,P,SCO1779,Romero et al.,SC_RS10905
TSS-0640,1906170,-,140,P,SCO1780,,SC_RS10910
TSS-0641,1907292,-,7,P,SCO1781,,SC_RS10915
TSS-0642,1908437,+,80,P,SCO1784,Romero et al.,SC_RS10930
TSS-0643,1910912,-,3,P,SCO1786,,SC_RS10940
TSS-0644,1913090,+,14,P,SCO1789,,SC_RS10955
TSS-0645,1913275,-,30,P,SCO1788,,SC_RS10950
TSS-0646,1922771,-,8,P,SCO1792,Romero et al.,SC_RS10985
TSS-0647,1922882,+,735,P,SCO1793,Romero et al.,SC_RS10990
TSS-0648,1924346,+,15,P,SCO1795,,SC_RS11000
TSS-0649,1924363,+,14,S,SCO1795,Romero et al.,SC_RS11000
TSS-0650,1926134,-,7,S,SCO1796,,SC_RS11005
TSS-0651,1926166,-,15,P,SCO1796,Romero et al.,SC_RS11005
TSS-0652,1926229,-,9,S,SCO1796,,SC_RS11005
TSS-0653,1926662,-,5,P,SCO1797,Romero et al.,SC_RS11010
TSS-0654,1927604,-,23,P,SCO1798,Romero et al.,
TSS-0655,1927668,+,5,P,SCO1799,,SC_RS11020
TSS-0656,1928884,-,379,P,SCO1800,Vockenhuber et al. and Romero et al.,SC_RS11025
TSS-0657,1933145,-,9,N,,,
TSS-0658,1933630,+,10,I,SCO1805,,SC_RS11050
TSS-0659,1936711,-,2046,P,SCO1806,,SC_RS11055
TSS-0660,1936837,+,24,P,SCO1807,,SC_RS11060
TSS-0661,1939007,+,49,P,SCO1808,Vockenhuber et al. and Romero et al.,SC_RS11065
TSS-0662,1941195,-,4,P,SCO1810,,SC_RS11075
TSS-0663,1941431,-,9,P,SCO1811,Romero et al.,SC_RS11080
TSS-0664,1942920,+,7,P,SCO1813,,SC_RS11090
TSS-0665,1945291,-,8,P,SCO1815,,SC_RS11100
TSS-0666,1948418,+,19,P,SCO1818,Romero et al.,SC_RS11115
TSS-0667,1950277,+,26,P,SCO1820,Romero et al.,SC_RS11125
TSS-0668,1950867,+,11,N,,Romero et al.,
TSS-0669,1952259,-,3,P,SCO1821,Romero et al.,SC_RS11135
TSS-0670,1956366,+,4,P,SCO1825,,SC_RS11155
TSS-0671,1959189,+,13,P,SCO1828,,SC_RS11170
TSS-0672,1960424,+,4,P,SCO1830,,SC_RS11180
TSS-0673,1962217,+,23,P,SCO1831,,SC_RS11185
TSS-0674,1965006,-,55,P,SCO1835,,SC_RS11205
TSS-0675,1967489,-,6131,P,SCO1839,Romero et al.,SC_RS11225
TSS-0676,1969476,+,9,S,SCO1841,Romero et al.,SC_RS11235
TSS-0677,1969563,+,80,P,SCO1841,,SC_RS11235
TSS-0678,1971509,-,2,P,SCO1842,,SC_RS11240
TSS-0679,1973913,+,201,P,SCO1845,,SC_RS11255
TSS-0680,1975651,+,209,P,SCO1847,Romero et al.,SC_RS11265
TSS-0681,1976831,+,2,P,SCO1848,,SC_RS11270
TSS-0682,1987576,+,3,P,SCO1855,,SC_RS11305
TSS-0683,1995066,-,3,P,SCO1860,Romero et al.,SC_RS11330
TSS-0684,1996295,-,11,P,SCO1861,,SC_RS11335
TSS-0685,1998466,+,19,P,SCO1864,Romero et al.,SC_RS11350
TSS-0686,1998738,+,20,P,SCO1865,,SC_RS11355
TSS-0687,2000421,+,7,P,SCO1866,,SC_RS11360
TSS-0688,2000764,+,10,P,SCO1867,,SC_RS11365
TSS-0689,2002987,-,7,P,SCO1868,,SC_RS11370
TSS-0690,2004454,-,7,P,SCO1870,,SC_RS11380
TSS-0691,2006120,+,191,P,SCO1872,,SC_RS11390
TSS-0692,2006180,+,10,S,SCO1872,,SC_RS11390
TSS-0693,2006199,-,5,P,SCO1871,Romero et al.,SC_RS11385
TSS-0694,2007027,+,21,P,SCO1873,Romero et al.,SC_RS11395
TSS-0695,2007926,+,198,P,SCO1875,Romero et al.,SC_RS11405
TSS-0696,2011522,-,7,P,SCO1878,,SC_RS11420
TSS-0697,2020526,+,7,A,SCO1886,,SC_RS11460
TSS-0698,2025509,-,14,P,SCO1890,,SC_RS11480
TSS-0699,2028028,-,80,P,SCO1893,,SC_RS11495
TSS-0700,2030381,-,6,P,SCO1895,,SC_RS11505
TSS-0701,2032672,-,3,A,SCO1898,,SC_RS11520
TSS-0702,2036453,+,3,P,SCO1902,,
TSS-0703,2037021,+,59,P,SCO1903,,SC_RS11545
TSS-0704,2038869,-,3,P,SCO1904,,SC_RS11550
TSS-0705,2040932,-,608,P,SCO1905,Romero et al.,SC_RS11555
TSS-0706,2044229,-,2,P,SCO1907,Romero et al.,SC_RS11570
TSS-0707,2046271,-,6,I,SCO1909,,SC_RS11580
TSS-0708,2046992,-,2,P,SCO1909,,SC_RS11580
TSS-0709,2048057,-,2,P,SCO1911,,SC_RS11590
TSS-0710,2049500,+,2,P,SCO1914,,SC_RS11605
TSS-0711,2049708,+,8,P,SCO1915,,SC_RS11610
TSS-0712,2051513,-,7,P,SCO1916,,SC_RS11615
TSS-0713,2052436,-,22,P,SCO1918,,SC_RS11625
TSS-0714,2053441,-,245,P,SCO1920,,SC_RS11635
TSS-0715,2054614,-,4,P,SCO1921,,SC_RS11640
TSS-0716,2057218,+,11,A,SCO1925,,SC_RS11660
TSS-0717,2058513,-,5,P,SCO1925,,SC_RS11660
TSS-0718,2059132,-,151,P,SCO1926,Vockenhuber et al. and Romero et al.,SC_RS11665
TSS-0719,2060169,+,12,P,SCO1928,Romero et al.,SC_RS11675
TSS-0720,2061289,-,4,A,SCO1929,Romero et al.,SC_RS11680
TSS-0721,2066373,-,12,S,SCO1934,,SC_RS11705
TSS-0722,2066403,-,12,P,SCO1934,Romero et al.,SC_RS11705
TSS-0723,2066590,+,50,P,SCO1935,Romero et al.,SC_RS11710
TSS-0724,2066631,+,12,S,SCO1935,,SC_RS11710
TSS-0725,2068808,+,20,P,SCO1936,,SC_RS11715
TSS-0726,2074270,-,3,P,SCO1940,,SC_RS11735
TSS-0727,2075236,-,7,P,SCO1941,Vockenhuber et al.,SC_RS11740
TSS-0728,2077018,-,10,P,SCO1942,,SC_RS11745
TSS-0729,2077547,-,618,P,SCO1943,,SC_RS11750
TSS-0730,2077945,-,3,P,SCO1944,,SC_RS11755
TSS-0731,2080031,-,145,P,SCO1946,,SC_RS11765
TSS-0732,2081220,-,49,P,SCO1947,Vockenhuber et al. and Romero et al.,SC_RS11770
TSS-0733,2081352,-,3,S,SCO1947,Romero et al.,SC_RS11770
TSS-0734,2084436,-,2,P,SCO1948,,SC_RS11775
TSS-0735,2085567,-,16,P,SCO1950,,SC_RS11780
TSS-0736,2086796,-,28,P,SCO1951,,SC_RS11785
TSS-0737,2087680,-,3,S,SCO1952,,SC_RS11790
TSS-0738,2087807,-,3,P,SCO1952,,SC_RS11790
TSS-0739,2089856,-,19,P,SCO1953,Romero et al.,SC_RS11795
TSS-0740,2090079,+,156,P,SCO1954,,SC_RS11800
TSS-0741,2091793,+,29,P,SCO1956,,SC_RS11810
TSS-0742,2097453,-,36,P,SCO1958,Romero et al.,SC_RS11820
TSS-0743,2097542,+,56,P,SCO1959,,SC_RS11825
TSS-0744,2098289,+,56,P,SCO1960,Romero et al.,SC_RS11830
TSS-0745,2099672,-,4,P,SCO1961,,SC_RS11835
TSS-0746,2102121,-,40,P,SCO1963,,SC_RS11845
TSS-0747,2104967,-,20,P,SCO1965,Romero et al.,SC_RS11855
TSS-0748,2108211,-,13,S,SCO1967,,SC_RS11865
TSS-0749,2108294,-,13,P,SCO1967,,SC_RS11865
TSS-0750,2108379,+,32,P,SCO1968,Romero et al.,SC_RS11870
TSS-0751,2109316,+,5,P,SCO1969,,SC_RS11875
TSS-0752,2110323,-,22,P,SCO1970,,SC_RS11880
TSS-0753,2113110,-,2,P,SCO1973,,SC_RS11895
TSS-0754,2113309,+,6,P,SCO1974,,
TSS-0755,2114562,+,6,A,SCO1975,,SC_RS11905
TSS-0756,2115132,-,6,P,SCO1975,,SC_RS11905
TSS-0757,2117589,-,7,N,,,
TSS-0758,2118959,-,143,P,SCO1979,,SC_RS11925
TSS-0759,2120418,-,13,P,SCO1982,,SC_RS11940
TSS-0760,2120459,-,9,S,SCO1982,,SC_RS11940
TSS-0761,2127773,-,16,P,SCO1989,,SC_RS11975
TSS-0762,2128542,-,2,P,SCO1990,Romero et al.,SC_RS11980
TSS-0763,2130536,-,6,P,SCO1993,Romero et al.,SC_RS11995
TSS-0764,2131361,-,13,P,SCO1995,,SC_RS12005
TSS-0765,2131993,-,3,P,SCO1996,,SC_RS12010
TSS-0766,2132989,-,197,P,SCO1997,Romero et al.,SC_RS12015
TSS-0767,2134821,-,168,P,SCO1998,Romero et al.,SC_RS12020
TSS-0768,2134839,+,36,P,SCO1999,,SC_RS12025
TSS-0769,2134973,-,2,S,SCO1998,Romero et al.,SC_RS12020
TSS-0770,2140893,-,218,P,SCO2001,Romero et al.,SC_RS12035
TSS-0771,2144382,-,21,P,SCO2003,Romero et al.,SC_RS12045
TSS-0772,2149195,+,804,P,SCO2008,,SC_RS12070
TSS-0773,2155815,-,38,P,SCO2013,,SC_RS12095
TSS-0774,2155851,+,4,P,SCOt09,Vockenhuber et al.,SC_RS12100
TSS-0775,2157773,-,15071,P,SCO2014,Romero et al.,SC_RS12105
TSS-0776,2165244,-,7,P,SCO2018,,SC_RS12125
TSS-0777,2165818,+,3,P,SCO2020,Romero et al.,SC_RS12135
TSS-0778,2168237,-,4,P,SCO2022,,SC_RS12145
TSS-0779,2168309,+,3,P,SCO2023,,SC_RS12150
TSS-0780,2176762,-,3,P,SCO2026,,SC_RS12165
TSS-0781,2177603,-,37,P,SCO2027,Romero et al.,SC_RS12170
TSS-0782,2186262,-,36,P,SCO2034,Romero et al.,SC_RS12205
TSS-0783,2191404,-,8,P,SCO2041,,SC_RS12240
TSS-0784,2193732,-,7,P,SCO2043,,SC_RS12250
TSS-0785,2194212,+,29,P,SCO2045,Romero et al.,SC_RS12260
TSS-0786,2205747,+,21,P,SCO2057,,SC_RS12325
TSS-0787,2211216,-,4,P,SCO2062,,SC_RS12350
TSS-0788,2211420,-,3,S,SCO2062,,SC_RS12350
TSS-0789,2213142,+,24,A,SCO2064,,SC_RS12360
TSS-0790,2215237,-,4,P,SCO2064,,SC_RS12360
TSS-0791,2215293,+,5,P,SCO2065,,SC_RS12365
TSS-0792,2215329,+,3,S,SCO2065,Romero et al.,SC_RS12365
TSS-0793,2216803,+,28,P,SCO2066,Romero et al.,SC_RS12370
TSS-0794,2220881,+,22,P,SCO2070,Romero et al.,SC_RS12390
TSS-0795,2221062,-,29,P,SCO2069,,SC_RS12385
TSS-0796,2225155,-,11,P,SCO2073,Romero et al.,SC_RS12405
TSS-0797,2225923,-,76,P,SCO2074,,SC_RS12410
TSS-0798,2226726,-,26,P,SCO2075,,SC_RS12415
TSS-0799,2226812,-,16,S,SCO2075,,SC_RS12415
TSS-0800,2226957,+,252,P,SCO2076,Romero et al.,SC_RS12420
TSS-0801,2231726,+,10,A,SCO2077,,SC_RS12425
TSS-0802,2231883,+,17,A,SCO2078,,SC_RS12430
TSS-0803,2231962,-,36,P,SCO2077,Romero et al.,SC_RS12425
TSS-0804,2232253,-,8223,P,SCO2078,Romero et al.,SC_RS12430
TSS-0805,2232419,-,34,S,SCO2078,Romero et al.,SC_RS12430
TSS-0806,2232960,-,35,S,SCO2079,,SC_RS12435
TSS-0807,2233068,-,325,P,SCO2079,Romero et al.,SC_RS12435
TSS-0808,2233552,+,6,A,SCO2080,,SC_RS12440
TSS-0809,2235733,-,22,S,SCO2082,,SC_RS12450
TSS-0810,2235781,-,211,P,SCO2082,,SC_RS12450
TSS-0811,2235846,-,13,S,SCO2082,,SC_RS12450
TSS-0812,2235876,-,5,S,SCO2082,Romero et al.,SC_RS12450
TSS-0813,2237920,-,23,P,SCO2084,,SC_RS12460
TSS-0814,2238194,-,13,S,SCO2084,Romero et al.,SC_RS12460
TSS-0815,2240818,-,4,P,SCO2086,,SC_RS12470
TSS-0816,2248858,-,71,P,SCO2092,Romero et al.,SC_RS12500
TSS-0817,2249069,+,24,P,SCO2093,,SC_RS12505
TSS-0818,2249741,+,74,S,SCO2094,Romero et al.,SC_RS12510
TSS-0819,2249789,+,112,P,SCO2094,,SC_RS12510
TSS-0820,2255437,-,224,P,SCO2097,Vockenhuber et al. and Romero et al.,SC_RS12525
TSS-0821,2257287,+,13,P,SCO2100,,SC_RS12540
TSS-0822,2258212,-,33,N,,Romero et al.,
TSS-0823,2261132,-,149,P,SCO2102,Romero et al.,SC_RS12550
TSS-0824,2261916,-,80,P,SCO2103,,SC_RS12555
TSS-0825,2261934,+,3,N,,,
TSS-0826,2263246,-,60,P,SCO2105,Romero et al.,SC_RS12565
TSS-0827,2264717,+,84,P,SCO2107,Romero et al.,SC_RS12575
TSS-0828,2267216,+,13,P,SCO2110,Romero et al.,SC_RS12590
TSS-0829,2270952,-,5,P,SCO2112,Romero et al.,SC_RS12600
TSS-0830,2271108,-,3,S,SCO2112,,SC_RS12600
